study,origin,0
Adams_Kaminski_2020,nan,0
Adams_Kaminski_2020,normal,131092
Adams_Kaminski_2020,normal_adjacent,0
Adams_Kaminski_2020,tumor_metastasis,0
Adams_Kaminski_2020,tumor_primary,0
Chen_Zhang_2020,nan,0
Chen_Zhang_2020,normal,0
Chen_Zhang_2020,normal_adjacent,0
Chen_Zhang_2020,tumor_metastasis,0
Chen_Zhang_2020,tumor_primary,93035
Goveia_Carmeliet_2020,nan,0
Goveia_Carmeliet_2020,normal,0
Goveia_Carmeliet_2020,normal_adjacent,15182
Goveia_Carmeliet_2020,tumor_metastasis,0
Goveia_Carmeliet_2020,tumor_primary,21186
Guo_Zhang_2018,nan,0
Guo_Zhang_2018,normal,0
Guo_Zhang_2018,normal_adjacent,1779
Guo_Zhang_2018,tumor_metastasis,0
Guo_Zhang_2018,tumor_primary,5550
Habermann_Kropski_2020,nan,0
Habermann_Kropski_2020,normal,36727
Habermann_Kropski_2020,normal_adjacent,0
Habermann_Kropski_2020,tumor_metastasis,0
Habermann_Kropski_2020,tumor_primary,0
He_Fan_2021,nan,0
He_Fan_2021,normal,0
He_Fan_2021,normal_adjacent,44262
He_Fan_2021,tumor_metastasis,0
He_Fan_2021,tumor_primary,44614
Kim_Lee_2020,nan,0
Kim_Lee_2020,normal,32893
Kim_Lee_2020,normal_adjacent,38371
Kim_Lee_2020,tumor_metastasis,56323
Kim_Lee_2020,tumor_primary,47939
Lambrechts_Thienpont_2018,nan,0
Lambrechts_Thienpont_2018,normal,0
Lambrechts_Thienpont_2018,normal_adjacent,19404
Lambrechts_Thienpont_2018,tumor_metastasis,0
Lambrechts_Thienpont_2018,tumor_primary,46892
Laughney_Massague_2020,nan,0
Laughney_Massague_2020,normal,0
Laughney_Massague_2020,normal_adjacent,9426
Laughney_Massague_2020,tumor_metastasis,4320
Laughney_Massague_2020,tumor_primary,12657
Leader_Merad_2021,nan,0
Leader_Merad_2021,normal,0
Leader_Merad_2021,normal_adjacent,139978
Leader_Merad_2021,tumor_metastasis,0
Leader_Merad_2021,tumor_primary,155768
Madissoon_Meyer_2020,nan,0
Madissoon_Meyer_2020,normal,46116
Madissoon_Meyer_2020,normal_adjacent,0
Madissoon_Meyer_2020,tumor_metastasis,0
Madissoon_Meyer_2020,tumor_primary,0
Maynard_Bivona_2020,nan,988
Maynard_Bivona_2020,normal,0
Maynard_Bivona_2020,normal_adjacent,0
Maynard_Bivona_2020,tumor_metastasis,10629
Maynard_Bivona_2020,tumor_primary,7098
Mayr_Schiller_2020,nan,0
Mayr_Schiller_2020,normal,0
Mayr_Schiller_2020,normal_adjacent,7333
Mayr_Schiller_2020,tumor_metastasis,0
Mayr_Schiller_2020,tumor_primary,0
Reyfman_Misharin_2018,nan,0
Reyfman_Misharin_2018,normal,34535
Reyfman_Misharin_2018,normal_adjacent,0
Reyfman_Misharin_2018,tumor_metastasis,0
Reyfman_Misharin_2018,tumor_primary,0
Travaglini_Krasnow_2020,nan,0
Travaglini_Krasnow_2020,normal,0
Travaglini_Krasnow_2020,normal_adjacent,8272
Travaglini_Krasnow_2020,tumor_metastasis,0
Travaglini_Krasnow_2020,tumor_primary,0
UKIM-V,nan,0
UKIM-V,normal,0
UKIM-V,normal_adjacent,57136
UKIM-V,tumor_metastasis,0
UKIM-V,tumor_primary,65766
Vieira_Teichmann_2019,nan,0
Vieira_Teichmann_2019,normal,0
Vieira_Teichmann_2019,normal_adjacent,4068
Vieira_Teichmann_2019,tumor_metastasis,0
Vieira_Teichmann_2019,tumor_primary,0
Wu_Zhou_2021,nan,0
Wu_Zhou_2021,normal,0
Wu_Zhou_2021,normal_adjacent,0
Wu_Zhou_2021,tumor_metastasis,0
Wu_Zhou_2021,tumor_primary,58981
Zilionis_Klein_2019,nan,0
Zilionis_Klein_2019,normal,0
Zilionis_Klein_2019,normal_adjacent,0
Zilionis_Klein_2019,tumor_metastasis,0
Zilionis_Klein_2019,tumor_primary,25652
