	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Chen_Zhang_2020_NSCLC-10	Guo_Zhang_2018_P0617_TTC	Guo_Zhang_2018_P0617_TTH	Guo_Zhang_2018_P0617_TTR	Guo_Zhang_2018_P0729_TTC	Guo_Zhang_2018_P0729_TTH	Guo_Zhang_2018_P0913_TTC	Guo_Zhang_2018_P0913_TTH	Guo_Zhang_2018_P0913_TTR	Guo_Zhang_2018_P0913_TTY	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Leader_Merad_2021_315	Leader_Merad_2021_320	Leader_Merad_2021_338	Maynard_Bivona_2020_LT_S74	UKIM-V-2_P7_tumor_primary	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2
Alveolar cell type 1	0	1	53	0	56	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0
Alveolar cell type 2	2	6	350	27	587	0	0	0	0	0	0	0	0	0	168	72	18	3	3	7	12	0	0	2	69	5	4	2	2	0	0	0	1	99	1	51	212	8	0	0	282	4	1	0	0	0	3	0	0	2	0	1	0	0	0	0	1	0	0	0	4	3	3	319	0	0	19	173	0	0	0	0	0	24	28
B cell	295	1572	147	0	1128	0	0	0	0	0	0	0	0	0	241	22	225	146	92	167	685	110	156	197	137	32	69	129	451	0	2	0	0	2	8	112	57	0	1	6	51	139	0	0	0	0	1	12	0	1	1	1	5	0	19	0	2	0	0	0	24	0	0	5	2	0	8	20	50	0	7	14	7	39	37
B cell dividing	4	42	0	0	5	0	0	0	0	0	0	0	0	0	3	0	2	0	0	11	17	4	2	1	0	0	0	0	6	0	1	0	0	0	0	0	0	0	1	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
Ciliated	1	4	61	0	5	0	0	0	0	0	0	0	0	0	6	13	12	6	5	0	2	0	1	8	0	0	21	1	3	6	1	2	1	8	293	5	0	0	0	0	0	0	54	1	0	0	116	73	1	0	0	9	0	0	1	0	0	0	12	0	20	1	0	2	0	0	4	1	168	35	0	0	0	0	0
Club	0	3	1	0	21	0	0	0	0	0	0	0	0	0	5	2	0	0	1	4	0	1	2	2	3	0	4	1	0	3	0	0	2	7	114	3	0	9	1	0	0	0	20	12	0	0	43	10	0	4	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	20	2	0	0	0	0	0
DC mature	1	5	31	0	20	0	0	0	0	0	0	0	0	0	0	6	1	2	0	0	0	0	1	4	1	2	2	2	2	3	0	1	1	1	1	22	4	8	4	1	3	24	0	0	0	0	1	4	0	2	1	1	2	0	1	2	0	0	0	0	1	0	0	1	1	10	0	3	1	3	0	0	0	3	6
Endothelial cell arterial	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	10	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endothelial cell capillary	0	0	1	0	10	0	0	0	0	0	0	0	0	0	3	3	2	2	0	0	0	0	0	1	15	4	3	0	0	3	0	0	2	0	0	0	0	15	2	0	1	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Endothelial cell lymphatic	0	1	4	0	0	0	0	0	0	0	0	0	0	0	9	36	3	3	1	0	1	0	0	1	0	0	1	0	3	1	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
