Level_2_cancer,sample,0
Airway epithelium_Normal,P4_normal_adjacent_UKIM-V-2,56
Airway epithelium_Normal,P4_tumor_primary_UKIM-V-2,18
Airway epithelium_Normal,P5_normal_adjacent_UKIM-V-2,54
Airway epithelium_Normal,P5_tumor_primary_UKIM-V-2,33
Airway epithelium_Normal,P6_normal_adjacent_UKIM-V-2,22
Airway epithelium_Normal,P6_tumor_primary_UKIM-V-2,45
Airway epithelium_Normal,P7_normal_adjacent_UKIM-V-2,114
Airway epithelium_Normal,P7_tumor_primary_UKIM-V-2,98
Airway epithelium_Normal,P8_normal_adjacent_UKIM-V-2,73
Airway epithelium_Normal,P8_tumor_primary_UKIM-V-2,14
Airway epithelium_Normal,P9_normal_adjacent_UKIM-V-2,7
Airway epithelium_Normal,P9_tumor_primary_UKIM-V-2,11
Airway epithelium_Normal,P10_normal_adjacent_UKIM-V-2,315
Airway epithelium_Normal,P10_tumor_primary_UKIM-V-2,94
Airway epithelium_Normal,P11_normal_adjacent_UKIM-V-2,49
Airway epithelium_Normal,P11_tumor_primary_UKIM-V-2,540
Airway epithelium_Normal,P12_normal_adjacent_UKIM-V-2,81
Airway epithelium_Normal,P12_tumor_primary_UKIM-V-2,4
Airway epithelium_Normal,P13_normal_adjacent_UKIM-V-2,57
Airway epithelium_Normal,P13_tumor_primary_UKIM-V-2,45
Airway epithelium_Normal,P14_normal_adjacent_UKIM-V-2,103
Airway epithelium_Normal,P14_tumor_primary_UKIM-V-2,318
Airway epithelium_Normal,P15_normal_adjacent_UKIM-V-2,68
Airway epithelium_Normal,P15_tumor_primary_UKIM-V-2,18
Airway epithelium_Normal,P16_normal_adjacent_UKIM-V-2,101
Airway epithelium_Normal,P16_tumor_primary_UKIM-V-2,454
Airway epithelium_Normal,P17_normal_adjacent_UKIM-V-2,16
Airway epithelium_Normal,P17_tumor_primary_UKIM-V-2,20
Airway epithelium_Tumor,P4_normal_adjacent_UKIM-V-2,0
Airway epithelium_Tumor,P4_tumor_primary_UKIM-V-2,2
Airway epithelium_Tumor,P5_normal_adjacent_UKIM-V-2,3
Airway epithelium_Tumor,P5_tumor_primary_UKIM-V-2,2
Airway epithelium_Tumor,P6_normal_adjacent_UKIM-V-2,5
Airway epithelium_Tumor,P6_tumor_primary_UKIM-V-2,165
Airway epithelium_Tumor,P7_normal_adjacent_UKIM-V-2,1
Airway epithelium_Tumor,P7_tumor_primary_UKIM-V-2,1
Airway epithelium_Tumor,P8_normal_adjacent_UKIM-V-2,3
Airway epithelium_Tumor,P8_tumor_primary_UKIM-V-2,45
Airway epithelium_Tumor,P9_normal_adjacent_UKIM-V-2,2
Airway epithelium_Tumor,P9_tumor_primary_UKIM-V-2,2
Airway epithelium_Tumor,P10_normal_adjacent_UKIM-V-2,0
Airway epithelium_Tumor,P10_tumor_primary_UKIM-V-2,1
Airway epithelium_Tumor,P11_normal_adjacent_UKIM-V-2,0
Airway epithelium_Tumor,P11_tumor_primary_UKIM-V-2,0
Airway epithelium_Tumor,P12_normal_adjacent_UKIM-V-2,5
Airway epithelium_Tumor,P12_tumor_primary_UKIM-V-2,446
Airway epithelium_Tumor,P13_normal_adjacent_UKIM-V-2,5
Airway epithelium_Tumor,P13_tumor_primary_UKIM-V-2,1
Airway epithelium_Tumor,P14_normal_adjacent_UKIM-V-2,1
Airway epithelium_Tumor,P14_tumor_primary_UKIM-V-2,2
Airway epithelium_Tumor,P15_normal_adjacent_UKIM-V-2,3
Airway epithelium_Tumor,P15_tumor_primary_UKIM-V-2,14
Airway epithelium_Tumor,P16_normal_adjacent_UKIM-V-2,4
Airway epithelium_Tumor,P16_tumor_primary_UKIM-V-2,2
Airway epithelium_Tumor,P17_normal_adjacent_UKIM-V-2,0
Airway epithelium_Tumor,P17_tumor_primary_UKIM-V-2,35
Alveolar epithelium_Normal,P4_normal_adjacent_UKIM-V-2,25
Alveolar epithelium_Normal,P4_tumor_primary_UKIM-V-2,96
Alveolar epithelium_Normal,P5_normal_adjacent_UKIM-V-2,30
Alveolar epithelium_Normal,P5_tumor_primary_UKIM-V-2,8
Alveolar epithelium_Normal,P6_normal_adjacent_UKIM-V-2,7
Alveolar epithelium_Normal,P6_tumor_primary_UKIM-V-2,6
Alveolar epithelium_Normal,P7_normal_adjacent_UKIM-V-2,20
Alveolar epithelium_Normal,P7_tumor_primary_UKIM-V-2,108
Alveolar epithelium_Normal,P8_normal_adjacent_UKIM-V-2,69
Alveolar epithelium_Normal,P8_tumor_primary_UKIM-V-2,3
Alveolar epithelium_Normal,P9_normal_adjacent_UKIM-V-2,228
Alveolar epithelium_Normal,P9_tumor_primary_UKIM-V-2,742
Alveolar epithelium_Normal,P10_normal_adjacent_UKIM-V-2,56
Alveolar epithelium_Normal,P10_tumor_primary_UKIM-V-2,431
Alveolar epithelium_Normal,P11_normal_adjacent_UKIM-V-2,39
Alveolar epithelium_Normal,P11_tumor_primary_UKIM-V-2,23
Alveolar epithelium_Normal,P12_normal_adjacent_UKIM-V-2,3
Alveolar epithelium_Normal,P12_tumor_primary_UKIM-V-2,0
Alveolar epithelium_Normal,P13_normal_adjacent_UKIM-V-2,16
Alveolar epithelium_Normal,P13_tumor_primary_UKIM-V-2,73
Alveolar epithelium_Normal,P14_normal_adjacent_UKIM-V-2,42
Alveolar epithelium_Normal,P14_tumor_primary_UKIM-V-2,173
Alveolar epithelium_Normal,P15_normal_adjacent_UKIM-V-2,37
Alveolar epithelium_Normal,P15_tumor_primary_UKIM-V-2,269
Alveolar epithelium_Normal,P16_normal_adjacent_UKIM-V-2,22
Alveolar epithelium_Normal,P16_tumor_primary_UKIM-V-2,104
Alveolar epithelium_Normal,P17_normal_adjacent_UKIM-V-2,4
Alveolar epithelium_Normal,P17_tumor_primary_UKIM-V-2,2
Alveolar epithelium_Tumor,P4_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P4_tumor_primary_UKIM-V-2,1
Alveolar epithelium_Tumor,P5_normal_adjacent_UKIM-V-2,1
Alveolar epithelium_Tumor,P5_tumor_primary_UKIM-V-2,4
Alveolar epithelium_Tumor,P6_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P6_tumor_primary_UKIM-V-2,1
Alveolar epithelium_Tumor,P7_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P7_tumor_primary_UKIM-V-2,0
Alveolar epithelium_Tumor,P8_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P8_tumor_primary_UKIM-V-2,0
Alveolar epithelium_Tumor,P9_normal_adjacent_UKIM-V-2,8
Alveolar epithelium_Tumor,P9_tumor_primary_UKIM-V-2,30
Alveolar epithelium_Tumor,P10_normal_adjacent_UKIM-V-2,2
Alveolar epithelium_Tumor,P10_tumor_primary_UKIM-V-2,11
Alveolar epithelium_Tumor,P11_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P11_tumor_primary_UKIM-V-2,2
Alveolar epithelium_Tumor,P12_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P12_tumor_primary_UKIM-V-2,0
Alveolar epithelium_Tumor,P13_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P13_tumor_primary_UKIM-V-2,2
Alveolar epithelium_Tumor,P14_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P14_tumor_primary_UKIM-V-2,2
Alveolar epithelium_Tumor,P15_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P15_tumor_primary_UKIM-V-2,187
Alveolar epithelium_Tumor,P16_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P16_tumor_primary_UKIM-V-2,0
Alveolar epithelium_Tumor,P17_normal_adjacent_UKIM-V-2,0
Alveolar epithelium_Tumor,P17_tumor_primary_UKIM-V-2,0
Blood vessels_Normal,P4_normal_adjacent_UKIM-V-2,12
Blood vessels_Normal,P4_tumor_primary_UKIM-V-2,4
Blood vessels_Normal,P5_normal_adjacent_UKIM-V-2,23
Blood vessels_Normal,P5_tumor_primary_UKIM-V-2,4
Blood vessels_Normal,P6_normal_adjacent_UKIM-V-2,12
Blood vessels_Normal,P6_tumor_primary_UKIM-V-2,17
Blood vessels_Normal,P7_normal_adjacent_UKIM-V-2,21
Blood vessels_Normal,P7_tumor_primary_UKIM-V-2,4
Blood vessels_Normal,P8_normal_adjacent_UKIM-V-2,24
Blood vessels_Normal,P8_tumor_primary_UKIM-V-2,2
Blood vessels_Normal,P9_normal_adjacent_UKIM-V-2,12
Blood vessels_Normal,P9_tumor_primary_UKIM-V-2,19
Blood vessels_Normal,P10_normal_adjacent_UKIM-V-2,61
Blood vessels_Normal,P10_tumor_primary_UKIM-V-2,31
Blood vessels_Normal,P11_normal_adjacent_UKIM-V-2,19
Blood vessels_Normal,P11_tumor_primary_UKIM-V-2,1
Blood vessels_Normal,P12_normal_adjacent_UKIM-V-2,23
Blood vessels_Normal,P12_tumor_primary_UKIM-V-2,4
Blood vessels_Normal,P13_normal_adjacent_UKIM-V-2,20
Blood vessels_Normal,P13_tumor_primary_UKIM-V-2,14
Blood vessels_Normal,P14_normal_adjacent_UKIM-V-2,35
Blood vessels_Normal,P14_tumor_primary_UKIM-V-2,31
Blood vessels_Normal,P15_normal_adjacent_UKIM-V-2,46
Blood vessels_Normal,P15_tumor_primary_UKIM-V-2,13
Blood vessels_Normal,P16_normal_adjacent_UKIM-V-2,57
Blood vessels_Normal,P16_tumor_primary_UKIM-V-2,4
Blood vessels_Normal,P17_normal_adjacent_UKIM-V-2,13
Blood vessels_Normal,P17_tumor_primary_UKIM-V-2,5
Blood vessels_Tumor,P4_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P4_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P5_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P5_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P6_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P6_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P7_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P7_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P8_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P8_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P9_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P9_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P10_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P10_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P11_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P11_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P12_normal_adjacent_UKIM-V-2,1
Blood vessels_Tumor,P12_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P13_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P13_tumor_primary_UKIM-V-2,1
Blood vessels_Tumor,P14_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P14_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P15_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P15_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P16_normal_adjacent_UKIM-V-2,1
Blood vessels_Tumor,P16_tumor_primary_UKIM-V-2,0
Blood vessels_Tumor,P17_normal_adjacent_UKIM-V-2,0
Blood vessels_Tumor,P17_tumor_primary_UKIM-V-2,0
Fibroblast lineage_Normal,P4_normal_adjacent_UKIM-V-2,1
Fibroblast lineage_Normal,P4_tumor_primary_UKIM-V-2,6
Fibroblast lineage_Normal,P5_normal_adjacent_UKIM-V-2,3
Fibroblast lineage_Normal,P5_tumor_primary_UKIM-V-2,2
Fibroblast lineage_Normal,P6_normal_adjacent_UKIM-V-2,2
Fibroblast lineage_Normal,P6_tumor_primary_UKIM-V-2,19
Fibroblast lineage_Normal,P7_normal_adjacent_UKIM-V-2,5
Fibroblast lineage_Normal,P7_tumor_primary_UKIM-V-2,2
Fibroblast lineage_Normal,P8_normal_adjacent_UKIM-V-2,2
Fibroblast lineage_Normal,P8_tumor_primary_UKIM-V-2,0
Fibroblast lineage_Normal,P9_normal_adjacent_UKIM-V-2,10
Fibroblast lineage_Normal,P9_tumor_primary_UKIM-V-2,26
Fibroblast lineage_Normal,P10_normal_adjacent_UKIM-V-2,6
Fibroblast lineage_Normal,P10_tumor_primary_UKIM-V-2,10
Fibroblast lineage_Normal,P11_normal_adjacent_UKIM-V-2,1
Fibroblast lineage_Normal,P11_tumor_primary_UKIM-V-2,5
Fibroblast lineage_Normal,P12_normal_adjacent_UKIM-V-2,11
Fibroblast lineage_Normal,P12_tumor_primary_UKIM-V-2,19
Fibroblast lineage_Normal,P13_normal_adjacent_UKIM-V-2,7
Fibroblast lineage_Normal,P13_tumor_primary_UKIM-V-2,6
Fibroblast lineage_Normal,P14_normal_adjacent_UKIM-V-2,4
Fibroblast lineage_Normal,P14_tumor_primary_UKIM-V-2,9
Fibroblast lineage_Normal,P15_normal_adjacent_UKIM-V-2,6
Fibroblast lineage_Normal,P15_tumor_primary_UKIM-V-2,42
Fibroblast lineage_Normal,P16_normal_adjacent_UKIM-V-2,11
Fibroblast lineage_Normal,P16_tumor_primary_UKIM-V-2,2
Fibroblast lineage_Normal,P17_normal_adjacent_UKIM-V-2,4
Fibroblast lineage_Normal,P17_tumor_primary_UKIM-V-2,37
Lymphatic EC_Normal,P4_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Normal,P4_tumor_primary_UKIM-V-2,0
Lymphatic EC_Normal,P5_normal_adjacent_UKIM-V-2,1
Lymphatic EC_Normal,P5_tumor_primary_UKIM-V-2,0
Lymphatic EC_Normal,P6_normal_adjacent_UKIM-V-2,5
Lymphatic EC_Normal,P6_tumor_primary_UKIM-V-2,0
Lymphatic EC_Normal,P7_normal_adjacent_UKIM-V-2,7
Lymphatic EC_Normal,P7_tumor_primary_UKIM-V-2,1
Lymphatic EC_Normal,P8_normal_adjacent_UKIM-V-2,1
Lymphatic EC_Normal,P8_tumor_primary_UKIM-V-2,0
Lymphatic EC_Normal,P9_normal_adjacent_UKIM-V-2,6
Lymphatic EC_Normal,P9_tumor_primary_UKIM-V-2,1
Lymphatic EC_Normal,P10_normal_adjacent_UKIM-V-2,3
Lymphatic EC_Normal,P10_tumor_primary_UKIM-V-2,1
Lymphatic EC_Normal,P11_normal_adjacent_UKIM-V-2,1
Lymphatic EC_Normal,P11_tumor_primary_UKIM-V-2,0
Lymphatic EC_Normal,P12_normal_adjacent_UKIM-V-2,8
Lymphatic EC_Normal,P12_tumor_primary_UKIM-V-2,3
Lymphatic EC_Normal,P13_normal_adjacent_UKIM-V-2,6
Lymphatic EC_Normal,P13_tumor_primary_UKIM-V-2,0
Lymphatic EC_Normal,P14_normal_adjacent_UKIM-V-2,8
Lymphatic EC_Normal,P14_tumor_primary_UKIM-V-2,5
Lymphatic EC_Normal,P15_normal_adjacent_UKIM-V-2,10
Lymphatic EC_Normal,P15_tumor_primary_UKIM-V-2,1
Lymphatic EC_Normal,P16_normal_adjacent_UKIM-V-2,7
Lymphatic EC_Normal,P16_tumor_primary_UKIM-V-2,2
Lymphatic EC_Normal,P17_normal_adjacent_UKIM-V-2,5
Lymphatic EC_Normal,P17_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P4_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P4_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P5_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P5_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P6_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P6_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P7_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P7_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P8_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P8_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P9_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P9_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P10_normal_adjacent_UKIM-V-2,1
Lymphatic EC_Tumor,P10_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P11_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P11_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P12_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P12_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P13_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P13_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P14_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P14_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P15_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P15_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P16_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P16_tumor_primary_UKIM-V-2,0
Lymphatic EC_Tumor,P17_normal_adjacent_UKIM-V-2,0
Lymphatic EC_Tumor,P17_tumor_primary_UKIM-V-2,0
Lymphoid_Normal,P4_normal_adjacent_UKIM-V-2,606
Lymphoid_Normal,P4_tumor_primary_UKIM-V-2,1232
Lymphoid_Normal,P5_normal_adjacent_UKIM-V-2,1977
Lymphoid_Normal,P5_tumor_primary_UKIM-V-2,1704
Lymphoid_Normal,P6_normal_adjacent_UKIM-V-2,1703
Lymphoid_Normal,P6_tumor_primary_UKIM-V-2,1294
Lymphoid_Normal,P7_normal_adjacent_UKIM-V-2,2336
Lymphoid_Normal,P7_tumor_primary_UKIM-V-2,1512
Lymphoid_Normal,P8_normal_adjacent_UKIM-V-2,824
Lymphoid_Normal,P8_tumor_primary_UKIM-V-2,290
Lymphoid_Normal,P9_normal_adjacent_UKIM-V-2,1382
Lymphoid_Normal,P9_tumor_primary_UKIM-V-2,3989
Lymphoid_Normal,P10_normal_adjacent_UKIM-V-2,3927
Lymphoid_Normal,P10_tumor_primary_UKIM-V-2,3925
Lymphoid_Normal,P11_normal_adjacent_UKIM-V-2,3059
Lymphoid_Normal,P11_tumor_primary_UKIM-V-2,3216
