cell_type_tumor,sample,0
Alveolar cell type 1,Chen_Zhang_2020_NSCLC-1,0
Alveolar cell type 1,Chen_Zhang_2020_NSCLC-2,0
Alveolar cell type 1,Chen_Zhang_2020_NSCLC-3,0
Alveolar cell type 1,Chen_Zhang_2020_NSCLC-6,45
Alveolar cell type 1,Chen_Zhang_2020_NSCLC-7,0
Alveolar cell type 1,Chen_Zhang_2020_NSCLC-11,3
Alveolar cell type 1,Goveia_Carmeliet_2020_patient_32_tumor_primary,12
Alveolar cell type 1,Goveia_Carmeliet_2020_patient_40_tumor_primary,6
Alveolar cell type 1,Goveia_Carmeliet_2020_patient_41_tumor_primary,12
Alveolar cell type 1,Goveia_Carmeliet_2020_patient_42_tumor_primary,0
Alveolar cell type 1,Goveia_Carmeliet_2020_patient_45_tumor_primary,0
Alveolar cell type 1,Goveia_Carmeliet_2020_patient_46_tumor_primary,3
Alveolar cell type 1,Goveia_Carmeliet_2020_patient_50_tumor_primary,1
Alveolar cell type 1,Guo_Zhang_2018_P0616A_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P0616A_TTH,0
Alveolar cell type 1,Guo_Zhang_2018_P0616A_TTR,0
Alveolar cell type 1,Guo_Zhang_2018_P0616A_TTY,0
Alveolar cell type 1,Guo_Zhang_2018_P0616P_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P0616P_TTH,0
Alveolar cell type 1,Guo_Zhang_2018_P0706_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P0706_TTH,0
Alveolar cell type 1,Guo_Zhang_2018_P0706_TTR,0
Alveolar cell type 1,Guo_Zhang_2018_P0706_TTY,0
Alveolar cell type 1,Guo_Zhang_2018_P1010_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P1010_TTH,0
Alveolar cell type 1,Guo_Zhang_2018_P1010_TTR,0
Alveolar cell type 1,Guo_Zhang_2018_P1010_TTY,0
Alveolar cell type 1,Guo_Zhang_2018_P1118_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P1118_TTH,0
Alveolar cell type 1,Guo_Zhang_2018_P1120_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P1120_TTH,0
Alveolar cell type 1,Guo_Zhang_2018_P1120_TTR,0
Alveolar cell type 1,Guo_Zhang_2018_P1120_TTY,0
Alveolar cell type 1,Guo_Zhang_2018_P1202_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P1202_TTH,0
Alveolar cell type 1,Guo_Zhang_2018_P1202_TTR,0
Alveolar cell type 1,Guo_Zhang_2018_P1202_TTY,0
Alveolar cell type 1,Guo_Zhang_2018_P1208_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P1208_TTH,0
Alveolar cell type 1,Guo_Zhang_2018_P1219_TTC,0
Alveolar cell type 1,Guo_Zhang_2018_P1219_TTH,0
