,cell_type_tumor,sample,0
0,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-4,0
1,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-5,1
2,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-8,53
3,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-9,0
4,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-10,56
5,Alveolar cell type 1,Kim_Lee_2020_BRONCHO_58,0
6,Alveolar cell type 1,Kim_Lee_2020_EBUS_06,0
7,Alveolar cell type 1,Kim_Lee_2020_EBUS_28,0
8,Alveolar cell type 1,Kim_Lee_2020_EBUS_49,0
9,Alveolar cell type 1,Kim_Lee_2020_LUNG_T28,2
10,Alveolar cell type 1,Kim_Lee_2020_LUNG_T31,4
11,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1290,0
12,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1291,0
13,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1292,0
14,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1430m,0
15,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1431m,0
16,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1432m,0
17,Alveolar cell type 1,Laughney_Massague_2020_GSM3516665,1
18,Alveolar cell type 1,Maynard_Bivona_2020_LT_S01,0
19,Alveolar cell type 1,Maynard_Bivona_2020_LT_S11,0
20,Alveolar cell type 1,Maynard_Bivona_2020_LT_S42,0
21,Alveolar cell type 1,Maynard_Bivona_2020_LT_S52,1
22,Alveolar cell type 1,Maynard_Bivona_2020_LT_S56,0
23,Alveolar cell type 1,Maynard_Bivona_2020_LT_S57,70
24,Alveolar cell type 1,Maynard_Bivona_2020_LT_S58,0
25,Alveolar cell type 1,Maynard_Bivona_2020_LT_S67,0
26,Alveolar cell type 1,Maynard_Bivona_2020_LT_S71,11
27,Alveolar cell type 1,Maynard_Bivona_2020_LT_S74,0
28,Alveolar cell type 1,Maynard_Bivona_2020_LT_S79,1
29,Alveolar cell type 1,Maynard_Bivona_2020_LT_S82,1
30,Alveolar cell type 1,UKIM-V-2_P7_tumor_primary,0
31,Alveolar cell type 1,UKIM-V-2_P11_tumor_primary,1
32,Alveolar cell type 1,UKIM-V-2_P12_tumor_primary,1
33,Alveolar cell type 1,UKIM-V-2_P15_tumor_primary,2
34,Alveolar cell type 1,Wu_Zhou_2021_GSM4453576,0
35,Alveolar cell type 1,Wu_Zhou_2021_GSM4453577,0
36,Alveolar cell type 1,Wu_Zhou_2021_GSM4453578,0
37,Alveolar cell type 1,Wu_Zhou_2021_GSM4453579,0
38,Alveolar cell type 1,Wu_Zhou_2021_GSM4453580,1
39,Alveolar cell type 1,Wu_Zhou_2021_GSM4453581,0
40,Alveolar cell type 1,Wu_Zhou_2021_GSM4453582,0
41,Alveolar cell type 1,Wu_Zhou_2021_GSM4453583,1
42,Alveolar cell type 1,Wu_Zhou_2021_GSM4453584,2
43,Alveolar cell type 1,Wu_Zhou_2021_GSM4453585,0
44,Alveolar cell type 1,Wu_Zhou_2021_GSM4453586,0
45,Alveolar cell type 1,Wu_Zhou_2021_GSM4453587,0
46,Alveolar cell type 1,Wu_Zhou_2021_GSM4453588,0
47,Alveolar cell type 1,Wu_Zhou_2021_GSM4453589,0
48,Alveolar cell type 1,Wu_Zhou_2021_GSM4453590,0
49,Alveolar cell type 1,Wu_Zhou_2021_GSM4453591,0
50,Alveolar cell type 1,Wu_Zhou_2021_GSM4453592,0
51,Alveolar cell type 1,Wu_Zhou_2021_GSM4453593,0
52,Alveolar cell type 1,Wu_Zhou_2021_GSM4453594,0
53,Alveolar cell type 1,Wu_Zhou_2021_GSM4453595,0
54,Alveolar cell type 1,Wu_Zhou_2021_GSM4453596,0
55,Alveolar cell type 1,Wu_Zhou_2021_GSM4453597,0
56,Alveolar cell type 1,Wu_Zhou_2021_GSM4453598,0
57,Alveolar cell type 1,Wu_Zhou_2021_GSM4453599,1
58,Alveolar cell type 1,Wu_Zhou_2021_GSM4453600,0
59,Alveolar cell type 1,Wu_Zhou_2021_GSM4453601,0
60,Alveolar cell type 1,Wu_Zhou_2021_GSM4453602,0
