,cell_type_adjusted,sample,0,dataset
0,0,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
1,1,Chen_Zhang_2020_NSCLC-1,2,Chen_Zhang_2020
2,10,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
3,11,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
4,12,Chen_Zhang_2020_NSCLC-1,5,Chen_Zhang_2020
5,13,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
6,14,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
7,15,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
8,16,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
9,2,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
10,3,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
11,4,Chen_Zhang_2020_NSCLC-1,8,Chen_Zhang_2020
12,5,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
13,6,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
14,7,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
15,8,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
16,9,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
17,B cell,Chen_Zhang_2020_NSCLC-1,771,Chen_Zhang_2020
18,B cell dividing,Chen_Zhang_2020_NSCLC-1,1,Chen_Zhang_2020
19,DC mature,Chen_Zhang_2020_NSCLC-1,1,Chen_Zhang_2020
20,Endothelial cell arterial,Chen_Zhang_2020_NSCLC-1,17,Chen_Zhang_2020
21,Endothelial cell capillary,Chen_Zhang_2020_NSCLC-1,80,Chen_Zhang_2020
22,Endothelial cell lymphatic,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
23,Endothelial cell venous,Chen_Zhang_2020_NSCLC-1,90,Chen_Zhang_2020
24,Fibroblast adventitial,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
25,Fibroblast alveolar,Chen_Zhang_2020_NSCLC-1,6,Chen_Zhang_2020
26,Fibroblast peribronchial,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
27,Macrophage,Chen_Zhang_2020_NSCLC-1,27,Chen_Zhang_2020
28,Macrophage alveolar,Chen_Zhang_2020_NSCLC-1,2,Chen_Zhang_2020
29,Mast cell,Chen_Zhang_2020_NSCLC-1,10,Chen_Zhang_2020
30,Mesothelial,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
31,Monocyte classical,Chen_Zhang_2020_NSCLC-1,14,Chen_Zhang_2020
32,Monocyte non-classical,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
33,NK cell,Chen_Zhang_2020_NSCLC-1,48,Chen_Zhang_2020
34,NK cell dividing,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
35,Neutrophils,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
36,Pericyte,Chen_Zhang_2020_NSCLC-1,3,Chen_Zhang_2020
37,Plasma cell,Chen_Zhang_2020_NSCLC-1,74,Chen_Zhang_2020
38,Plasma cell dividing,Chen_Zhang_2020_NSCLC-1,1,Chen_Zhang_2020
39,Smooth muscle cell,Chen_Zhang_2020_NSCLC-1,3,Chen_Zhang_2020
40,T cell CD4,Chen_Zhang_2020_NSCLC-1,290,Chen_Zhang_2020
41,T cell CD4 dividing,Chen_Zhang_2020_NSCLC-1,4,Chen_Zhang_2020
42,T cell CD8 activated,Chen_Zhang_2020_NSCLC-1,2,Chen_Zhang_2020
43,T cell CD8 dividing,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
44,T cell CD8 effector memory,Chen_Zhang_2020_NSCLC-1,81,Chen_Zhang_2020
45,T cell CD8 naive,Chen_Zhang_2020_NSCLC-1,125,Chen_Zhang_2020
46,T cell CD8 terminally exhausted,Chen_Zhang_2020_NSCLC-1,1,Chen_Zhang_2020
47,T cell NK-like,Chen_Zhang_2020_NSCLC-1,46,Chen_Zhang_2020
48,T cell regulatory,Chen_Zhang_2020_NSCLC-1,90,Chen_Zhang_2020
49,cDC1,Chen_Zhang_2020_NSCLC-1,4,Chen_Zhang_2020
50,cDC2,Chen_Zhang_2020_NSCLC-1,7,Chen_Zhang_2020
51,myeloid dividing,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
52,pDC,Chen_Zhang_2020_NSCLC-1,5,Chen_Zhang_2020
