,cell_type_adjusted,sample,0,dataset
0,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
1,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-2,0,Chen_Zhang_2020
2,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-3,0,Chen_Zhang_2020
3,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-6,45,Chen_Zhang_2020
4,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-7,0,Chen_Zhang_2020
5,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-11,3,Chen_Zhang_2020
6,Alveolar cell type 1,He_Fan_2021_LUAD1,7,He_Fan_2021
7,Alveolar cell type 1,He_Fan_2021_LUAD2,20,He_Fan_2021
8,Alveolar cell type 1,He_Fan_2021_LUAD3,10,He_Fan_2021
9,Alveolar cell type 1,He_Fan_2021_LUAD4,18,He_Fan_2021
10,Alveolar cell type 1,He_Fan_2021_LUAD5,1,He_Fan_2021
11,Alveolar cell type 1,Kim_Lee_2020_LUNG_T06,6,Kim_Lee_2020
12,Alveolar cell type 1,Kim_Lee_2020_LUNG_T08,0,Kim_Lee_2020
13,Alveolar cell type 1,Kim_Lee_2020_LUNG_T09,1,Kim_Lee_2020
14,Alveolar cell type 1,Kim_Lee_2020_LUNG_T18,0,Kim_Lee_2020
15,Alveolar cell type 1,Kim_Lee_2020_LUNG_T19,10,Kim_Lee_2020
16,Alveolar cell type 1,Kim_Lee_2020_LUNG_T20,0,Kim_Lee_2020
17,Alveolar cell type 1,Kim_Lee_2020_LUNG_T25,3,Kim_Lee_2020
18,Alveolar cell type 1,Kim_Lee_2020_LUNG_T30,20,Kim_Lee_2020
19,Alveolar cell type 1,Kim_Lee_2020_LUNG_T34,14,Kim_Lee_2020
20,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1A,0,Lambrechts_Thienpont_2018_6149v1
21,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1B,0,Lambrechts_Thienpont_2018_6149v1
22,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1C,1,Lambrechts_Thienpont_2018_6149v1
23,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT2A,1,Lambrechts_Thienpont_2018_6149v1
24,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT2B,4,Lambrechts_Thienpont_2018_6149v1
25,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v1_BT1249,0,Lambrechts_Thienpont_2018_6149v1
26,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1295,2,Lambrechts_Thienpont_2018_6149v2
27,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1296,1,Lambrechts_Thienpont_2018_6149v2
28,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1297,28,Lambrechts_Thienpont_2018_6149v2
29,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1298,0,Lambrechts_Thienpont_2018_6149v2
30,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1299,5,Lambrechts_Thienpont_2018_6149v2
31,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1300,0,Lambrechts_Thienpont_2018_6149v2
32,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1375,0,Lambrechts_Thienpont_2018_6653
33,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1376,0,Lambrechts_Thienpont_2018_6653
34,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_BT1377,0,Lambrechts_Thienpont_2018_6653
35,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,19,Lambrechts_Thienpont_2018_6653
36,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,11,Lambrechts_Thienpont_2018_6653
37,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,7,Lambrechts_Thienpont_2018_6653
38,Alveolar cell type 1,Laughney_Massague_2020_GSM3516662,0,Laughney_Massague_2020
39,Alveolar cell type 1,Laughney_Massague_2020_GSM3516663,0,Laughney_Massague_2020
40,Alveolar cell type 1,Laughney_Massague_2020_GSM3516667,0,Laughney_Massague_2020
41,Alveolar cell type 1,Laughney_Massague_2020_GSM3516669,0,Laughney_Massague_2020
42,Alveolar cell type 1,Laughney_Massague_2020_GSM3516670,0,Laughney_Massague_2020
43,Alveolar cell type 1,Laughney_Massague_2020_GSM3516672,0,Laughney_Massague_2020
44,Alveolar cell type 1,Laughney_Massague_2020_GSM3516674,1,Laughney_Massague_2020
45,Alveolar cell type 1,Maynard_Bivona_2020_LT_S66,2,Maynard_Bivona_2020
46,Alveolar cell type 1,UKIM-V-2_P4_tumor_primary,0,UKIM-V-2
47,Alveolar cell type 1,UKIM-V-2_P5_tumor_primary,0,UKIM-V-2
48,Alveolar cell type 1,UKIM-V-2_P6_tumor_primary,1,UKIM-V-2
49,Alveolar cell type 1,UKIM-V-2_P8_tumor_primary,0,UKIM-V-2
50,Alveolar cell type 1,UKIM-V-2_P9_tumor_primary,0,UKIM-V-2
51,Alveolar cell type 1,UKIM-V-2_P10_tumor_primary,5,UKIM-V-2
52,Alveolar cell type 1,UKIM-V-2_P13_tumor_primary,11,UKIM-V-2
53,Alveolar cell type 1,UKIM-V-2_P14_tumor_primary,3,UKIM-V-2
54,Alveolar cell type 1,UKIM-V-2_P16_tumor_primary,5,UKIM-V-2
55,Alveolar cell type 1,UKIM-V-2_P17_tumor_primary,0,UKIM-V-2
56,Alveolar cell type 1,UKIM-V_P1_tumor_primary,2,UKIM-V
57,Alveolar cell type 1,UKIM-V_P2_tumor_primary,2,UKIM-V
58,Alveolar cell type 1,UKIM-V_P3_tumor_primary,6,UKIM-V
59,Alveolar cell type 1,Zilionis_Klein_2019_p1t1,0,Zilionis_Klein_2019
60,Alveolar cell type 1,Zilionis_Klein_2019_p1t2,0,Zilionis_Klein_2019
61,Alveolar cell type 1,Zilionis_Klein_2019_p1t3,0,Zilionis_Klein_2019
62,Alveolar cell type 1,Zilionis_Klein_2019_p1t4,1,Zilionis_Klein_2019
63,Alveolar cell type 1,Zilionis_Klein_2019_p4t1,0,Zilionis_Klein_2019
64,Alveolar cell type 1,Zilionis_Klein_2019_p4t2,1,Zilionis_Klein_2019
65,Alveolar cell type 1,Zilionis_Klein_2019_p4t3,1,Zilionis_Klein_2019
66,Alveolar cell type 1,Zilionis_Klein_2019_p6t1,0,Zilionis_Klein_2019
67,Alveolar cell type 1,Zilionis_Klein_2019_p6t2,0,Zilionis_Klein_2019
68,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
69,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-2,2,Chen_Zhang_2020
70,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-3,1,Chen_Zhang_2020
71,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-6,135,Chen_Zhang_2020
