,cell_type_adjusted,sample,0,dataset
0,B cell,Chen_Zhang_2020_NSCLC-1,771,Chen_Zhang_2020
1,B cell,Chen_Zhang_2020_NSCLC-2,552,Chen_Zhang_2020
2,B cell,Chen_Zhang_2020_NSCLC-3,774,Chen_Zhang_2020
3,B cell,Chen_Zhang_2020_NSCLC-6,119,Chen_Zhang_2020
4,B cell,Chen_Zhang_2020_NSCLC-7,1841,Chen_Zhang_2020
5,B cell,Chen_Zhang_2020_NSCLC-11,246,Chen_Zhang_2020
6,B cell,He_Fan_2021_LUAD1,89,He_Fan_2021
7,B cell,He_Fan_2021_LUAD2,237,He_Fan_2021
8,B cell,He_Fan_2021_LUAD3,44,He_Fan_2021
9,B cell,He_Fan_2021_LUAD4,22,He_Fan_2021
10,B cell,He_Fan_2021_LUAD5,324,He_Fan_2021
11,B cell,Kim_Lee_2020_LUNG_T06,455,Kim_Lee_2020
12,B cell,Kim_Lee_2020_LUNG_T08,702,Kim_Lee_2020
13,B cell,Kim_Lee_2020_LUNG_T09,80,Kim_Lee_2020
14,B cell,Kim_Lee_2020_LUNG_T18,237,Kim_Lee_2020
15,B cell,Kim_Lee_2020_LUNG_T19,361,Kim_Lee_2020
16,B cell,Kim_Lee_2020_LUNG_T20,48,Kim_Lee_2020
17,B cell,Kim_Lee_2020_LUNG_T25,1299,Kim_Lee_2020
18,B cell,Kim_Lee_2020_LUNG_T30,51,Kim_Lee_2020
19,B cell,Kim_Lee_2020_LUNG_T34,19,Kim_Lee_2020
20,B cell,Lambrechts_Thienpont_2018_6149v1_BT1A,4,Lambrechts_Thienpont_2018_6149v1
21,B cell,Lambrechts_Thienpont_2018_6149v1_BT1B,4,Lambrechts_Thienpont_2018_6149v1
22,B cell,Lambrechts_Thienpont_2018_6149v1_BT1C,24,Lambrechts_Thienpont_2018_6149v1
23,B cell,Lambrechts_Thienpont_2018_6149v1_BT2A,16,Lambrechts_Thienpont_2018_6149v1
24,B cell,Lambrechts_Thienpont_2018_6149v1_BT2B,127,Lambrechts_Thienpont_2018_6149v1
25,B cell,Lambrechts_Thienpont_2018_6149v1_BT1249,0,Lambrechts_Thienpont_2018_6149v1
26,B cell,Lambrechts_Thienpont_2018_6149v2_BT1295,80,Lambrechts_Thienpont_2018_6149v2
27,B cell,Lambrechts_Thienpont_2018_6149v2_BT1296,163,Lambrechts_Thienpont_2018_6149v2
28,B cell,Lambrechts_Thienpont_2018_6149v2_BT1297,125,Lambrechts_Thienpont_2018_6149v2
29,B cell,Lambrechts_Thienpont_2018_6149v2_BT1298,195,Lambrechts_Thienpont_2018_6149v2
30,B cell,Lambrechts_Thienpont_2018_6149v2_BT1299,610,Lambrechts_Thienpont_2018_6149v2
31,B cell,Lambrechts_Thienpont_2018_6149v2_BT1300,232,Lambrechts_Thienpont_2018_6149v2
32,B cell,Lambrechts_Thienpont_2018_6653_BT1375,248,Lambrechts_Thienpont_2018_6653
33,B cell,Lambrechts_Thienpont_2018_6653_BT1376,88,Lambrechts_Thienpont_2018_6653
34,B cell,Lambrechts_Thienpont_2018_6653_BT1377,69,Lambrechts_Thienpont_2018_6653
35,B cell,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,34,Lambrechts_Thienpont_2018_6653
36,B cell,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,31,Lambrechts_Thienpont_2018_6653
37,B cell,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,30,Lambrechts_Thienpont_2018_6653
38,B cell,Laughney_Massague_2020_GSM3516662,0,Laughney_Massague_2020
39,B cell,Laughney_Massague_2020_GSM3516663,79,Laughney_Massague_2020
40,B cell,Laughney_Massague_2020_GSM3516667,688,Laughney_Massague_2020
41,B cell,Laughney_Massague_2020_GSM3516669,18,Laughney_Massague_2020
42,B cell,Laughney_Massague_2020_GSM3516670,20,Laughney_Massague_2020
43,B cell,Laughney_Massague_2020_GSM3516672,600,Laughney_Massague_2020
44,B cell,Laughney_Massague_2020_GSM3516674,11,Laughney_Massague_2020
45,B cell,Maynard_Bivona_2020_LT_S66,9,Maynard_Bivona_2020
46,B cell,UKIM-V-2_P4_tumor_primary,69,UKIM-V-2
47,B cell,UKIM-V-2_P5_tumor_primary,236,UKIM-V-2
48,B cell,UKIM-V-2_P6_tumor_primary,66,UKIM-V-2
49,B cell,UKIM-V-2_P8_tumor_primary,4,UKIM-V-2
50,B cell,UKIM-V-2_P9_tumor_primary,138,UKIM-V-2
51,B cell,UKIM-V-2_P10_tumor_primary,350,UKIM-V-2
52,B cell,UKIM-V-2_P13_tumor_primary,28,UKIM-V-2
53,B cell,UKIM-V-2_P14_tumor_primary,610,UKIM-V-2
54,B cell,UKIM-V-2_P16_tumor_primary,103,UKIM-V-2
55,B cell,UKIM-V-2_P17_tumor_primary,266,UKIM-V-2
56,B cell,UKIM-V_P1_tumor_primary,82,UKIM-V
57,B cell,UKIM-V_P2_tumor_primary,93,UKIM-V
58,B cell,UKIM-V_P3_tumor_primary,132,UKIM-V
59,B cell,Zilionis_Klein_2019_p1t1,69,Zilionis_Klein_2019
60,B cell,Zilionis_Klein_2019_p1t2,60,Zilionis_Klein_2019
61,B cell,Zilionis_Klein_2019_p1t3,37,Zilionis_Klein_2019
62,B cell,Zilionis_Klein_2019_p1t4,48,Zilionis_Klein_2019
63,B cell,Zilionis_Klein_2019_p4t1,43,Zilionis_Klein_2019
64,B cell,Zilionis_Klein_2019_p4t2,29,Zilionis_Klein_2019
65,B cell,Zilionis_Klein_2019_p4t3,33,Zilionis_Klein_2019
66,B cell,Zilionis_Klein_2019_p6t1,314,Zilionis_Klein_2019
67,B cell,Zilionis_Klein_2019_p6t2,272,Zilionis_Klein_2019
68,B cell dividing,Chen_Zhang_2020_NSCLC-1,1,Chen_Zhang_2020
69,B cell dividing,Chen_Zhang_2020_NSCLC-2,0,Chen_Zhang_2020
70,B cell dividing,Chen_Zhang_2020_NSCLC-3,0,Chen_Zhang_2020
71,B cell dividing,Chen_Zhang_2020_NSCLC-6,0,Chen_Zhang_2020
72,B cell dividing,Chen_Zhang_2020_NSCLC-7,4,Chen_Zhang_2020
73,B cell dividing,Chen_Zhang_2020_NSCLC-11,0,Chen_Zhang_2020
74,B cell dividing,He_Fan_2021_LUAD1,0,He_Fan_2021
75,B cell dividing,He_Fan_2021_LUAD2,1,He_Fan_2021
76,B cell dividing,He_Fan_2021_LUAD3,1,He_Fan_2021
77,B cell dividing,He_Fan_2021_LUAD4,0,He_Fan_2021
78,B cell dividing,He_Fan_2021_LUAD5,4,He_Fan_2021
79,B cell dividing,Kim_Lee_2020_LUNG_T06,0,Kim_Lee_2020
80,B cell dividing,Kim_Lee_2020_LUNG_T08,2,Kim_Lee_2020
81,B cell dividing,Kim_Lee_2020_LUNG_T09,2,Kim_Lee_2020
82,B cell dividing,Kim_Lee_2020_LUNG_T18,0,Kim_Lee_2020
83,B cell dividing,Kim_Lee_2020_LUNG_T19,3,Kim_Lee_2020
84,B cell dividing,Kim_Lee_2020_LUNG_T20,0,Kim_Lee_2020
85,B cell dividing,Kim_Lee_2020_LUNG_T25,31,Kim_Lee_2020
86,B cell dividing,Kim_Lee_2020_LUNG_T30,0,Kim_Lee_2020
87,B cell dividing,Kim_Lee_2020_LUNG_T34,0,Kim_Lee_2020
88,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1A,0,Lambrechts_Thienpont_2018_6149v1
89,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1B,0,Lambrechts_Thienpont_2018_6149v1
90,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1C,0,Lambrechts_Thienpont_2018_6149v1
91,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT2A,0,Lambrechts_Thienpont_2018_6149v1
92,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT2B,1,Lambrechts_Thienpont_2018_6149v1
93,B cell dividing,Lambrechts_Thienpont_2018_6149v1_BT1249,0,Lambrechts_Thienpont_2018_6149v1
94,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1295,2,Lambrechts_Thienpont_2018_6149v2
95,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1296,0,Lambrechts_Thienpont_2018_6149v2
96,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1297,0,Lambrechts_Thienpont_2018_6149v2
97,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1298,0,Lambrechts_Thienpont_2018_6149v2
98,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1299,1,Lambrechts_Thienpont_2018_6149v2
99,B cell dividing,Lambrechts_Thienpont_2018_6149v2_BT1300,3,Lambrechts_Thienpont_2018_6149v2
100,B cell dividing,Lambrechts_Thienpont_2018_6653_BT1375,0,Lambrechts_Thienpont_2018_6653
101,B cell dividing,Lambrechts_Thienpont_2018_6653_BT1376,0,Lambrechts_Thienpont_2018_6653
102,B cell dividing,Lambrechts_Thienpont_2018_6653_BT1377,0,Lambrechts_Thienpont_2018_6653
103,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,0,Lambrechts_Thienpont_2018_6653
104,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,0,Lambrechts_Thienpont_2018_6653
105,B cell dividing,Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,0,Lambrechts_Thienpont_2018_6653
106,B cell dividing,Laughney_Massague_2020_GSM3516662,0,Laughney_Massague_2020
107,B cell dividing,Laughney_Massague_2020_GSM3516663,0,Laughney_Massague_2020
108,B cell dividing,Laughney_Massague_2020_GSM3516667,0,Laughney_Massague_2020
109,B cell dividing,Laughney_Massague_2020_GSM3516669,0,Laughney_Massague_2020
110,B cell dividing,Laughney_Massague_2020_GSM3516670,0,Laughney_Massague_2020
111,B cell dividing,Laughney_Massague_2020_GSM3516672,6,Laughney_Massague_2020
112,B cell dividing,Laughney_Massague_2020_GSM3516674,0,Laughney_Massague_2020
113,B cell dividing,Maynard_Bivona_2020_LT_S66,0,Maynard_Bivona_2020
114,B cell dividing,UKIM-V-2_P4_tumor_primary,1,UKIM-V-2
115,B cell dividing,UKIM-V-2_P5_tumor_primary,0,UKIM-V-2
116,B cell dividing,UKIM-V-2_P6_tumor_primary,1,UKIM-V-2
117,B cell dividing,UKIM-V-2_P8_tumor_primary,0,UKIM-V-2
118,B cell dividing,UKIM-V-2_P9_tumor_primary,5,UKIM-V-2
119,B cell dividing,UKIM-V-2_P10_tumor_primary,0,UKIM-V-2
120,B cell dividing,UKIM-V-2_P13_tumor_primary,0,UKIM-V-2
121,B cell dividing,UKIM-V-2_P14_tumor_primary,1,UKIM-V-2
122,B cell dividing,UKIM-V-2_P16_tumor_primary,0,UKIM-V-2
123,B cell dividing,UKIM-V-2_P17_tumor_primary,4,UKIM-V-2
124,B cell dividing,UKIM-V_P1_tumor_primary,0,UKIM-V
125,B cell dividing,UKIM-V_P2_tumor_primary,4,UKIM-V
126,B cell dividing,UKIM-V_P3_tumor_primary,0,UKIM-V
127,B cell dividing,Zilionis_Klein_2019_p1t1,0,Zilionis_Klein_2019
128,B cell dividing,Zilionis_Klein_2019_p1t2,0,Zilionis_Klein_2019
129,B cell dividing,Zilionis_Klein_2019_p1t3,0,Zilionis_Klein_2019
130,B cell dividing,Zilionis_Klein_2019_p1t4,0,Zilionis_Klein_2019
131,B cell dividing,Zilionis_Klein_2019_p4t1,0,Zilionis_Klein_2019
132,B cell dividing,Zilionis_Klein_2019_p4t2,0,Zilionis_Klein_2019
133,B cell dividing,Zilionis_Klein_2019_p4t3,0,Zilionis_Klein_2019
134,B cell dividing,Zilionis_Klein_2019_p6t1,2,Zilionis_Klein_2019
135,B cell dividing,Zilionis_Klein_2019_p6t2,0,Zilionis_Klein_2019
136,Ciliated,Chen_Zhang_2020_NSCLC-1,0,Chen_Zhang_2020
137,Ciliated,Chen_Zhang_2020_NSCLC-2,0,Chen_Zhang_2020
138,Ciliated,Chen_Zhang_2020_NSCLC-3,5,Chen_Zhang_2020
139,Ciliated,Chen_Zhang_2020_NSCLC-6,41,Chen_Zhang_2020
140,Ciliated,Chen_Zhang_2020_NSCLC-7,0,Chen_Zhang_2020
141,Ciliated,Chen_Zhang_2020_NSCLC-11,23,Chen_Zhang_2020
142,Ciliated,He_Fan_2021_LUAD1,29,He_Fan_2021
143,Ciliated,He_Fan_2021_LUAD2,67,He_Fan_2021
144,Ciliated,He_Fan_2021_LUAD3,417,He_Fan_2021
145,Ciliated,He_Fan_2021_LUAD4,146,He_Fan_2021
146,Ciliated,He_Fan_2021_LUAD5,222,He_Fan_2021
147,Ciliated,Kim_Lee_2020_LUNG_T06,6,Kim_Lee_2020
148,Ciliated,Kim_Lee_2020_LUNG_T08,0,Kim_Lee_2020
