,cell_type_adjusted,sample,0,dataset
0,AT2,Chen_Zhang_2020_NSCLC-4,2,Chen_Zhang_2020
1,B cell,Chen_Zhang_2020_NSCLC-4,295,Chen_Zhang_2020
2,B cell dividing,Chen_Zhang_2020_NSCLC-4,4,Chen_Zhang_2020
3,Ciliated,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
4,Club/AT2,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
5,DC mature,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
6,Endothelial cell arterial,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
7,Endothelial cell capillary,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
8,Endothelial cell lymphatic,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
9,Endothelial cell venous,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
10,Fibroblast adventitial,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
11,Fibroblast alveolar,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
12,Fibroblast peribronchial,Chen_Zhang_2020_NSCLC-4,11,Chen_Zhang_2020
13,Macrophage,Chen_Zhang_2020_NSCLC-4,43,Chen_Zhang_2020
14,Macrophage alveolar,Chen_Zhang_2020_NSCLC-4,6,Chen_Zhang_2020
15,Mast cell,Chen_Zhang_2020_NSCLC-4,19,Chen_Zhang_2020
16,Mesothelial,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
17,Monocyte classical,Chen_Zhang_2020_NSCLC-4,5,Chen_Zhang_2020
18,Monocyte non-classical,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
19,NK cell,Chen_Zhang_2020_NSCLC-4,208,Chen_Zhang_2020
20,NK cell dividing,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
21,Neutrophils,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
22,Pericyte,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
23,Plasma cell,Chen_Zhang_2020_NSCLC-4,239,Chen_Zhang_2020
24,Plasma cell dividing,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
25,Smooth muscle cell,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
26,T cell CD4,Chen_Zhang_2020_NSCLC-4,1314,Chen_Zhang_2020
27,T cell CD4 dividing,Chen_Zhang_2020_NSCLC-4,23,Chen_Zhang_2020
28,T cell CD8 activated,Chen_Zhang_2020_NSCLC-4,85,Chen_Zhang_2020
29,T cell CD8 dividing,Chen_Zhang_2020_NSCLC-4,16,Chen_Zhang_2020
30,T cell CD8 effector memory,Chen_Zhang_2020_NSCLC-4,632,Chen_Zhang_2020
31,T cell CD8 naive,Chen_Zhang_2020_NSCLC-4,33,Chen_Zhang_2020
32,T cell CD8 terminally exhausted,Chen_Zhang_2020_NSCLC-4,110,Chen_Zhang_2020
33,T cell NK-like,Chen_Zhang_2020_NSCLC-4,23,Chen_Zhang_2020
34,T cell regulatory,Chen_Zhang_2020_NSCLC-4,880,Chen_Zhang_2020
35,Tumor AT2_LUAD,Chen_Zhang_2020_NSCLC-4,4,Chen_Zhang_2020
36,Tumor EMT_mitotic,Chen_Zhang_2020_NSCLC-4,5,Chen_Zhang_2020
37,Tumor LUAD,Chen_Zhang_2020_NSCLC-4,40,Chen_Zhang_2020
38,Tumor LUAD_AT2_Club,Chen_Zhang_2020_NSCLC-4,5,Chen_Zhang_2020
39,Tumor LUAD_mitotic,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
40,Tumor LUAD_mitotic_LUSC,Chen_Zhang_2020_NSCLC-4,7,Chen_Zhang_2020
41,Tumor LUSC,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
42,Tumor LUSC2,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
43,Tumor LUSC_LUAD,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
