,cell_type_adjusted,sample,0,dataset
0,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
1,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-5,1,Chen_Zhang_2020
2,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-8,53,Chen_Zhang_2020
3,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-9,0,Chen_Zhang_2020
4,Alveolar cell type 1,Chen_Zhang_2020_NSCLC-10,56,Chen_Zhang_2020
5,Alveolar cell type 1,Kim_Lee_2020_BRONCHO_58,0,Kim_Lee_2020
6,Alveolar cell type 1,Kim_Lee_2020_EBUS_06,0,Kim_Lee_2020
7,Alveolar cell type 1,Kim_Lee_2020_EBUS_28,0,Kim_Lee_2020
8,Alveolar cell type 1,Kim_Lee_2020_EBUS_49,0,Kim_Lee_2020
9,Alveolar cell type 1,Kim_Lee_2020_LUNG_T28,2,Kim_Lee_2020
10,Alveolar cell type 1,Kim_Lee_2020_LUNG_T31,4,Kim_Lee_2020
11,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1290,0,Lambrechts_Thienpont_2018_6149v2
12,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1291,0,Lambrechts_Thienpont_2018_6149v2
13,Alveolar cell type 1,Lambrechts_Thienpont_2018_6149v2_BT1292,0,Lambrechts_Thienpont_2018_6149v2
14,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1430m,0,Lambrechts_Thienpont_2018_6653
15,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1431m,0,Lambrechts_Thienpont_2018_6653
16,Alveolar cell type 1,Lambrechts_Thienpont_2018_6653_scrBT1432m,0,Lambrechts_Thienpont_2018_6653
17,Alveolar cell type 1,Laughney_Massague_2020_GSM3516665,1,Laughney_Massague_2020
18,Alveolar cell type 1,Maynard_Bivona_2020_LT_S01,0,Maynard_Bivona_2020
19,Alveolar cell type 1,Maynard_Bivona_2020_LT_S11,0,Maynard_Bivona_2020
20,Alveolar cell type 1,Maynard_Bivona_2020_LT_S42,0,Maynard_Bivona_2020
21,Alveolar cell type 1,Maynard_Bivona_2020_LT_S52,1,Maynard_Bivona_2020
22,Alveolar cell type 1,Maynard_Bivona_2020_LT_S56,0,Maynard_Bivona_2020
23,Alveolar cell type 1,Maynard_Bivona_2020_LT_S57,70,Maynard_Bivona_2020
24,Alveolar cell type 1,Maynard_Bivona_2020_LT_S58,0,Maynard_Bivona_2020
25,Alveolar cell type 1,Maynard_Bivona_2020_LT_S67,0,Maynard_Bivona_2020
26,Alveolar cell type 1,Maynard_Bivona_2020_LT_S71,11,Maynard_Bivona_2020
27,Alveolar cell type 1,Maynard_Bivona_2020_LT_S74,0,Maynard_Bivona_2020
28,Alveolar cell type 1,Maynard_Bivona_2020_LT_S79,0,Maynard_Bivona_2020
29,Alveolar cell type 1,Maynard_Bivona_2020_LT_S82,1,Maynard_Bivona_2020
30,Alveolar cell type 1,UKIM-V-2_P7_tumor_primary,0,UKIM-V-2
31,Alveolar cell type 1,UKIM-V-2_P11_tumor_primary,1,UKIM-V-2
32,Alveolar cell type 1,UKIM-V-2_P12_tumor_primary,1,UKIM-V-2
33,Alveolar cell type 1,UKIM-V-2_P15_tumor_primary,2,UKIM-V-2
34,Alveolar cell type 1,Wu_Zhou_2021_GSM4453576,0,Wu_Zhou_2021
35,Alveolar cell type 1,Wu_Zhou_2021_GSM4453577,0,Wu_Zhou_2021
36,Alveolar cell type 1,Wu_Zhou_2021_GSM4453578,0,Wu_Zhou_2021
37,Alveolar cell type 1,Wu_Zhou_2021_GSM4453579,0,Wu_Zhou_2021
38,Alveolar cell type 1,Wu_Zhou_2021_GSM4453580,1,Wu_Zhou_2021
39,Alveolar cell type 1,Wu_Zhou_2021_GSM4453581,0,Wu_Zhou_2021
40,Alveolar cell type 1,Wu_Zhou_2021_GSM4453582,0,Wu_Zhou_2021
41,Alveolar cell type 1,Wu_Zhou_2021_GSM4453583,1,Wu_Zhou_2021
42,Alveolar cell type 1,Wu_Zhou_2021_GSM4453584,0,Wu_Zhou_2021
43,Alveolar cell type 1,Wu_Zhou_2021_GSM4453585,0,Wu_Zhou_2021
44,Alveolar cell type 1,Wu_Zhou_2021_GSM4453586,0,Wu_Zhou_2021
45,Alveolar cell type 1,Wu_Zhou_2021_GSM4453587,0,Wu_Zhou_2021
46,Alveolar cell type 1,Wu_Zhou_2021_GSM4453588,0,Wu_Zhou_2021
47,Alveolar cell type 1,Wu_Zhou_2021_GSM4453589,0,Wu_Zhou_2021
48,Alveolar cell type 1,Wu_Zhou_2021_GSM4453590,0,Wu_Zhou_2021
49,Alveolar cell type 1,Wu_Zhou_2021_GSM4453591,0,Wu_Zhou_2021
50,Alveolar cell type 1,Wu_Zhou_2021_GSM4453592,0,Wu_Zhou_2021
51,Alveolar cell type 1,Wu_Zhou_2021_GSM4453593,0,Wu_Zhou_2021
52,Alveolar cell type 1,Wu_Zhou_2021_GSM4453594,0,Wu_Zhou_2021
53,Alveolar cell type 1,Wu_Zhou_2021_GSM4453595,0,Wu_Zhou_2021
54,Alveolar cell type 1,Wu_Zhou_2021_GSM4453596,0,Wu_Zhou_2021
55,Alveolar cell type 1,Wu_Zhou_2021_GSM4453597,0,Wu_Zhou_2021
56,Alveolar cell type 1,Wu_Zhou_2021_GSM4453598,0,Wu_Zhou_2021
57,Alveolar cell type 1,Wu_Zhou_2021_GSM4453599,0,Wu_Zhou_2021
58,Alveolar cell type 1,Wu_Zhou_2021_GSM4453600,0,Wu_Zhou_2021
59,Alveolar cell type 1,Wu_Zhou_2021_GSM4453601,0,Wu_Zhou_2021
60,Alveolar cell type 1,Wu_Zhou_2021_GSM4453602,0,Wu_Zhou_2021
61,Alveolar cell type 1,Wu_Zhou_2021_GSM4453603,0,Wu_Zhou_2021
62,Alveolar cell type 1,Wu_Zhou_2021_GSM4453604,0,Wu_Zhou_2021
63,Alveolar cell type 1,Wu_Zhou_2021_GSM4453605,0,Wu_Zhou_2021
64,Alveolar cell type 1,Wu_Zhou_2021_GSM4453606,0,Wu_Zhou_2021
65,Alveolar cell type 1,Wu_Zhou_2021_GSM4453607,0,Wu_Zhou_2021
66,Alveolar cell type 1,Wu_Zhou_2021_GSM4453608,0,Wu_Zhou_2021
67,Alveolar cell type 1,Wu_Zhou_2021_GSM4453609,0,Wu_Zhou_2021
68,Alveolar cell type 1,Wu_Zhou_2021_GSM4453610,13,Wu_Zhou_2021
69,Alveolar cell type 1,Wu_Zhou_2021_GSM4453611,0,Wu_Zhou_2021
70,Alveolar cell type 1,Wu_Zhou_2021_GSM4453612,0,Wu_Zhou_2021
71,Alveolar cell type 1,Wu_Zhou_2021_GSM4453613,0,Wu_Zhou_2021
72,Alveolar cell type 1,Wu_Zhou_2021_GSM4453614,1,Wu_Zhou_2021
73,Alveolar cell type 1,Wu_Zhou_2021_GSM4453615,0,Wu_Zhou_2021
74,Alveolar cell type 1,Wu_Zhou_2021_GSM4453616,0,Wu_Zhou_2021
75,Alveolar cell type 1,Wu_Zhou_2021_GSM4453617,0,Wu_Zhou_2021
76,Alveolar cell type 1,Zilionis_Klein_2019_p2t1,0,Zilionis_Klein_2019
77,Alveolar cell type 1,Zilionis_Klein_2019_p2t2,0,Zilionis_Klein_2019
78,Alveolar cell type 1,Zilionis_Klein_2019_p3t1,3,Zilionis_Klein_2019
79,Alveolar cell type 1,Zilionis_Klein_2019_p3t2,4,Zilionis_Klein_2019
80,Alveolar cell type 1,Zilionis_Klein_2019_p3t3,6,Zilionis_Klein_2019
81,Alveolar cell type 1,Zilionis_Klein_2019_p5t1,0,Zilionis_Klein_2019
82,Alveolar cell type 1,Zilionis_Klein_2019_p5t2,0,Zilionis_Klein_2019
83,Alveolar cell type 1,Zilionis_Klein_2019_p7t1,0,Zilionis_Klein_2019
84,Alveolar cell type 1,Zilionis_Klein_2019_p7t2,0,Zilionis_Klein_2019
85,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-4,2,Chen_Zhang_2020
86,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-5,6,Chen_Zhang_2020
87,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-8,348,Chen_Zhang_2020
88,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-9,27,Chen_Zhang_2020
89,Alveolar cell type 2,Chen_Zhang_2020_NSCLC-10,574,Chen_Zhang_2020
90,Alveolar cell type 2,Kim_Lee_2020_BRONCHO_58,0,Kim_Lee_2020
91,Alveolar cell type 2,Kim_Lee_2020_EBUS_06,0,Kim_Lee_2020
92,Alveolar cell type 2,Kim_Lee_2020_EBUS_28,0,Kim_Lee_2020
93,Alveolar cell type 2,Kim_Lee_2020_EBUS_49,1,Kim_Lee_2020
94,Alveolar cell type 2,Kim_Lee_2020_LUNG_T28,168,Kim_Lee_2020
95,Alveolar cell type 2,Kim_Lee_2020_LUNG_T31,70,Kim_Lee_2020
96,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1290,17,Lambrechts_Thienpont_2018_6149v2
97,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1291,3,Lambrechts_Thienpont_2018_6149v2
98,Alveolar cell type 2,Lambrechts_Thienpont_2018_6149v2_BT1292,3,Lambrechts_Thienpont_2018_6149v2
99,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1430m,7,Lambrechts_Thienpont_2018_6653
100,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1431m,12,Lambrechts_Thienpont_2018_6653
101,Alveolar cell type 2,Lambrechts_Thienpont_2018_6653_scrBT1432m,0,Lambrechts_Thienpont_2018_6653
102,Alveolar cell type 2,Laughney_Massague_2020_GSM3516665,8,Laughney_Massague_2020
103,Alveolar cell type 2,Maynard_Bivona_2020_LT_S01,2,Maynard_Bivona_2020
104,Alveolar cell type 2,Maynard_Bivona_2020_LT_S11,13,Maynard_Bivona_2020
105,Alveolar cell type 2,Maynard_Bivona_2020_LT_S42,0,Maynard_Bivona_2020
106,Alveolar cell type 2,Maynard_Bivona_2020_LT_S52,3,Maynard_Bivona_2020
107,Alveolar cell type 2,Maynard_Bivona_2020_LT_S56,0,Maynard_Bivona_2020
108,Alveolar cell type 2,Maynard_Bivona_2020_LT_S57,218,Maynard_Bivona_2020
109,Alveolar cell type 2,Maynard_Bivona_2020_LT_S58,21,Maynard_Bivona_2020
110,Alveolar cell type 2,Maynard_Bivona_2020_LT_S67,20,Maynard_Bivona_2020
111,Alveolar cell type 2,Maynard_Bivona_2020_LT_S71,48,Maynard_Bivona_2020
112,Alveolar cell type 2,Maynard_Bivona_2020_LT_S74,5,Maynard_Bivona_2020
113,Alveolar cell type 2,Maynard_Bivona_2020_LT_S79,0,Maynard_Bivona_2020
114,Alveolar cell type 2,Maynard_Bivona_2020_LT_S82,2,Maynard_Bivona_2020
115,Alveolar cell type 2,UKIM-V-2_P7_tumor_primary,4,UKIM-V-2
116,Alveolar cell type 2,UKIM-V-2_P11_tumor_primary,2,UKIM-V-2
117,Alveolar cell type 2,UKIM-V-2_P12_tumor_primary,2,UKIM-V-2
118,Alveolar cell type 2,UKIM-V-2_P15_tumor_primary,10,UKIM-V-2
119,Alveolar cell type 2,Wu_Zhou_2021_GSM4453576,0,Wu_Zhou_2021
120,Alveolar cell type 2,Wu_Zhou_2021_GSM4453577,0,Wu_Zhou_2021
121,Alveolar cell type 2,Wu_Zhou_2021_GSM4453578,0,Wu_Zhou_2021
122,Alveolar cell type 2,Wu_Zhou_2021_GSM4453579,0,Wu_Zhou_2021
123,Alveolar cell type 2,Wu_Zhou_2021_GSM4453580,95,Wu_Zhou_2021
124,Alveolar cell type 2,Wu_Zhou_2021_GSM4453581,0,Wu_Zhou_2021
125,Alveolar cell type 2,Wu_Zhou_2021_GSM4453582,51,Wu_Zhou_2021
126,Alveolar cell type 2,Wu_Zhou_2021_GSM4453583,212,Wu_Zhou_2021
127,Alveolar cell type 2,Wu_Zhou_2021_GSM4453584,1,Wu_Zhou_2021
128,Alveolar cell type 2,Wu_Zhou_2021_GSM4453585,0,Wu_Zhou_2021
129,Alveolar cell type 2,Wu_Zhou_2021_GSM4453586,0,Wu_Zhou_2021
130,Alveolar cell type 2,Wu_Zhou_2021_GSM4453587,282,Wu_Zhou_2021
131,Alveolar cell type 2,Wu_Zhou_2021_GSM4453588,3,Wu_Zhou_2021
132,Alveolar cell type 2,Wu_Zhou_2021_GSM4453589,1,Wu_Zhou_2021
133,Alveolar cell type 2,Wu_Zhou_2021_GSM4453590,0,Wu_Zhou_2021
134,Alveolar cell type 2,Wu_Zhou_2021_GSM4453591,0,Wu_Zhou_2021
135,Alveolar cell type 2,Wu_Zhou_2021_GSM4453592,0,Wu_Zhou_2021
136,Alveolar cell type 2,Wu_Zhou_2021_GSM4453593,3,Wu_Zhou_2021
137,Alveolar cell type 2,Wu_Zhou_2021_GSM4453594,0,Wu_Zhou_2021
138,Alveolar cell type 2,Wu_Zhou_2021_GSM4453595,0,Wu_Zhou_2021
