,cell_type_adjusted,sample,0,dataset
0,AT2,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
1,AT2,Chen_Zhang_2020_NSCLC-5,0,Chen_Zhang_2020
2,AT2,Chen_Zhang_2020_NSCLC-8,0,Chen_Zhang_2020
3,AT2,Chen_Zhang_2020_NSCLC-9,0,Chen_Zhang_2020
4,AT2,Chen_Zhang_2020_NSCLC-10,0,Chen_Zhang_2020
5,AT2,Kim_Lee_2020_BRONCHO_58,0,Kim_Lee_2020
6,AT2,Kim_Lee_2020_EBUS_06,0,Kim_Lee_2020
7,AT2,Kim_Lee_2020_EBUS_28,0,Kim_Lee_2020
8,AT2,Kim_Lee_2020_EBUS_49,0,Kim_Lee_2020
9,AT2,Kim_Lee_2020_LUNG_T28,0,Kim_Lee_2020
10,AT2,Kim_Lee_2020_LUNG_T31,0,Kim_Lee_2020
11,AT2,Lambrechts_Thienpont_2018_6149v2_BT1290,0,Lambrechts_Thienpont_2018_6149v2
12,AT2,Lambrechts_Thienpont_2018_6149v2_BT1291,0,Lambrechts_Thienpont_2018_6149v2
13,AT2,Lambrechts_Thienpont_2018_6149v2_BT1292,0,Lambrechts_Thienpont_2018_6149v2
14,AT2,Lambrechts_Thienpont_2018_6653_scrBT1430m,0,Lambrechts_Thienpont_2018_6653
15,AT2,Lambrechts_Thienpont_2018_6653_scrBT1431m,0,Lambrechts_Thienpont_2018_6653
16,AT2,Lambrechts_Thienpont_2018_6653_scrBT1432m,0,Lambrechts_Thienpont_2018_6653
17,AT2,Laughney_Massague_2020_GSM3516665,0,Laughney_Massague_2020
18,AT2,Maynard_Bivona_2020_LT_S01,0,Maynard_Bivona_2020
19,AT2,Maynard_Bivona_2020_LT_S11,0,Maynard_Bivona_2020
20,AT2,Maynard_Bivona_2020_LT_S42,0,Maynard_Bivona_2020
21,AT2,Maynard_Bivona_2020_LT_S52,0,Maynard_Bivona_2020
22,AT2,Maynard_Bivona_2020_LT_S56,0,Maynard_Bivona_2020
23,AT2,Maynard_Bivona_2020_LT_S57,0,Maynard_Bivona_2020
24,AT2,Maynard_Bivona_2020_LT_S58,0,Maynard_Bivona_2020
25,AT2,Maynard_Bivona_2020_LT_S67,19,Maynard_Bivona_2020
26,AT2,Maynard_Bivona_2020_LT_S71,0,Maynard_Bivona_2020
27,AT2,Maynard_Bivona_2020_LT_S74,0,Maynard_Bivona_2020
28,AT2,Maynard_Bivona_2020_LT_S79,0,Maynard_Bivona_2020
29,AT2,Maynard_Bivona_2020_LT_S82,0,Maynard_Bivona_2020
30,AT2,UKIM-V-2_P7_tumor_primary,0,UKIM-V-2
31,AT2,UKIM-V-2_P11_tumor_primary,0,UKIM-V-2
32,AT2,UKIM-V-2_P12_tumor_primary,0,UKIM-V-2
33,AT2,UKIM-V-2_P15_tumor_primary,0,UKIM-V-2
34,AT2,Wu_Zhou_2021_GSM4453576,0,Wu_Zhou_2021
35,AT2,Wu_Zhou_2021_GSM4453577,0,Wu_Zhou_2021
36,AT2,Wu_Zhou_2021_GSM4453578,0,Wu_Zhou_2021
37,AT2,Wu_Zhou_2021_GSM4453579,0,Wu_Zhou_2021
38,AT2,Wu_Zhou_2021_GSM4453580,0,Wu_Zhou_2021
39,AT2,Wu_Zhou_2021_GSM4453581,0,Wu_Zhou_2021
40,AT2,Wu_Zhou_2021_GSM4453582,0,Wu_Zhou_2021
41,AT2,Wu_Zhou_2021_GSM4453583,0,Wu_Zhou_2021
42,AT2,Wu_Zhou_2021_GSM4453584,0,Wu_Zhou_2021
43,AT2,Wu_Zhou_2021_GSM4453585,0,Wu_Zhou_2021
44,AT2,Wu_Zhou_2021_GSM4453586,0,Wu_Zhou_2021
45,AT2,Wu_Zhou_2021_GSM4453587,0,Wu_Zhou_2021
46,AT2,Wu_Zhou_2021_GSM4453588,0,Wu_Zhou_2021
47,AT2,Wu_Zhou_2021_GSM4453589,0,Wu_Zhou_2021
48,AT2,Wu_Zhou_2021_GSM4453590,0,Wu_Zhou_2021
49,AT2,Wu_Zhou_2021_GSM4453591,0,Wu_Zhou_2021
50,AT2,Wu_Zhou_2021_GSM4453592,0,Wu_Zhou_2021
51,AT2,Wu_Zhou_2021_GSM4453593,0,Wu_Zhou_2021
52,AT2,Wu_Zhou_2021_GSM4453594,0,Wu_Zhou_2021
53,AT2,Wu_Zhou_2021_GSM4453595,0,Wu_Zhou_2021
54,AT2,Wu_Zhou_2021_GSM4453596,0,Wu_Zhou_2021
55,AT2,Wu_Zhou_2021_GSM4453597,0,Wu_Zhou_2021
56,AT2,Wu_Zhou_2021_GSM4453598,0,Wu_Zhou_2021
