,cell_type_adjusted,sample,0,dataset
0,0,Chen_Zhang_2020_NSCLC-4,3,Chen_Zhang_2020
1,1,Chen_Zhang_2020_NSCLC-4,5,Chen_Zhang_2020
2,10,Chen_Zhang_2020_NSCLC-4,4,Chen_Zhang_2020
3,11,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
4,12,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
5,13,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
6,14,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
7,15,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
8,16,Chen_Zhang_2020_NSCLC-4,2,Chen_Zhang_2020
9,17,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
10,18,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
11,3,Chen_Zhang_2020_NSCLC-4,40,Chen_Zhang_2020
12,4,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
13,5,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
14,6,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
15,7,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
16,8,Chen_Zhang_2020_NSCLC-4,5,Chen_Zhang_2020
17,9,Chen_Zhang_2020_NSCLC-4,7,Chen_Zhang_2020
18,B cell,Chen_Zhang_2020_NSCLC-4,295,Chen_Zhang_2020
19,B cell dividing,Chen_Zhang_2020_NSCLC-4,4,Chen_Zhang_2020
20,DC mature,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
21,Endothelial cell arterial,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
22,Endothelial cell capillary,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
23,Endothelial cell lymphatic,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
24,Endothelial cell venous,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
25,Fibroblast adventitial,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
26,Fibroblast alveolar,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
27,Fibroblast peribronchial,Chen_Zhang_2020_NSCLC-4,11,Chen_Zhang_2020
28,Macrophage,Chen_Zhang_2020_NSCLC-4,43,Chen_Zhang_2020
29,Macrophage alveolar,Chen_Zhang_2020_NSCLC-4,6,Chen_Zhang_2020
30,Mast cell,Chen_Zhang_2020_NSCLC-4,19,Chen_Zhang_2020
31,Mesothelial,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
32,Monocyte classical,Chen_Zhang_2020_NSCLC-4,5,Chen_Zhang_2020
33,Monocyte non-classical,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
34,NK cell,Chen_Zhang_2020_NSCLC-4,208,Chen_Zhang_2020
35,NK cell dividing,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
36,Neutrophils,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
37,Pericyte,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
38,Plasma cell,Chen_Zhang_2020_NSCLC-4,239,Chen_Zhang_2020
39,Plasma cell dividing,Chen_Zhang_2020_NSCLC-4,0,Chen_Zhang_2020
40,Smooth muscle cell,Chen_Zhang_2020_NSCLC-4,1,Chen_Zhang_2020
41,T cell CD4,Chen_Zhang_2020_NSCLC-4,1314,Chen_Zhang_2020
42,T cell CD4 dividing,Chen_Zhang_2020_NSCLC-4,23,Chen_Zhang_2020
43,T cell CD8 activated,Chen_Zhang_2020_NSCLC-4,85,Chen_Zhang_2020
