"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000163435",0,4.83145834986329,0.935,0.073,0
"ENSG00000189143",0,4.44070991383255,0.901,0.084,0
"ENSG00000136153",0,4.48366631334198,0.886,0.073,0
"ENSG00000170421",0,3.86813113756723,0.908,0.121,0
"ENSG00000119888",0,4.58435184620672,0.854,0.069,0
"ENSG00000111057",0,3.9155312785561,0.928,0.153,0
"ENSG00000185499",0,3.90487410379844,0.857,0.083,0
"ENSG00000171345",0,3.89671788325674,0.967,0.194,0
"ENSG00000184292",0,4.65759865620502,0.832,0.059,0
"ENSG00000135480",0,3.7594528408255,0.891,0.12,0
"ENSG00000086548",0,5.69173700086354,0.815,0.047,0
"ENSG00000013588",0,4.83088887877431,0.806,0.044,0
"ENSG00000147676",0,4.58484803728984,0.771,0.043,0
"ENSG00000101443",0,3.16910521795738,0.874,0.151,0
"ENSG00000106541",0,4.27946954372851,0.818,0.099,0
"ENSG00000112378",0,3.62381617199354,0.836,0.12,0
"ENSG00000122862",0,-5.79823636224791,0.054,0.763,0
"ENSG00000167642",0,3.35027505196356,0.911,0.21,0
"ENSG00000108679",0,3.62221045943543,0.819,0.118,0
"ENSG00000163993",0,4.57644239637793,0.771,0.073,0
"ENSG00000124766",0,3.12419988452736,0.838,0.143,0
"ENSG00000169908",0,3.96325801633985,0.774,0.087,0
"ENSG00000143153",0,2.83008466263321,0.86,0.175,0
"ENSG00000110492",0,3.81676027898712,0.742,0.061,0
"ENSG00000089356",0,3.77686225620429,0.75,0.083,0
"ENSG00000096696",0,4.1265025868626,0.709,0.043,0
"ENSG00000115884",0,4.02078226645884,0.712,0.046,0
"ENSG00000267795",0,3.68016413958323,0.715,0.05,0
"ENSG00000189334",0,4.32451335237688,0.697,0.033,0
"ENSG00000177697",0,2.67111797675114,0.773,0.117,0
"ENSG00000124107",0,2.33603780895991,0.808,0.152,0
"ENSG00000105699",0,3.70807681438575,0.71,0.057,0
"ENSG00000103534",0,4.20188812821818,0.686,0.034,0
"ENSG00000188643",0,2.78993086485087,0.721,0.073,0
"ENSG00000272398",0,2.82661277595848,0.765,0.118,0
"ENSG00000183742",0,4.90621272551423,0.664,0.027,0
"ENSG00000189171",0,2.68813076838726,0.745,0.114,0
"ENSG00000010278",0,2.22173557220624,0.803,0.183,0
"ENSG00000151914",0,3.52599499842616,0.689,0.075,0
"ENSG00000065361",0,4.49191536962141,0.64,0.028,0
"ENSG00000117472",0,3.59425638914705,0.655,0.053,0
"ENSG00000162545",0,4.04214698899216,0.673,0.074,0
"ENSG00000166145",0,3.85833590937378,0.645,0.046,0
"ENSG00000196586",0,3.7764307650952,0.65,0.052,0
"ENSG00000173801",0,3.87132862276402,0.637,0.044,0
"ENSG00000116285",0,3.35491910023612,0.668,0.079,0
"ENSG00000167644",0,3.41843266235767,0.637,0.049,0
"ENSG00000140391",0,2.75847022803478,0.709,0.123,0
"ENSG00000046604",0,4.29303477626759,0.624,0.043,0
"ENSG00000125868",0,2.01497508169355,0.793,0.221,0
"ENSG00000142949",0,3.7624492854492,0.613,0.041,0
"ENSG00000137648",0,5.85456374670221,0.58,0.01,0
"ENSG00000039068",0,4.69440137724,0.592,0.027,0
"ENSG00000005884",0,2.50281547696004,0.632,0.069,0
"ENSG00000110092",0,3.4477341147554,0.623,0.064,0
"ENSG00000102554",0,3.78602918618361,0.604,0.046,0
"ENSG00000148180",0,2.9005684008782,0.742,0.188,0
"ENSG00000183255",0,2.81146943428452,0.68,0.132,0
"ENSG00000142192",0,2.7782036968161,0.649,0.102,0
"ENSG00000148346",0,4.83414883520316,0.599,0.053,0
"ENSG00000132470",0,3.32028991218313,0.59,0.045,0
"ENSG00000115963",0,4.66777107097526,0.576,0.033,0
"ENSG00000175130",0,2.0450968506447,0.774,0.232,0
"ENSG00000116260",0,3.07231534612972,0.613,0.076,0
