cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,5.928499738378758,-7.044600755934302,4.197786692421942,-3.011049206737039,-4.540078794473643,-2.05303009999967,3.8617088589998074,3.8122484306554747,3.3024530913360275,-2.9159429940543267,-4.633816309207292,6.59622808787723,3.9195120870275098,-7.943135326988695,4.111746486674987,3.2780444371386612,5.20573225660136,-4.843197247660504,4.746533377388754,-2.2533304497430877,5.539015555443039,-3.471020864801891,-6.667461650659257,-4.30384703021127,-7.1665646388735516,4.104702198371716,3.820162821674664,-2.058579887495951,-7.528513225240114,4.294592151954324,5.173372557939544,8.036553033643445,3.6316426032133107,-3.890761440674322,2.4091863682750616,9.462173343559948,4.515108214971278,-1.3295670986795634,5.303171586534597,3.8060125080649403,6.199815433513752,3.488228769121747,1.9380257830856986,3.335203077842052,-8.7014442072185,4.937187058674867,4.626623402485795,3.0414822247613733,2.8383421606531813,3.662435570847325
Tumor AT2/1_LUAD,8.041607864869736,-6.575160472935526,6.039610693991632,2.1350852693253284,4.2838123863848505,2.056940269862337,5.731385073667863,3.606921252851451,4.9395575548958,3.399874364312414,4.238654543564535,6.001432894771565,4.130051655173644,-4.692081372087181,7.198524762040114,6.163892323536073,6.336236754295547,4.437543014439141,7.177275926297618,2.406103710560245,6.190633965684673,6.375685036386506,5.295198024409498,2.9857001747172243,-4.708654834491499,5.254275572271378,5.713165133133108,1.2140548602094932,-4.752789653634081,6.94398651549294,8.189220477819722,9.89546306785162,5.663721394566385,2.7708954004776793,3.4942252058570547,10.071283535078834,7.859207374421526,1.150894197533534,5.161678511220915,5.26034166059904,7.251022733690217,3.7287029128238425,-1.6735395296180526,5.099229720222449,6.8619710112782775,7.050366808838378,6.2414932750400975,6.531908140179443,3.1786664425684834,5.036139281736814
Tumor Club/AT2_MSLN,6.950396106398239,-3.94294783279388,5.074950633077175,2.049995682726712,5.529927828877139,2.025274068281461,4.807780242238127,3.1023819739404717,3.8657789556882793,3.9561282950698415,6.128813165873092,5.573194333665296,4.664613100292531,4.274921942195653,6.037020960897328,6.322242916601251,5.429522201543995,3.780518318914669,6.311243460454955,1.7044216897701423,5.330335990769321,4.810719709830086,5.232269790519309,3.467210327484048,4.842009388386849,3.742798537059981,5.482976849174489,-1.7722486956422974,4.616921196317722,5.6030870955959555,6.442494322230574,6.923951482078258,4.303378624128564,2.9011431350343693,3.571642652734215,8.662024857734785,6.751253119957401,0.8763965294071443,4.406359942570802,4.868256274037636,6.750195691979182,3.5160075191201634,1.4000597503298116,4.572379621586165,5.561908963688877,5.588647764565322,5.596202146367655,4.653061674953253,3.266046571171447,4.456321154676053
Tumor LUAD_EMT,-7.425422909023746,-8.20234376326303,-5.365289934908973,1.5982793179558703,-5.171320507091268,-2.5003904853728414,-4.853009262874715,-3.6153451334954987,-3.4381056635325,-2.7030807223570297,-5.949559456941619,-5.927404191430302,-8.147682852533638,-4.600855042678649,-6.02771664142915,-5.735357441299878,-5.401656647567378,-8.583812825322616,3.486285764675902,-2.3080236766703774,-5.126607492164316,3.510893759752812,-6.8504866878715935,-5.1711543479189634,-6.7275615927176196,-5.420978110586228,-8.98290641260196,-3.2983439500694627,-5.45538961466417,-7.273931869562303,-6.601905068386665,-9.476257905750137,-3.613656545516782,-5.167644523064321,-1.9857409278868428,-8.92483036900958,-6.51073853575341,-0.799151046547453,-4.31478494709973,-5.391540623784847,-5.959795625237329,-3.1565896592446223,-2.324366457595233,-4.0560247834882,-8.807652313686136,-6.064671030120268,-5.633154227623379,-6.879214580680814,-2.893756923078245,-4.022653938829643
Tumor LUAD_MSLN_LUSC,7.671804002143172,-6.647852093241647,6.921035318118013,2.2485060384601465,5.324893604349669,2.284876586001019,6.020100209143366,3.3669988575955996,5.449103609347029,3.4163062202289822,4.842698963552075,7.766791944381792,7.380170653352952,4.822746892941463,7.103305373556169,6.254216419950422,5.974365616657268,6.745837230796537,7.479357142166132,2.4216521440931036,6.482729003463019,6.83405913394136,4.655786673607426,-3.2456558726811457,-4.878670724817477,5.344990738993642,5.414780803569022,-1.7458369480176221,3.583983173786383,7.722201174658163,8.482005764000139,10.07071975189389,5.138423103389319,3.982728807668264,3.227039085004979,10.38875323442159,8.297077383821314,-0.6721242077080231,5.008959693094139,5.430680116752533,8.047194748763193,4.6896302578614,1.1788046359370792,5.185724081326445,6.062893769362637,6.9330303217639395,6.389405480002937,6.781807691874929,2.9270169144299256,4.922667847811244
Tumor LUAD_ROS1+,-9.120462345459957,-10.288373854044838,-6.715022604087591,-3.1991376868358667,-6.077910875468608,-2.64752224352125,-9.709721380957674,-4.483596113090769,-5.157966430128023,-3.9966159651355624,-8.063599181504618,-8.351324779422894,-9.559381371499954,-8.339980030761476,-6.230537128617566,-6.166204185561228,-7.082738352085125,-11.525877614033627,-7.150136187488702,-2.645022189886858,-6.834037294510937,-7.509888616558527,-8.341065420891118,-6.0108204705221295,-8.039574334094867,-7.953809130471337,-10.851233410951506,2.3561883782739086,-7.967972616469439,-10.6937374040592,-10.16931110672997,-12.476357181616825,-5.0997042263645085,-4.864087220041722,-3.1635757388335546,-11.847553692353117,-8.750593534051063,1.2350313178623369,-5.544952256243711,-6.0853194069125625,-7.414352383927166,-5.2529530892249205,-1.9940705180075535,-5.546534792031889,-10.048777093302688,-7.741646568880452,-7.045440916858717,-6.905272613142308,-3.3554496240679876,-5.674369951075441
Tumor LUAD_mitotic,6.914909826388828,-6.361980434785848,5.469181889325343,-1.9912691433453993,4.367897187188982,2.5403655921448927,4.741438241942859,2.818817766845891,5.078926150634373,2.7617623822798487,3.6489117941840536,6.808914663031086,8.844154528286209,-5.941964471841467,6.184603541006984,5.958548823470714,5.508678679018526,8.715699956851962,6.977995117592072,-1.8163209775705582,5.641689728611601,4.967125264872974,4.343877979776792,-2.8473302048765774,-5.180750118674983,-2.932524755882467,-4.991028791689695,-2.163397341094518,-4.341704315687866,8.0449524135972,8.047493221213534,8.847457053676543,5.522301621095221,3.178740546718498,3.2209863747124317,7.900395518088285,6.326992783163427,-0.775619050690748,5.0012818175302165,5.033069127402396,5.913456668655245,3.6502607237825635,2.5416874430167367,3.508993754964694,4.320910378052542,6.671548820033158,4.899506265141787,6.104159536987559,2.439720984248648,4.420817374666267
Tumor LUSC_LUAD_NE,-9.414266774542229,-7.8064012068373785,-6.327137855169667,-1.9630933396628485,-5.308846792081439,-2.5924795114011414,-8.378531000675448,-3.3924305373578143,-5.301317760023375,-3.0018185529588646,-6.664276274532576,-8.801149354430631,-10.804691839730703,-7.317566411744776,-6.6293933421571865,-5.890911482158272,-5.8296150871222725,-10.138424486067043,-7.329392138492988,-2.6751185517819818,-6.665868045382423,-6.743505055984879,-8.833603419622916,-5.115555195465493,-6.185385899315718,-7.2336254082090825,-9.600317711628497,1.7966567137092353,-6.639042551255434,-10.538597363290005,-10.622234621484075,-11.929176845374183,-4.78806821552487,-5.377052322999257,-3.330594112644924,-10.60832819532089,-9.850069741972565,0.723733388142835,-4.961010290769022,-7.447289293883096,-8.031926372683436,-5.3517258028970565,-2.123375991669317,-5.250879592287898,-9.92156403798324,-7.137408155609451,-7.028747110873585,-6.154478134291669,-3.266610543571085,-4.290571204824746
Tumor LUSC_mitotic_NE,5.847110057391819,-9.118826010226467,3.364522466654824,1.4549446152162044,3.8942142246998976,2.305521163211712,-3.499216514786476,-2.202822610535919,3.624534333546247,2.0348337498158164,-4.305882812344952,7.212442827264754,10.141448638838998,-5.597740321784624,5.387754885369795,5.9027817430257885,4.469153085139891,8.78592672738001,6.748394387325836,-2.0174804906730364,3.7487675928761837,4.1576398913573875,-4.651323306325465,-3.7367128194621198,-6.001436801812223,3.7253361962945943,-5.122066431393918,-2.834694754675033,-4.510857119598641,7.290284095709543,7.176374708879484,9.203795589946997,4.005946752456649,-3.721898563881696,2.3264280443703904,8.437135230681513,5.144321330368333,0.839390169821393,3.6623467153261364,3.2944976680520726,4.935828769738556,3.274085789754325,2.1784765001511093,3.4654462750044885,-7.265585735254011,3.6894280421326955,3.8876944665204287,4.112288119858273,2.4970439883439464,4.937693428574351
Tumor NSCLC_mixed,7.262028225161111,-6.273329253492487,6.494794781165153,1.8342147728496536,4.994244867830708,2.6317497350767356,5.920856319440285,3.4792697495743625,5.0931118925473555,3.353270462114149,5.351082018456551,7.5509248156931825,5.052719146477013,-4.6248930184484065,6.122673617618426,5.906884192029982,6.049629396856078,4.677831416752238,7.395485301229952,2.271146324224155,6.050617090344197,6.588102880393353,4.676285404028992,2.5585832628583156,-4.949461136068297,6.687118407158261,5.871358880409955,-1.6132943213885378,4.028096090271017,6.6551214868908515,7.358043620351889,9.600965220552498,5.496175939260251,3.2932956878513453,3.0524949499914413,10.034799437199393,7.379301703195904,0.8362334399608562,4.9556923643598445,5.86359055546896,7.128718244500733,4.139034172291316,-2.230382783514434,5.461663728971661,6.360357431880352,6.5698184624653235,5.931244034862376,5.527692331655696,2.420648734879568,5.081727784274993
