cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT2,1.1463593336277342,0.7503219782065461,1.1876343331960844,0.9512674630830542,0.9961542059947907,0.9111046598819267,1.0753471129400713,1.045211728546067,1.193222702692256,1.212768120361599,1.0368895805153455,1.0582933075029204,0.8868364165939239,0.9413540263956018,1.183084531857352,1.1683920852403258,1.1541030824914473,0.9844262540309064,1.10657463355287,1.1252290675729264,1.1795605172104813,1.1185448731191212,1.0123716217815115,1.051784749095202,0.9640514354917121,1.071967779306443,1.0237749912004837,0.9889441566183463,0.8640770430095095,1.0776977984576104,1.0914603506090919,1.1903994345487792,1.0378685748565313,1.013164465737311,1.1055573958190872,1.1980663551975839,1.153479071599864,1.207274419533152,1.1286587163722641,1.0012535838268468,1.2152303226210464,1.1276746518646383,0.9793074501215863,1.2278626955716738,1.1178494990738121,1.1659122989685866,1.179646224300665,1.1657330328691518,1.06605055017232,1.134155254607018
Ciliated,1.054120481056423,-1.0,1.0243788921565589,0.6389465793853025,0.7168464888396365,0.6657016694564181,0.8007686008526455,1.1584983573809031,1.0048576232635833,0.8188049115221123,0.6915330986351794,1.109407952673605,0.8651764669842954,-1.0,1.0313652171683074,0.9744966205922777,1.0901682836911681,0.8206167604214641,0.974157013024558,0.6724690549622123,1.1140646246280732,0.7014483260961134,0.6213586241796576,-1.0,-1.0,0.9837961624544849,0.7549710407107645,0.8826828944376933,-1.0,0.9513433105158792,0.8881468165884865,1.1504221573523308,0.7682028018621819,0.9278544931267486,1.043168449056311,1.2555200543775238,0.8859896947246673,1.025261898714622,1.1885760924134987,0.8453290619302253,1.1877373029225529,1.128065622751528,1.1272302514681813,0.8765548785645505,-1.0,0.9560372776678608,1.0474754190326803,0.8665429183959055,0.9161625915522646,1.0229945327218208
Tumor AT2_LUAD,-1.4806760527122198,-1.8419121212497793,-1.016356895702534,-0.835464391614147,-0.8874193862519622,0.7599149821842909,-1.4125703519866042,-0.9203225878670203,-0.8816860404606097,-1.0975878091151412,-1.4477333258077898,-1.5174051845556338,-1.4961307504508738,-1.1390707847312873,1.4559428940611296,1.0787935715178445,-1.4045062608316952,-1.3744431140338205,-0.9226139915617142,0.9690566615974093,-1.130932268016875,-1.0150170050987095,-1.296372448107319,-1.3660318958712308,-1.3383785247412827,-1.5901634753519336,-1.7215308228614925,1.2105818603383254,-1.2418153899113793,-0.878459185659865,-1.4349656155670927,-1.810537694316739,-1.23607818523538,-0.7449070405710786,0.8657881456701663,-1.9726264076432014,-1.1104808495298328,-1.4293319262099613,-1.314241838103237,-1.3499930653446603,-1.097966296226624,-1.6112601507709137,-0.7812668367079525,-1.0348832049413719,-1.5157364886059221,-1.425271262098879,1.2505557884967573,-1.4730508704905947,-0.679225275074127,-1.1437497618822614
Tumor EMT_mitotic,1.166613598883295,-1.4420894161364437,-0.9687338983101281,1.025916761700893,1.2743096565163965,1.167656294107661,-1.0386102023783428,-0.9567460783072229,1.166419779539591,1.5114739806984197,-0.9911606157681693,1.368574840514845,1.2171183797053056,1.6446316936752394,0.9575570045004459,1.0669864345069395,1.1684324190780528,-1.2780698166797158,1.7547071320080672,-0.8357832686275396,-1.174787967658363,1.2114055616761545,-1.1936696780575284,-1.5367439440324755,-1.2753419122403042,-1.1929106692938072,-1.5932005227004522,-1.2787704146578867,-1.269600063966024,-1.3088196899769118,1.1837664261019933,1.6878447976939617,-0.8481266759217228,-0.8402082356929829,-0.9284620238772742,1.9679574534106516,-1.084244767140243,1.1936452114240277,-0.8711446875059078,-1.2525007449325412,1.033021924873382,1.402291941394739,-1.049459677829792,-1.043890756709818,-1.7557837453645069,0.9617022929297548,-1.2619063471686234,-1.3233248298473068,-1.2925545567722712,1.0890737812934181
Tumor LUAD,1.12395824878955,0.593005357164981,1.1322597678471058,0.9105001391327058,1.0326531034447348,0.9980897291502997,1.003157466972333,1.0185381698466025,1.1429161947781066,0.9715353986692945,0.8904851090585119,1.1191918843292763,1.045640652539847,0.905838937930155,1.1014429499162581,1.1136104551400385,1.0994967523618813,1.0603446107112544,1.1761146410369274,0.9202907854359539,1.101913859540176,1.0570536338596954,0.9041272371264676,0.8283975647117561,0.7807392247567854,0.7892578689778732,0.7656789094636952,0.9479926205473372,0.7687186000939179,1.0755848498757261,1.138969876115613,1.2721416631373892,1.075789880292801,1.0308460009874068,1.179836320915017,1.2507809672650132,1.099622558800546,1.0130063404238392,1.1123841161016255,1.092231774461136,1.214549160215023,1.1204688183339782,1.0044181989272885,1.1368925383310893,0.9403710379734962,1.1792940847573994,1.046264111974908,1.1044296338148132,0.990324250522557,1.089282915934233
Tumor LUAD_AT2_Club,-1.1254643296837137,-1.1155970033867708,-1.1391520991626987,-1.016447028084076,-1.058623702770952,-0.9996326797679592,-1.1723600678414026,-0.9713448113643512,-1.0846981047684034,-1.0104577522559468,-1.112999562492116,-1.1561001848522157,-1.0912695948971145,-1.0128202556950257,-0.9874690510529412,-0.980088703176334,-1.1156172444938188,-1.1002930504814776,-1.0599141690650482,-0.9829920296270223,-1.1027005071679725,-1.1227644812563626,-1.0976826598919958,-1.0846791493228396,-1.039038360305286,-1.1764866620165046,-1.1780181844149487,-0.7272073864987278,-1.0321937900134768,-1.1201242539984466,-1.1983580284160438,-1.3360676296726388,-1.0729967451075635,-0.9886230533384905,-1.0249403248768332,-1.264813921045467,-1.1290677167943188,-1.1182158071557486,-1.076065891981967,-1.1842436580223221,-1.2399645725434407,-1.1911319053990495,-0.9764760614463005,-1.1906760489816517,-1.1669949603339023,-1.1796478126921366,-1.0833004035588139,-1.150183988691561,-0.9897689385546201,-1.048603118475353
Tumor LUAD_mitotic,-1.0273277128138827,-1.7711998019610329,-1.055437242386669,-1.0916325166282117,-0.9868514811597119,-1.2307256889570155,-1.1479442459608573,-0.9605507245459187,1.1238650993955428,-0.9132479120650722,-1.3693319694486408,-0.9025137378208747,-1.1436959667637632,-1.4464386922599448,1.2842603223370688,1.2303156576001841,-1.0663730613000948,-1.171272399841776,-0.7869547706859459,-1.2930441384931675,-1.3460735164614221,-1.1617017944022994,-1.3124822836712358,-1.3000631868012043,-1.481055061974794,-1.1237970878169565,-1.4904627056088122,1.0920144146476247,-1.411671901097512,-1.2871847963971161,-1.440885630414038,-1.544007689576681,-1.0114624544052344,-1.0139036169156554,-1.0387776948004723,-1.0964616912856915,-1.0048101519492312,-1.1482471243017909,-1.0216858476525652,-1.4202522481609219,-1.0668356729071231,-0.8528762048728596,-1.0552886115944509,-1.1572446292769938,-1.5100830849966231,-1.503991485667585,-1.2050326863361143,-1.0454917549511062,-0.9801452747057855,-0.7984838952371351
Tumor LUAD_mitotic_LUSC,1.3380241738780474,-2.1944198166109916,1.3100897006833827,0.789545641726059,1.0965410665873982,0.7686966615788495,1.1722429238657217,0.9915437545354754,1.3079895452994335,1.119184836474542,-1.4155524459150723,1.052601343758533,-1.2085261632623585,-1.2847019677808014,1.6919723092539816,1.5231066666314066,1.2713211224530758,-1.0986093576317268,1.2923512744508816,0.9345645269450304,1.2699454894458226,1.277160532504924,-1.0902814797863547,-1.3229802835451476,-1.3849362808381134,-1.7918952405183435,-1.8227535898370562,1.3637756936845313,-1.097183663434795,-1.3786764807609262,0.8353327316015787,1.5413786456433949,1.0733250377721268,1.2087887516210378,1.1539376462837185,1.7661405315517151,1.5615208124021867,1.0746314946044515,1.3056864003738204,-1.1445604683075636,0.9981248369172104,1.417124064803816,-0.9538169496105439,1.2731843701324557,1.1940983496153141,0.977624143575413,1.1760999953340014,1.1654914079313292,1.3963816098028994,1.2984237220063308
Tumor LUSC_LUAD,1.095327813792764,0.8156987020850247,1.1022517354240975,1.0473007053302819,1.087232021794417,1.0406979833470746,1.0699743366408896,0.9878468696728402,1.053476668076715,1.033840608831175,0.9890669253372217,1.1077116036027777,1.0150677955541316,1.107775072350724,1.0417998299976974,1.020400428305863,1.0950486509022868,1.0708031456041778,1.123273840899617,1.0702426024405134,1.0490201980702558,1.103321770123767,0.970985999307608,0.889204455505781,0.9209704720032698,1.0791445370598929,0.9942665605015388,0.7773332524430567,0.908629878280991,1.097371582158183,1.0894654444461689,1.2567738002609319,1.0729113690912304,1.015632680354535,1.05516937468894,1.2089473630291727,1.0599894428361574,0.9786327986655686,1.0591153400101272,1.0532600485551484,1.2088939807632753,1.1252412272618506,0.9334907142677017,1.1561507653477106,0.9673521422497661,1.1348140642888467,1.0777901145832787,1.0085187296344817,0.948838909133928,1.0489811195536949
Tumor LUSC_LUAD_mitotic,1.1143398442260064,0.76915654411297,1.136520129151154,0.992851822709038,1.0742410777136766,0.941026703216652,1.0835797968302407,0.9952613539591195,1.0543831077268557,0.986481101645323,0.9653837020083169,1.1751012198799984,1.2379561798489485,1.0170357272051738,1.0575474390774449,1.0538659202518406,1.119305916274559,1.21402368831914,1.1618492633755604,1.020160163956439,1.0632649425672571,1.0414548165657105,0.9780835995120272,0.8975257900438628,0.8821168496836763,1.0770263528956445,0.9856135201346894,0.8777914479868567,0.8819101943662088,1.1395464043215935,1.1594014741437266,1.3236018304199662,1.13802325316404,0.9889686523799635,1.082930201441079,1.2658684348124138,1.072648164026137,0.9522619500036239,1.0768774326331985,1.1243464180350382,1.246354157058359,1.1441183188145905,1.0280500118347917,1.1295712492023542,0.9630965458593665,1.1354147657432268,1.0444697143998356,1.0772926259997215,0.9775525453035911,1.0585498489895706
