cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT2,2.457321623743789,-5.201665460395691,2.7656399582187294,-2.680719327925734,-1.7497434528588514,-1.0527300751951358,2.244056355730027,1.8181506924500999,3.551541961086658,2.0974226361004886,-3.0477571566106847,-1.2364114928700105,-4.9894269541124965,-6.071268801456444,3.2401316284547206,3.467101756391461,2.155221722404722,-4.7383065538346125,1.7032701645043937,1.4327573582910331,-1.7081634415869476,-2.5919021955711368,-1.8737828480336733,-3.7282932437689453,-1.6840587389823616,-3.2369152724718835,1.3172345889446135,-3.219246325246493,-2.561357743199658,2.0837989373853616,-3.06670746168646,-1.8544188213257489,-1.5334397227020844,3.3811719995616727,2.1715924459733196,1.9915641835997493,-1.9419183988103474,2.6533370614521834,1.8693485249485375,-1.5309620644705992,1.5277216103287263,-3.199223542209912,1.226315556826125,2.272774724307116,2.4625804399724234,-0.9600707934192487,2.3337093991747526
AT2_AT1,1.89261776501707,-3.591481278273628,2.074922931575382,-1.7310339596283522,1.8475834480612328,-1.0447121269768853,2.9137959515309935,1.6281000463740711,3.3414538636930566,1.4178311949790467,-2.7423316696228146,1.5978609200199725,-4.9403849417418115,-5.732851259553935,3.237844246516738,3.276097071087143,1.5977417068474857,-5.10452999769125,2.6535843366448657,1.9393563360022839,2.0124706009209303,-2.7605107410933623,-1.914374665990162,-3.6333317954538704,2.533864896913268,2.6739430891828744,1.3291841165966916,-3.901776666672123,-2.8307778098408445,-2.3790366967458865,1.2286469533849016,-1.4455438285061943,-1.6332788907370968,3.5196362970790807,2.6742100793382497,1.9072540854979292,-1.7935867239500856,2.76031609383239,2.1116001995109546,-1.776281004914204,-1.6385225693290488,2.407964185556579,2.697605883759577,2.279303713156887,2.0485401892625035,1.333856867742579,1.7515038349837604
Ciliated,1.1473826400178275,-5.751464967039844,-1.2986439956026838,-2.6859104771770665,-2.1930554722499065,-1.3847658087019326,-1.738972663547758,1.0421809856375626,1.326658724017797,-2.30608411940707,-2.516785881425623,1.4442022423890635,-4.047513938103605,-5.6416002544306565,-1.5910490098043344,-1.9972443633162376,1.1315981029046454,-4.328703942932915,-1.657827651395359,1.521128054825717,-2.190772724446984,-3.9452075849792276,-2.462211467360501,-4.982207952364034,1.624111310962825,-2.1851692478274067,1.1427135578724006,-5.126489377336164,-1.881166955491038,-2.7762076737554495,1.4943897200916378,-2.2053576146420086,-1.6202680964384326,2.6303874331076957,-2.130054312548077,1.7570781459787104,-0.9461845534493938,1.1148362276712187,1.4518613098058843,1.2576107364993818,-1.2913883006230529,-4.757128531602831,-1.6710237962978332,1.4493639747960072,-1.205362489006147,-0.6825582040605488,1.968916340127865
Club,1.5161710002906161,-3.8323621546679467,2.577888639739709,-1.4886239995561619,-1.2971534076809086,1.0475227987911535,2.9674122440502164,1.0373111079419066,2.6368635941248804,2.2280773981483613,2.8359163800900724,-1.6116387624239856,-5.6163682454457,-3.7284028121114114,2.9776975988646988,3.576937657857706,1.0222186874898391,-4.335739990882771,2.4441525816464456,2.153157735199375,2.5807116554671157,-2.4266429571339567,1.3975204565261616,-2.0906909921869117,1.4159950210063104,-2.616086297217474,2.423738456903487,1.444083374138276,-2.1366615642121816,-2.322202589710676,-4.379070845764263,-1.560336267104931,-1.4518711564104263,2.4717505429826447,2.7064325905510787,1.7618295447253014,-2.2568204248501553,2.7251190299627464,1.4776919956351333,-1.5162944197283443,-2.580991219388522,3.659050095183863,1.7654581303288213,-1.8511505194799107,2.1593710389048804,-1.530705303732698,2.3980447771310245
Tumor AT2_LUAD,-3.508808092628826,-3.764819914897499,-2.470543072646759,-1.7899100263600614,1.5256921067630105,-1.1139168368914159,-4.293907716300308,0.6408058707971905,-1.526899646833686,-1.701625945440048,-3.522530249847074,-2.6022153253796234,-5.664935570792382,-5.455075770102269,1.9639676526868795,1.1732533314717055,-1.9089621016146963,-5.989588663853533,-1.9919049220061746,-1.1943014415965132,-3.1007534323881054,-3.054613397584943,-2.749911312422646,-2.1679245226583697,-2.2199920886120665,-3.498961036116802,2.4786115764816676,-2.3637224573676376,-4.389612871765462,-5.195250610884113,-5.7050816494166074,-2.850743478982163,-1.218952014919801,-3.4120351595390397,-2.314872883556453,-0.8918675025946614,-2.395442497597467,-2.2248933578751746,-2.2264678314277035,0.6585486882451972,-2.4729368265054172,-5.5725342379405856,-3.5225826274702627,-2.3673901978921514,-2.0584288668388404,-1.6976460225802024,-1.0777581465963222
Tumor EMT_mitotic,-4.374540011480348,-3.613113863884165,-2.7381111156029205,1.140531961684637,-1.5623798261226898,0.8149555109473777,-3.5200460060396503,-2.0032607888946385,-2.292295655568123,-1.7849168584615274,-2.892161043066001,-2.0611408770000583,1.6138188474994313,-2.8667903862931645,-1.2564075329111308,-1.6308019061590509,-1.8539097679801855,1.5681472110841383,2.5565450040496596,-1.2405600504695276,2.794821709393302,-2.391786332819099,-2.521488679684588,-1.7926141096168138,-2.346586417905934,-4.380512265277417,2.28806797688229,-1.7981078584953876,1.1209051755480535,-2.5404122671847307,-2.4362417405351344,2.1160065220608746,-1.4261723084857614,-3.330812591099581,-2.2662666467547137,-1.0671609280353873,-1.713848333774024,-2.7948016333079937,2.405514774735945,1.109967276053357,-2.0681485688973713,-4.636946225126347,-2.9360303801935292,-1.6207893806932816,-2.4749114216323522,0.9505034202270641,1.7185282079285407
Tumor LUAD,-3.664707425172638,-3.5929616435576195,-2.7590539691531153,-1.8350010349716903,1.3348487115962235,-0.645767856168713,-4.408911363075007,-1.4251616221531513,-2.281849787048889,-1.4533335176218285,-3.941149416712169,-2.247681642652774,-4.818114510877503,-3.9746907938332545,1.29498405499433,1.1631678482048822,-1.907207349430519,-5.211634210875068,1.527709514788205,-1.013979851283474,-2.1125919532766253,-2.6548110559440206,-2.107487454309491,-2.480229214789071,-2.2992908955043783,-4.4304332933229595,2.6335950276177678,-1.969392146898939,-4.649083167978301,-3.7594786122107076,-4.655520203471983,-1.5863994403714776,-0.8701095200842884,-3.644066512492609,-1.9348829378959973,-1.2688857812899323,-2.144752370438275,-2.76422621939114,1.9654251267674085,0.901595978389937,-2.3312963768487416,-4.78067723285184,-3.1434964864056605,-3.39374398086875,-1.8936353988925836,-1.1537910039016699,1.4627640744541752
Tumor LUAD_AT2_Club,-1.96015397313365,-4.611650302297071,2.902731680398315,-2.014729899604592,-2.3316548185046657,-0.9495096224466026,-4.40929285712048,1.1378194769813288,1.9025058627863585,-2.204857473170571,-3.3478726934682834,1.6150804326310813,-4.723514650337162,-5.9497493605675835,3.0260314999284956,3.2047827827727033,1.206274199833635,-3.8109368534618264,2.3380761322179744,1.0210478742429785,-2.370190220925271,-2.8279686649236138,-2.260878969797449,-4.771724386598068,1.4999226182659182,-3.533357337219846,-1.4214840054459936,-2.9866686726907994,-3.282823081469923,2.524733582292588,-2.954887905595166,1.302174271352349,-1.475311828997078,2.2105983368573603,2.1192321431902084,1.2781619412399163,1.3602271364361196,1.5645523081909272,-1.209279996983588,0.7501386354651487,-1.6986542221659777,-4.941814468666653,1.7956943492023472,-2.5244133129278543,-1.3138229346768162,-1.1963663841795045,1.8330937895686201
Tumor LUAD_mitotic,-1.3897587393364863,-4.4820534367289655,2.276649661412724,-2.6639132296378714,1.720150216516612,0.8478678296512137,-3.514452034444894,0.901502574336028,2.0504370843051403,-1.7368392499278995,-3.338892366285098,1.6969364544074197,2.0658033582346764,-5.509303639922657,3.070921145974381,3.2185097125978013,1.3701367248058378,1.8573097026282772,2.135589155392988,0.8769973838935853,-2.8017786763143473,-2.9221340228635677,-2.3790643378236296,-3.572991856003881,1.8712849532382845,-2.429488804392978,2.1313609106435734,-2.6461176183537067,1.263298600468954,-2.4149131087274385,1.1439722008903417,0.710007551471747,-1.415489691192269,1.569619342370269,1.8534244069556773,1.381356380807844,1.2026314667370201,1.3678858624918717,1.5140792006325514,1.3034085379411169,-1.8371090254008775,-4.553410880613446,1.1427309234849476,-1.9497947123491752,-1.6591334163975562,-1.6536140992099786,1.319809967964755
Tumor LUAD_mitotic_LUSC,2.342231641575479,-2.918986344520278,2.8205584418345393,1.4633465353526351,1.8058479718935152,0.9704887210568641,2.851373364297924,1.573268560347688,3.5435287727623783,-1.6266834883229628,-1.4376224428717128,2.6783200837847585,2.8046713581513423,-3.9085356385936723,2.583611533243539,3.2695635142394113,2.397055832080489,2.899465352376346,2.711509962200917,1.2065359222851326,2.182628935978757,-1.7716738450983278,1.786891777862374,-2.937431489703335,-2.7727222097592983,-2.4917028390279743,-1.531518963750287,-3.9735654373584532,2.2557278408511,4.018940410289761,4.754798473192385,2.2104236330913727,-1.0271192185646758,3.5913703994334596,2.6487166205873223,2.4793497813573606,2.3000906878207457,2.838869209783907,2.866607697786773,0.6504380973793679,1.865271134769952,4.049580059589151,3.0513990193374663,1.768007445021183,2.7964922388697375,1.038046212554037,1.960727602971253
