cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,-6.093625044237838,-10.449269664895477,-4.460399820609363,-2.522938156516179,-3.738689796355614,-2.3415912945035755,-5.3257791452233665,3.2684318490826327,2.548306708978986,-3.507438524916437,-7.135064486657019,-4.071396728960041,-8.355252875539598,-7.5493896121098505,3.2586097035072497,-3.573198711562521,-3.6570828287704154,-8.459176759058169,2.915278230069314,1.4554404970956452,3.225865625456351,-5.369234137390944,-7.249012172249924,-5.069810146168956,-8.43248129158482,-4.241243193740423,-7.096465677850472,1.03318417492486,-6.879207525206633,-4.646378963688224,-7.545964428116158,-7.722056524929577,-4.228124811205235,-4.044482064818625,-1.6605065822044989,-7.184653156044252,-5.405480387890098,-1.522385224396778,3.2463896050700662,-5.125167168271237,-4.1686645417939925,-2.705010768534478,1.9574314245779523,-3.1823280156636717,-10.084524124412086,-4.715945078746421,4.153392119141338,-5.9660747344834215,-1.6144722955577269,2.716110885779135
Club_AT2/1_high,-6.41195690344544,-7.97704534704606,2.9693987957132046,1.8676664829250695,2.724870918822468,-2.4961654118652024,-4.874829703946548,-2.663975281311581,2.688999782605046,2.74352072384828,-5.101943371996259,-8.168761851440353,-9.997515595029453,-4.530176273249588,4.571006417487013,4.490170269586075,-4.4958323787477505,-9.644272996580519,-3.8739210632541163,-1.4515911130355241,-4.431397033672465,-3.8272778759769084,-5.024736970687494,-3.4753773705343756,-4.802633595898268,-6.334998439076667,-9.275686652468151,1.6510521673846215,3.074846542663855,-7.815310970621488,-7.163037528283772,-11.340072365012713,-4.810999322319066,-3.067889760210735,-1.783975755630223,-10.868946410655324,-4.122543104689211,1.5637340640141457,-3.7423429480434436,-5.501727007963333,-6.704692199896229,-3.2820416828244166,-1.3538616046549112,-3.2687766813876644,4.625653250956172,-6.761438576831232,-3.731309072611778,-3.2951132542424286,-2.5005598009922654,2.840676096412924
Tumor Club_AT2_LUAD,-4.454147681800154,-9.18081541293679,-4.15687018935937,-1.8752576986172746,3.5009524246872537,-2.2660316471838398,-6.645119265649469,2.7316781020747474,3.57743030135546,3.264192162784141,-5.298061967656467,-6.318961575830108,-10.351083321594828,-5.565353577126349,5.503091975350601,5.941060616191752,3.1246845683509803,-10.550050976368345,3.591110728355201,-1.4383311612721053,-4.311860476820979,-5.139152481012457,-7.045654019448479,-5.318218441898394,-6.5399390370006545,-6.605257100401265,-9.499641327701807,2.4671478741766033,-4.7892341146015225,-8.944715060488894,-6.045727461733253,-8.64662789492839,-3.482868576481336,-3.165622925392118,-2.229842774692301,-5.50152387403986,-4.553824864208256,1.8060152896107007,2.7741838949431523,-4.603886459812997,-4.8048409365334965,-2.085310627807281,-1.7741326679863914,-4.608127668640737,-8.962044011308118,-4.626679090123403,-4.802437051093989,-3.792688075915198,-2.7885528173565515,3.6430988667425868
Tumor LUAD_AT1/2,-6.730787565928698,-8.793444442285178,-4.188278514810194,2.9827394739287305,5.121988532827442,2.594332828410756,-4.654207007386946,-2.0717515278427894,-4.339578799056454,3.0851535457332577,-5.260100733726495,-7.56324999752389,-10.336443965784374,9.49122704717934,3.4733851089009384,-3.549844588595891,-6.283621623140776,-7.580467755128317,-4.959148761356438,3.355288982997232,-4.2591124982650514,4.024251172452214,-5.3547779681154735,-4.597907320878163,-6.83009610696457,-6.838994128816989,-8.984839630440938,0.9683755680167095,3.620206761505012,4.467852326157734,-9.847850293246266,-11.041930305356084,-4.8642438800151435,5.334876486309959,2.349932589740077,-11.73344175747186,-5.796694899541766,1.352029984929381,-4.310407751386103,-4.424286932966285,-5.530351747931437,-4.704141306217637,-1.9710571423529533,4.442551364711584,-6.156695261795505,-5.611768541562004,6.992901142745461,-4.890952669124909,2.9054580121747042,-4.125834979054012
Tumor LUAD_Club_AT2,5.980547313768715,-7.436590673697804,4.598252053630647,-2.1114932395083157,4.275460096859552,-1.7216661730162017,3.6823526306227565,3.3828356712851226,3.7580465757327794,3.2031514005372275,-4.627450754980505,6.0979942588826965,-4.890837431811042,-4.526386117171397,5.216455344824714,4.458544666693839,4.436296886139749,-5.713517764970741,6.415227417650374,1.961286857925695,4.5239491701103995,5.26241022151253,-5.1703168749367485,-3.6771524656367522,-5.698601438014776,4.274579301980274,-5.195903928183747,-1.0282654277396222,-4.222505084129947,5.0135716359434594,6.414596480903667,7.647177501820017,4.464489467957644,2.4368530032202584,2.675197960518839,8.11124784679999,6.096705524340827,1.159154720448128,3.958245098546452,3.2606350720848605,6.0196713503474495,4.076323788930118,-2.4000044615537885,3.0122096503201683,-5.579485056480927,5.227023931975671,5.18750881351149,4.006214141577699,1.7945465211616387,3.52515349670908
Tumor LUAD_Club_AT2/1,4.346928211370135,-8.020026764993338,4.549036761382463,1.5276125759547015,4.2036506895040215,2.3361610542841817,-3.5756079647131904,4.024369847557794,3.8766694187413355,2.482304203170183,-5.171841273346921,-3.19900161106093,-5.282690785864956,-5.054638200356938,6.487605751338998,5.647238965544632,4.494733582130039,-4.841522269760067,5.265455175858154,1.69259313555389,5.37727551653963,3.788808388477076,-4.912681565163731,-4.0401462692765975,-6.570941454702204,-5.809159043091053,-7.216655520750173,1.375231178934356,-4.386299354331732,5.370576828861688,4.0579141296190775,-6.065492575594697,2.499887497127304,2.26266695557062,2.9042295629365573,-6.662636454243647,5.282216959021482,-1.026747892174229,4.41108331841895,2.9482092019751303,5.107719418023048,-2.343976369922132,1.5090197977114086,3.767785905990197,-5.2937718221986705,3.1126493394847126,5.9142448019295,4.030306961682708,2.8285533100369706,3.9436203583480838
Tumor LUAD_NE_LUSC,-7.549612676280568,-8.731119496218106,-5.542446569036827,-2.426670173277281,-5.080466267862434,-2.953588921076138,-6.956765600005688,-3.5488601133279394,-4.307872078785501,-3.6868023936960164,-6.287210330495558,-7.716991191250057,-4.428051494385811,-6.918421467740527,-5.569018426973844,-4.194055492888982,-5.8584186280593515,-3.965538647850568,-5.0965315852391,-1.8283277391319421,-5.739174074956372,-6.0141781813534445,-8.891110439518954,-5.563564755357126,-7.321171865569346,-7.009629749369303,-9.997742994170315,1.2710008837200513,-6.712470785260743,-7.5948314523799185,-7.984067272877488,-6.671503805275354,-3.9204590588751334,-4.826366280602076,-2.8726917792811744,-6.868975932585483,-7.194709398671183,2.5866224346519804,-4.172598997216785,-5.90502264206776,-6.995964727314159,-3.069460190946157,1.496295536993542,-4.625104379582783,-11.4358097256323,-6.724830689541909,-7.913623312175735,-5.677418627588623,-3.13785192228609,-5.019506453387217
Tumor LUAD_NE_mitotic,4.703991565151976,-8.650131119632084,-3.5691265529888874,-3.0315124459420475,-4.861169090176494,-2.8482709982524392,-4.575084790666977,1.623790108671603,-2.6013212724835593,2.789393071134221,-5.9743739232457616,5.4025233829819115,-5.837561909830933,-5.8388250112133155,2.6397227726304915,3.756299886879131,4.792106855963656,-7.848487890697181,5.10659274133903,-3.0614667266725424,-3.221357467295416,3.874955294870667,-6.064933792872211,-4.7869014183094585,-7.167684344553589,3.019329645773246,-6.832287500663629,-2.0419709707018194,-4.242232102793108,-8.962177839582356,4.530379115509294,8.764599498489263,3.544843889049933,-4.22236060973226,-1.992897773246568,9.474001691163352,4.04478491144169,1.9625261907833158,2.7958935106461826,-4.254607348125217,-3.3150011062232876,3.6812685336105972,-2.3389167622067553,-3.1779498636661065,-8.647715317751658,3.0541415622956887,-6.905475100160566,3.4237308014024013,-3.2898704020340475,2.9742019706835556
Tumor LUAD_mitotic,-7.063941830466824,-8.87375616092802,-4.834998010691452,-1.5717205558890242,-3.0154204065549712,-1.9459194122309025,-5.507969612883726,-2.50863834106554,-2.9578074495958595,2.229328585893533,-6.588174332505279,-7.333038879159656,-8.499666864413392,-5.289490043559583,4.403802216064994,5.224801683698011,-4.537721932844218,-8.749910854362254,4.690476056477744,-1.5260195204900329,-4.792952199010037,-3.9108764040793385,-7.2083938657490485,-5.377106624190929,-6.941495256636838,-6.880815665216446,-9.390198489193093,2.0914238412310766,-4.268939231423995,-7.434162474445711,-6.165589331195424,-9.670323754448342,-2.8781689241072272,-3.5547745381038514,-2.306371425917001,-7.993917029846208,-5.179537904190919,1.1844759974770234,-3.5805533325882855,-6.134188676036942,-5.842115198867525,-2.5715661464045168,-2.336402233628043,-4.575234978751948,-8.868426167070654,-5.021223665215159,-4.812468552453448,-3.9667631111754416,-2.923128318354927,-3.322963093345078
Tumor LUSC,-5.208655172274045,-6.458480374009546,-6.680978267461479,-1.5605226536446277,-5.116823187828628,-3.2080686322661722,-6.799614166392009,-3.4121502720015298,-3.6342532718053397,-1.7062365275841547,-3.7238728600984135,-7.158816941874363,-10.793820057999904,-5.917097378189177,-7.429242096453102,-6.174606926142171,-4.0874102238538494,-10.13873409117467,-5.844154055887943,-2.953311697145634,-5.7014309349556775,-5.749636177950686,-7.289813558041542,-4.821287207200364,-6.731348318301879,-5.552779071141945,-7.78479446093185,-1.7437947435560888,-5.3367337138024356,-10.08427258293972,-7.676930624733834,-7.733332214261985,-4.635796356156607,-5.342833170273631,-3.712962663690126,5.650839560259822,-7.09294497449863,1.8115661929732862,-3.6598734739964973,-5.858430402115456,-6.772583852400491,-2.5572449151886065,-1.5743162946902358,-5.319346311385874,-7.851439880651848,-6.691162591739287,-6.895212904628694,-5.592300982238575,-4.185729471124901,-3.600078513371405
