cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,-4.7603790589482,-8.459923194591266,-4.918021412192676,-2.682769331946968,-3.802826545403083,-2.103272804514532,-6.34313933515569,2.83939761162227,-2.8905811484912114,-3.0901416931670767,-5.8199974081834105,-5.408027930583071,-9.271863663209782,-7.940220865260948,3.040250480649421,-3.9784377573040905,-3.6956735228144644,-8.955690048243202,-4.051934625438098,1.4465855549026971,-2.857350363059336,-5.522340783644937,-7.890658687446752,-5.740255407504443,-6.844105975741846,-3.951710819280395,-7.409037312625203,1.4276256164380867,-7.156513300251191,-5.844024601971913,-8.96980701405136,-10.437151167995038,-4.693555776300382,-3.2950844557539947,-2.0318328111848305,-6.933146639013019,-5.623160587284103,-1.3215789422172257,2.8345781536351606,-5.001125935928135,-4.227003192710798,-3.6671943758969676,1.6930546960495902,-3.4841037486473514,-10.246416193881165,-6.029092635283269,3.461525271460891,-6.079620094297028,-2.33176008857447,-3.1348066576979168
Tumor AT2/1_LUAD,5.646064051748509,-7.5831120546922115,5.5675170492798385,1.6315171828495136,4.140010454176236,2.349971285479224,-3.4853415940612833,4.015826276677383,5.069643894161497,2.835216322627115,-4.615786795257216,3.48607834548456,-7.384472216958571,-5.196875968967277,6.035004581032539,6.091225014939855,5.315590459862151,-6.8039220610880875,5.095181683334777,-1.5465410663141443,5.122209335573928,4.492886476942422,4.39795635529855,-3.774192411131099,-5.125072403049654,-4.094902440463992,-7.382520440316849,1.6223105195132794,-4.464051352734325,4.1312085317400635,5.115948870951268,-5.917121920480543,3.009877557577161,3.166461094018683,2.461526261582389,3.7721087503762614,5.357601567894038,-0.8466566019760686,4.561638212813034,2.821786040961344,4.580050868172803,2.571418355037004,1.2374520711010146,3.0867263287528295,4.713067942281287,3.265445109744459,5.422768994561454,3.694744710730936,2.1978821622111746,5.176699677691376
Tumor Club/AT2_MSLN,-7.553458234201347,-9.333684442502092,-5.769922273413822,-2.9134660440618445,-4.137756529330326,-3.0062910108721996,-6.655051652202418,-3.30237355791493,-3.9425748720762,1.421008027009505,-5.595402437020076,-10.084219577145754,-10.993484326438082,-7.110523599364801,-4.180194972704597,-3.089868655619175,-6.108900800870408,-9.466761069618201,-6.039501290518505,-2.1894454516541177,-6.701258050005046,-5.904540429784907,-8.872018740623387,-4.913049924366717,-6.559671485629021,-7.692241291969425,-9.778289220336518,1.5293208649541163,-5.170094096244427,-10.174580210573703,-8.929690485324484,-11.232538497577599,-5.614934782657648,-3.263674746562116,-2.967574218250006,-11.967003246869595,-6.160189566865377,1.5373347946840836,-4.997948592009455,-6.585516687167395,-7.3208362106739475,-5.187863319575843,-1.9443914193463396,-5.195045921866199,-8.053828480730212,-7.896982640020995,-5.745070006601259,-5.2508272865769845,-3.5008554458467973,-4.57070674188696
Tumor LUAD_EMT,3.042796989550602,-5.990231627115309,4.120937884392891,2.4664675058038714,2.5187653424679,2.312940282283626,4.222271231308817,-2.247968479668011,3.168614219974767,2.260566977555885,3.384779162787476,-6.245362002058204,-6.655167198619151,4.405681014893313,3.7502034214690116,3.2967677348682263,-2.5506856088918903,-4.872783869061115,4.293770119616423,1.4525896100759363,3.5612176667290583,4.506005517551749,3.648546871566091,2.2986106339837593,3.0139558625620757,-3.8937249419497584,4.061904048847965,1.0700277615733516,3.7656558158630338,3.951207007445286,4.112048247559872,-7.50190592291946,-4.252205212803168,2.2868217722172495,2.3544330592864124,-7.2946971405633105,3.778246725419515,1.521190407843178,2.628333083112522,3.1478849863218565,3.884568982842406,-3.1094418931987335,1.5275167585628517,2.4592326761558616,4.779843844249589,4.1099369641628725,3.9675851626508982,3.81662032460116,-2.0520961955803254,2.543148099944096
Tumor LUAD_MSLN_LUSC,4.655363344071303,-8.208727414292422,-3.2802881322589625,1.81448790818666,3.204828391106733,-2.342229891712244,-5.091317571747326,2.0267227075193737,2.6931599690541974,3.3693494175883067,-5.607841567371469,4.071362521358189,-5.9064015307235005,3.1489377582656664,4.05373232286666,5.052523347424342,4.189002952709095,-8.051636919373014,7.348046695360311,-1.8140133669274912,3.437744795535061,5.794479059503294,-6.4978708712170175,-5.362620955869234,-7.89205806034245,-6.887182501333027,-10.225784497381714,-1.1519081673717344,-3.9615729009403173,-8.60326149792702,6.335613939321127,8.281221419274086,2.8430569487005957,2.644894608934279,-2.5735488922068224,9.758007074844466,-5.739859617564538,2.070467066178404,2.6455236608231743,-3.9822403935020736,3.752695035990278,4.1267205403493765,-2.029147841389432,-4.422134182219592,-9.786940893701683,3.6506224547134205,-6.124937937162579,3.3058397626351517,-2.768486552777789,4.610445116936942
Tumor LUAD_ROS1+,-4.538329173911273,-9.136347629530423,4.1659829859182995,3.3104207038415443,4.753163753614715,1.8158168062389468,-3.6762659885021183,2.337909703284397,2.0600208579193144,3.5327227926217,-5.493283991345346,-6.7800082837637135,-9.767549286569924,7.505903629329176,6.558095284564871,5.200908826189024,-4.5213812619289735,-7.344929023937692,5.256558725005248,1.98822676945113,-2.927503157256523,4.998063737849391,-4.253926609784838,-4.3260044843367025,-5.347858443608396,-5.311233029025649,-7.32423687527077,2.381943582065433,3.9601072501995107,-4.659384303386982,-5.975009041741851,-9.84183842638753,-2.9690974692359724,4.371844558469842,2.826759458565807,-10.269197636631931,4.72252988112054,-0.7680176751647897,-2.6665262345712715,-3.8477061914652055,3.8460216186334573,-4.154063828259717,1.2690702362177,3.3690832149874494,4.652403609447662,-3.5183310520591515,5.968893972284622,-3.144728753849068,2.7892951161365325,3.0462177909620083
Tumor LUAD_mitotic,-8.844601196277685,-7.131823212228529,-5.463892773829348,-2.5439447497938583,-4.581236540825112,-2.3449520854227357,-6.483198540800469,-3.2560780489800316,-4.106854025555552,-2.376673554859387,-6.238177903657629,-8.109452673590145,-6.437005618604004,-6.02951561207203,-5.36521108568644,-4.001471380168193,-4.538681093720685,-7.780754969883063,-5.21010547239005,-2.3564417721840094,-6.224467816821905,-6.939713711200565,-6.109817446427891,-4.87723638286118,-7.375321152577822,-6.257167401001202,-8.212606747584767,1.4445423969146847,-6.067589092689832,-7.0608848285952925,-7.651131375641536,-8.03851872740405,-5.498636116668219,-4.792544073396044,-3.250801385382706,-9.721692300789519,-7.964199733684892,1.5825709778397306,-4.255699345413722,-6.573900252487674,-7.273448350566106,-3.92413871122981,-1.6632307595208549,-4.741973195578474,-8.079248160690373,-6.901495337575726,-7.055755557113279,-6.383510134118405,-3.3015343896708904,-4.097640600060546
Tumor LUSC,-6.808253406025605,-7.278419094810044,-6.0319565809306885,-2.0242758705218007,-5.949483456403277,-3.5132607504914746,-6.944199016840892,-3.5932192653852377,-3.911242104011569,-2.4719052316942967,-5.226700808473296,-8.3355132827626,-9.975081572170485,-6.667661297507128,-6.954959322100061,-5.7570625520516625,-5.36455111940535,-9.831939362249154,-6.202911430977864,-2.6575757818009214,-5.268467276545694,-5.854651769642295,-7.8370957014874865,-4.167044676818121,-7.457443341359609,-6.266967453540803,-8.029414749194013,-2.341172957563057,-5.316752754136251,-13.261067839000942,-10.11937057470179,-11.579167289516315,-5.195928170621288,-4.256044800168516,-4.4223448937695515,-6.099540661707367,-8.593287689773055,1.6602860530098942,-4.739564144148725,-5.257644384795655,-7.21204867131719,-3.332375652566251,-1.7678007061042327,-5.736817776549544,-6.965491734119362,-7.474039060245245,-8.102044078133552,-5.61528385326367,-3.6236412086716334,-3.580708153861418
Tumor LUSC_LUAD_NE,-4.519282757494813,-5.927189527704613,-4.8890713099288075,2.460738042485749,-4.054052819068812,-2.7405500974322767,-5.626023914579056,-2.3364093209781087,-2.5702053668203817,2.1492223626215328,3.090830572366135,-5.4742998707471315,-8.446933453145993,-5.180758859766529,-4.361017703242814,3.221397250317268,-3.033783458985369,-10.411359232765014,4.016526615442225,-1.659981276259331,-4.373125805163,3.500778807254377,-5.585268148554393,-2.9833300300619623,-3.646318654438234,-4.905628810951051,-7.103957964736271,-2.308677002300326,3.3435087872518916,-9.120981681082016,-6.121497510995073,-5.887310847570242,-2.909865467266442,-3.4679611667696286,-2.5097297201224844,-4.353914806370958,-5.9229850417657826,1.4041140819934939,-2.5189921217706432,-4.786205016267429,-5.222434918101356,2.240844428157183,-1.9449617569675952,-4.873220861805332,-6.131877839548198,-4.26187788131222,-6.892151249673864,-3.6633899254904025,-3.234495707982986,3.1130555284924437
Tumor LUSC_mitotic_NE,-4.063296191717676,-8.481167094904112,-3.382031558814654,-1.7130868390072487,-3.9360435157054163,-2.5267472118617302,-5.542493173685198,-2.417583955187325,2.5652574740945076,-2.2470595195165024,-6.036763496675563,4.321117748465133,7.753404950659651,-5.651008548682545,-3.7448283156498823,3.9274683014793608,2.931299040915514,6.882254831807042,5.426788550744039,-1.8735845691056858,-4.126165147417596,2.8358349045366107,-7.263607042238131,-4.8916693990333595,-7.775013482277421,-6.591281109475739,-9.622522978906737,-1.9121347049627972,-5.654413994981484,-5.254816243492466,5.190252793594296,8.937530519813892,3.01595325553539,-3.7787712532505564,-2.217835427469705,6.559627420652603,-6.227600831615988,1.5558009440388512,2.3410615064233817,-3.803705183525264,-3.6681896390171,3.5975155679644306,1.1989445372223664,-4.6982956236454605,-9.156443477672365,-3.627630702402719,-7.344781833220007,-4.002421358965792,-2.831932595044603,2.638236917805504
