cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,-1.2668775291604097,-2.189947836060251,-1.1884376107755266,-1.1094409497844515,-1.1328755559432049,-0.8214721805562112,-1.3884260312120482,1.1940996186897452,0.784821246444515,-0.9820142270562296,-1.515242483365752,-1.3694350197346004,-1.9325127627659493,-1.4567900790959762,1.319407344367156,1.1046182420403907,-1.2393771421434985,-1.8849723573747788,-0.9946149397522798,-0.8146229656197257,0.875185504085874,-1.4877341175471077,-1.5794524894159407,-1.7294964002409787,-1.7824681170924073,-1.183926449473426,-1.7507665375084673,1.1380676254104862,-1.5250174194384243,-1.058417195698333,-1.7747019578902343,-2.061109531617419,-1.614132764165918,1.0051361696718695,0.8299278184287503,-1.6811743639464398,-1.1804660160942424,-1.5494671585846103,1.004389987277145,-1.6805423368869552,-1.2968113347714056,-0.9363660399781859,1.353754055451018,-1.224593389364403,-2.0413179087041398,-1.9319694091551272,1.095349565800261,-1.5155103564268892,-1.2467533495848633,0.9278762145290019
Tumor AT2/1_LUAD,1.3631659633536897,-1.9731705267451094,1.204430652275063,0.8053083667796673,1.1039567016819019,1.0838317474897317,0.9920026993542971,1.365852641052213,1.486651261772485,1.3363957012479262,0.8911853209569355,0.802104993598003,-1.0,0.8096977906558701,1.4486592748906921,1.4201635497774314,1.300459849403472,-1.0,1.1706121803373368,1.116224630717195,1.2255216353644116,1.0686962428405904,0.9262523862274834,0.8842550562974858,0.8248066724075052,-1.3505746239165621,-1.0,1.2622688567759948,0.8153237091253912,1.0089451105799512,0.9290147271370185,-1.4495704073128342,0.7351263782350653,1.1760622971437558,1.1391224352282991,0.9382390062778816,1.2612590665072967,0.773722855545434,1.313595491558021,-1.0,1.3003227349789395,1.0042781456748353,1.001809277944115,1.2129629916404392,0.9526491896036592,0.859511800653283,1.3205060701233555,1.2677605001851284,1.0950658123578456,1.335985762132994
Tumor Club/AT2_MSLN,-1.113433478072867,-1.1417705980074406,-1.1070815081664338,-1.0210156384406608,-1.011326376068502,-0.9258151384105702,-1.0851245408500634,-0.9576164381584917,-0.9696903068768388,-0.8585601840782202,-1.056491918172224,-1.181561427531754,-1.1525668281831767,-0.9665322114401557,-0.8995202954186594,-0.8802672857719877,-1.1027939635152648,-1.1597351325826888,-0.9995375873975001,-1.0079747201619185,-1.1573130118061234,-1.0781102487056375,-1.1499404048682336,-1.095671546519224,-1.0674382568869185,-1.1374320929623531,-1.1941613078451352,-0.8502991577144838,-0.9808569590109896,-1.157508297028093,-1.1925800487890692,-1.3060627164657586,-1.052987456322143,-0.9796176428599361,-1.0712152790075398,-1.274578725936241,-1.0701291063493832,-1.1280235475933458,-1.095390371682354,-1.1779036647607728,-1.2039365698902202,-1.104546887835671,-1.0473828457521261,-1.1783121904034062,-1.173126592790167,-1.194371277503757,-1.1273180056090366,-1.043912163254378,-1.0151287662965311,-0.9967010207110298
Tumor LUAD_EMT,-1.0713574976191726,-1.1524737234899376,1.1376966417094703,1.3072412241864133,0.9512823335887471,1.1942976944838992,1.072321071759382,0.8214667188521597,1.0971747867022112,1.2071378860468958,1.019287198034215,-1.5089590661841277,-1.4149688231970305,1.609732591590627,1.371892620044361,1.2200067673237054,-1.0128260040477461,-1.0983330526995472,1.3820558746880558,1.1679732971726229,1.0282590200066652,1.3693603172831625,1.1865737445011828,0.8500470509234322,1.113352782964149,-1.4300296459940611,0.8590439231421928,1.3776378287629298,1.3084142839963435,0.9069403616307031,0.8550780264742907,-1.855084232671983,-1.3276156933813594,1.1998416869454742,1.029369881117991,-1.9370411405725552,1.1223232672446013,-1.1714473831113816,0.8262526574455024,-1.0803086282061007,1.0404703791696477,-1.2183844174196605,0.9754079601580599,0.8706885140538456,1.145341301272978,0.9598706711690925,1.1096647124251569,1.1717832557845824,0.8813648658949528,1.0925502363466542
Tumor LUAD_MSLN_LUSC,1.3431164595897083,-1.5797053681158437,-1.0426868934974372,-0.6733745447491004,0.9878953658316038,-0.9778831516689627,-1.1500915022774818,-0.6668066802985648,1.1402484061123217,1.3304105811491738,-1.1353956714655347,1.309533538030677,-0.9044445922709672,1.2128862758884102,-0.905459337980281,1.1985497868389892,1.428858966735116,-1.401321282570489,1.9540117190800093,-1.2415213325959154,-1.1303146963836688,1.2799813764889656,-1.4388782104996094,-1.4239940837562348,-1.5628154533786567,-1.3947617576989382,-1.5716304337910731,-1.2413401775584008,-1.1444283621803122,-1.450446565751291,1.1921787487008182,1.9933406901734956,0.8727652381333291,-0.7755616208382836,-0.8190261080447548,2.255043354603227,-1.1028073940630907,-0.8108422890477186,1.0600192818097653,-1.2455024209726726,-0.8695711353696925,1.374832834273476,-1.1719028177445496,-1.3577714368545724,-1.7003028366400843,-0.9001237990365469,-1.42038499470255,-1.0454137649164694,-1.2768656022057838,1.2170754326880993
Tumor LUAD_ROS1+,-1.4989994368470647,-1.9605246870065831,0.981817502171064,1.1624027591033836,1.2202535239925703,1.0901690769484293,-0.9539106202461717,0.7559625729454409,1.1050108245465957,1.4246170913001668,-1.3645653814116507,-1.8659116438879106,-1.8644548424118803,1.6057851198740816,1.707986043291002,1.2975550646858258,-1.3759270389128364,-1.443820431133625,1.0941165921866427,1.2978942290326076,-0.9860200990829988,1.1491861160223882,-1.2317646713636539,-1.2679389453917103,-1.24233203996908,-1.6486534136887823,-1.8500954464247268,1.3027277314554682,-1.1096295287272846,1.1724899706473018,-1.4260891650200738,-2.0423263630192467,-1.2457641076017039,1.5064310165163783,1.0227625098681892,-2.207878863988235,1.0054695316561744,-1.3403883789374504,-1.2032382565560698,-1.3548151296191104,-0.945266752091603,-1.5039884114768203,0.8739251557773033,1.2091009683452416,-1.013430934273065,-1.3392675134184606,1.7595203146626,-0.9096013197666322,1.2275809694968123,0.9407873329670038
Tumor LUAD_mitotic,-1.1276535507542786,-1.1244240622506902,-1.1672420159725618,-1.0832281516157791,-1.0182735540782077,-0.9073792217048968,-1.1273465229493616,-1.0020190822507231,-0.9695814173097471,-0.9546267049639393,-1.1402641972707976,-1.1853221002707661,-1.0308867165240818,-1.0119763097568748,-0.9867354973093178,-0.906039313316091,-1.0454199153827075,-1.0492592703325605,-0.9803437805059471,-1.0208991274684671,-1.1386953478732913,-1.0883579495992375,-1.160864065151083,-1.1236766015635724,-1.0875320499067467,-1.1639550055827876,-1.1751887107284884,-0.8933640669686247,-1.0476478657050277,-1.1463286280702958,-1.1171763681531772,-1.150622736073911,-1.0708244289434847,-0.987062223064391,-1.0643612615541618,-1.2365988601035496,-1.1332576985523197,-1.2567343380142244,-1.1275968911860306,-1.1893627918728331,-1.2486360151219003,-1.1409844560458071,-1.0171024408528981,-1.2749054023910706,-1.2419265208333143,-1.1938315060158795,-1.1826503936706292,-1.091267973904337,-1.0898841788489235,-1.0680301039725109
Tumor LUSC,-1.0120299791731473,-1.1125192860763082,-1.2092997464735011,-0.8243857758554068,-1.0233085887565727,-1.0624926816982418,-1.1296946008941002,-1.0003205072599706,-0.8997069892337327,-0.9163172054636065,-0.92305967960072,-1.1241906377118276,-1.1979427418149984,-0.9246023231184395,-1.0923596627915195,-0.9863829973178235,-0.9193050626621533,-1.2112947395686735,-0.9519491778067803,-1.106717969298759,-1.1401453457430906,-0.9954772487679153,-1.097122560775058,-1.13604420394482,-1.0596112038126082,-1.104021396044501,-1.1502112636332005,-0.9651449146663242,-0.9641928944547669,-1.260095243333175,-1.1517426659345735,-1.2818343166779316,-1.1205738520891892,-1.0564227691063772,-0.980016783053841,-0.8934259115380346,-1.0200788309791553,-1.0510993357649976,-1.0202274723974691,-1.1835208569889029,-1.2872644116415215,-0.7541305674037057,-1.0692307287040501,-1.2478114811370118,-1.2235800479596581,-1.2408020856473465,-1.2059668482219488,-1.1028165097806852,-1.1235584982106486,-0.9312211939703015
Tumor LUSC_LUAD_NE,-0.8314085188314283,-1.1739558952087699,-1.1188348377929804,-0.7026955375565188,-0.9967100242195245,-1.0231028268124442,-1.1896825323622537,-0.9720484447080884,-0.7419232379761698,-0.7076382917565668,-0.814831454723925,-1.16229898023503,-1.272512581823487,-0.888794379962021,-0.9470016088479658,-0.7934944836272377,-0.8584723801457426,-1.3777096257587078,1.0,-1.0445578387307217,-1.1320276188192935,-0.7437586397195565,-1.1567677473343942,-1.1399093951806258,-0.9361752837712716,-1.3154625434665186,-1.3262712398255174,-0.9668400987461024,-0.8706362208486055,-1.3994081552015742,-0.8970715618151489,-1.0951803345789453,-0.8161638806549429,-1.0019881006134608,-0.9700505068460317,-0.826181369473942,-1.0596233826572017,-0.9919632766414811,-0.9891950422135382,-1.0941083399522729,-1.1869022863884244,1.0,-1.1578731868443648,-1.3933082536475394,-1.2019833904091464,-1.0421489301407307,-1.2468491717789492,-1.1453625630973117,-1.1258354964200608,-0.6960913074989433
Tumor LUSC_mitotic_NE,-0.9329069412809907,-1.3986453791430413,-1.1377086779416714,-1.092569177304739,-0.9806232843296601,-1.0072218766831773,-1.23577618475335,-0.859458222356047,-0.7220014721467838,-1.0044293902470076,-1.2354575368046221,-0.7802879520848665,1.0,-1.1058219898744712,-1.0736376568593744,-0.8385988866063052,-0.7995612822272157,1.0,1.0,-1.2170902961648202,-1.2556372990156701,-1.0866389956880835,-1.4275063149512306,-1.3473200901591704,-1.4363348241598202,-1.4668289848084692,-1.5105477846881508,-1.1110024570891814,-1.2279097459698927,-1.0521577654180851,-0.8052183720273186,1.0,1.1566049720761606,-1.054714697501397,-0.8868914790176918,1.815361599041332,-1.1865066113426244,-0.9429724402750276,-0.7774339994127747,-1.1610236420927478,-1.2652776795919571,1.1879814386919634,-0.7886817712586015,-1.474957214936174,-1.5376199037951233,-1.0051377379457245,-1.5300272846190734,-1.1537543173660179,-1.2456997763467985,-0.7843603323823912
