cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT2,1.4339058269145424,-1.0,1.3888323207447397,0.8766072825366158,1.0061787497122967,0.8838552251602294,1.1696550651066242,1.3435546324834071,1.5242494841999423,1.4712881319599784,0.992980679039305,1.0223703264608774,-1.0,0.9795598837013537,1.4025816598052019,1.3815819815176449,1.4209290066829465,-1.0,1.2318651220514059,0.9803668618806168,1.3030979573320876,1.2064135871447188,1.0670008117445404,0.9173221636872557,0.8434370871934769,0.8769968732694755,0.8025156944809307,1.0700431671202784,0.7932842490677694,0.8700364976728799,1.2033920761415862,1.3979143986196176,0.9567606710266108,1.2158465033370802,1.1401721201223267,1.484462897187479,1.3300085693406951,1.2036647270828944,1.4057559235170116,0.7702149801551231,1.4256929232956561,1.1724585290558673,0.7446473172044391,1.237240155533242,1.181898942474949,1.310669579262181,1.3022309509272019,1.351513318238961,0.7441433365679051,1.3861228737979692
Ciliated,1.1033603017234679,-1.0,1.064011563313894,0.7257264169962727,0.8078779116026747,0.7533007127720902,0.9732835667662321,1.1589592457795002,1.0955452388927276,1.0232106135134957,0.763668493609753,1.1023283548666616,0.7630707957324512,0.5676844900543074,1.1269182802639188,1.0743405097999212,1.0571447970647443,0.8639417702900828,0.9990978101470123,0.7434178062990418,1.2080457886167182,0.781331665877554,0.7333687564717968,-1.0,-1.0,0.7436632552608502,0.604065604116904,0.8209492002746308,0.625804533133187,1.039611971703777,0.9145577421916103,1.1452168408082404,0.7282070075710863,1.0098280205354506,1.1973476629207305,1.1999804400368865,0.9228820151050217,1.1106141586298939,1.2331732462448761,0.8878154037133065,1.204988920287477,1.1420199417139054,1.1420913735862903,1.0113512198650483,-1.0,1.040966252369893,1.1843284680562816,0.8679556981957095,0.9270017264135025,1.0481699485011884
Club/AT2,1.3998820178868472,-1.908513095413346,1.2161824195217503,1.0309660508302012,1.5556374548903749,-0.8273514765687993,1.2403065436462968,1.6100555069421878,1.3628990357483552,1.7212295870948964,-1.2738510858498289,-1.2415561039986862,-2.2372266751306635,1.3296114789414684,1.7788045736840117,1.7182430024698536,1.377459648761321,-2.204414421988392,-1.052547835558548,1.3183619567788685,1.3779701201789762,-1.0800882621239332,-1.0518526801099055,-1.4130298003610493,-1.2819731024109309,-1.3748567966339573,-1.5392021691706215,1.2524432399882057,-1.2436846167006843,1.0674802831082115,-1.788839653774525,-2.2698523900125958,-1.73783699985146,1.5907886637869038,1.1218192205124917,-1.3713267053573732,1.1942593773907324,1.0956635869752036,1.383658856368314,-1.524592726952722,1.1286077576744058,-1.0482285844807888,-1.308160833057686,1.1826959170147573,-1.4810818793792755,-1.6401838744216675,1.5746810964257623,-1.1658512876055735,-0.8251407333654917,1.3352322197591981
Tumor AT2_LUAD,1.5957103306834983,-2.0822534909707007,1.1894068581135686,-0.8924503873391515,1.040395647892996,0.8377293734329578,1.0425151700976574,1.5363862723054629,1.675777941322527,1.743773625604531,-1.3952517004144518,1.224097021468704,-1.0484032547696125,-1.0570530975824641,1.713655514384654,1.7547403886789958,1.6878677016293566,-1.4073755705109487,1.4486198880052197,-0.7818942796287587,1.3513000506782524,-1.1746188900673458,-1.4155977183855493,-1.5393266975083242,-1.63511255457431,-1.1523076921580633,-1.4486536103241434,1.224112943741281,-1.3729125158227307,-0.993818038929411,0.9895501068404955,0.9618512080221288,0.6285663841561726,1.1954031543146504,1.2641091838800929,1.7377193513597433,1.3323318945964342,1.0224703951934442,1.5058435817347378,-1.4303449624040332,1.2700653260328698,1.0560438695791614,0.6791934693628421,-1.2665792277405348,-1.5356978391552383,0.9621024078712455,1.152654156216368,1.1699048708691109,-0.9189668502203622,1.706520089686798
Tumor EMT_mitotic,1.3578641918691907,-1.0,1.1089601917061436,1.584191734431763,1.0501288359316667,0.8405006968000347,1.0597463608546878,1.078859388554052,1.2076688428768427,1.0899742711352607,0.8319159489718136,1.4338672216519321,1.1710001046784482,1.512484278852659,1.1206163233703144,1.0984490836435126,1.2022138054082694,1.1369621859607641,1.5616579692854058,1.1187601211188694,1.137057230606367,1.5998589479706946,-1.0,0.7729371015282346,-1.0,-1.0,-1.0,-1.0,0.7805171819891147,1.1249018727626352,1.574251360317048,1.5131107948198363,1.5182065602722166,1.090109021436519,1.0903709241012245,1.5117732001939346,1.2556537688668,0.8562609128118538,1.0885990820102611,1.1272804753675978,1.6068874940985596,1.3278156152612801,1.0496524161503407,0.7785939664572562,1.0462582289128077,1.602739840977084,1.097496302447632,1.1527530957218566,1.1210251019655975,1.340284858705402
Tumor LUAD,-1.0085714209886585,-1.429744421143962,-1.1222447988152113,-1.0815508997712637,-1.0335929326262914,-1.1026713219246038,-1.260678564647017,-0.9476234056877721,-0.9925708747756495,-1.0805118303921761,-1.2830600701659323,-1.140205068405049,-1.1241867716572136,-1.0145788314526165,-0.6658777484550662,-0.8439919395165649,-1.033350852781294,-1.2179598666649782,-0.7158964624382815,-1.0698716603580047,-1.1836472618943696,-0.9589418971370203,-1.2307819369002189,-1.4054040995500272,-1.2519466617828456,-1.3513906209097306,-1.3521762059820117,-0.9550464231819626,-1.1211349247936029,-1.2764304052027666,-1.0857287370487048,-1.0921553958694976,-0.7061517240893839,-1.0962259028481982,-1.1609194676620198,1.0,-1.1116486710772393,-1.1861943749377055,-1.1413106101602233,-1.3105471924511924,-1.322261787455462,-0.915670626691264,-0.8916845382365358,-1.365282545386197,-1.369233033343863,-1.184512044603548,-1.0512200378098202,-1.2481382410620951,-1.1047376728961023,-1.0158337013840115
Tumor LUAD_AT2_Club,1.4604969620187456,-1.0,1.3316291154219801,0.8822653524206853,0.9040677477673796,0.9297356668779488,1.03702295086865,1.2263832010239386,1.5099522500098803,1.3024959576096682,0.847860413160255,1.1925702853865128,-1.0,0.8624494884148566,1.4195462902263731,1.4243909361665046,1.4931413594745875,-1.0,1.336726164873358,0.9699469724342463,1.2207721853016305,0.9770091931783162,0.7489612443398516,-1.0,-1.0,0.7047636228046817,-1.0,1.0443157011347346,0.7357165146455135,0.7404900423228341,1.1265567573561914,1.426798162903166,1.1419301437957694,1.1034484627584267,1.2905028731412078,1.687272773234922,1.2171995774686288,1.308670018622193,1.374956708717229,0.7140545659629058,1.456148695333482,1.229837187772699,0.6620078377461809,0.935352075543178,0.7635134343811916,1.356299907985638,1.0426458391801465,1.1026023853565177,0.9317772502949193,1.4633698319358976
Tumor LUAD_mitotic,1.1283663471029284,-1.7678936422272848,1.0116296659936328,0.8191237038842383,0.9054126165005507,1.1291141762666015,0.878646243376111,0.845414037759305,0.9838504319578842,0.7067369686828381,0.6816218669320089,0.9975463041766912,-1.0,-1.0,0.9720596908830658,0.9936252583053469,0.9977384351705701,-1.0,1.1101770944096139,0.9256036424782357,1.1041022487075822,0.971580744157651,0.6916472985430369,-1.0,-1.0,-1.8846411092757893,-1.0,0.8978207807176538,0.7230074162503752,0.8602577329278783,0.9484216451912835,1.0936880110264655,-0.8498721676774341,0.9077801402715951,1.080062109207555,1.3177459672159455,0.9813460333532458,1.1654402631245817,0.9422140423676459,1.0825336454702073,1.2421188027399437,1.292171924262378,0.9299528233114569,1.000671544271038,0.7232149202806647,1.1017336633339212,0.950488056325781,0.960263546704523,0.9851696145516045,0.9815888230312103
Tumor LUAD_mitotic_LUSC,1.1769793602996304,-1.0,1.2341886651527945,0.9322578398577057,1.0421817400551683,0.8662921425136623,1.0677231916670458,0.9972791121210084,1.254191445893682,0.8903432029249709,0.6132097485039393,1.2497798421505224,1.2731809136820509,0.8752543792746946,1.1822751350869276,1.219096072881776,1.1824898663561414,1.2454827636596153,1.2362975378904884,1.0943963266310222,1.1531530494017825,1.124123522359033,0.9161193008071602,-1.0,0.6458771169728338,0.8522481935765015,0.6813337964614701,0.9453477502973482,0.6205567218077173,1.1112211196208674,1.3082635890282084,1.504568203932458,1.2703128742947292,1.0595451442184913,1.083390707929446,1.3546661563984752,1.1916920522624892,1.213477138430063,1.164197732390292,1.1195752026454098,1.2368937332101502,1.2584457114879173,1.0904119501375429,1.13736443437758,0.9722302913214405,1.3437154506919906,0.9536532689086573,1.2398284327628417,1.1476013562224938,1.1343878649921773
Tumor LUSC,-1.2669628212492647,-1.3485429470679755,-1.166231414413172,-0.6523515957321568,-1.0460465440800997,-0.9383808318577457,-1.3277772917440893,-0.8648606080966014,-1.007372394165607,-1.096418653826129,-1.2601404530728229,-1.3023963036759312,-1.2458572641545052,-0.7739194911495328,-0.8266196695072339,-0.9586060579634184,-1.1853636018382927,-1.2598011778252116,-0.9183069440947672,-0.7373213549145569,-1.1628961415373587,-1.0709051979606095,-1.13249003376894,-1.2286695772789529,-1.0957645162680716,-1.378698907546737,-1.3880673549996618,1.0,-1.0033347676955735,-1.1347375681438001,-1.240512474632179,-1.6297960966690246,-1.0157682146894689,-0.7456583435834211,-0.7089864590057335,-1.505812130648151,-1.0433183591243183,-1.2558169589302448,-1.17038639932556,-1.3287688071847852,-1.351495824421408,-1.212772286866045,-0.9709986464674666,-1.3543820344506112,-1.2823427552971745,-1.3797502619110609,-1.0514146166341243,-1.2650519407559502,-1.0336557763882608,-0.9009168601837008
