cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,1.1173558704780455,-1.0,1.0841658858980943,0.7683875292885511,0.8328559549887083,0.7330913196813195,0.9777087878380784,1.1583240750837305,1.0907848183205513,1.0102250703995488,0.7555574434400919,1.1127473181004746,0.7540855850608509,0.5695329464504805,1.126867753941088,1.0717645660220805,1.0771474520763562,0.8644746728127934,1.0253841834773905,0.768443810655348,1.1756450825215843,0.8085373936512651,0.7395834568450517,-1.0,-1.0,0.7912994760536515,0.6305849748994596,0.803415864876048,0.6144912412016609,1.0421657662467696,0.9334001271663731,1.1449770215437904,0.7662465793956622,1.024263114274306,1.1833508127201688,1.2092568796059424,0.9465632168251874,1.1196614177446598,1.2131965746994695,0.8951955603162308,1.215113567844884,1.1607832792730697,1.1054470771035585,0.9951596380055392,-1.0,1.057245428081868,1.1726147476757736,0.8685400576171435,0.9201030251684252,1.0332524161216843
Tumor AT2/1_LUAD,1.3577604774046645,-1.0,1.402181394446917,0.9193506650849536,1.0194295975050425,0.9280232061506016,1.1384404673046284,1.206958211800416,1.4492707221834247,1.378246642450416,0.9436622510316557,1.0871307901737761,-1.0,0.9720124831469529,1.3865983331394445,1.3937955654047889,1.392733918931458,-1.0,1.2592150048550868,1.0148551250324662,1.3051819099467425,1.1624859283461324,0.9613026572876777,0.7540469857171107,0.7375463060879843,0.8698487885474496,0.7704349324199745,1.0042617949862969,0.7506823892748643,0.9494003332332863,1.1430045842061316,1.3923178330100894,0.9585551251347219,1.1305462544013423,1.1659082719858183,1.4595396092952813,1.3022735346466843,1.2429380547025257,1.3710354634551372,0.8143442562824608,1.4088330177251163,1.1617663156536873,0.7869713818781515,1.1858757869976007,1.0206860329020382,1.3248651640579172,1.2437726088554577,1.2248760187169714,0.888321099258689,1.369740975218686
Tumor Club/AT2_MSLN,-0.9617734980881066,-1.7286749323771238,-1.0560102146045447,-1.2620020606788909,-1.2445487141999307,-1.064932076221163,-1.329907469796597,1.5198942823435788,1.1303744242674985,1.390532836628273,-1.4004395333844764,-1.1167380980867827,-1.8201683508579483,-1.2527824628422004,1.541679233547276,1.522259428592102,1.1375355281525865,-1.8932739913819416,-0.9311504435685695,-0.9885276026517197,-0.8217234833649123,-1.4636719699266998,-1.3836881685097988,-1.6890675509575466,-1.4831911159357136,-1.4214204935365702,-1.5535950630149158,1.1266305676416117,-1.2089832848418465,-1.5732923866745938,-1.4739650082708682,-1.7065623901799774,-1.3297838650999037,-0.880828935732956,0.998776112308871,-0.9465182755008114,-0.9312843008592055,0.9389389427991522,1.3405177458997295,-1.5997932122249283,-1.263535263745109,-0.9173892678240604,-1.1778122678617577,-1.5645116331197326,-1.627099797331914,-1.6265717974271325,-1.0013573522549297,-0.9964851951621233,-1.2318103158594023,1.3741416822194463
Tumor LUAD_EMT,1.3047666094419346,-1.0,1.110277562300605,0.7918492380789867,0.9797794305389931,-1.1641247831290074,0.9322197714898514,0.6874017726471314,1.052640885605329,0.6742294879315328,0.7790721383761653,1.4356952628042317,1.571536690181547,0.8205737366067314,0.6650249301735691,0.9107056780533351,1.2786203583227354,1.4695865875273935,1.1622159859905619,0.8950162778406276,0.9612282344935239,0.951535787854171,0.8013635250235505,-1.0,0.6066359888723165,-1.0,-1.0,-1.0,0.7268541832601645,1.0830505926750764,1.5004208281448506,1.7303959438939405,1.554248885926332,0.5622337709521614,0.9141291877230918,1.6485899273843516,1.0946605336601203,1.1268692216824858,1.0770597903095855,0.9839297741021097,1.2447402296693717,1.305268161442349,1.1451481374182384,1.024508113724671,1.072078755034374,1.484623773875846,0.6458270793558489,1.2574880714663164,0.5416000344683127,0.9591934928305761
Tumor LUAD_LUSC_mitotic,1.173805847995191,-1.0,1.2156722619898486,0.925619877876071,1.0657942072351636,0.8898293664881164,1.0990922715693678,1.038926786478973,1.2386504602985988,0.9283825086260991,0.6627412704489007,1.235328618373601,1.2455094713707915,0.9160934298109219,1.1847933490404101,1.2227293340845937,1.1688025263343744,1.2121472275796212,1.214587599809418,1.0910953019893421,1.1501100908862911,1.1310959687229118,0.9586702697464905,0.6477617070727487,0.6990006097347259,0.9106227138122595,0.7348836270140382,0.9325814545557202,0.648490272591249,1.1160599432592493,1.3086537869106851,1.4842102554342755,1.2122009027412435,1.0745744366196261,1.1059604785638921,1.3421711761251287,1.1932534214324224,1.2134448098407973,1.1349755466157192,1.1321141869143083,1.236959513181833,1.2805177255919575,1.1008948337281463,1.1718079861903616,1.0204186868646938,1.3051492940814406,0.975132379368785,1.232092850150214,1.1186937124537104,1.1210610512706238
Tumor LUAD_MSLN_LUSC,1.299987570468717,-1.0,1.2329011446333855,0.9889067525834342,1.1387548014601423,0.9172429275893685,0.9916623370115293,1.0379448161513354,1.1805911292215099,1.1058275430647906,0.9032207815351169,1.2450190713275084,1.181547673717833,0.9270587550328607,1.2091377714446485,1.1608127787323421,1.2461049702389186,1.1085139872037744,1.301882741153207,1.000362506689817,1.0470259008588032,1.1715270049928115,0.8423503847785445,0.648725981975787,-1.0,1.0424113474501335,0.8106362308070232,-1.0,0.6774229527686789,1.0508546069030362,1.2876928554904041,1.4940959190548253,1.2551949223885297,0.9454213870700718,1.0458422772723583,1.4748185850975144,1.0256741283100301,1.0143663024480671,1.1845479434067927,1.0829156099420898,1.2927556053260298,1.2441508297695802,0.9889546022411222,1.0703268303559454,0.8097016396950155,1.3362385907190892,0.9275248550429127,1.0465712255722346,1.071449227026209,1.1493837219970513
Tumor LUAD_ROS1+,-1.3729306742692085,-1.9642080178057064,-1.075932114082513,1.1407402034117056,-1.0726596385298341,-0.8582023021908877,-1.2504287465192745,0.9393825250441522,1.3426708552254465,1.087300879490055,-1.5788038870488896,-1.5309920018351033,-1.940706184443768,-0.8816642145397412,2.060943714201226,1.7077949672356258,-1.1612259132784841,-1.8045521309701325,1.461686792144847,1.1687969771621585,-1.0260948551213047,1.197319904213053,-1.391650451107598,-1.5331980826192775,-1.4047656134851838,-1.570767388975621,-1.6499693278012573,1.758892992272153,-1.2514765942804535,-1.2717482256439216,-1.5449447929048803,-1.9642625662053717,-1.3395379742710027,1.2322001654993853,1.3625546998826723,-1.7238436445930239,1.3371041436105735,-1.2685681871005385,-0.9562150680030287,-1.5930295469879119,-1.207902758212301,-1.2536544844994684,-1.119797280577712,-1.0918568764391519,-1.0305096923257502,-1.382018985387013,-0.8977166743744208,-1.2709396613818424,1.0470956955026123,1.1277060043106346
Tumor LUAD_mitotic,1.6549725703750389,-2.3689309446648465,1.0600366114756874,-1.7287182467595805,-1.3625545876262772,0.9172085634369022,1.0245092907353142,1.438944870148345,1.5891154479538638,1.1414189155719237,-1.7713922726984297,1.4489015712936915,2.074495000383807,-1.6526522978280538,1.595803006575952,1.6390417499742687,1.5575183275555184,1.7224644734276116,1.4565054732397371,-0.8564556693138611,1.1246490270050673,-1.366426352295453,-1.5548695458200847,-1.6707870036115087,-1.986157881450109,-1.3664568165354551,-1.8248655645654148,1.093695579986014,-1.556080580676862,1.1568059450761408,1.1142513131597707,1.4516805540456612,1.0835237712415613,0.9397153516876221,1.1002127565480573,1.7249868904292522,1.2431452069703293,1.0178853007570479,1.5278544091970163,-1.6588343325834976,1.1108746802859164,1.3814676512195083,1.259280739086491,-1.2203676620704986,-1.639704737061543,1.0579412018382461,-1.203897329016666,1.2422707765280276,0.9123047562196077,1.5967706154043197
Tumor LUSC_LUAD_NE,-1.0331754059507336,-1.5883942724794415,-1.1369236419338027,-0.9675665668286035,-1.1819766310150588,-0.9478776103603305,-1.3516261466037112,-0.9437077928484487,0.7684738435522097,-1.1602369086702904,-1.5160589885892215,-1.1360251953140588,-1.33459519521715,-0.9856450606586823,-0.7170832592374908,1.0,-0.8826346784830348,-1.4602997930588055,1.0,-1.0375833271665953,-1.1326275667106693,-0.9106995227284462,-1.3073665188068226,-1.3484092467520497,-1.390503843767916,-1.5444222449474803,-1.5858892222268104,1.0,-1.2157383132429296,-1.4652625913456652,-0.8708584184746774,-1.1929743526329657,0.8202128262313495,-0.7806465273186888,-0.6035965890940873,-0.6824330458295779,-0.8238812118184277,-1.3180268986176116,-1.0256376522285877,-1.3484549902027438,-1.1881572005508245,1.3204897627201844,-0.8336011305251738,-1.4409316925098825,-1.4851117634171178,-1.1981264068240236,-1.200018021634227,-1.1611236554600306,-0.8556524286440833,1.0
Tumor LUSC_mitotic_NE,-1.0076628117462232,-1.4202946244359596,-1.1975645751899364,-1.1995706865881526,-1.1362645514850584,-0.8957790848871353,-1.276834815769705,-0.90519369770142,-0.8440562586813112,-1.3149854003749961,-1.410566358668062,-0.9348750968965878,1.0,-1.136463496321887,-0.8355207025131449,1.0,-0.847488362942662,1.0,-0.6783377467604892,-1.1522419074139019,-1.2498205807057607,-1.2058179620738694,-1.3005010785693114,-1.349690389506416,-1.336684446661727,-1.395725633027494,-1.4652824817635,1.0,-1.2456262575250683,-1.076367506641747,-0.9893086230928139,-0.7613642523238221,1.7129819724176838,-0.9331787338689073,-0.9786453669275872,-0.6393053631809189,-0.9888673364081375,-1.2528837695511856,-1.019431077747715,-1.3215209266405503,-1.3190913754579665,1.0,1.5856018998524484,-1.3901729447644502,-1.5081907534460417,-1.2017117249799203,-1.2384936608977868,-1.1622540933007608,-0.966059551772722,-0.6690142565709419
