cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,0.6922156000654911,-1.0,0.6881505454908544,-1.6457532629426768,-1.0,-0.838214797296043,0.6169621853222619,1.0073019475646758,1.0412303239833682,-1.1566695169886307,-1.4106135756089022,0.8125414740559382,-1.0,-1.0,1.0620706588232809,0.8842637340539891,1.0668820091579398,-1.1892937225423,0.7991658349235611,1.146432525726669,-1.0,-1.638034868485682,-1.417800065813665,-1.0,0.7707713370252581,-1.2586249693749911,0.9026514510727764,-1.0,0.9209673383634791,-1.544954714022507,0.6342574790814292,-1.4775499223482569,0.869273712136645,1.2809428139853687,0.7023294712176883,1.2300257473170981,-1.261697891468006,0.7744725797593152,0.9581890775472084,1.347441139611138,-1.2209232010644215,-1.0,0.6831142753485482,0.8901039227328412,0.724427209701647,-1.0340159398101259,0.8511136816902288
Tumor AT2/1_LUAD,1.223578764358035,-1.9343885471661046,1.489677230020226,-1.1346934036844147,0.7932861661744581,0.6246342346453145,1.0927408261050717,1.241421827086601,1.4951517452151588,1.3067457846388253,1.071486989369844,1.1940232266551876,-1.211865375255067,-1.0,1.406364979802547,1.4275438925364585,1.2521381180606548,-0.7842685734200388,1.1216609593935636,1.2071197919379972,0.9937559799145692,0.8730173623256094,0.8601644800249628,-1.0,1.1788891450739865,0.8416081989529216,1.0726787933268862,0.755969828903311,0.8080082313665534,1.0701674421915046,1.011028840183568,0.6748857074918597,1.0165020790100134,1.5366737076574823,1.2525754668392521,1.399596070772786,-0.9838467238732288,1.2786111129081186,1.3122181760253846,-0.668737660743264,0.9144054683999996,0.9499500804951438,0.9271753884767217,1.247112953603531,1.3745408666034944,0.6476727467996843,1.2630422073950962
Tumor Club/AT2_MSLN,-1.3345333030967468,-1.3320378433633309,-0.931346987309437,-1.2521714708962268,-0.916909773669481,-0.8854694256968022,-1.312687422198474,-0.9541617515915355,-1.0018827788339353,-1.154898548167807,-1.2268506755686677,-1.4991767277266324,-1.32999943010188,-1.2680545131602763,-0.6100051838915337,-0.8728667370155321,-1.2659511451269203,-1.2922025043296181,-1.0162446745988287,-1.1126074741552356,-1.401008071275028,-1.2041640147811836,-1.2600939542133234,-1.1090932238229478,-1.2373600921236108,-1.4716067461947753,-0.7544399215195785,-0.9778978875177496,-1.0615095088451416,-1.3557259248274625,-1.6171918419081952,-1.2185494650788014,-1.041636792758068,-1.3521748215526763,-1.2303555886623845,-1.1810110831354315,-1.3260766245001168,-1.1330835478587098,-1.2511924509627728,-0.8801255408021473,-1.2625463040991567,-1.417847683059461,-1.5260200720266328,-1.0900200859083051,-1.3729315256635606,-0.9925748641908017,-1.0052823361960443
Tumor LUAD2,-0.9420648023231281,-1.6741860974468945,1.0329324985556612,-1.4004091215319459,-1.115851778003362,-1.0151222169538823,-1.5212943562532673,-0.7345409517254549,-1.0555323211871368,-1.4054984399160035,-1.6381563630107883,1.3906808699721376,1.8719545914287519,-1.3794684782012117,-0.726751608196395,-0.8662844232277296,-0.7959150748390146,1.0,-1.0362459627920775,-1.196176341875983,-1.512620416114806,-1.4078501409132784,-1.4413933730234127,-1.4565333703794636,-1.6040030358308235,-1.7563206285572917,-0.82845895738375,-1.3993863168340874,-0.8711050349036659,-1.3940499251770104,-0.7892403884701062,-0.894071377744045,-1.221779153354429,1.1808185123670847,-1.3300296146512032,-0.6491894155096165,-1.3507947610856517,-1.0080038021285442,-1.23467076742315,1.5000509064090222,-0.977776386322738,-1.7765698168978015,-1.1359888632030035,-1.1196123678436989,-1.4825940502784192,-1.0241380034671628,-0.8419755162027539
Tumor LUAD_EMT,-1.2091502881197018,-2.1021628886528507,1.3856142536631237,-1.0190963948072418,1.204968942517148,1.3210257930285474,1.6817391100059356,0.7259515846538417,1.228078546196712,1.0266973689227121,1.0040632789572008,1.0092989786266506,-1.1124219809000344,1.033645071847402,1.792825628722173,1.6786978868961084,1.0178566755827791,-0.8855114532954662,1.0613787482745898,1.1787128168980343,1.177192431043011,1.1440519800744768,0.9727958598457807,1.0624158967376,1.2703891362757278,1.0247948606157258,0.8159726802629168,0.9346920018653966,1.098645867318514,1.1333187349266245,-0.9849082660368824,-0.8178088686366457,0.9479226651271929,-1.0376217252202387,1.5946731963417824,1.1603311453068479,0.9355261310702666,1.2430415871477545,1.598595568052569,0.7230572627346488,0.8927286646806724,1.6800813695395882,1.5060552843356672,1.0395414203032312,1.5929420493553847,0.7873481851218666,1.226675502924581
Tumor LUAD_LUSC_mitotic,0.9608108367209562,-2.4614779527539357,1.4111792848968956,-1.4944401447282745,1.022565343260277,-0.9397605515831453,-1.227165296603015,0.7066358048002251,1.4928039777429498,-1.199418843999466,-1.7259418004838487,1.3586816238765842,1.81399991085642,-1.6135465713362342,1.4471387691104545,1.2751087670204042,1.0362547313355648,1.6946956650784128,1.1548941969008777,1.1833068906874358,1.1352111104512421,-1.3376460838091704,-1.4170176960956897,-1.7680757285619955,-2.440174579684734,-2.509222228400167,-0.9888837129781137,-1.8465333086686304,1.5245598898788855,1.4018649259917124,1.9959995776512098,1.404601353238644,-1.133682368739617,1.404569172563738,-1.1103603749490156,1.0363524274259275,1.1262591817330327,1.2249687497840869,0.8725482087621977,1.1210275472296984,1.3344911207079013,-1.8566057277216195,1.8130892371603011,1.2733972652747751,-1.1656883541670362,1.0396727916504074,1.005641800735598
Tumor LUAD_MSLN_LUSC,0.9755098575335024,-1.0,1.3565201178555928,-1.0198551446753745,1.2013825563685778,1.2369283918903944,1.2480974055130847,0.9136819662369602,1.2987029288986285,0.9569506869930959,0.6874302070650106,1.1420034406462045,0.7104380268910342,0.7597283942329693,1.449238443973763,1.3373033943003847,1.1520810421337437,0.9497660938531657,1.2597745347402651,1.1135802599671782,1.0298578636688076,0.6702451113382663,0.7122273013572115,-1.0,0.7926383104513901,-1.8545253205458245,0.6517927409555475,0.8433044968558553,1.1721926291802054,1.106954650183777,1.2751668495737207,0.8091175643106264,1.0964186470561057,1.463426327759471,1.2172223672632747,1.248040768290198,0.7099049639218579,1.379983431994454,1.3926049232819473,0.6976251450920773,0.8669373289551393,0.9833560689500436,1.20584963910419,1.1703380635014788,1.1566290232736125,-0.6332596785380459,1.191394073828893
Tumor LUAD_ROS1+,1.0806984456496813,-2.4506689565716515,1.4165961036926367,-1.2431352144698262,1.2068216331280643,-1.2303381703295377,-1.536956333774606,1.2390132556267022,1.2136401104629186,-1.242683689102261,-1.6113564458055174,1.5134101817297723,0.9660844384266744,-1.5060237533549568,1.4153767055365467,1.3901636849723948,0.8973941649992537,1.1004212116565106,1.0697854201026158,1.2478123502726326,-1.3910585863823768,-1.4653696309116455,-1.8188948073688087,-1.8667329720348087,-2.235487135079111,-2.473389567174932,0.7968127741541277,-1.8868228488167413,1.0786769554510145,-1.1796242398425187,1.230866685409929,0.6004033389191701,0.8941162920873152,1.309571932500275,-1.302420923427296,1.1383419811655433,-1.3469692187335436,1.0554776968063189,-1.2127477183198827,0.49253707770448735,1.34548132339278,-1.999208421185345,1.1929917054419754,1.275169301787021,-1.1428623680452685,0.8704025511568928,1.1316183743817332
Tumor LUAD_mitotic,1.107695725862097,-1.0,1.2664248862506398,0.722426979302677,1.1000883188269228,1.2082946397574785,1.1901983048683924,1.0147839773921887,1.274079064278642,0.971765565395753,0.8369778819171828,1.2787595302136865,1.3840324430701938,0.860913846397165,1.272359782683959,1.2617474721548754,1.2707422788782055,1.3893721888289898,1.1792585833773652,1.1559711582303382,1.0736246678976327,0.7729186046501632,0.826383450620579,0.6303417137717273,0.7875403439564168,0.5644426877888786,0.630684578407018,0.7080344859591474,1.2420029567986837,1.184162575624805,1.4343017477565054,1.2125649273232924,1.1360634327210168,1.4088109895379493,1.1585773751207677,1.1724128500981035,0.9279531634879611,1.2597345617315847,1.3116351220924714,1.0943174083593012,0.9888204335029087,1.000699801387364,1.2120012667787081,1.1136787149760492,1.152167872124067,0.6774483674150892,1.191947950089324
Tumor LUSC_LUAD_NE,1.073189519422876,-2.0807747754316233,1.1679643553113723,-1.2926063082543358,-1.1904390787097552,-0.831064474447623,-1.390964978381781,-0.7601556907326507,1.3053751567173302,-1.4780299053178159,-1.8701590390818057,1.6129796839247308,-0.8509107612610514,-1.686418356830272,1.3958432172372222,1.0972745974115603,0.9148778004332317,-1.1236743571516465,1.3039319288846112,1.1063488614931418,1.0462566492421672,-1.5286627400839568,-1.4595740927827605,-1.9174660824334053,-2.1191306662924716,-2.490876648429584,-0.9643695262265729,-1.6202635379273214,-0.9034492409483252,1.0074186242725942,1.783604944498894,0.9924183116905246,-1.0154748671690494,1.4939296533919564,0.9895854357950612,0.8197894123822029,-0.857877738322008,1.2095653275415714,0.9580684665902245,0.794805814875177,-0.810180152141768,-2.1802607444916693,0.7464733367484078,-1.1307634831252624,-1.5017139557484802,-0.8866785661765877,1.2310809345530538
Tumor LUSC_mitotic_NE,1.1462498996646007,-2.598999040592858,1.3714986665785867,-1.64871032370708,0.9221318355194681,-0.8269411907786338,-1.0,1.1740306280628254,1.3645500367692143,-1.0,-1.0,1.6111589508488164,1.853901849386277,-1.725597924334328,1.2108994445275483,1.210913966967274,1.3370731295766345,1.8380244952849725,1.1366819735816234,1.2857420700548619,-1.0,-1.0,-2.217491887957203,-1.0,-2.5233115676254063,-2.8768508634812338,0.6052858557106793,-1.9331998171055134,1.5892895977906976,1.282096523801413,1.8184024185186818,1.4004474146740482,0.6827941757931819,1.5755254268161065,0.736509505934976,1.2850444471340563,0.918358943169573,1.3088617778361384,0.8262538252173272,1.4701009874299138,1.2877056100946518,-1.0,1.4315227715194252,0.8457806002900751,0.8672005954087688,0.7225205635072901,1.0154318111252376
Tumor NSCLC_mixed,1.0099270737093498,-1.0,1.3113853246966174,0.702347480593488,1.0409530806273375,0.9407638574677772,1.0421648645282173,0.7059412552977682,1.2442225639122955,0.8597016869463193,1.0027182249310131,1.110909348325109,0.620943224516184,0.6191168313519828,1.2962568962258818,1.2119804266065182,0.9817954962511934,0.6967622155891,1.2341993226766483,1.1893361723735163,0.9834828452397713,0.9168285048581654,0.7614017287069804,0.6888134404359282,1.1085629557415722,0.8557889386475633,1.016525115090277,0.8536227998520969,0.8886799230286239,1.0464855643989976,1.1693027193652712,0.9123011994801202,0.9220560575944681,1.162102805296129,1.1467123658774143,1.093591903936164,1.032399657331027,1.2271093622875504,1.26261696134777,0.4126328222134805,1.000134142919699,0.9344248316847766,1.1832986447440106,0.9800850529199019,1.0436826561799575,1.0244712253932242,0.9891606869021835
