cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,1.2860023448520372,-4.582344193940413,-1.4241198456883517,-3.0767166470155334,-1.8694106426730739,-1.8711941179949558,-2.6084788918344435,0.9313903940415456,1.214329584435575,-1.77598360849009,-3.149592757487742,1.8975166323453283,-3.5389246528981766,-4.811658969956877,-1.3680958311259126,-1.2046112578928352,0.699963997825224,-3.7835294580451317,-1.6885688517109956,1.9030382524851879,-2.3510050965017255,-3.6088683159831105,-2.892584442244276,-4.137690706836762,1.5136738558331062,-2.3209869727003034,1.2782876233252376,-3.833154176700713,-2.0125413000572396,1.6920762147047836,2.5182210408922945,-1.910749310443009,-1.2338002456088688,3.2386180434862344,-1.9824725665121923,1.8339734035357793,-1.0884853649934292,2.1349991908862003,1.6581826204056254,1.013787485210869,-1.2195589613020579,-3.511180738046315,1.380970779459711,1.5061154577485107,-1.249151579163386,1.0614842141825604,0.9788145496913109
Tumor AT2/1_LUAD,1.695550187251298,-4.8500819323892275,2.1322377424681425,-1.6906876782484668,-2.722981067641656,-0.9328862681874063,2.663372466650896,1.859534353003547,3.787662803072854,2.284589528720596,-2.3651034477620008,-1.4564975685356434,-4.385251724456033,-4.79777534493652,2.7800613018788405,2.9683483078503694,2.115595616465261,-4.056926824582854,1.8456498962420942,1.4116012547596561,-2.028992088002093,-1.9096903926003486,-1.9131170685471404,-1.91037913205605,-2.110595493173645,-2.5147630298879684,1.883578428197629,-2.6380163953125684,-2.9558453750590865,2.19892362148736,-2.7775101663366164,-1.2029463796328128,-1.5042451959960503,1.9200122661993788,2.5439056395072663,1.5684323617622542,1.3019923911909719,2.219867273230888,1.932386070857617,-1.2792266013178168,-0.9770757054292764,2.580018571461489,-1.3511721551161895,-2.0864828923411407,2.3157206971370075,-1.491121235723536,2.01351017012073
Tumor Club/AT2_MSLN,-2.44500217338407,-4.43055061245325,2.2207247148532647,-1.7371990130228312,-1.6357640155847333,-1.5347581282676221,-3.8673657602451774,1.5286604879106087,1.8178987776630908,-1.6712464124718869,-3.7694323959404215,-1.7522827294124186,-4.863249851245884,-4.864692776618065,2.278936504299614,3.2974494769567877,1.3685378131305763,-4.507384586755648,1.4285132120357364,1.07897222727672,-2.575177856239698,-2.4973875102810252,-1.9729421350592709,-2.5609580210918947,-2.749583531743795,-4.701627239147734,2.240798113347976,-2.0549210638917894,-3.0437495185431187,-4.368026511958719,-4.15234189029169,-1.7131509345788223,-1.4232788511163568,-2.646641800776212,-1.9890087811007329,0.9601857435609089,-1.6888146115943,-1.7590211556959552,-1.468945544750825,-1.6641783327418052,-1.9068655483165238,-3.5438489062800986,-2.934711588591155,-1.8356413193720222,-1.7265730008840754,-1.1879743552426867,0.7582381669500707
Tumor LUAD_EMT,-2.481252908761585,-5.140932576451542,-2.300554991151753,-1.5701216970723892,1.5534129927188371,-1.1050757330640681,-3.3253403133217527,0.6507444347511492,-2.630147286850621,-2.4823399620652102,-3.3973268124120857,-2.785864560407878,-4.259490478342269,-3.999329083894142,2.1144491481606473,1.7853447320135345,-1.9257524095864003,-4.016629998507068,1.7978932121663909,1.1727919115212122,1.9969585036664026,-2.827258510004842,-2.2724751220462482,-2.171365051398938,-4.210772630880326,-5.014805533822312,2.114257579043484,-2.2246001641209676,-3.065329787819733,-3.9742112810011783,-4.491473345803443,-2.7081554680298914,-1.3442181985266028,-3.493694141625287,-1.7985441971292961,-1.1178012192297782,-1.6138443311410315,-1.7156833728755658,-1.6530330196450254,0.9706532209055154,-2.4377799114981773,-2.3820579989453745,-2.554644322318932,-2.9067208507153453,-1.809923816438085,-0.8167664294207906,-1.517423258179172
Tumor LUAD_MSLN_LUSC,2.3226246353417275,-5.858440019505971,3.086564733944092,-2.2920811649332706,1.8875635799672381,-1.2646440910203145,2.190846556139317,0.8801615623353682,3.21268312705916,-2.1076736747010427,-3.2967272973657007,2.704285366580885,-2.220451149366992,-5.324697716359295,3.062068896783137,3.008005246943084,1.61015328327648,-2.492186216330111,2.728421757261427,1.6673598619522247,2.546069470602354,-2.5861680970696046,-2.9982910973581536,-3.8767989645972722,-2.328840773871825,-4.838689170607151,-2.0502874951987056,-3.3274984363091837,-1.724690720650042,2.294466742412973,3.8699926603898827,1.9397613631158146,-1.6470836783797795,2.6540771301548984,2.9956819552817384,1.7591299988251945,1.9137347424511963,1.6849370182359384,1.2372615596109877,-2.168767484504598,1.8635116862480512,3.2597026318252107,2.517982036699618,1.9761738916241618,1.8000431732977191,-0.675198595880557,1.4981905119592223
Tumor LUAD_ROS1+,-2.6327332730008206,-4.063496152735342,1.527926655975198,-2.312717806995168,1.3081097732347204,0.8160478662643762,-2.8682375151081674,0.5681656152826272,-1.7663925551747621,-2.59300155762195,-3.6235841901748844,-2.2383795790310996,-4.075739069372212,-4.15585193995284,2.2520285398143574,1.3546546879758383,-2.202975176142899,-3.8664837975069006,1.9821381230338215,1.0926349446597083,-2.112598287419514,-1.8880661879148835,-1.6531612164269216,-1.78472634282885,-2.974590955087576,-4.075670448879308,1.723424852191496,-2.1582753499107463,-2.977086576352756,-3.4367260872920893,-4.059511848877322,1.3016117538181509,-1.3469913001931613,-3.0558429530255236,2.142102735886181,-1.4260277543114233,-1.7441484599477728,-2.3194310058586813,-2.558208712691289,0.8009865490402149,-1.198793011466836,2.224498655095929,-1.7199330599294014,-2.1546523998840534,-0.8376333731972673,0.767222672046897,-1.0503853303890076
Tumor LUAD_mitotic,2.5326520702551334,-5.915167485381756,3.196179421543843,-2.7619889787552103,1.6340452716285567,-1.3932691245720497,2.01105343454208,0.846407060758286,3.5109569243432754,-1.9967489365277309,-2.5537103689165104,3.1056986619099964,6.035735734480591,-5.932543887355987,2.9118801322109604,2.746645665125267,1.6652084775123257,5.584184527551712,3.397500661715109,1.349253991507172,1.8760912768663862,-2.8120094280093895,-3.2173790247632486,-4.046366446106943,-2.2383535907188774,-4.356104290040517,-2.2945359176149953,-3.9912157396476062,3.9215243969174987,3.8453391378089097,5.684339065190401,2.4905070448253457,-2.3738144942534936,3.617160531173062,2.0264227438077675,1.6015156871227354,2.3324114973072114,2.529127175248135,1.0494681274459532,0.9940937784730617,0.8988200728921888,-2.013253144944859,2.9230791452236353,1.8826199884907309,2.0697473552323244,0.591335875582408,1.4346357351681316
Tumor LUSC_LUAD_NE,-2.7692427378676987,-4.704722464455876,-1.9081416308287817,-1.842891296899098,-1.0901920529389086,-1.0252658545283029,-4.697643177442795,-0.8619132572930135,-1.9323921280097676,-2.2978433151872304,-3.4038134567768665,-3.144644977141088,-3.0712797215359484,-3.8133885448715206,2.5522407611488083,3.0326357674702016,-1.640098699552326,-3.352691065093797,1.7556017666048342,0.9343469678769367,-2.6661243499042633,-2.6999645154560317,-2.136809512223045,-3.002647418202151,-3.405876515102541,-5.767984605049693,2.4048544015439086,-3.2165791780607917,-2.496720190594599,-3.040937942984994,-5.024592334469115,-2.1983693993408187,-1.361405224569888,-3.9097837746343176,-2.3956766488928003,-1.624933010079621,-1.5113936082500616,-1.7205518092420264,2.0350427521242835,1.4647533014295995,-1.7290059048401032,-4.903256315763221,-2.1384881678598595,-3.612951348265675,-2.1022615474812576,-0.8854213485872029,1.5726015496246526
Tumor LUSC_mitotic_NE,-2.8972863525885293,-5.113071625841757,-1.6560948320940407,-2.5340683463283953,-1.9862975696122553,-1.3998143317590404,-3.6158913896705256,0.5945681320871365,-1.8796430969709457,-2.6013635772594967,-3.6877267978031503,1.484040645253351,4.915623479276628,-4.266423512919006,2.3289207916044257,2.956037639358281,0.8886153716542738,5.00290814996745,2.3440917646400328,-1.0132075972024794,-3.0244423867192007,-3.0736610430697495,-2.9938250622352944,-3.588103672788447,-3.9158369281296173,-6.031241254254865,1.9761281098062449,-3.038440425945372,2.9727924187341412,-3.416408308560578,-1.8020043708632358,-1.093551857304497,-1.6945235754217411,-3.154654903840867,-2.6770540444235533,0.8299582956031346,-1.484616163350614,-2.926725840147372,1.8318451525954969,1.927484289890367,-1.8542135948239067,-4.868765285266315,-2.5753176027372606,-3.828521340702722,-1.6994088935362108,-0.9171238422925859,1.64758028283239
Tumor NSCLC_mixed,-2.5350292832405485,-4.436136061457753,-2.3223775157132502,-1.9258548039510779,1.1150228621318563,-1.085313550453698,-3.0613772322502433,-0.8362171205349054,-2.337843137946642,-2.492541010948133,-3.00341803370892,-2.6086045286581014,-4.396343048017313,-3.7426069291035153,1.3973582427137758,1.498943388754028,-1.8496873865593555,-4.663372979808662,1.5759784934253611,0.9528494045329569,-2.505482981027985,-2.7707286564815243,-3.2119290256248196,-2.2357391707652057,-3.0514582233108287,-4.494869056661651,2.397117854940293,-2.453059982797087,-3.213170777235422,-3.2007593897341255,-3.707750510294508,-2.1459719212656965,-1.656106645361711,-2.2738539311266903,-2.4763576423365574,-0.9495989895949881,-1.7214463318864637,-2.1693397288326945,-1.5901715590709173,0.8397677930457192,-1.8466341318301733,-3.8719535258418403,-2.694338647788316,-4.206066342222506,-1.7790683892462587,-0.873345974074829,-1.7205237948650787
