cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT2,2.6738042812118468,-3.6818147582524756,3.129070463760722,-1.9636321429503816,-1.811523085325214,-1.8970930506724342,2.808438662440178,1.789348037779061,3.2020228262197934,2.131667789414213,2.2862747045551526,2.749882389328583,-4.029858713232049,-3.7264371052956284,2.9146708031454867,3.2771348355652514,2.5225095686474646,-3.9563554037127258,2.3676653993087426,1.8996342984583265,2.9549010757216534,2.0642378149962823,1.4243072684054199,1.4065554300775098,2.5886204070101337,2.579621581626133,-1.3259883223001285,1.5260066914903019,-2.404400433256558,3.007005874220808,3.2513428589185454,1.7988920487251514,-1.9892520788165344,3.3140380745265143,3.0167655825617046,2.360026586840774,1.242476941706825,2.7489520406863526,2.1920698764909665,-1.7803262956761998,1.6945825387240705,3.1957602398173965,2.1464518841803444,1.8076717678544314,2.471683051626214,-0.6313867442647372,1.8513261147649267
Ciliated,1.8776111069520642,-5.067152684829493,1.1189959691623768,-2.8448784913064378,-2.1131385527215105,-1.4028433592269174,1.6052471219530406,1.2943253094995437,1.3234463942848373,-2.92646273479795,-2.5894799509091784,1.4222624216018513,-3.349930698440599,-6.16060552833288,1.1608181216777798,-2.0671556485904965,1.3423897294055616,-4.362105904536847,1.1872249104692891,1.6042079506959788,-2.2405117868258446,-4.152848183065435,-2.9535270159954505,-4.553499630386684,2.558325396292392,1.9896254057536302,-1.2246103342312398,-4.826851663072554,-2.449716943048846,-2.731230101423375,2.0527134149696504,-2.1908108756246016,-1.2455101256964995,3.247781433784081,-2.1344259801269754,2.2172417729034093,-0.9674162189117667,1.6705194668898982,1.7018836252041503,1.0820538748264672,-1.7588828806530727,-6.059842893272344,1.2280845414344401,1.202976346009279,-1.0859539393995254,1.1881618265194462,1.341966936924698
Club,-1.9424905316935912,-3.8795535176489904,2.8817693892561818,-1.302093273203495,-1.411435415365413,1.1211813904410488,1.6087845351859842,0.9482902461670576,1.6052912236630854,1.345001687393558,1.6410868054610346,1.5052735722255648,-5.31377811029494,-5.179697641297289,2.4990626658487023,2.505540299137291,1.2240140915552011,-5.128296501914013,1.92534185584623,1.6264089355429912,-1.9962058477846194,-1.9732945612732085,-1.4004349623112857,-2.8822445347327528,2.533413471582616,1.781377234145066,1.466675350863365,-1.6392425143037417,-3.1698123628438175,-3.477508187202432,-3.345696222145865,-1.7936232396432168,0.8348504952418653,1.5518835037326157,-1.9083196319378093,1.6676249124703255,-1.7728801625944826,1.5168884580038489,1.5196231096453625,-1.1071364614758954,-1.2762896103005883,-2.0233152965716035,1.4003422596467443,-2.2100778841637303,-0.9332241219783203,-1.1342309928815553,1.9695884728164859
Tumor AT2_LUAD,-2.930599871823215,-3.6106555654502355,-2.4575066939370047,-2.0635750419842496,-2.544341800430655,-1.8014167709743383,-3.594722388199347,0.8816065572757613,-1.4292194265660112,-1.1904328379202618,-2.4656979724381345,-2.50206244071858,-6.05118209667608,-5.119135025008042,1.3760163257935705,1.8769900957865544,-2.036360454024203,-5.592719266198516,-4.084940635763155,0.8355119520490264,-3.4068454335779292,-2.26763354272495,-2.210735864559123,-2.86554790940818,-1.9473855321975757,-4.042418675284254,2.081510975789284,-1.6765343469534173,-4.255593124238131,-4.6808732886760955,-6.189500057451866,-2.147558945595837,0.6366692692477708,-2.880235471824439,-2.9417851516980416,-1.9724349053200152,-2.0126754635159663,-2.6351706029611224,-1.490201095813738,1.0336740032163738,-3.0767378978028006,-3.693328457506832,-3.53892288626237,-3.8117036640925526,-2.029328431317971,-1.2772743672825062,-1.4457780714828714
Tumor EMT_mitotic,1.878230004556663,-3.1103337043548698,1.7045447368088535,-1.581041027515448,0.8751690368455545,-1.1827938727015628,1.8971786561087922,-1.527089590963686,1.4156377173413064,-1.832499172716879,1.4334997886897094,2.611305498207762,4.251315145934057,2.230117508184978,1.659475305273553,2.2245037848187987,-1.4844865962106781,5.120327312953352,2.545282523330703,-1.7501127009602884,2.5332902629400476,-2.10851436696626,-2.7521140337181627,-1.7752300008089774,-2.238832903627448,-3.4583513106613974,-1.8566954022781608,-1.9760007145634182,3.764973598507893,2.7345699600800075,4.377143769585277,2.0513617826179504,-1.6141133082603687,2.7220490688477805,-2.1570405485636917,-1.6640127570671377,1.5794040596680008,2.2535553350849176,2.329038154772821,1.8544400058028587,1.7903066461137376,1.9999301353429344,3.22432727575344,-1.9437989444199877,1.8073861296163705,1.0496002918570173,-1.9366237454333117
Tumor LUAD,-2.919184168008703,-3.0116095365837614,-2.299136063012283,-1.3217981011177382,1.6506053799903457,1.1576875437571614,-3.615707858393168,-1.3504068033985177,-1.8609424444030016,1.5702865302403315,-2.2424959796251063,0.9708716431098271,-3.3976155791016756,2.6118176000095867,1.4438792537613692,2.240672853150595,-2.2623278237120954,-3.6365050708260913,1.5080603225285134,-1.5764609021174225,2.12622824913928,-3.023309961262961,-1.9739817932021513,-1.7225035778592956,-2.112816864242966,-3.213576179876276,1.5136651303840298,2.0164454391083084,-4.608017990036407,-3.309104506297776,-2.559411456089389,-2.4436451113548308,-1.373974079996526,-2.6780154164398215,-3.0497120170162386,-1.4210331060287835,-1.593182747997499,-2.1818162344026995,1.8092480176219203,1.2039983269428736,-1.4452363186000923,-2.5154292830261777,-2.6671988223434244,-2.8041087351680933,-1.9039631391555905,-0.9458253476621294,1.0735458555957476
Tumor LUAD_AT2_Club,2.156901076430727,-5.098356055375899,2.4143525485507666,-1.521858015074249,-2.431524217584183,-1.7040575976048173,-2.78126144696988,0.8076813771675261,2.885624889126317,1.3361460398882166,-1.7730930338866364,1.8902761679191231,-2.3483439131156545,-5.170141059676675,2.2031426250645465,2.5984213280970043,1.7216112208005534,-2.6633915002211377,2.497603736636467,0.9365029735374016,2.314486363712063,-2.0960895752654993,-2.2637480893395714,-4.227436852524612,1.3566716907721197,-3.8370167430683617,-2.6067227921894927,-2.5723210513237382,-3.089122936153675,2.983051393871598,3.813853702345384,1.9155354899709063,-1.6836052314752388,3.4115568287830684,1.4695946017629264,1.0713209448250685,1.6601903473612662,2.031750937168687,2.1456488801335603,-1.2508362175159629,0.9453376663477733,-3.0694788393316097,2.533279312444221,-1.7575379162012106,1.8344818922407646,-0.8645709254111535,2.2334435324348885
Tumor LUAD_mitotic_LUSC,-2.397563459178507,1.5225535448117284,-2.0271340801770537,1.1601959180456418,1.7148302754200804,-0.9326354032306775,1.9469094704101009,-1.1310375883081514,-2.611576203970077,-1.6416225536016977,-2.2242952217579766,-2.0082400604652024,2.8203642957174706,3.168679240020948,1.9895730093993125,1.7728196877841829,-1.7210200345364366,2.3737063658244653,3.0752421239440264,0.7462176632370756,1.9562113071287084,-2.2243794293705426,1.232487869405639,1.5129234968030953,-1.8892588004450144,-2.6620048302672554,1.2458708372797778,-1.9681384633076255,2.031057015543201,-2.7006719021190664,2.96496991355664,1.840916660945437,1.1054995497968998,1.661531096799974,1.6469432050762944,-1.4748995550385047,-1.059992718612122,1.9082860065694784,1.4907967008851464,0.752385840571936,2.2937920132876948,2.652948502981625,1.4870236771321035,-2.3529847056367004,1.573493442189894,1.203692255169246,1.3082893142614787
Tumor LUSC_LUAD,1.9910888799304678,-3.7230450430128164,2.079678769110904,2.0500668192064597,2.272332312373899,1.8096260320044721,2.172856236104879,-0.8428687168087465,2.4658675387541775,1.5756342299748973,2.608792406559513,2.5551658186714,1.4200407515322315,3.353249314966514,2.2676856786288058,2.6456970391703467,1.2902031907806992,1.3756504944954733,2.6757697323447176,1.1720870072739955,2.5002302705457127,1.3898797328677719,1.381778736828483,1.6770877487434683,1.1147421970699092,1.4161804648085876,-2.7634634327573324,1.585306936605092,1.279914066425299,2.9477440953442904,3.9266981695844803,1.779092489933143,-1.3861116137088616,3.5474805950425132,2.310521833680303,1.2055954372981563,1.3739212737851563,3.634932981501827,1.9750020505588646,-0.6136519120633797,2.9970743451614372,2.9648449312664096,2.528640912410722,2.2204406510754406,1.7865681069735966,1.5143288319178405,1.457597554612324
Tumor LUSC_LUAD_mitotic,-1.3762184917048423,-4.122168777626678,2.347763726722717,-2.0696797638655537,-2.5398104453220323,-1.3291128567285064,-4.100341154041409,-1.4024886894013284,2.1992251363800257,-2.035990997248829,-2.8740558381594354,3.0937197992390355,5.975717005009625,-3.3802006118715906,1.472595464210032,2.658464042246943,2.106100457353009,6.071940811144659,2.5538317138761175,-2.190303319184546,-2.0332617301977884,-2.8506382317778707,-2.7462713039795337,-2.8963649832543994,-2.0995108819767494,-3.897140583390538,-2.0546437429970967,-2.144491033729906,3.540802275677943,3.0626430944114387,4.5241314732511775,2.729277751463213,-1.6573923994515194,3.6515513853787613,-2.528063960826182,1.35170760253308,1.4485984264331973,1.801532292917981,1.9037723229525714,1.8330710960348682,-1.44074646914138,-4.3936439646349505,2.0772698987240674,-2.962530740929023,-1.9546784876836965,0.8657456283256048,2.0233973321462555
