cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT2,2.647508101430945,-1.0,2.73106683653127,1.4032899009868989,1.126425903048662,-0.787336089564821,2.832203013806476,1.4321135394186115,2.162343662461664,1.9892818297428716,2.2413977153698843,1.090740612908257,-3.255357989956341,1.8438356115397054,2.162622618607342,2.392549389635334,1.9273656737140852,-3.1153551355763502,2.2411755225703707,1.5325792907988396,2.9343305360330914,1.430938021670173,-1.3835205464640967,-2.215356697978964,1.409127804685989,2.041742724289642,1.2054511002766461,1.6654165935764358,-1.9365959251699996,3.1009638635117227,2.6312632121909543,2.0132320664413976,-1.2834512717868742,2.025743631908978,3.2770186492487796,1.8613411405652023,1.4391802367769098,3.003004186173496,1.513835894770989,0.7328335182444448,-1.7671645705699062,3.259395065810746,2.992439763629411,2.372824845115302,3.09887160131916,1.2454674678353843,1.4770164632187028
AT2_AT1,3.54366741493699,-3.8071395362948244,2.2607717738091706,1.2844409301704223,1.6446256335299292,0.8384999273833664,3.164504515112762,1.8652194798288486,2.4592633201483842,1.6925116904084472,1.3872096734890755,1.9130886437920445,-2.9494620665199895,1.7805112357093669,2.442601634983723,2.429715601011054,2.410169776939025,-4.379555721882092,1.8215228413432683,1.8921823154482056,2.0371478674439287,1.390086780690612,-1.7498266330912737,-3.4006193278724255,1.2980373278162876,1.4915393342714802,1.7200138830022922,-2.6644686319730035,1.3924546798542556,2.464644981876948,2.701871430896194,-1.3291598458275162,1.003110032070481,3.3058190323018346,2.6144282500224936,1.5089312510689348,1.6937631991842612,2.2197836575230485,2.1777789913574974,0.5688910672731363,1.9729010669882374,1.9932279384968725,2.287952806635217,2.177121899084792,1.6880892188996546,-1.1967764522366704,2.0133263280418223
Ciliated,1.5520399148095616,-5.263195497232913,-1.5769366321751623,-2.170420401675021,-1.6056565879378404,-1.091440117665245,1.4418434034072451,0.822468634860518,1.5423114641126694,-2.795362233233134,-3.555814335842177,1.710483933357947,-5.405596301648604,-5.093622001731125,1.3761426853027812,1.2775425799649118,1.2096948244429653,-5.269471610614276,1.0450355901739343,1.37854235766672,-1.8116356825032356,-3.912027917901925,-2.6053818188520133,-4.769580766539355,1.1145005057939361,-3.1042469979655567,1.2637809915168707,-4.57974919927246,-2.262437070940694,-2.4854357807746137,1.269165004207601,-1.9463227730327368,0.8697928696055294,2.660476688005787,1.438086690646811,2.0486581004173927,-1.9139596629888183,0.8769428737775843,1.4287311040965456,1.0332741935697727,0.9776646880209235,-2.511892796022489,1.3468682674088404,1.4705965471550435,0.9630478506673172,1.040006211500427,1.864578084786857
Club,2.2253556666317977,-4.0673512594163,3.3297293002728656,-1.6640862970884085,-1.5739564023249095,-1.076370994924814,2.7265431563343765,-1.1559054831566538,2.695337735208624,1.5948036518115287,1.9814042715793005,-2.233026370736399,-5.52097013238863,-4.166637721753507,3.4663253878475286,3.222405993049192,1.8759559210219472,-3.8097593285385662,2.9604033702503183,1.8939161007469711,3.4170053458291663,-3.03463792410498,-2.119117752317173,-1.9853249689462897,1.2604770971867205,-2.380738471285425,1.473941736300308,-2.576686160021671,-3.0804703884028366,2.5980395872970243,2.402497795057495,1.7767637766891204,1.374040136629936,3.1188446640411853,2.3819035648228484,2.4175799294270113,-1.6452659801686247,2.437764662233904,2.807588627157355,-1.63136802459726,1.19881476459675,3.0292300624620143,2.413056653700782,1.7459658994066931,2.5887083433126254,1.7154065764267024,2.7517961863352136
Tumor AT2_LUAD,2.809058819445439,-4.05774669355542,2.6629052278361174,1.280551697795436,1.3218864836849302,0.7946497536958455,2.1447588832764226,1.3101930467229277,2.3544837988641145,2.02013162002209,1.7377370619008683,2.304136043752558,-3.790009088934648,-2.9842804127249325,2.3993780280110943,2.6955457290508487,1.440734666474834,-4.024617640650574,2.524013045636525,2.018294752370804,1.8214501237515317,-2.585617319352123,-2.1361960260016994,-3.7279474905867507,1.2766122356384586,-3.390130229152958,-1.0464973355967464,-2.509957957732166,-2.648140810650841,2.063622786466336,2.6206855518029237,0.954497254536165,-1.5258596969831975,3.322556720363662,3.073595844455714,2.1914766515377795,1.4233005674462285,2.9665261068308877,1.9016538582916185,-1.5756670241310888,1.219211910271298,-3.8519889883898224,1.610459804679856,1.9231957082694688,1.4396118863037248,-0.8778177572927217,2.3586876050457612
Tumor LUAD,2.037036991466664,-3.224609674328209,2.3826339348558254,-1.3431602036103603,1.1338631631168845,0.739077275445492,2.755890288949829,-0.7967620821352248,2.579570546463791,1.5577955066444558,-2.6516964874354585,-1.733927107719616,-4.115699271683636,1.7407385592076616,2.5641037650816143,2.8812099135470706,2.1063680064363637,-3.245011643462612,2.0539443966338946,1.81703698209883,2.6940764390323393,1.7964241523858064,-2.411786932823647,-3.061772542962481,1.7573939481668726,-3.4779353029029187,1.0018891251909063,1.411939269875371,-2.1919347021032873,2.491925100263384,2.4472744591316955,-1.7901109029173663,0.6443124477647686,3.0850502985161627,3.044205703594054,1.7732783263113299,2.6899910806148206,2.928567237581128,1.4446210161603048,-1.2591620494790376,2.3962779616408727,2.3339166873905204,2.696749545134715,2.6217475678408433,1.4271257543166223,-0.7676301303396637,1.2448947975060227
Tumor LUSC_LUAD_mitotic,2.4433392194878736,-1.0,2.5075446251533924,1.0576316003448487,1.3901288558735387,0.8573718874471731,1.9134912598714355,1.5097791686209951,1.9992829371147098,1.6623223734558845,1.8300156394386555,2.7021633528095794,3.2839162887760125,1.7626579328956558,1.8378932325981792,1.9913077488209647,2.0130626073047178,3.3214108640061406,2.398491098132765,1.4136598702865573,1.5679278364302949,1.0096930382694427,1.1131763439930356,-2.5913756940268957,1.9111258208902455,1.7675763644934122,0.569533741661268,0.9083161763666244,2.842443784581842,2.708603649709181,3.2188420593965987,1.5051384765446345,0.8234310609540999,2.7259286123880293,2.2930698714505566,2.540684008131168,1.6823887977111365,2.5030289607551195,1.5412512387141148,1.0074721183633861,1.703673935737031,-2.6538549460921326,2.16879648686133,1.443073682972402,1.950618189148071,-1.0014681820395512,1.8672616257289676
Tumor cells LUAD,1.1788812994824809,-6.072340381938221,2.712073190512986,-2.4284444305662203,-2.0094924881235317,-0.9002079310344873,-3.212821709005271,1.5045890930626453,3.984825631789465,-2.361759536279728,-3.1962378936702356,2.1377660173106348,-4.555669033965438,-6.704926855168782,3.44802185946806,3.8580180014152545,2.3372964471577493,-4.313446798790453,3.09248147478062,1.9219638473939864,2.1437570863294586,-2.9706999422158877,-3.4540368873081397,-4.488196094836088,-2.7272498668996668,-5.339440894065747,0.9410184140071131,1.7712220809777994,-2.424277471478028,2.8526082016283314,2.5655585867677786,1.3851848387672705,-1.6305555792810675,3.5609812949538235,2.2902356482411026,1.9876025336731444,1.8095533866399678,1.6340510326940505,2.516588069656571,0.6406753363759117,2.054930246543045,-3.474238648951542,1.5934662758257097,-2.085535116816915,2.052545918040537,-1.7241239982946803,2.551737839051219
Tumor cells LUAD EMT,1.3068975293194378,-1.8410091060415446,2.4657307817359038,1.5650920519273774,2.92664550723619,1.478456355469977,2.586877291674385,0.676820528799319,2.4233158829926267,2.1687649162886378,2.549784125047387,2.6370695842263485,3.798918774466249,3.816538638795299,2.4886771879386957,3.1332332475031555,0.7594894223344153,3.8246125082847904,2.5947779215264197,1.0973148647009208,2.4115598899676836,1.7375935093051342,-1.93718055510672,-1.7499594896042387,2.4727848661949534,2.7690448134786445,1.0572408132694784,-2.3502021717360844,2.4684533690236417,3.69423557312813,4.294403136848714,2.053803417598615,2.0300947799682127,3.210259760501269,1.9016272336092512,1.0231276752059686,1.5050497611771194,3.000487543595502,2.085612304563783,1.1103885865231555,1.5901497836781444,-4.681224537759948,2.130630222318175,2.02868160156786,-1.902493543294022,0.8560232282863866,1.4099883971550042
Tumor cells LUAD mitotic,-1.550397959451173,-3.6432658850620987,2.1231117983335026,-1.8268234841375155,1.7519900190007842,-1.347496631747086,2.105725869923666,1.326806986960879,3.7191430874437725,1.2721814201689503,1.7332237703092057,1.9483154046414066,2.885120770668604,-4.044495439778032,3.3477094599937924,3.482755854938843,1.6654061315932258,2.7600815853660965,3.377641330968796,1.7952099581422087,1.6615280381233124,-1.9650283402140105,-1.8442328124167275,-3.4295480053212857,2.748527190249884,2.1680849587597932,1.699403977014838,1.8494485630370323,2.261849338607893,2.842318161712911,3.181604843464636,1.250395994445487,-1.8137229793452758,3.5276791572905304,2.503085550669352,2.353549467690108,1.7622858580746161,1.7546324259063684,2.1933425898203374,0.6676198077607595,2.1515746727531564,-2.4132042874003297,1.3912924661927462,-1.7726428799396525,2.2518289413224033,-1.2702096661550715,0.9787699794805217
