cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,1.1331465178087596,-6.347806254660816,-1.561451850636407,-2.50730509172713,-2.3190332087489636,-1.4205703092168933,-3.1772852100214184,1.2083448253522946,1.4333886780294505,-1.8005344627782887,-3.30824415328006,-1.038121004086818,-4.829223271082241,-4.823950274191742,-1.2198183031984016,-1.7660225558302953,1.141070261112022,-4.774643175500945,-0.9412765245398337,1.1576154451912788,-2.546932797273818,-4.795417500890081,-3.4531639212040686,-5.1402416130190725,-2.4781678552915207,-4.036879849422053,0.8934078355288556,-3.9630621828526955,-2.313755089587246,-3.6959083985198373,-1.5981391177228739,-2.4528196943773226,-0.9843207780348201,2.5021539932047654,-2.612389042051842,1.99903765043637,-2.056044136912643,1.6926637047860693,1.351791867712491,1.0315098446267903,-2.45935097927156,-7.2069797052083,-1.7889213527476806,1.5864156368735518,-1.6945202944237865,1.0983161244178403,1.033749008907977
Club_AT2/1_high,2.5649403066544796,-5.3161044508437465,3.669494408437688,-1.1664258250249993,1.4090341336749708,-1.7481799222359269,3.7258004052094353,1.424938932956114,2.5028699428916816,1.7449750737192389,-2.4510157791559095,2.5485670702259386,-2.2172654770428752,-3.2321302715818576,2.7719367506310872,2.637084263082469,2.0349371281488864,-2.7482604817369087,2.5248419030867435,1.8965713108089854,2.271151890326627,-2.757989331269314,-2.1302218804780226,-3.6325244463621837,1.4147664481311588,-2.988451564439846,-1.6543637116023389,-2.290141119627658,1.6592826583502809,2.9579338625337757,4.3618265129804,1.9271766052092034,1.1754770496752882,3.7321373518666046,3.7612561076000213,2.5681660710472194,1.410602650126161,3.199037589197851,2.2395944809466273,-1.522601637334062,2.0765074047230825,3.836880576279235,2.734294440520065,2.185467293976013,2.456189338232795,-0.8635598905226903,2.055110891489241
Tumor Club_AT2_LUAD,1.4379950902541099,-6.038923694963523,3.638812487966052,-1.3424592302873555,1.5965651692992973,-1.2594309735421954,-2.472438015043929,0.9553194618024352,3.567740295139616,-1.3803518098927336,-3.6622155896786692,2.2851591571714476,-3.9080796734858767,-2.986929366786084,3.3840293683536062,2.748592751610622,1.4269336523746305,-3.656416527137517,2.4389740402736355,0.7935868376120092,1.7297111816418678,-3.055308449932151,-2.892612392498293,-4.487571253455057,-1.8888755712723686,-4.142196108490524,-1.8148767604110967,-2.9095314109375083,-2.2249168765510037,2.301177699680584,3.7088688581863254,1.6004854344185193,-1.2873211943238496,3.695294198907592,3.019241057451942,1.9110777896971445,1.439247010232939,2.5750447965939185,2.068872376355263,-2.8121856860469854,2.8431784497681356,-3.4942646843011484,2.303500524113702,2.8039950062069066,1.853921012331157,0.8991025822180707,2.125065991568498
Tumor LUAD,2.4599323082396047,-4.607319889420011,2.4975943063269943,1.020802598513059,1.5365346528170234,1.76589880517439,2.3015822396576002,1.629604481807553,3.010562049626109,0.822142100583372,1.2563713722322307,1.8928589627028833,1.5617082176752388,-2.395868421598645,2.448138209150211,2.5439216393632003,2.681328443072082,1.4701609194345158,2.1579764294637247,2.204242585146951,1.9553712334780624,1.018066488733233,0.8773229738845784,-2.5405387165063407,1.9973996708057165,1.1638725088075514,1.451357081520294,-3.176425419023027,1.9442671375095173,3.442414852389706,3.8426094603614267,1.9127874709469024,1.389082363837905,3.776566277131608,3.1599332041588166,2.100050281504152,2.0856865933720474,2.5695735783913882,2.9460955122695305,-1.115697389180888,2.043764745012912,-2.798547954623578,2.5338464880219753,2.0149053969676465,2.0475163509881225,0.8069389049877119,2.161106220427938
Tumor LUAD_Club_AT2,2.5327168941764704,-5.193057451098275,3.1637344655293904,0.909708175192312,1.8577996101629901,1.0310827508272806,3.020240885305724,1.333689035258657,3.2711489050948903,1.4515743223210527,2.102325260632165,2.335528914619824,1.8354523296777148,-2.415069460629545,2.7885126078903726,2.4740326872814915,1.914309027550745,1.2850412749402522,3.0769315388190397,2.4441853918930336,2.1467208828736264,1.6201139274169019,-2.0380981117753914,-1.9566863657107798,2.0413758842477137,1.8322719748317502,-2.133254836043986,-1.8539224939001178,2.319064079849735,3.3746045037716765,4.34561860689419,1.7113496903493592,0.7106050960929449,3.4744906884184275,2.8172084489869995,2.1793753304392935,1.8636892892885202,3.352840154940417,2.1386519609344155,-1.0670160043862082,1.6082990375985347,3.6580669805559594,3.717724121122478,2.4998940977269744,2.4571840183417692,-1.2515062170908227,1.484052737637956
Tumor LUAD_Club_AT2/1,2.0781121130169815,-3.9582037728058586,2.6824443623807146,-1.1912428475391663,2.488752622749883,-1.3528405500950786,3.0449645816357536,1.3271220375352313,2.8116720354855413,1.7506370924488535,1.4772900507900615,-1.1438620756602171,-4.943836300086268,1.6567394619968085,2.9636380265127142,2.982217382594723,1.008189826726609,-3.7811442014891936,2.4313362461102854,2.042254063691373,2.5075914957117176,1.5255033389338253,1.2712041226729884,1.7516780350864465,-1.2730301982139394,-2.492697205912557,0.9575476412085842,1.5931212137532929,1.809835698804036,-2.2079752567804625,-3.867803291314414,-1.3293515279534396,1.6342177205221222,1.4025931695711453,3.7450273462417747,1.651075972823396,-1.5000215203063794,2.2548499521348626,-1.4673665889786671,-1.1770476274227204,2.7182021530104397,4.01258137252763,1.4904850309278312,2.9938198829818985,2.1012394397762777,-1.2296401377153061,1.1460922322621974
Tumor LUAD_MSLN,3.463598334285607,-6.641266315456136,3.157657809465283,-1.733775505899824,1.858868363775609,1.193997875048725,2.4264402271809256,0.7924378748022014,2.6771583543350683,1.8498242399821634,1.981512517022925,2.6660907770751083,2.004006909081013,-4.384975322880451,2.7365837128006874,2.3314758263968796,1.8803662281508926,1.8403184293037316,2.7795338520343584,2.2418820098731485,1.4950085955363035,-2.6573010859699804,-2.7120420910635046,-4.609428053852035,-1.832528973716988,-4.029646703652929,-1.8621017640383273,-3.0947931262348005,3.044799071718354,3.0291921242738926,4.519469272658545,2.1298064885318806,-1.5061402985499275,4.027980400585572,2.141549480229868,2.024253614560174,2.244386851933317,3.3813264374489242,1.8257475950933135,-1.0266844549991898,1.452319909308983,-3.1204936762579,3.0392698870268515,2.2097428131850667,1.8663912689428903,-0.7731590750448921,1.4743912387755298
Tumor LUAD_NE_LUSC,2.415131589652863,-6.761848605590427,3.098694936010849,-1.1457801209201335,1.0329837055224558,1.5361084394237539,1.5403299485459885,0.9751345865671873,2.554797952205039,-1.6972151366846673,-2.8767234495249405,2.9145089051609676,3.7798504065315988,-4.1292533197055885,2.2740781218787225,2.1151582170343173,2.1482071167024905,4.378950049796574,3.1285515013444507,1.4214086680888596,1.6951817066161736,-1.965219444449633,-2.2716466522126195,-4.643007130486386,-1.3657459598525896,-3.344560905128857,-1.4209353360288157,-2.8163409344927,3.341879046980525,4.268536339557159,5.276292471317158,2.850886371831884,-1.3619536425506216,4.1962498846943115,1.8336711707439046,2.049115447605518,2.424259181132086,3.021874582881127,2.3941667663225545,1.525545760667867,1.9485569605670692,-2.377575539226089,3.355146458823621,2.125345884480856,2.1719579787135554,0.5454987102574191,1.8764025288887936
Tumor LUAD_NE_mitotic,1.8033163303205597,-5.5560734158585205,3.252436472759456,-1.1991792504548757,1.3825344177230683,-0.9440758833680775,2.500288717754408,1.6591918765331568,2.134878721241122,1.4723042917619358,-2.106095350892641,3.2290468650612127,3.0863152237392746,-2.7673224641218326,2.83238340657134,2.810597532047758,1.893762630590049,2.864495379364331,3.474668060890454,1.5452454884507225,1.5489898227760814,-2.6081945250978764,-2.817739249353085,-3.21007870498521,1.726196021570505,-2.8709817461716853,-1.9908424104541782,-2.190038185870739,2.850970951655497,2.727373454836002,4.657596869369125,2.127127096612488,-1.2762448317398587,3.196627883481876,1.7698138811374438,2.2315171004323022,1.7742912159017572,2.3589950061805256,2.5653440200430113,-1.0376261513926894,0.8801186935303822,-2.829581583757877,2.1002863594966703,1.4560748988928611,1.9801865908829457,-1.1625416623866933,1.9703970198042153
Tumor LUAD_mitotic,-1.8916094815688798,-6.880686217589699,2.817902493773098,-1.5740728859400055,2.269375127752175,-1.2387871439929121,-2.909009579751294,0.9267900536830708,2.1724137679132816,-1.9225445601816193,-3.1791026601463503,1.6938107110523668,1.231080870792438,-3.1524581526423,3.1283065358257836,2.5553580905884035,1.077723588078158,1.1248446431537562,2.486530402934549,0.8374094618519833,1.3986915465957614,-2.832616677479526,-3.147053419119537,-4.240414712030345,-3.2019422237186532,-6.562709241924621,1.0683067936068633,-1.9899108220922588,2.402954559565858,1.9417922793009441,2.7590407924699347,2.015393177033205,-1.2476970367819344,1.2841175911053426,2.471655733419053,0.8390806330695234,-1.4162489781927823,1.5251719712283605,1.7977233303157945,0.9778513899864206,2.4067851923843153,-2.9930961324539656,1.7719395743363828,2.177635226409783,1.28497718161516,0.6530150194293515,1.2226145614788515
