cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,-1.294192989777928,-6.257814436882522,-1.4021387799149396,-1.4945933935563231,-1.6423831794430805,-1.2962081658722335,-3.4054871770718256,1.006479577681597,1.0221681041121256,-1.4951860317194412,-4.09848416060132,-1.2152038524058708,-5.977391679636741,-3.7918468851826703,-1.2052005308831353,-1.972648328552225,0.9441278397954996,-5.867147863181194,-1.6036637182472122,-0.9177293907123217,-2.317803972409081,-4.84560172455669,-3.1804812792263806,-4.694536303110054,-3.770850490579024,-5.317191354546032,-0.8529151431423951,-3.386041512471493,-2.6283775752522343,-2.934619268936805,-3.209931809467882,-2.0553592650617065,0.9772839566510614,1.7005989457548132,-2.689976059932187,1.9415693751606513,-2.228969193385293,1.2388495384368405,1.2989820116351758,-0.9686744099304754,-1.5684518442119657,-5.805596063789349,-2.7385032216295366,1.53915456290666,-2.6246654810934604,0.7335949554834844,1.2956020050413386
Tumor AT2/1_LUAD,1.950928231235402,-5.544724976982621,3.0444132908699957,-1.273350657948391,1.6786307197708525,-1.0361532886647298,2.4279410309511453,1.8209298076850222,3.295179656465672,2.251547817653883,2.225154147993382,-1.3388405743210343,-5.689015708980659,1.4118819967155425,3.322055023475426,3.5920487171536974,2.479931228216192,-5.05101142401238,2.5378155178801998,1.6443208309050705,2.5618329399447237,-1.863886342232889,1.0568330208072076,-2.3267601597704703,1.6294549837876267,-2.2720083512819857,1.1845556487825344,1.5203598052155762,-3.11420179957898,-2.3948655596489754,-3.193779043913416,-0.8544971971852232,1.2795312546447182,2.860227739245464,2.6536611967324113,1.7948073029999283,-1.5053772938814831,2.696905953075546,0.8565208069124284,-1.9741525771227435,2.1572440814950875,3.0791961500071103,1.1327095290410512,3.072651347432784,1.9832708967032686,-1.1835188251743292,2.7070392612451126
Tumor Club/AT2_MSLN,2.248116445352547,-5.287138845770972,3.457454501463806,0.9549950723829675,1.82295556492345,-0.9561832528065974,2.623560549261068,1.5148862708975914,2.8713375914152213,1.0120172151358469,-2.747833293223905,1.464426700155914,-4.726121581730921,-2.550969929320978,3.1321262771637493,2.165120705365276,1.6174453572949568,-4.376371610139827,2.631784701660448,1.7978240249349684,1.7740245897630642,-2.7198184984711156,-2.8156130120542158,-4.042294242491732,-2.563601910348628,-4.416518083252383,-1.2233766361690432,-3.2606421565912225,-2.7636071016173616,2.2401369557577464,1.9859184580109708,-1.1623779346376037,1.5796342329502775,3.248103518619616,2.5870197270763593,2.2018493759219036,1.3475508585969076,2.996261056246375,1.7192135529810124,-1.0270919794672093,2.1882724935336544,-3.2205177737767845,1.802883984132952,2.4170738899567388,2.1556788147997676,-0.9329714214556045,1.7027894684871205
Tumor LUAD_EMT,-2.471196034434208,-4.767287151458156,-1.8467623761848375,-0.7736620660464825,1.463873389800961,1.0737312091500408,-2.7713965868699173,-1.2092173265789163,-1.6088353815836474,1.125804668747193,-3.6866394067288484,1.723902705685934,-2.472005476047637,-2.13584023758213,1.8317324169600502,2.725540603282712,-1.298705735850268,-2.3143706155407164,1.3235564540315727,-1.1303322630000854,-2.01724840414654,-2.725284401469849,-2.2918974417299975,-3.301117103288118,-2.835633602857787,-4.1441890073091265,1.762578489094975,-1.5791233802443447,-2.6444066928020993,-3.177635103494412,-3.3516438623887463,0.8384899985263814,1.1699209512284081,-3.84753741779515,-1.9578491726733906,-1.229074012359068,-1.5866121755608458,-1.9736149544820483,1.2043954796232679,1.2995938307643182,-1.9925987113603594,-4.071519415773749,-2.060730563352916,-1.6559737558592489,-2.0232839855148135,-0.9698822449421212,0.9478414582500373
Tumor LUAD_LUSC_mitotic,1.891843916973467,-5.68534613409389,3.1698297080799764,-1.3398974077649257,1.5895590341205392,1.5940656050224749,2.106306648865107,1.5312216521991193,3.141699399644837,-2.1501379127331632,-3.6369622622484745,2.656764668132627,4.984967483366292,-1.0,1.951357295739758,2.22173722121852,2.289446819335292,4.057359584621022,3.023474263360369,1.685306491637858,2.336146053888201,-3.324462342443192,-2.1348654810755336,-3.7361577183222,-1.6124259835146526,-3.3636671777680185,0.5468698686829356,-3.740904168970713,3.297388339388318,4.315736827490104,4.909832716722774,2.2265180215577125,-0.6805632746125635,3.5733856742692907,2.6312536634045074,2.389368664724566,2.517894135462776,2.8775103218076588,2.4639075392103402,1.329777056440367,1.1942077237452189,1.7231440286627755,3.3992357904780457,1.8057638208899156,2.5228880870786297,0.6988245252916111,1.1494513229465368
Tumor LUAD_MSLN_LUSC,2.4546835487116287,-5.571752600396212,3.64494799138841,-1.3443613731742814,1.7714043066441145,-1.6240927138996575,2.6409139779098356,1.366225774656522,2.470004959892726,1.6651935727934075,-1.9946970156360737,2.112222307618403,-3.086070522489855,-2.4942553540631014,3.177203626307909,3.2514921629185025,1.6452015216431088,-3.6546445412316455,3.269373453620822,1.860917562947315,2.0391105769673246,-2.4748441637012837,-3.1134496533102203,-4.569462290788907,0.9036757232227427,-3.0743656368142727,-2.54850879767346,-2.10688100195898,1.8333962595389344,2.773095542283288,4.854905769097295,1.6559108623836685,1.1527766399789985,3.906277908720021,1.6828536391085116,2.5372579396657144,0.9552906254050236,3.1004527482249045,2.2862563587222327,-1.6767754681365548,1.4035529718294977,2.3759997734573277,3.0558073665205283,2.5794714081746553,1.5287721479129406,0.7029673307091676,1.5905532140986502
Tumor LUAD_ROS1+,-2.4367632323849655,-4.132274924332433,1.7819102031123588,-0.6526675941376249,1.1657199680833956,1.0767878443222274,-3.04956398753143,-1.4154815857358582,-1.870258934527831,0.8746292136993224,-2.7183547603759735,-2.5001719336754515,-5.3771981447259725,-2.0831520063590068,2.8124517272436003,2.314873622609465,-1.7443815378685925,-5.39111596673005,1.5595365576665203,1.3560727570838935,-1.524280627587368,-2.666057959179673,-2.099564054194195,-2.6956046031606586,-3.0035685697469177,-4.4506858330415415,2.1703091978070654,0.8500123449817774,-3.2765056421635474,-4.7511684958738485,-6.4835227259453365,-2.338770805352302,1.1586017470192682,-3.515767666923023,-1.767236195393153,-1.639748152823541,-1.5376354487726125,-2.5672967766711454,-2.009039508893308,-1.3069376936808768,-0.9672730748351537,-4.148771714311027,-3.200248176678647,1.3157003645706518,-2.0489154894851733,-0.6257482940854959,1.3206957493372875
Tumor LUAD_mitotic,1.9976075032483185,-4.841083920462474,3.2984679353841315,-1.3223876785250028,1.3856765198042846,-1.5719992912393272,2.2867097440225526,1.0275967108128732,2.602927109132856,1.3600990593735218,1.4461722370452421,3.1030666233891075,5.564658178014063,-2.427993165975556,2.881053867375828,3.0931340932035503,2.156398468226509,5.368039563408352,3.4247877440199437,1.6015532034002007,1.5924844203798316,-3.0212349778968512,-3.3708232676760437,-4.97792620816123,-1.740489369573062,-2.8769344285953986,-2.2804824583865346,-2.673296062272712,4.643037653777975,3.981630816879067,5.269576272129079,2.3962361621476904,0.7717558574886371,3.4642599233583717,1.6147108549443037,2.503390877499486,1.701369270911248,2.477961751987911,2.162288075751922,1.5064541431531309,1.2205080416392369,-4.111931773499566,2.953917915362599,2.231982687379714,2.3010219289693845,0.7711954141373032,1.8863122338462754
Tumor LUSC_LUAD_NE,1.9812674573213975,-6.998389924158142,2.8705479274924826,-1.4211000744725895,1.614626776781369,1.8185972635814007,2.236972467460845,1.4513413905955848,2.774416480880126,-2.338559656534279,-3.44487055339449,2.6501355584777824,3.381714893254688,-2.1496669740866206,2.370461293067309,2.784643021603381,2.2472544176400078,2.4695105995913065,2.8282324512107615,0.9560477505093784,2.7320750040316577,-2.7866552248303162,-3.1945723238418626,-4.105229252187299,-1.3247278187302989,-3.3069991653235653,1.2088857507422677,-4.196748695501175,1.9868014807655197,3.6997683603060003,5.729353916839594,2.2936285590687855,-0.6925994371770285,3.8756766288838844,3.0392787689110206,2.22806169926465,2.4963376711845413,2.600961427328369,1.948145370784888,-1.0377665212115719,1.6617810818099445,2.5300427474197944,2.7694658379021755,1.7800921837543835,2.8074606449026738,0.6959947244101177,1.7674404531677361
Tumor LUSC_mitotic_NE,1.7773189433523335,-7.372697005896573,2.7670282611083374,-1.6723725542439678,1.6027925479333007,1.620269972581343,2.2369332474697488,1.358909049554676,2.723178039877093,-2.5543482809034543,-3.3424483890455408,2.6915827238155194,6.857116852896927,-2.328943448891737,2.092362425595044,2.7003929775210977,2.2155273398327155,6.292969332330579,3.4290752056172407,0.9962816362754081,2.455393236688858,-3.1020962108598176,-3.129676748312617,-4.370298336384891,-1.751791621809595,-3.875137650561444,0.7704550508244672,-3.856415744337409,4.677411513799829,4.1701333038066455,5.900427518437313,2.5753560092262604,-1.0641883018761826,3.7464862608946317,2.814607507362172,2.6855992608392816,2.839368670984726,2.7764221710020296,2.3258931934349083,1.6987066150413312,1.3424330124776647,-2.1335445295958375,2.9859733818864096,2.0307265733320077,2.309767410473337,0.8261890745355596,1.5588754975108154
