cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT2,2.545017682165934,-4.917572359015074,3.1789243912111633,-1.886061185104288,-2.2030656949076715,-1.0180161202977236,2.3096267763616596,1.9866936594524816,2.820038848354901,2.0827286071120246,2.091381717926383,0.8558504597927842,-5.50621860644414,-5.040215458803923,2.6344139698516407,2.7066601019240504,2.5410403549213285,-4.0334435481014195,2.1102994508434922,1.714014286929101,2.109279651812985,-2.413612004324676,-1.6720393150797301,-3.870135029527325,-1.7503950199903155,-2.6661839595192744,-1.188357467081076,-2.4574599331921387,-2.959665593967137,-2.4261636829097473,-2.3847038077862437,-2.0001830385299453,-2.123788284066029,2.1467337178660753,2.075906351976293,1.7693035534213015,-1.6937490452335684,2.690458916767528,-1.1515813644552948,-1.8741428498306145,2.116698588074661,2.393258126977331,1.5617260225343799,2.3109791095395527,2.073646085441215,-0.845376244947547,1.903433449603474
AT2_AT1,-1.4509897076522347,-4.846309519841459,2.4426829991853904,-1.6973858554545125,1.9087740380290972,0.9122243737913184,-2.492307793723265,1.386636433001316,2.3408617018003497,-1.6869913079426944,-3.0118280760709957,-1.555673139269862,-5.21654452370413,-5.624436774572021,3.035435570228278,2.7137893688914314,1.5911532046622092,-5.281924658765678,1.6675531573026765,1.217348727404417,-3.1875713395730556,-2.9593881544945764,-2.58600776146743,-4.455468619655703,-2.4081424133154763,-4.2591480544692075,0.8998143704875824,-2.7104494185097905,-3.41715762657558,-4.365393550716175,-4.695363115793429,-2.0834135339882485,-1.5814518078457587,-1.7601036788156827,-2.460079161536615,1.5186015232162362,-1.4682875081156344,1.8679440804274305,-1.4707971764128673,-1.4789808565545395,1.4168433518387036,-5.2331114605688605,-2.2397112616941413,1.6518026027311412,0.8926471587373882,-1.1996396947465744,1.5806007917905784
Ciliated,1.4444218972428684,-4.791997132191051,-2.7098932819506176,-2.797812329997975,-2.9667783992330676,-1.7751113479100846,-2.8786922440735108,0.9230939494748923,1.0939847057158831,-2.6750285293064953,-4.024525612960391,0.9287990363464471,-4.762210746243193,-8.072637410116723,1.2603247906779549,-2.0013865070812464,0.9711886648102402,-4.679494166422743,-1.8565121930349164,1.449714699873987,-3.338446055910129,-4.340864558686708,-3.1830382287555294,-5.045567802773192,-2.6475313464671464,-3.7219369480131985,-1.3967854677574756,-4.771658395737149,-3.258741808303389,-3.3442620207632214,-1.4912678219434339,-2.2938052736221515,-1.6160726162844894,2.9670407730328514,-2.940035126185571,1.5362401192009199,-1.7071635647345085,1.0822460421459432,1.1051649799521444,1.3703234559890707,-0.9201294662427341,-5.8694000190164175,-1.6606635254670055,-1.763247028278363,-2.2625241889580114,-0.857978306555739,0.8824441558840715
Tumor AT2_LUAD,2.5231256699455367,-5.735748434324807,3.461891157157803,-1.9780380766344212,1.569364298122878,-1.3869092921063035,2.136062504425926,1.389013296395983,2.9885561792440534,1.7001679096047584,-2.4998210453165037,2.349938507198735,-2.9672308199059643,-5.531468691430788,3.7336692229357986,3.04377726680834,1.7500588633780128,-2.8054543394819436,2.120298571374069,1.8453156485787594,-2.6925243738873688,-3.292168893296722,-2.5169660623934367,-4.418705724225287,-1.7111517672502992,-3.265279212390391,-1.4730534715214183,-2.870145157803625,2.5446626775161536,2.748448604165561,2.6771881480953237,1.528658606327846,-1.5162634739321912,2.500262896468916,2.2978947775602583,2.4939745045396893,1.226583935908552,2.6807037944294243,1.973088787213768,-1.3374240836526454,1.803678627952088,-3.9490051957221173,1.615182099732884,3.146151372825574,1.3692113163183144,-1.4050787174980484,1.8925077361319815
Tumor EMT_mitotic,2.138437159209301,-4.315942230661895,2.385919193667296,-1.4115750644062008,-1.6625910294824586,1.7276404266456629,-2.5964682739692275,-0.7570699933048234,2.734579856611693,-1.8463828184679318,-2.355976079056179,2.580898289475461,5.066953678860821,-2.9635647354446166,3.383487999849991,2.5560270392798605,2.07275473673217,4.465548871781763,3.91512230997276,0.9918575450024183,3.923868989022831,-3.71028702987839,-3.7151029195842193,-3.663192381835827,-1.5564426831162244,-4.1795751813249,-1.272331086908916,-2.6385103737052638,3.488936478770561,4.307774257602174,5.391959645994068,3.4353201285846535,-1.8953176059396157,2.8111275654047536,3.0947534788372195,2.025611816185498,1.1540777595912155,1.9845192208476168,2.9317592546187115,1.3172202951795846,-1.7517505305164744,-3.4173444054987856,3.193014221798695,-2.168749116870264,1.5001563238209001,0.8818810808463468,2.233033624107687
Tumor LUAD,1.8585112611479326,-5.875793590476936,3.739841072405716,-1.7934549394062083,1.666038259571734,1.0797172939390698,2.216386104301223,1.0277672467996202,2.943187140524395,-1.5520722498985404,-2.2237175308962573,2.0009361793198672,-3.3409903741300506,-3.5377118805124366,3.0625557770727863,2.6048472104050004,1.8865090297049705,-3.2431292119816595,3.4594549111379767,1.3982844240798502,3.0809035873959636,-2.6784792351628135,-3.0567153134573655,-3.771193648145443,-2.343907678693592,-4.427170584618419,-1.4062734439539242,-2.2329846343141715,-2.015293982511295,3.7214011534293934,3.947329790512532,1.752296334560687,-1.5747459939772137,3.701237870429107,2.3273598427910835,1.9750921381377342,1.2342492682581276,3.2744466665467846,1.173270168853089,-1.8811301300927197,2.1082759207692052,-3.393791991409904,2.94573637219343,2.6649154495187144,1.5026232015212124,-0.6382534693683994,1.3396802238648138
Tumor LUAD_AT2_Club,2.497633008311402,-5.410063756295965,2.4579721271610366,-2.082330482722044,-2.7804726962683546,-1.0554560324449183,-3.0290356512120615,1.1316363715840085,2.446019328253239,-2.844316457022833,-3.326445120850529,2.1000145779876553,2.5598945423310444,-7.131507355480802,3.1351136157202917,2.6623810741382887,2.5512138272544664,2.4870647432673136,2.82713540319283,1.2592384778901498,-1.8899448464586917,-3.608676172162953,-3.1767393335677054,-4.718461566851896,-2.599826733451482,-4.3063201230780965,-1.373368534693778,-2.6385631610686513,1.9751231061917038,3.3647358802780722,3.714999677268943,2.446496848458558,-2.5854775823794203,4.622440104019681,-1.5138926732483329,2.4777505945801703,-1.1595711192707054,1.919721598052592,2.7319899325994084,-1.4080866724447632,-1.996852862268302,-4.591379292139322,2.6581610912121807,-2.2538316315241076,1.712050750140785,-1.4033172783486676,3.1604025033825205
Tumor LUAD_mitotic,2.0024373540284617,-5.278884242088406,3.514098971975729,-2.6216706634175995,-2.168411491547522,-1.6180764607013685,-2.7191815899104594,1.5094345986117594,2.9295651919960357,-1.9906016798848942,-2.8787563837634065,2.4592566481669915,-3.756725941984799,-6.1016604154794765,2.778865062684836,2.444883119254768,2.68853074914687,-3.8003755724168395,1.9567325403282592,1.9199100656859776,-3.2346875663034296,-3.270976934883437,-3.145789187481499,-5.820017927211978,2.1865174963053193,-2.609998599924447,-1.6855397973072412,-3.377179809191258,-1.8763579001652744,2.655458453509493,2.7897541266153616,1.5866982202103486,-2.151137751246039,3.0137033387645893,-2.133613079207862,2.6898239008379323,1.1957428175092322,2.573960526680016,1.55737393202038,-1.662072366592248,1.7919838153879688,-4.9773167363620425,2.278765422170739,-1.7568690209715763,0.9321113892106853,0.7974162803951468,1.9396681765547568
Tumor LUAD_mitotic_LUSC,2.018421704194319,-6.095084865260068,2.2159859159581874,-2.0676637057509337,-1.2252085118203395,1.4184238560922549,2.760217948199464,0.8408352968361825,2.652970562670711,-3.273633385293158,-4.150378881036022,2.9491428753067273,6.603859856932406,-5.572474000867699,2.0528365414102154,3.0020205768665735,2.6424545396592993,6.5598600032343555,3.4118409723345198,1.2884439371632253,2.553069173019956,-3.8598952651041434,-3.2404205776070403,-5.436828405953455,-3.7165481565238174,-5.23812726246613,1.1020553721597899,-4.229651016977089,4.4783963325539995,4.843089512946488,6.125376497758926,2.7754460140524184,-1.375514347385141,3.787006529884927,2.8748449824222737,1.9426612822443683,1.9509686541189715,2.1413952953839286,3.063476997673356,1.5930486295445936,1.366655233334476,-4.20188506323145,3.1199482352345114,-2.0154237989740333,1.9703299658358826,1.0387598593976872,2.208987984266095
Tumor LUSC,-2.4214699166006537,-5.08960343931363,1.6732791631823856,-1.919569732630561,1.2909645545923647,1.7442853567087617,-3.0719533233803444,0.9591529346624149,1.7586821999091902,-2.6649638325915443,-4.622766828745446,-2.2510136936335225,-5.432531018529854,-4.85625310808397,2.348880859315169,2.6797775850848944,1.9721665565499145,-6.208549886752912,2.2310235122462503,1.182994074391486,2.0894143135679477,-2.9085430999855095,-2.9791804589600996,-3.804142121463017,-3.891289361339947,-4.809547947504333,2.6588121385845263,-2.940274637599889,-3.6264591002419237,2.813564782849747,-4.109822636087022,1.0445651536995335,1.50713234588112,-1.39993355299974,2.7169767756558247,0.877973167510659,-1.668813951265274,1.5775891491060483,2.660707960292359,-1.1748641416688348,-1.5296827662672803,-4.286118865250333,-2.4803844263350334,-2.3332584535774443,1.852756568564886,1.3077952700164022,2.0053946077926694
Tumor LUSC2,1.1959873507688317,-4.862224548274213,1.7498878260950612,-1.9188293922229662,1.8863190778541574,1.6638347709525019,-2.8197085298449753,1.5079672118650609,1.9919240105826073,-2.5231856380847737,-3.9943706456704415,1.540850854379204,-4.7208097752072105,-4.725624089839728,2.796027304065776,2.936167163551097,2.1123574659255753,-4.708367886776194,1.7644693872404982,1.1538063161088492,-3.0559207202862915,-2.7948813211829537,-3.687857005505104,-4.93927913528788,-3.5834106896305173,-4.27142970594703,2.114305036902423,-3.472670451351885,-3.277992493650156,3.1301427970162092,-2.813789053955467,1.4085513723429077,1.8959436371229639,2.892440578949602,2.9436853871446975,1.6849671293408255,1.8307731515703385,1.3114008764218557,2.4838433144155356,-1.3515070314232425,-1.3675213175358119,-5.236038189272654,1.9791727316186425,-2.3204143105214237,-1.4495774669349866,0.9745482786942685,2.0757855718815703
Tumor LUSC_LUAD,2.03493888388631,-5.087342260388132,2.6434739383080865,-1.7363922017932443,2.040088051505457,2.2471606252664182,2.8944282674586375,0.632189478468143,2.7129515433709184,1.4333689169508785,2.1118828677821724,1.750788206959752,-4.1706676731836385,2.7685641350134613,3.2486237807458003,2.93710421280727,1.3921758552925545,-4.6240843291397224,3.465579168890521,1.8798497391378914,3.947922542893381,-2.5591252752111617,-2.251323985135107,-3.463365761571622,1.633089161195218,-2.2960953979728584,1.4432101389521022,-2.806214549166149,-2.8315525611392567,4.429782092412649,3.495531882711398,1.3343798037994405,1.6749503186418813,2.81714400005044,4.527074866952917,1.574941090297707,2.679290434871803,3.4547207302709775,3.3016293016916025,-1.8937371373813932,2.323041793631097,3.914788398083754,2.9208074883448396,1.884701758586581,1.8998799797648251,0.8061083705545109,1.6879992425142545
Tumor LUSC_LUAD_mitotic,2.2015046427740166,-4.875372238469953,2.379310928995841,-2.2523824279951903,1.5152084619854802,1.2919705818595195,2.8180447776157367,0.5548799952318463,2.4506180925951906,1.4112386155460181,1.9525859596494102,3.1488039846096774,5.725517443441402,-3.644541293325305,3.1449710179929116,2.628780155641433,1.9939252721249507,5.663816518650827,3.143423883475001,1.4356127491432336,1.5650152085056677,-2.9489802776128258,-2.760705060694795,-3.2345231344671186,2.7460698286772085,2.2293346317415637,-1.4943356776435492,-3.8724699080685783,5.1720979101373326,3.4287456835977115,5.724981198748625,2.6109848432545024,0.9434186023017039,3.9082075204243427,2.9933330085747034,2.0617950930856925,1.792682399211777,3.115416231280328,1.980762056336505,1.013625168668309,1.8773625425967062,2.445518974553528,2.94369183240689,1.3967348873097887,2.280948406644957,-0.5714036111333678,1.5037260096239338
Tumor LUSC_mitotic,2.7844615641157793,-7.444714862397977,2.075792373894041,-2.4246548325410893,-2.2708248925201264,1.0269486363452385,2.1236945749974363,0.8320603548084156,2.5586809001168183,-3.345706491442718,-4.668374652993488,3.3787264234556007,5.441423535398661,-5.139722243947663,1.5537376246246761,1.7958700489897617,2.377596555321223,4.722018724031558,2.600228417809209,1.4646598088551686,-1.9268000526008646,-4.31716292691526,-3.442151669079204,-5.9458885984477705,-3.8940923709105566,-5.405558833925441,-0.9655098457746635,-4.602523474651785,3.653888099017953,4.3002931560948685,5.544501550270912,3.067412247675635,-1.6371542404104704,3.8709924091069765,3.2576193682501615,1.814247334164859,2.163206772628952,2.8409035599694437,2.8689117180429973,1.4622574842135008,1.4886142918366134,-3.579772385658534,3.26876632261186,-2.123936641991785,2.3417357639915473,-1.1026396324506558,1.8795459128416716
Tumor LUSC_mitotic2,1.749990142669708,-5.943066038653276,2.8486425808652145,-1.8662036488338751,1.2155927624258165,1.3542033571328034,2.6224847091101067,0.7747916561392459,2.5918121721273826,-2.7579569981450307,-3.6635101269412234,3.34001250106669,5.644974260740856,-5.282679541255962,2.6509395369184334,2.8509254241458906,2.832145753619668,5.115607715006723,2.7753462535791846,0.908181829555705,1.9880172309971023,-2.8502920676225107,-3.2148214274539133,-6.220340995017641,-2.8809190500459008,-4.466258003181843,0.9346583510068291,-3.99295413740972,3.9812771355106165,4.110049644461881,5.182168207250999,2.9903519120135975,-1.2357965251745007,3.648416824504467,3.6120811783577738,1.8254979555279367,2.228180498711516,2.743023863474872,2.75675359164906,1.2235952616734673,-1.2306830037256524,2.4075389942218917,3.727976372581921,-2.4554438163875507,2.362539115055616,1.2609230043248254,1.9232859664489952
