cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,1.2838021827058936,-4.1610805311190795,-2.105346927568312,-2.3044527129715324,-2.151002194050639,-1.5841458294660655,-2.8040404830502794,-0.9384997675003097,-1.5295765029914374,-2.027564200859294,-2.949586907226071,1.0386939188051372,-2.787221837790144,-4.954372172162389,1.5866197842676026,-1.536418608114814,-1.7358713003099029,-2.504847494406205,-1.2873124036628378,1.0830371806306809,-2.5426357763060126,-3.703677855829971,-1.9304642458567698,-3.4578680904206536,-1.0564094143594718,-2.921173529408991,1.067363478332964,-2.8508822046871867,-1.3405176904721285,-2.5737838538358067,-1.5527025387868953,-1.2609985018376217,-1.21263569439471,1.6628617890407325,-2.5233580001232614,1.4339360934871495,-1.4403125807827093,1.1838888959648064,-0.8308214297548215,1.0979391482465948,-1.904127708389289,-5.161621017253411,-1.8415891649827885,-2.361925088138318,-2.076028167275307,-0.8602249876049308,0.9754786772796525
Tumor AT2/1_LUAD,3.635470136614872,-5.332250654749475,3.5474288235501357,-2.1567474169452834,-1.6774111572337178,-1.1810440184323048,3.042734835808227,1.807476723617052,3.682592377715659,2.0119203398340932,-3.334454599996198,1.5195630743431832,-2.5898950364965154,-3.9029705041618517,3.7867045410816162,3.2900035255794147,2.755703211874942,-2.3521708319587975,1.8878091286737366,1.065827637549295,2.366352335455974,-2.8977706065373128,-1.6754219894353313,-3.841041500785665,-1.9567977202132067,-2.8426462667254233,-0.9894975121901819,-3.515695257352487,-1.557755147291275,3.251208026706571,3.3182629467366533,1.308632108519263,-1.9389096249150852,3.966025756400245,2.6040571719092402,2.271156640472658,-1.0616988218328947,3.2992632217352584,1.3647430867709915,-1.157389610497938,2.0895084824813357,4.375981373768517,2.417529278097107,2.8484204886774287,2.6472292768699184,-1.0581724319504042,1.8994742821836272
Tumor Club/AT2_MSLN,-1.454079643897585,-4.566374929721565,2.1692914609174014,-2.2124816102596765,-2.146168347441923,-1.1915569124376826,-3.1259656448745243,-0.7278231451460948,1.5103006580031817,-2.1230148456072775,-3.5979429092881348,1.4098260513789551,-3.1580704639808648,-4.825825167209686,2.4321278372815143,3.1881716954373536,1.2861385648786086,-3.5138278207375295,2.2206432449764155,-1.7321478261152237,-2.9531613287454577,-3.641194162349237,-2.7470830756442197,-3.858691493081649,1.5952390305848538,-4.394631461885177,1.2336003773016162,-2.7720524428571873,-3.34357349678843,-2.8818019143606244,-3.1026797082531,1.0441342135729417,-1.000147122984864,1.8658206785014857,2.5358127380845894,1.8845448562823868,-1.3741846342090822,1.2770908703967845,-1.6762064593823023,1.1549016054407641,-2.2025585314136946,-5.316712970695531,-1.4633364096640542,-1.9232577064282883,1.2802446564179506,-1.563409282971076,1.5887023507453895
Tumor LUAD_EMT,-2.2336101691039683,-3.460661502655643,-3.471623888125912,-2.5676996615651215,-2.2904016242854808,-1.8014357551785503,-4.8063841468973045,-1.169596915568928,-1.6725389130750863,-2.128146841351619,-3.452069171813436,1.3478333920649792,1.7820618818687728,-3.1925440760294754,-2.08005354069682,-1.7672719143564082,-1.7960167198710177,1.9358634345257917,1.6701481252161787,-1.6691305270630075,1.9373080776265086,-2.513187497248329,-2.686095913627035,-3.4900979121023536,-3.3537147092010926,-4.634302311884236,1.8599154363860206,-2.296583843574608,-2.4483032333846086,-3.3373510217655595,-2.693540210232651,-1.4019324306748244,-1.3209384811958358,-2.2679772982802358,-2.333658268201134,0.828587520275691,-1.8389100653720007,-2.3038196275977816,-1.962735683480852,1.285270511062396,-2.145417808598885,-6.137815640089634,-2.4549402644669205,-3.433447629565363,-2.115009675206293,-1.1344850193434064,-1.376157166844121
Tumor LUAD_MSLN_LUSC,2.1915455790642193,-5.503517335174216,3.141527756536798,-2.1487946323458336,-2.0333438475097223,1.1234551948407707,-2.35351588752163,0.955629225888683,2.722695078183623,-2.2326139292956926,-3.3748069048485023,2.9001435309263486,-0.9947354373046489,-5.353259384844146,3.1632957801111257,3.4416439554975566,2.480912486207441,-1.473366446643728,2.7931206482218585,-1.0799422162326813,2.544786097314119,-2.8225973399785946,-2.360192721043351,-4.796957344518259,2.099825221886777,-3.4426220408506127,-1.4514873548534162,-3.0131265295933063,1.1209180630328182,2.512026486710576,3.9380913362714307,1.908581043682336,-1.5118507189997987,4.225005735898559,2.955086589969182,2.174050678333691,1.7304196081797631,2.3520979124533814,1.5906803082322973,-1.2860782719221415,1.281942148245738,-3.797146485174019,2.6690227902252315,-2.2583769620366296,2.2563442987567863,-1.2059671220466677,1.847812770046496
Tumor LUAD_ROS1+,-3.4435491886012826,-4.921185115336738,-1.9687676499015736,-2.016145111633804,-2.4028805534601485,-1.239898408584197,-4.054397309557766,-0.6655570341084731,-1.6324849233780645,-3.2212062277634583,-4.300261122987771,-1.4746726221448268,-3.6123623175760193,-5.7818158527493795,1.6815563026237577,1.3700732892511205,-1.8033061483874209,-2.934638779555236,-2.0026598890669933,1.0753910892670207,-4.202951806991137,-3.260538612839254,-2.336078161493982,-3.557073437120944,-2.2286804156420588,-3.8683302316380823,1.6059516916097025,-3.32458128374433,-2.7790506702253426,-3.8799617435182445,-5.01676418005361,-1.5913774357336086,-1.455684417817906,-3.0404547965761033,-2.507620958598426,-0.9310325108411092,-2.0451488578969945,-3.1065785142453755,-2.4612144178363766,1.6851286308767948,-2.4118774846902182,-5.147785945856304,-3.071658756635456,-3.3900332502764843,-2.1928520413542865,-2.017767691752403,-1.504907525880501
Tumor LUAD_mitotic,1.9303866153956264,-6.992981415309698,3.372234773755307,-2.2286875268402566,-3.12614321019354,-1.1957570746687938,-2.635295573858412,1.3280076407217112,3.1072614473085154,-3.4049925817795352,-4.435893084313284,2.770324830268899,3.5939544435871587,-5.4295987786852224,3.1974580610844905,2.839366154494615,1.974265634561093,3.847644683655304,2.5762784006629396,1.4133223236175947,-2.059895245412762,-3.3040965416798365,-2.5724678688694174,-4.67226230429813,-1.0425820140366076,-3.586965270680403,-2.4152262080167684,-4.066987914289939,3.39574490059798,4.196357051251702,4.678357830610442,1.6808488987163854,-2.1686401279669725,3.4209729944665526,2.1652952868604456,1.9118507700343188,2.226963212056876,3.0972404752043845,1.910078422186738,0.8648386263431599,1.7329907897439416,3.3556524345441705,3.58868957798979,-2.1255147748662275,2.7150104617132005,0.9350750549082701,1.7989421826463095
Tumor LUSC_LUAD_NE,-1.884510435932691,-4.986410326679675,-1.753762034904246,-1.902157964735043,-1.8378643164686306,-1.3737098362344904,-3.0924406184512843,-0.6898869034438334,2.4512809222365037,-3.27157678500126,-4.741706345337232,2.74566006242715,3.8872459871164073,-4.642287870277578,1.368299157996958,1.774868749006461,1.7237488695913432,3.6386797877136257,1.6704379645067144,-1.2583268468505437,-2.3607708611083287,-3.0434620448231335,-3.3502359156370995,-4.98925288883085,-3.1072917128831246,-4.462274546914766,0.8762895904344221,-4.05664832399786,2.494166344040672,3.6189403135341403,5.405592492716807,3.016547498028434,-1.427192462288225,3.466063298420492,2.5730820664856453,1.067466727364478,2.0773986780693985,2.36730635963862,2.511191446987859,1.5524932620790313,-0.9737982050392635,-5.475737644844727,2.9868927360516695,-3.100368202195932,1.6638643115473286,2.224746802573906,1.8919212740452676
Tumor LUSC_mitotic_NE,1.1834651710154567,-4.2433316743662655,1.6088212172912106,-1.764017114050514,-1.6165040349504156,-1.1179746916693643,-2.771625514956753,0.6754763228548984,1.357450228187988,-2.9608163502764633,-4.095795977266365,2.810518938294674,6.183631920136305,-4.8568575780379835,-2.0683512164633604,1.6661302378068006,1.976271442477259,6.122684856635288,2.1729222140233584,1.2534302586532537,-2.0028298209217263,-3.471817283558543,-2.5844020394009846,-4.441528501921941,-3.4339384312532957,-4.617528930033907,-1.5306929388966708,-3.245492497777036,4.629980555305595,3.046155381236781,5.480390913528019,2.637825109550253,0.7791979973182552,3.6256318163338923,1.8056645454726261,1.0665920089200913,1.5741154361074923,2.6991230454649275,2.996019950292801,1.810462702136483,-1.2972800677560896,-6.164737998316941,2.3781842845892305,-2.5354748246037584,1.090018269111401,1.5554424749764373,1.745327953764521
Tumor NSCLC_mixed,2.1241569561500495,-5.846441666709007,3.3500215890101104,-2.1567974406500383,2.215524832084488,1.0520978176312612,3.2786017487111883,1.2815836860679168,2.907770670383264,-2.222936425663768,-3.036665206300724,1.6397638273441733,-4.031622307524265,-4.946759178580581,3.706593564277074,3.3233510365346794,2.1156332337365553,-4.141610512960093,3.2446266816221043,1.97692648223256,2.605992587629499,-3.305718406596012,-3.032231621890628,-3.8608847195138574,1.800458444720973,-3.5021493172207645,-0.8342042714356778,-2.815993262065965,1.513665087212554,-2.723692102225567,-1.7197493841406837,-1.3416079436242636,-2.1119878047626695,3.3552258252213516,2.958806904569348,1.9391128585914092,-1.2676435541822715,2.5657163128271123,-1.3412082733332726,-2.8535978290577875,2.0587219742696226,-4.0099831542388085,2.2359807304040777,-2.1466896762255856,-2.242530561626388,-1.6129058264080771,2.160927442823368
