cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT2,1.2686229812834964,0.6486147413133001,1.2981346833752214,0.7103719446247517,0.9664997209750799,0.945278956822035,1.1100131881200488,1.1792394883636865,1.3660637970100706,1.173259958828281,0.9829564110357829,1.0891408288609252,0.6480487840837645,0.7403832651954622,1.2394963256122025,1.2212119431480621,1.2458232787135468,0.8520682811010692,1.072394510065698,0.8543144421216764,1.1914091522127972,1.1063768449051188,1.066721586258525,1.0088261840733483,0.8907034452323214,0.7927368149131551,0.8354261009096685,0.9634232003331474,0.812467902554391,0.9889732023872511,1.208068871667019,1.2860163134930767,1.0278741747227933,1.017447895338191,1.0650021394158333,1.337366507013617,1.1502875844669445,1.2259304200656096,1.270826003197947,1.038166323741581,1.2697734679915722,1.2277002560789627,0.9112930227291495,1.2067258161915015,1.1468509800036633,1.230643304632444,1.1421470463842904,1.256883633600163,0.948822628232631,1.1884610198770091
Ciliated,1.1226985428264804,-1.0,1.0029051312509927,0.5899477759649288,0.7108072056367516,0.5596269990499638,0.916171619858144,1.1385225898165205,1.1003533006727702,0.982432826962569,0.8059725898191548,1.1272583282898931,0.7258416535298534,-1.0,1.0486811701363628,1.0294023569937825,1.0128959238134145,0.7634919176158436,0.9480078510057427,0.7643985548170843,1.1576085924283637,0.692758256167848,0.6875125408520467,-1.0,-1.0,0.7009761873933643,-1.0,0.7603235358396703,0.6152870353320942,0.9778798662918085,0.756775424916085,0.9412623055100132,0.640237238909867,0.947075009499928,1.1216554156619314,1.2093055873444287,0.870867271941103,1.0835433810496797,1.185314887037273,0.7213907839990851,1.1337286214116342,1.1169669354034162,1.0997558802006062,0.9580772567402815,-1.0,0.8251070222447058,1.0546478876065726,0.8627626899039388,0.8588298761806283,1.0412591871534114
Club/AT2,1.2406286102457458,-1.0,1.2546658507032413,0.9093332114411731,1.1738299476604708,0.79503338135386,1.0943501859948521,1.1880077385195433,1.288312339905268,1.1068371146082325,0.9451779761629578,1.1020319628268358,-1.0,0.7946291560906981,1.2583558518032698,1.239231186070214,1.187636671652864,0.7293070030248365,1.1062499371481895,1.0775256637498307,1.1719885713940603,0.9143174773301104,0.8899599184865168,0.753658938150839,0.8311166662430887,0.8758803557706683,0.6869712937388307,0.9664657817134011,0.720478491336233,1.0336951200408944,1.0492635240136827,1.2637178903774864,0.8313935137295323,1.1555839543206643,1.1753786093782124,1.4421157798571007,0.9948408525317164,1.0101451228444183,1.2861338893883327,1.0089796859889457,1.2374297119477986,1.2365501985299885,0.8514999104812314,1.1736536925725694,0.7849424459740019,1.0514875239696428,1.1596381047192983,1.0842234823666925,0.9821147852925007,1.2175475134958107
Tumor AT2_LUAD,1.1585953998422862,-1.0,1.175246446544402,1.006928431754275,1.0569996879033128,0.9978358133931717,1.0331216253630175,1.0619858705087233,1.1579656050788918,1.131281412004515,0.9705156666603837,1.0707761809441505,0.6723257210683345,0.7325405513008673,1.2141633788402433,1.1755115197149537,1.1247223924077259,0.8414789050920511,1.0933755575811477,1.1129326899982885,1.1538674383709782,0.9699657444571143,0.9653989420992574,0.9350787083576492,0.907580725837108,0.9148034977265536,0.8069196488286989,0.8953754932602648,0.8419904531630371,1.0134955651980575,1.0410760711360205,1.172038809396569,0.9900700346234168,1.0378057670663001,1.091711202750359,1.2136909006674028,1.0540490727938954,1.1128805583402936,1.12441968931791,1.0005781376646476,1.2188220166180224,1.082768108737176,0.9302291426885169,1.161653055588113,0.9475123657630119,1.1039665185398286,1.072077990696774,1.0529006758091606,1.0311809769148557,1.1348427140962196
Tumor LUAD,1.14864484012598,0.759868236275192,1.1183195637923795,1.0347735763368546,1.095257607248851,0.9085591906110775,1.1025980857178617,1.0278124288551227,1.1205857323219026,1.1374163805390494,1.049085357224759,1.0721952594541333,0.7893524550077259,0.9328932468125425,1.1275951869173477,1.1532837897889696,1.093134102247328,0.925880186537569,1.094874526127678,1.053504323493421,1.1141123922358374,1.0719620409281971,1.0163437544189908,0.9767174158636203,0.9320013518399014,1.1023690074182466,1.0195948163087203,0.9198671327037371,0.8308807689691782,1.0714130407304157,1.0903849624653996,1.1906272226828674,1.0295844058580887,1.0923914388781544,1.1161449596622204,1.203137212477715,1.0993770724531358,1.0087022821634712,1.0802419328079087,1.049740606054269,1.2110982851101257,1.0970487452575628,0.8702780930150609,1.1570565577566456,1.0426293972018539,1.132227086480485,1.0466566672562185,1.0846489943555264,1.072805895484374,1.0992488824952573
Tumor LUAD_AT2_Club,1.1638250379223387,0.7187728221805666,1.1892903247104516,0.945193810286691,1.045954227663164,0.9913054155145057,1.1184613275173594,1.0271321734744217,1.2358515540523691,1.0267108100015265,0.9621980420317541,1.1155817195941262,0.9152047984380112,0.9545062225502734,1.133379719357916,1.133905649555979,1.143358656241948,1.0018992990857247,1.1834158977096723,0.9305213689462083,1.1634170863441657,1.1774692031054572,0.9704029865281453,0.9010164014514976,0.8815339258028704,0.927292042397396,0.9143220343117426,0.970397497340044,0.8013986962197712,1.035911277827987,1.2179223181015395,1.3428467110190132,1.1456422687142611,0.9765146702712996,1.0953316287609267,1.3095539707480672,1.1269825202862551,1.1035587868865548,1.1533965388288658,1.0732990383940015,1.25374314575231,1.2400831656728664,0.9592003129897307,1.1427130163814068,1.1144328102840055,1.2447345260214866,1.0654514054244633,1.126577065800359,1.0259357681820953,1.076069727880818
Tumor LUAD_mitotic_LUSC,1.1024003713103383,-1.0,1.0652738557590473,0.9588526769015431,1.001434098578863,0.8979600384870986,0.9935502163203133,0.9775179086082796,1.1335721716375489,0.8161803901444569,0.6427248423867853,1.182823233464135,1.1443612282617772,1.1011719283538552,1.0203695495575593,1.0356914963697395,1.1233355468676418,1.1541806976986801,1.1664531717081443,0.9009577275865595,1.0538065261567804,1.1083480374979393,0.9019662709186533,0.6699313049688809,0.6495892209268684,-1.0,-1.0,0.8042964972940443,0.6298711286835569,1.0900887992857184,1.220799528962169,1.377115799269455,1.1746643706626256,0.9425448402391713,1.1434708191588596,1.2906464567684566,1.0480303974083611,1.0337144536249103,1.073168140102361,1.1020061186506385,1.2153692947690795,1.2098069886417424,1.0631465062521752,1.1018934501170763,0.9215440553031831,1.1866598284793057,0.9850185752228379,1.0615963067291327,1.094787011284476,1.0224394853194683
Tumor LUSC_LUAD,1.157220582335261,0.6045295526396546,1.1659127169749062,1.0709400388997803,1.1020216805360463,1.0663361713632966,1.109781626981863,0.9926083216678635,1.163445466288129,1.0059235131148432,0.9045274665584496,1.1585960651789404,1.0127879464710676,1.1578045015399512,1.084754104957426,1.1191950899273309,1.1117434847389505,1.0827687053863695,1.2125104372847701,1.1409784571759274,1.0940537236270547,1.21915941420315,1.0347489347851586,1.0070825403677197,0.9148859274472798,0.6338512791333855,0.7114948540779177,0.9181653571575324,0.8548428856629496,1.0905983688131435,1.2199447337657923,1.3377016806926552,1.1335141228345742,1.0871120393700824,1.0839513491684791,1.253458671624428,1.1449273187037436,0.950702725808506,1.096408627828755,1.1173283932171612,1.2484024731475194,1.1916837091954442,0.9295829070968712,1.1860408791701122,1.1691065934317164,1.1725914459905953,1.094320211805573,1.1069519039788809,1.1387611388634191,1.084667827996507
Tumor LUSC_LUAD_mitotic,1.1822587070843993,0.946676004686595,1.1537806895352003,0.8672401435780636,1.112658417366737,0.8791417018245661,1.130355555613386,1.0032342001693337,1.15763921642164,1.0644147436974551,1.0537678622334306,1.1653774370177454,1.1825974229764848,0.8696828725943127,1.1135704599415235,1.127347413425391,1.1475017517467436,1.172396084592998,1.0969378778003787,0.9876243835934365,1.0890784865708965,1.0309205967217743,1.0170599713866493,0.9992817889163563,0.939074629054783,1.115188998316135,1.05105794235996,0.8910754905564028,0.8767853054767757,1.1241173864932288,1.172972836832051,1.3066937501036147,1.1278941293701021,1.0254219571628493,1.0761882437874537,1.2703905125033645,1.0992433436254632,1.003287983032643,1.1431872261423528,1.0780335841633968,1.2356542855009127,1.1790374374587274,1.0404216132569808,1.078619570102751,1.0408167315999535,1.1580480055752458,1.0213547852091898,1.092990603365615,1.0220967621413142,1.1195436613415852
Tumor LUSC_mitotic,1.2011154483337445,0.8968226294638553,1.0688198965803761,-1.2791450488943406,-1.0310710870289659,-0.8496536377742944,1.0705388493476362,1.1012433211221282,1.1509002231517553,-1.302019754258029,-1.2997507519543687,1.263457209340006,0.8688439098796427,-1.2327764782248076,0.8473935098716782,1.0444797305514306,1.378885905135754,0.9068579331941039,1.2715270325936674,-1.085896842441329,1.0659494648141679,1.0440828483871991,0.8704729844468827,-1.096372476083443,-1.3306896975634526,-1.2225371629645831,-1.5002143758772881,1.0115412889069073,0.7436106035475053,0.8987032071352956,1.4691969349193625,1.7543064022556507,1.3303425596429757,0.8065111976607462,0.6480788290177485,1.672968974956621,1.2821366794799138,1.2827304184613626,1.2652987618865597,1.306899572618456,1.2043798303817568,1.4916771768753012,0.9700060732814482,0.8413984835447503,-1.102939075988734,1.2048970750280072,-1.0030226556214252,1.1532945464549937,0.8677631318106773,1.0887693603248445
