cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,1.1185850776414847,-1.0,1.0084853218693086,-0.9953573670106609,0.70907171477858,0.5603826733059596,0.9254268957629306,1.1469931303054046,1.1021474503120225,0.9692478805695253,0.7930333890065199,1.1264612288459943,0.7313985442303753,-1.0,1.0527632815284151,1.032802781220285,1.0102996889288571,0.7621289552750145,0.9521887621700703,0.7592075091141582,1.1485065043859257,0.7113803598456494,0.7117253225899118,-1.0,-1.0,0.7231118468456058,-1.0,0.7600944287296886,0.6208984847923881,0.9794961865490432,0.7671729939168491,0.9927879009621947,0.6463369370193149,0.955681587333145,1.0793729549516509,1.2119229831382177,0.8760379379350637,1.0799227948039716,1.188900057431521,0.7505565174481352,1.1379778970206997,1.113009246165921,1.0895043047009234,0.9717758382985352,-1.0,0.8631649765383634,1.083242710447393,0.8668188652278082,0.8577194416101354,1.040923945415769
Tumor AT2/1_LUAD,1.1936360182575583,0.6846605484366357,1.251809483900419,0.7468571808829857,0.9984566011486676,1.014188759899405,1.1117127876074688,1.110741850170095,1.2931568512494165,1.1435309896423804,0.9674676427730975,1.126973875648676,0.803153730005425,0.8106025614797077,1.1712806272746206,1.1646641155056905,1.184544482607798,0.9122300503103773,1.1213696774805195,0.9406007812069148,1.2054378662007397,1.1177019898095608,1.0281016036329305,0.9930075739887688,0.8867194147004703,0.9485947898476145,0.9288152778463074,0.9682910626214405,0.7480637409720626,0.9741258540489576,1.1693144527390154,1.299541552108239,1.0948071440337097,1.011427595023949,1.0903789114297586,1.319367026339225,1.1285689449157548,1.153565473215878,1.221625943781771,1.0497426991276435,1.256115556384806,1.194972658364331,0.9211729173613901,1.1329686437532687,1.1315394101433534,1.2538273384294867,1.1328491263179457,1.1929654175264734,0.9895927613034031,1.1376967886539215
Tumor Club/AT2_MSLN,1.1857814586647255,-1.0,1.1938483277502536,0.9953614282026967,1.074614853117184,0.9984153425510406,1.0192201904606055,1.1013307228203344,1.187184512816231,1.1552170104754365,0.9677048603128814,1.072824518818117,0.5685130306661625,0.7104512585798833,1.2495213995871168,1.1932487906567626,1.15746075571122,0.7594124861023727,1.1165423167460022,1.1248697711939333,1.142869108898524,0.9677056659747166,0.9527847512008343,0.9082205172046659,0.8966239232923502,0.902745079967037,0.76836056018654,0.8865396366584687,0.8131213252407631,1.0088224115710125,1.0353602049577215,1.123647325481487,0.9281420667625131,1.0443762520384758,1.0525258057982845,1.2299524531969888,1.0627970695775402,1.1076439117593402,1.1261122215725654,0.9834594560690908,1.2208554476888875,1.1011665275760074,0.88907712274231,1.1721529747623447,0.9300295627963453,1.1380168641053028,1.1063034763117219,1.0439507089017246,1.0662243473859743,1.1651334171655419
Tumor LUAD_EMT,1.1346705023041606,0.853932992257257,1.210892429677772,-1.0852742287634325,0.7753969513503735,0.8725109955859941,1.0264480728130445,0.9149427046232705,1.1893073759595292,-0.9519284644216323,0.7860570219119088,1.3495158168832964,1.5176959825083445,1.1271294471308573,0.890396482983642,1.1168025013746736,1.1963382291466342,1.4044627257949287,1.1876381438728694,-1.0063611679806583,0.9861281155917078,1.0412522925440288,0.8966769141225288,0.9402197257044421,0.7959200240702508,-1.3942867880206564,-1.0796762229598558,-0.785454284790416,0.7116337068528662,0.9485256001555539,1.463824297296173,1.8391988551595224,1.4922550540393558,0.8200944525727023,0.7287556972653446,1.6601254261108862,1.0117177389010226,1.0857176636602401,1.0509882263514263,1.1925031257916827,1.197635393143151,1.463399487288383,1.3068643852168529,0.9155619461406059,0.9270449786893525,1.2933542172599568,0.7628724730879634,1.110285035017444,-0.8472744342054802,1.0226567135424336
Tumor LUAD_LUSC_mitotic,1.1048883091718549,0.5692397173314624,1.1118059351349612,1.0857897748541971,1.018092589374415,1.0529502666149173,1.0612730254249156,0.9746767160111296,1.1405952852635726,0.8340651725195838,0.787214039791565,1.1528788066536457,1.1342654330932893,0.9390676764197458,1.0563609940588,1.0725860208159557,1.1085193694099937,1.1684468311855145,1.1173945517370485,0.8705011372229925,1.0237949652348453,1.0625056363424192,0.9303686523539415,0.8360086652657562,0.7773830794058874,-1.0,0.6233855570395359,0.8501634735645929,0.6860575113799823,1.1190525452484004,1.1839690513902714,1.310394539439855,1.0997196636942643,0.956065195067128,1.070487361417837,1.242597715672548,1.0763031664284348,1.0635287655799133,1.0942632095314961,1.075377770283672,1.1878497196348352,1.150795653534385,1.0641603868505862,1.09180730136525,1.0104110375318884,1.1581205889205688,0.9993006982100543,1.0714467145319104,1.1211915811889435,1.054065096961025
Tumor LUAD_MSLN_LUSC,1.1487647296591148,0.7799522397291487,1.1236052959619787,1.0832934595210957,1.1063826097116995,0.9603615816790383,1.1146228755376342,1.0202179632480288,1.1171090597220357,1.1674319632786045,1.0567514664307662,1.0931571587328093,0.8345851267975913,0.963830233531138,1.11625855246985,1.1280974652478721,1.06299523390169,0.9267921321434663,1.101349900495639,1.0673344890966678,1.1027232362662378,1.066285174842488,1.0163559092729038,1.0023842361685944,0.9160189667096277,1.0959521009448636,1.0377150774709674,0.8935061577471937,0.8663690417328633,1.0730071846881681,1.0939887638728785,1.1895577197505784,1.0546749057900533,1.1085467983937183,1.1127520050900672,1.1967784506012966,1.086015863102429,1.040011507909292,1.075255136256528,1.056117138209539,1.2076902064842459,1.125320675234608,0.8521463986610784,1.1486523093782823,1.036606041618137,1.144044465912651,1.062525730920762,1.0864897836777823,1.104096627836092,1.0953171052822304
Tumor LUAD_ROS1+,-1.5462111730334274,-1.9374271019917604,-1.0993003689990744,0.9041804310085041,-0.9079767489931818,-0.8338398703871263,-1.0737635262545577,0.995634596769874,0.8794136350624899,0.9063074657847341,-1.2586977945844937,-1.5834889327780555,-1.8616925706108753,-1.2633801757463148,1.7078009973241708,1.2465662029928923,-1.3785371125000798,-1.4597165535607362,-1.2662038130179207,1.2456141010399753,-0.945431490990889,-0.9767934319631355,-1.0955606598138117,-1.0915360159764793,-1.1272182423911878,-1.4824147797147544,-1.5495574617735746,1.237495889965217,-1.0001804063461983,1.0940630667474145,-1.8180092736960212,-2.188253510251829,-1.4959170228639538,0.9992938000330814,-0.7355275887550192,-2.176915687145932,-1.030900037981236,-1.462330544962167,-1.2478384180514375,-1.3987302263717518,-1.0617821222421246,-1.651385367512122,0.8283657140773932,1.1201385733969809,0.9855422178654096,-1.431752645319625,1.5288628301855491,-1.2359862306328426,1.199301897976617,-1.0847764258694834
Tumor LUAD_mitotic,1.1755777611073974,1.0926394304407872,1.1769919385624816,1.0336295494556953,1.1483752186815273,0.8806651710877921,1.1210179876727526,1.0706128146367895,1.153897510205779,1.1650548607859048,1.1870379299410474,1.1600687157784102,1.1970122346794512,0.8348850704689889,1.085839404624719,1.1527198009265591,1.1355770780460817,1.1879265104235928,1.109341958424196,1.026563906903558,1.092292422690012,1.0205200643818502,1.0883516840384746,1.1469250092141472,1.0845405853108119,1.2185578450932888,1.142251994204684,0.850676972326169,1.0023977026504685,1.1748803800719319,1.1990125521950807,1.2319420177680505,1.0412403679447555,1.0096144844173693,1.153797937452428,1.2446537470382326,1.1351665594804154,1.0222534356657378,1.1321818041567575,1.1573301748830673,1.2064816724591387,1.1930342682179211,1.008885901241701,1.181493596671297,1.0860544841935897,1.1444777007831994,0.958919524571332,1.1087351501260976,1.0032326939780245,1.1368981727527494
Tumor LUSC_LUAD_NE,1.092001531135128,-1.0,1.0698376174125537,0.9518056113482491,1.0177360755502622,0.9196579731542383,1.0095786531640647,0.9679066188070814,1.1634100754598022,0.8337090778383297,0.6984624221185469,1.1610933959924692,1.1242166198713497,1.107053757720778,1.0235410932379787,1.04673490335057,1.1275832906250056,1.1315164138168785,1.1642027853244712,0.9124601613311161,1.0840358372802004,1.1170937551024729,0.924591661219359,0.7088899844615333,0.7079836723267682,-1.0,-1.0,0.8023326806759788,0.6842970860991303,1.0984166030016946,1.2268169387049972,1.3771869077740533,1.1780373495161403,0.9712372745832619,1.0732837750941897,1.2741925283733033,1.0583731979744264,1.042092357046142,1.078529487168032,1.1012860839727974,1.18991883696738,1.2095234527171026,1.0474677799626717,1.1035774022134068,0.9681442541408843,1.1737931102867878,0.9858231338846217,1.075162351183179,1.102177365827437,1.0246169788653225
Tumor LUSC_mitotic_NE,1.1050341060850002,-1.0,1.0769801232266745,0.6936795995131638,0.9606339950116987,0.8901372365585347,0.922181355738405,0.9410971593834255,1.12589953133183,0.6270966905336545,0.6024553704673153,1.2695413604545225,1.3200205087969419,0.9577113384962939,0.9277289439183477,1.0159906783661088,1.1805721412221093,1.2951675086676597,1.1664669435865316,0.8602345795363949,1.0164329418811173,1.0019588654834128,0.7747325370032113,0.5934951628564141,-1.0,-1.0,-1.0,0.7369864718734591,-1.0,1.173018941457481,1.2506148635100536,1.4237126662595572,1.234383250180093,0.8679470630418568,1.1082174313596627,1.335484992754656,0.9868680721656047,1.0899801092918457,1.1672764191084042,1.1594808879909715,1.1990036214728603,1.2194612401996947,1.1780933403882619,1.0295556612148016,0.722733793094902,1.1978063159633563,0.8832223309074391,1.0968461792010196,1.0430780100616275,1.0297764130616966
