cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Ciliated,3.8551167714843886,-8.667415431393575,-3.935609076884227,-2.4794407569738945,-4.346157586535861,-1.8504527319249395,-5.079450107160578,3.780864572906917,2.931162161309322,-3.7386159490653608,-5.202169058116125,3.809178274518008,-7.457500762885921,-8.885762603642712,3.8383499158284837,3.4172695846165926,3.461314873616898,-7.138971452036218,3.8135598247972013,-1.8748830019484657,4.770974481812568,-5.206701851101697,-6.445867733331565,-5.2658778843644845,-7.842794895391566,2.8095050017229344,-6.285583534705747,-2.180952588118637,-6.72664973075308,-4.247306020879646,-6.2035036487000665,-5.907133144947543,-3.0915578711832024,-3.860012428064355,2.2744565216983044,5.212348314263884,-4.676187352263215,-1.432830261258434,4.161867447375659,-4.046609884251877,3.2639075253943894,2.6029882709008705,2.220999473090353,-2.5782407388280313,-9.683736458769209,-3.937946006900787,4.90682838515005,-5.101902456258691,1.5815549129142534,3.7778426613097373
Club_AT2/1_high,3.4444179853663943,-7.685207186447245,4.117557830441044,-1.8464522197185087,-3.027516304009271,-2.369799062625891,3.905189345429254,2.1688428716854693,3.5438238322972917,2.8413059290185205,-5.274400039002946,-5.824200788514612,-8.145584218674648,-5.411041789045809,5.8892408455738625,5.472359750268977,3.580998783431548,-8.931363419590907,4.414970425368471,-1.6004199669269463,3.7117155909511594,-3.89157027171359,-4.356351257819585,-4.314178003647728,-3.995527535970375,-4.2350519828573345,-6.7890953202380695,2.107566087001408,-4.042262051158955,-5.9432042801990015,-5.022647869727777,-8.097530875334565,-3.1240437343686454,2.895167715535831,-1.833839422084359,-6.760037194307223,5.413656879684217,0.874002045274216,2.622402702968562,-4.4253121328838,3.2355355644080994,-2.185938621467708,-1.915254141238072,2.6337933755967593,5.408032394164106,-4.32237432189346,3.4249631303153985,3.2545283977118578,-1.787275947555176,3.6659462867892754
Tumor Club_AT2_LUAD,6.40654921928415,-8.279669253238858,4.990972216297807,1.8082493512950126,4.240164440421117,-1.8953683987897305,-4.228062929318622,4.338182049774288,5.225571811303864,4.329660466925984,-5.256332480908256,3.8967251926921773,-8.123368892286932,-5.270239302365984,7.22643993409459,6.565179967238706,6.300457174759283,-9.307325744466846,6.174610856297942,-1.3439436609643702,4.539989997482302,4.218074179411453,-4.6733268845177065,-3.5671534848686126,-5.9462080165501785,-4.8895441141809775,-8.223809083721028,1.9786880920849053,-4.657744471438767,-6.5123747226621,5.482363882167565,6.575362122000932,3.148339827770967,3.1238816145558816,2.1209344451440946,9.303467108726084,6.127165975020006,1.2444655947783179,4.632891957389496,-3.725261467392969,4.768389417636346,3.413248684935484,-2.0087491440503147,2.8495223529696183,-4.849364314630528,4.438724289669351,3.4534186941416074,3.87782538250872,1.8488578109501013,5.818186145355715
Tumor LUAD,2.5111473176773202,-5.305084556690944,2.824356154724309,1.0306668203219758,1.3985188194443368,1.7733982706052576,2.069325080510043,1.5942262364459243,2.9150193586299094,0.8595748250063157,1.240822425363614,2.0161245245898396,1.4599368708665539,-2.6156775041224094,2.5089660874925808,2.7284111897474523,2.641739202190323,1.4345166440419208,2.208914173780517,,2.123226378895387,1.9137308799013317,1.0697173644433886,0.8024115846807927,-2.3084669592790856,1.9008890949514634,1.272093365842135,1.401123590079889,-2.5481498547881287,1.9132032791745266,3.623552652695658,3.654862149915937,1.892045066577168,1.289306354641506,,3.9074782202188136,2.971419934705838,,2.179168732165603,2.008399216239153,2.532307699172305,2.924108299093857,-0.9583544872640921,2.054398913275205,-3.052291100935015,2.4274614176857856,2.0571543614427488,1.958965222678604,0.8699417232665463,2.0911373646847755
Tumor LUAD_AT1/2,-7.818827602008127,-8.10474672899829,-4.389090596881485,2.3276244388616347,3.7750371351508742,1.5585890212354327,-5.373562987305225,-2.877605537242917,-5.012943615606403,2.2398827813408144,-5.454808072969307,-7.937241651815644,-9.275458337778794,8.685925520301703,-4.51552110680428,-4.970524214288095,-6.439290301242111,-8.689055193994367,-5.549213254261156,2.05049387595572,-4.20023372694604,-3.986470725890785,-6.342638593789325,-3.9675488716814216,-6.997510593722788,-6.221522578405937,-9.108741774204463,-2.1367626106201434,-3.927037946555284,-5.706946421099546,-9.415326827419504,-10.867598803919075,-5.642121405611868,4.340610026264223,1.6803797383160466,-11.812818731880416,-7.765837963420812,0.8308344933540135,-4.698172370108031,-4.428353620192604,-4.741613667338312,-5.343399513812251,-1.8429290588157419,4.093911407808641,-7.371735145655682,-5.247418257758045,6.8491247198649265,-4.716948434982699,1.9602333097267408,-4.723535752921018
Tumor LUAD_Club_AT2,6.484707546466694,-6.362673304589472,5.863509867475849,-1.7338072876913486,4.637626240963579,1.855590440967699,5.051955676998311,3.4638353199307206,4.335787955054482,2.6014161484754434,3.632103565408117,7.720641694205798,5.274822484943928,-5.345191519994082,6.367249227635481,4.8843337536966365,5.610954371631032,5.452237497419605,6.993546304487426,1.544941162458844,5.791888390529013,5.652660483297298,4.088480664911389,2.5947020357493518,3.4981003617712036,5.589872646287388,5.403045958304782,-1.819064199719627,3.7794035729467774,6.91102173555445,8.195547770601442,9.789199253171356,5.078840183115106,2.668317825434869,3.183085003889547,9.781761752779316,6.86843006202186,0.7449360067122074,4.932547460587678,5.339955885913728,6.870782707850396,3.6645319979820616,1.4127023851952585,4.336074339512468,6.001719208743089,6.78874010817889,5.662207211671431,5.683521498141604,2.687898588316835,4.305545388787344
Tumor LUAD_Club_AT2/1,-4.542413199055264,-8.533057395664343,5.243921402396473,-1.7375054977713436,4.1407587594299216,-2.1685965773688247,3.7869816294181615,3.418157182334293,4.22690871206223,-2.564650140038952,-5.392238363852755,-5.088605562732851,-7.9635234504249235,-6.527851048019084,6.459471413253262,5.188158079085119,3.5263841103423035,-6.1173895677978765,3.8144330713175867,1.613637949137442,4.9868248488968865,3.949370054670004,-4.742971371786712,-3.602965478626514,-5.855851818755075,-5.219164730777883,-8.288527729046214,2.072133601421348,-4.32634818068217,5.512639994355268,-5.794563242885131,-9.36339499641033,-2.48768101774271,2.7749916371777545,3.0538212257376065,-8.66470902274276,6.31381976499469,-0.9889355529890812,4.267303417164358,-3.394825858333022,5.3861907126708575,-3.2218685988745714,-1.752566751994348,4.113574887272145,5.7315955962277165,-3.1729229844056954,6.034304749199756,3.6658037463259223,2.7518220922192715,3.1714442460219368
Tumor LUAD_MSLN,2.1468095367368814,-5.754357255101771,2.6878135038674635,-1.4027608980385207,2.109989485217478,1.2398235410113287,1.929199746921138,1.1631231570910407,3.380936300607979,2.3329487947633623,2.3714990327493832,1.2798198888792365,-3.6068180066026505,-3.959330705046295,3.3520248672385153,3.2875751759805474,1.3758904494080613,-3.645691705963797,2.112923425801521,,1.7139255159745517,1.7891619237196539,-2.9765095956605814,-2.644266589318573,-3.785178110230491,-2.278233713653389,-4.69437217580529,-0.6802427760161931,-3.395444269613923,2.0908313097092694,2.8118970117558124,2.1883337695427114,0.881310647827209,1.5396156306664106,,2.0979433244569092,2.0649073441538324,,2.091525010639013,1.0269330211796084,3.1727764000254544,1.4523292916055988,1.105210819285552,1.391771080822845,-3.1910399299776895,2.512163553614121,-1.6412441547661458,1.4472946576472467,-0.7134426345774099,1.7597902831734877
Tumor LUAD_NE_LUSC,5.641689770116364,-8.315176846245171,3.3985827879861703,-1.9858736010338713,3.3506418396282083,1.5391676631524636,-5.054434265346548,3.2039673568938722,4.392757766042764,-2.269865500921638,-5.8349566274824936,6.453123704508725,8.725805533157505,-5.401243057485781,4.223644235083984,5.183996725852865,5.505790587708617,6.9088517943595145,7.088798159895275,-1.8156981183914211,4.309554666533823,3.877267785944096,-6.064393335556398,-4.7603504866264,-8.04132213739975,-5.680099022725131,-9.198512588837444,2.0383308171756673,-5.27457555075999,4.628044682256036,7.733503019982836,12.265427510627156,4.509909230440936,-2.714108072242073,2.1245903610898123,9.895991101340236,3.8104294677323556,2.389259368360305,4.266802427620632,3.6135135584707445,4.3523679501882,3.797358960956131,2.7637558164033433,-3.3675097692630693,-9.067998710807409,4.549587761589382,-4.803649542693731,4.697595897661303,-2.100704891516469,4.046905619414096
Tumor LUAD_NE_mitotic,4.659614334412812,-7.456921177209781,3.5997683949928416,-1.8434749858977801,2.9423360040154938,-1.6961961464661148,-4.084828719068823,1.8930556684752031,2.609046168474995,3.282920600579074,-4.419954564619174,5.295131918153145,4.131099710807717,3.55031912736487,4.535815518058734,5.682698691125633,3.701157497122608,-6.171891728019223,6.194849156782223,-2.7861137940748004,-3.662187390082573,4.444987387340743,-6.03084499203979,-4.589146018920737,-5.3192918992773,3.072602214784078,-6.57471745261295,-1.2097099505041424,3.5218480292636225,-6.493641729632166,5.668414065383104,8.65295281368774,3.6073724963674443,-2.470078406222449,-1.919679965787936,8.176589222807436,4.29794572277213,1.7363773013991397,3.495831070712736,-4.506656743804259,-3.28212705087453,3.505938334423299,1.1341657755300159,-3.30147384822809,-6.782640361581887,-4.0150028644701505,-5.274527154468922,4.972118633011441,-3.0408488615800753,3.7417180391532683
