cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
AT2,1.5370343696857147,-2.800860291989418,2.4853808266878348,-1.0718424834868172,1.2362479959287145,0.5184090073700544,-2.8635223179255234,1.6481245312384496,2.965202648323851,1.2829909698243651,1.6705762398988517,-2.017824011560693,-3.622516956880094,-3.4544869234716487,2.569904490124351,2.429770975752268,2.540758026486744,-3.3549429340085046,1.9665941815397274,,1.0758879095789369,1.9531405417439693,1.1229385833866043,-1.1476575389258268,0.9436629984172394,-2.9649233951643605,-3.6596415039752452,2.67527851912442,1.1196188327628547,-2.452984329632617,2.2480516331064684,-4.103540792711654,-2.618367429722872,1.330096903555388,,1.6183981339600666,2.250250520072089,,1.622064104626394,-1.4575262861334897,2.251334037387802,-1.620252295220665,1.0428904476639997,-1.5900851523526767,2.298341924074783,1.5278945647685265,1.8591555994198343,1.7879839941928606,-0.9556690648727807,1.8020003047909237
Ciliated,5.82342554772695,-8.16163445086689,4.454649935774438,-3.3606987191853577,-4.548050547992443,-2.256912092601052,3.6321063042718804,4.024333902914464,3.2878555968400867,-3.336243341066657,-5.448574059560026,6.353117444647101,-5.46572964349341,-8.462778828863685,4.637661304262351,3.4505276509297773,5.232195101941507,-6.202897913548938,4.968604900712514,-1.9630715051431016,6.01048152130186,-4.337609913065949,-8.0832547309658,-4.899018743330261,-8.162902088837816,3.980671688923216,-5.172661382071562,-2.2616578922511783,-6.974231011729772,4.837857581040473,4.23629794279934,7.324348405551062,2.432229382359873,-4.031272208517194,2.039711660598249,9.59290766762455,4.243399390936448,-1.2014258924790298,5.036910716648224,3.726107314377602,5.786842458407305,3.400262806238369,2.2519264882453935,3.4299454186604272,-9.258164759890805,4.473051109180852,4.9382062234757775,-4.44672466488026,2.7656692821324875,4.360550032682018
Tumor AT2/1_LUAD,8.843499594147326,-7.543789684874217,6.414151101431344,-2.151467478556574,4.270986993839042,2.319803898984005,5.13401995470123,4.202613757922997,5.404207745299607,3.29796838544363,-4.7938648066340255,6.067479407274413,-6.014235624045051,-5.840950423103886,7.209005286039617,5.865633591408361,6.991218010712241,-5.589538012913131,7.047928737063236,1.4761681445191857,6.77849715514586,5.9842592333672355,4.50670491196048,-3.2381282171765466,-5.694887139946429,2.460439543003177,-4.761052185291854,-1.4459624571326368,-4.565225991319656,6.1513802939267554,7.238638297438344,9.511024460653525,4.810781646209764,2.832945717198717,3.1357626094285886,10.803670862163454,7.317071028846123,1.2573303811754681,5.39293909234511,4.0227182902745575,6.759179886020916,3.36005222568718,-2.1996004168570704,5.100315071994001,5.880613852917587,6.548339845055243,5.646310396373278,5.06494203978004,2.418412012906191,6.045550639415147
Tumor Club/AT2_MSLN,-4.112480387793552,-8.40080003543024,3.093571205420962,-2.1257302615423956,3.5154108124512597,1.7261343242754248,-5.189980334488718,3.1827425383143955,3.3890923890043037,2.539077182113668,-6.091441831554231,-5.192815143373202,-10.4605666008877,-5.539247304892591,5.394539741955356,5.635077965042504,3.1193429635120182,-11.527189414715368,5.0177541821874065,-1.6841662841419984,-3.2771596747917546,-4.9119159862647415,-5.35341024880333,-4.4199486414398175,-6.467260985847725,-6.095754999359291,-9.199643458523461,1.6512741620315503,-4.709777064509595,-8.189572401833354,-5.8628138788754285,-8.8844045651765,-2.6936075812018387,2.60048936158867,1.7980881721875301,-6.033148120838226,3.974305581111896,-0.8141116906074207,3.158165260511684,-4.837300682266558,-3.671768940081617,-2.9351668538474276,-2.5237447138497466,-2.910924700330757,-7.400847191127551,-4.990569255855725,-4.815127724761771,-3.877657308576065,1.344071698177042,4.1444054648345885
Tumor LUAD2,-2.7815603099921513,-4.8912321792253834,-2.910566982523238,-2.200566914036855,-2.3419146969108713,-1.7023199856924767,-4.552727729809937,-0.9334436869710779,-1.8620835569887393,-2.6028728231936866,-4.3177084608410325,2.5168238610937004,4.809981743985344,-5.486462755105813,-1.5331604302306985,-1.5993831571500847,-1.3598387170950805,3.857108113003675,-1.8779735693886928,,-1.825279660831779,-3.80666163183297,-3.4518901502460704,-3.6124687975603496,-4.097004674875385,-4.00564128735026,-5.5038752997888745,1.8368205360173393,-4.587886479100072,1.8311917773281294,-3.993101150798162,2.9053522783277854,1.0388084255261825,-2.2626375708742694,,1.92415330148922,-3.9476253027132326,,1.1610283866277322,-1.6734220083094997,-2.592204309468578,-2.03219502631415,2.0805283923793367,-1.970102235509998,-7.127291197230604,-2.2528391963126277,-3.5647306764006936,-2.1944212539499994,-0.8398126668357816,-1.8116979574908962
Tumor LUAD_EMT,3.8720168644740656,-7.77732477241776,4.13678859257151,1.9177397275734638,2.8554718211274412,-1.660484884116417,3.082287800065377,-2.9468757948845394,2.775584473071629,1.8339025054023557,-3.699172340165958,4.544390711470685,6.087328824322286,4.493715067993327,3.443203014118235,4.338506766837451,2.5413449726564354,4.989552192405181,5.760295557165137,-1.4265861413797694,2.8218457038857294,4.42033270221224,-4.220488849818673,-4.914527258578871,-5.176699202524948,-6.8147682397917535,-7.515996032465477,-2.6500062722864652,2.9224118502669203,4.115896899213512,6.5849364413778035,7.6718890522034755,3.980999883042721,-2.6211033058563715,1.9232371511430886,5.0748237106565846,4.5905365731396035,0.7376308422492064,-2.7348313698833193,-3.404579900164852,3.7319386311058134,2.6330193268188427,2.23225253221533,-2.6149459156315817,-5.031257838273586,4.518314057603622,-4.097600903843894,3.9117731055618807,-1.969394985809445,2.811867822594581
Tumor LUAD_LUSC_mitotic,6.134312440915486,-7.493028497720502,4.6322470414482755,-1.493164087875402,3.4930488691140402,1.800677861338951,4.716858403144751,2.6241674388082252,5.159467156983523,-2.854325063375398,-4.115379166219863,6.65230554517199,9.040803248512825,2.931717298407831,4.931968214014513,4.775160946264618,5.294354191130322,8.398173336559477,6.338897920582044,2.072383921634162,4.979472509169616,5.280822281569308,3.560550158569736,-3.6796802939773747,-6.094668311191535,-3.11562923539362,-6.083271711146645,-1.3773100276715313,-5.127576892615605,6.82322307486885,8.313740572823543,10.533093655509568,4.725333423989872,2.357997412665411,2.485408268592099,9.481865545966722,6.42131221279084,0.8227867854865125,4.899203473257321,5.308527983034759,6.4573866491316805,4.863452602177924,2.285594149935825,4.291147019661964,4.78672882315904,6.4412669638111275,4.24373207728533,4.922467339456675,3.1220697080731843,3.7518876394562928
Tumor LUAD_MSLN_LUSC,8.57271485023245,-7.436905939883851,5.9105772840275375,1.8357976708358539,5.517184673937967,1.90397545843232,5.209870554880995,3.3833900999669346,4.9734216342384805,3.762914099243746,4.274567049069114,7.6047758847142735,5.163133129507252,3.586924940573489,7.371808128125059,6.915106747800469,6.168037330985451,4.15086755298552,8.88177840523359,2.303600698878934,6.886920339010619,6.030611238119732,4.157113197617352,-3.692204139339064,-4.775622060229623,5.024564321990663,5.4358407576599825,-1.413448348822485,3.6104901795729547,6.484666550155275,9.27854893012248,10.596859055951962,5.539174771271348,3.5616700648493094,2.8886036091069545,12.233300220188854,7.096627632180775,0.8338302998298446,5.143880174972134,5.900801440783037,7.213900104351096,4.078192821637225,1.462854745379508,4.78501557933906,5.09995574180531,7.186190995895839,4.487134598158984,6.374742068740545,2.8646326446028856,5.309542446384548
Tumor LUAD_ROS1+,-7.915581617460172,-10.141754651638296,-3.563695812735471,-1.4295633962120493,3.3315901229920515,-1.9062150969125344,-6.580662412637991,-1.9132854201722407,-3.1078381228847696,-2.722867047171321,-7.204663456641732,-7.354574532855646,-11.080565038466764,-5.9542935559888175,5.089278437713206,4.633049745677904,-5.561691779276878,-10.199922047085808,-3.7307460662576912,1.7729376862563393,-4.875155921310181,-4.908549346092595,-7.2370506959670795,-5.010576676084668,-6.677174417679651,-6.797595365566915,-9.752218513415311,2.9766628195663203,-4.983023561161123,-5.815774648766835,-9.094529676045338,-12.934585459363447,-5.430977782526303,-2.1923686784876373,2.209772621235823,-11.953799809144522,-5.095179303711469,-1.0408480407744936,-3.717378631323638,-4.919634601654436,-4.826992094667409,-4.96557170442433,-2.0687581286902463,2.541286811300035,-6.87921615794039,-6.155154754662338,3.858272404777019,-5.833478970934572,1.5620992984673998,-4.082764614669828
Tumor LUAD_mitotic,6.683890576099973,-7.290351910494283,5.29378259190933,1.701751692329722,4.608470986089062,2.0018494464156085,4.265452328201307,3.412498111603706,5.209034257510794,3.9899733708890763,3.731784372855159,5.161455885214075,9.912499830785041,3.7762075083773126,6.872705547687454,6.789266588045599,5.3026674863182475,8.172376004246313,7.553230146069161,1.4693529977129227,3.9226273880109233,4.878039837667015,3.638603292784522,-2.8073052753167023,-4.3296555448247975,3.312174562151344,-4.311739303951383,1.8480136396377895,-3.7619379096659658,5.895825402092424,7.847851445777314,9.227775057134865,4.867304478878676,3.325257449362308,2.6637248880861732,7.185667891509799,6.76357247068241,1.370210588248077,5.063677776466593,2.971786306168452,3.634656755368495,2.8895583652737953,3.2723331937933393,2.8209326460183557,-4.958691738607062,5.063461745014726,-3.2071099955712588,5.973900537252343,2.3853304293191013,5.401848005461342
