cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Alveolar cell type 1,1.3109195146754713,-2.0216638669444604,1.1561799943584772,-0.9230641675585594,1.562700756226871,-0.8552957642680049,1.214862952872583,1.5003940113696128,1.428044032727075,1.1393308252385153,-1.4271333229791232,-1.4209592599178134,-2.1843083799469953,1.2739197331956726,1.9254477362330327,1.7908115929512898,-0.9830947042371683,-2.108266679275182,-1.3273260307870012,1.018180663383401,1.0165714108872919,1.263184977177621,-0.9815867009603442,-1.3590734728937601,-1.326734200994146,-1.102803818491161,-1.5634327860302553,0.7885278594434943,-1.4963104162026857,-0.9207264217809322,-1.7318414495474739,-2.4091346245387975,-1.6268051447388614,1.54041938121205,1.3279498978920887,-1.4341506370252437,1.1269126600133224,-1.0255714098660114,1.0827763201460125,-1.739048632800826,1.1669239144242096,0.9127255130319708,-1.0744389296794083,1.1454595512933035,-1.4701015496188348,-1.6959341570713995,1.657949754989711,-1.2902764263944722,-0.7028362571849668,-0.9671431917037882
Alveolar cell type 2,1.5255799892180708,-2.334325029355015,1.3946985563207794,-1.3529429581759107,-1.2755661247592724,-0.8764870429433631,1.100735995481005,1.6362091949763329,1.7510168547959568,1.432684022683338,-1.387596064966357,0.8543503019106791,-1.9749250556909788,-1.3931531008804052,1.854008128922197,1.7508719788711864,1.4473294950547244,-1.7823454885757595,1.1357653599852338,0.6910223878073702,1.393563106199418,1.0465645396044707,1.051660061537019,-1.1988853009206493,-1.2879583433379365,-1.611631815560177,-1.873473459492689,1.211361886402921,-1.279791404427555,-1.1669389419540899,0.9581872303200655,-1.8995613641098517,-1.2247710211230225,1.1774600218651874,1.1325911185678745,1.4335494386181613,1.510824942777365,1.1652723433777517,1.6313741495544705,-1.6409694428941055,1.3315078087309469,1.2026511997760847,0.6316781675577846,-0.9246009070019636,1.1900632055362523,0.7849867466211298,1.3424716627098905,1.454921055738511,-0.7269830507501348,1.57866335738164
B cell,-1.672232939994944,1.5798918645760978,-1.5730183645035898,-1.4732226779812687,-1.4511287906021093,-1.0647925240529468,-1.613987824618545,-1.2794859250697754,-1.5693692232411343,-1.7853486328941122,-1.6722156510463677,-1.4448784455221266,-1.297318760922107,-1.6001311537158545,-1.1804372100785356,-1.488017044705998,-1.640213945835872,-1.28993804180266,-1.512791770793535,-1.2591673000071526,-1.370183977449385,-1.4719002530543117,-1.1677649575134168,-1.291366793352345,-1.1860103335149068,-1.0937685397488293,-1.0255522745572467,0.7898341767933561,-1.0100304814194412,-1.330117754494653,-1.661706828818209,-1.0618795827028293,-0.7017437419325603,-1.2428944581006598,-1.2111618815977496,-1.9841914494878679,-1.2779855656839156,-1.3672002970700377,-1.3602438311931357,-1.3025244922214234,-1.6711486539271696,-1.5658247418954927,-0.9620068409951833,-1.29421561430087,-1.3390810240561117,-1.2218945612395529,-1.4224847730119,-1.5195774773446562,-0.9615909705095236,-1.621822216692236
B cell dividing,0.9798124584095429,1.1735430433707905,0.978102538923481,-2.562775274782609,0.809619346480209,-0.9449357753142169,-1.0,0.6030843871100314,-1.2621572064713589,-1.0,-1.0,1.4112021735671605,1.7461359729717192,-1.0,-1.0,-1.0,1.1062162897068595,1.671165650808146,0.8615651295898932,-1.8471200039958284,0.9156231790735968,-1.0,0.8071953828067682,-1.206389474213447,-1.0,-1.0,0.7913643768079769,0.6191038430819332,0.7838248487176573,1.334069750542882,1.2343127033738874,1.7319909399094158,1.2499457637736775,-1.0,-0.990847587354814,1.477412230624957,-1.0,1.0247851754773083,1.0424646813080023,1.311801916216483,0.8477000189588525,0.818271444278933,1.2692753740764353,0.7370889029980637,-1.0,1.2011081425242933,-1.0,0.8795924637904202,-0.8585887203163527,-1.0
Ciliated,1.008504931712542,-1.0,0.7522506900301306,-1.1326677975227353,-1.0,-1.1050001181724636,0.790938332362518,1.3797043920604124,1.002209178974348,0.9390267349354021,-1.0,1.1719042458929871,-1.3896272011912085,-1.0,1.1750184838423456,1.0692445851406913,0.9579997258888798,-1.0,0.8303747397120445,-1.1361200033870287,1.067985695059783,-1.0,-1.6683274434569346,-1.7810423109141806,-1.0,-1.1705960587456106,-1.6825908427142102,0.8882189450227652,-1.3744545632411145,0.7525136336990204,-1.0,-1.0,-1.3510361529990087,0.957906795533256,1.1672966047459952,1.4426988901660713,0.7853229227282567,1.005456162676476,1.3212859989033798,-1.7513428533346422,0.9634715678928939,1.1524005268304307,1.4442506691369272,-1.5223103051453748,-1.0,-1.1962164338099772,1.0196761689655018,-1.4125878687528108,-0.6697836166077648,1.0484527617861086
Club,-0.9826897881207609,-2.211335045182619,1.5575942148454367,0.9658312479840291,-1.3538532294921748,0.8926838425564328,1.153961567155746,1.3980818975849139,1.68053693353201,1.5696499810181659,-1.2066906355314733,-1.4630594130062728,-2.013415747346079,-1.2557176007871016,2.134636169919098,1.9826173153516933,0.9214781325442939,-1.8917218546019343,1.3414918519049104,0.9172087354296585,1.108560363658511,1.131737691769998,-1.1253808472233469,-1.2394529612283507,-1.1916435556207363,-1.5501882569258196,-1.6902075720506704,1.800184525198525,1.1709005762771167,-1.5436124043308395,-1.4656254523506496,-2.314093057604833,-1.1331346278997476,1.0721780812791601,1.2701480490866297,-1.3734829317191612,1.2302854458975352,-0.9962389450606465,1.4504204302332395,-1.9176716443859274,1.2866439379396248,-0.9984434885962765,-0.7279848902247732,-1.322634875852348,-1.1113003669308636,-0.9326269396804361,1.1318641276770898,-1.0794221026005848,0.6023650242751764,1.6979333179467906
DC mature,1.1389119162195178,1.8761974205126382,-1.1995249560665606,-1.6375872293716587,1.079973837436928,0.9167170490377152,1.2207712190976974,-1.5064482382786164,1.166561945405838,-1.3845297955214557,1.2726872912823919,0.9316390762223093,-1.38323770691917,-1.5670104083077805,-1.1505780699906638,-1.282448558586439,0.9587605860931662,-1.4000940438625322,0.871171600340238,1.1465952445164027,-1.1966221268288249,-1.175751498005689,1.5416027061912498,1.6835590041640287,1.6709500261565828,1.5503781788616577,1.8581564678798201,0.9534669225844886,1.5869286122552149,1.0822661306194323,0.9697015112236439,1.2011864361720666,-1.1654007685920709,1.0294834253461977,0.7902952069525064,1.269934752376953,1.2757782040751355,0.7551566970833766,-1.125514756346178,1.1295306904896212,-1.4307373363823626,1.0507230405146029,-1.4577393436820325,-0.9706994716475693,2.1163496588367114,-1.0893398826222362,-1.3084402602087282,1.1054356636294684,0.5971800125047692,1.0989273600326257
Endothelial cell arterial,1.3092146709894832,-1.4636993717113733,1.1429574490200665,1.4678238174544753,1.7131963056898758,1.3455138207347876,1.7183921706269703,-1.1698364460933974,-1.075866054384898,1.920829414843654,1.0708554210080379,-1.2233130290291085,-1.9357366910462206,1.7462005896460513,1.354329436675108,1.2164741459653274,-1.3381059270516693,-1.6475975474777227,-1.5856528827511547,1.4432504083536137,0.9001021914587435,1.6058787850279674,1.5339812435282103,1.5083523746890763,1.211602818809343,1.9956323955862065,1.7188750591314623,1.2648315834403832,1.3512708424509972,1.1130270660160158,-1.6383707591437418,-2.0321458737288864,-1.2872539746538783,1.9514304251726504,1.0945426736640351,-1.8743780192165256,1.3779636799329809,1.1421717172779096,-1.2243222448511204,-1.2032452941341982,-1.2173744271128435,1.054104364894094,-0.889612848449244,2.095425573040867,1.7493067109986358,-1.1482317750710425,1.851834751962272,1.5713514410922778,1.6057098317690341,0.9470633824639516
Endothelial cell capillary,-1.1306328471297296,-1.3128263453943045,-1.1336250391742175,1.2849145944623845,1.4074928274866936,0.9715261619082302,-0.9589457973141026,-1.1390406814134788,-1.4674024759081692,1.6633239308457775,-1.3016690872581604,-1.4994144432723229,-1.7407924909050256,1.2994329283048662,-0.9769110781316761,-1.068028147018833,-1.2723096470228805,-1.5992030588822825,-1.569592927838775,1.218579726838316,-1.2539002416737237,-1.2207219775827856,-0.9586521580107121,1.1803717232167885,-1.0004010434297312,2.1991623793958834,1.6015112112788854,0.8251364434107897,0.9362032528650619,-0.9214651745395982,-1.8547810413620744,-2.257492902092322,-1.3698064902010862,1.6669686234957302,-0.5642677114653769,-2.0115640257868814,-1.0021514332672343,-0.8611003071654243,-1.4722629668414644,-1.5420695219917835,-1.5375047316462311,-1.2386264648667005,-0.813035866929482,1.532694132454613,-1.4270211110816455,-1.736256757537913,1.2225276048183575,-1.2394446186310595,1.0037719878378637,-0.9812704585584788
Endothelial cell lymphatic,1.271966023529811,-1.9474225169727597,-1.0354773318067703,1.2492711121481526,1.4776663234209402,1.5740821448630047,-1.214035970002417,-0.8465313015634665,-0.9833756102665218,1.8257576270170013,-1.2286624757486417,1.0219634941684808,-2.0434157744988184,1.6051500616436183,1.0793507371504472,1.1406983333019667,-1.0508041945699853,-1.7064541112545544,-1.5184713808308141,1.1579522598596752,0.9757011219911175,-1.442153764346601,-1.304676731403497,-1.3800039302631755,-1.4416431815228767,-1.4041442470978358,-1.762697470830709,-1.0715757716138774,1.210017102140327,1.1664081025993531,-1.9900886939289506,-1.6650244548661735,-1.511072468972458,1.7088097592610172,1.2266004165785531,1.062191741667002,-1.2289759950609538,1.3914278367891795,-1.105192077257679,-1.5085927638596397,0.8906224929166222,-1.0312011326157473,-0.8525373420185051,1.4717426621825564,-1.9648926626292114,-1.3854230164819819,1.5579058397439078,-1.4772987768857822,0.6845313175996016,-1.2467757087500555
