cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Alveolar cell type 1,1.2355837708403883,-2.0297530410878353,1.3614327258508172,-1.161313107811635,1.4696970972608763,-0.9836526626733277,1.269729428563241,1.445419425994603,1.4334123540657908,1.198631637755999,-1.3973029535186565,-1.2606684714679732,-2.260290019979837,-1.223789850680603,1.8754369678271574,1.885721727771195,0.941867130845107,-2.1784625400052455,-1.1424699212093168,1.1578857254067378,1.2884593210607815,1.1428810079554443,1.1129560814795516,-1.2369079986498617,-1.2321162834104034,-1.3864009388639804,-1.6741212263571987,1.0340856269605052,-1.5743416249264426,0.9913945905494238,-1.7595511827828496,-2.450641815183356,-1.6390414493069305,1.4859787181693722,1.24347938766042,-1.5535469097825005,1.2307620446255716,-1.1703871231785483,1.3289318350508745,-1.5629968054236718,1.3041532508859297,0.9495999807380365,-1.1203739708683447,0.9260823443273655,-1.584131346411766,-1.6770253599108167,1.7457559705256227,-1.079838165906543,-0.7064845035605006,1.249044912346723
Alveolar cell type 2,1.4177733864465507,-2.1425378895767935,1.4301548521860379,-1.715064126483777,-1.3108174899382674,-1.0653261903937647,-1.1784115636504746,1.5045636567656537,1.5548329616134904,1.4310110763276023,-1.272620201199989,-0.9543321622104437,-1.972665273855879,-1.6319762725951377,1.6910610863833706,1.6798663736405004,1.369502948270153,-1.8488263108961633,0.8927653717928657,0.7394058557458152,1.5672965463811668,-1.3243723012215,1.0129711818517908,-1.2053316924257185,-1.3942185906392306,-1.5726886509439861,-1.812822762684301,1.1979919256694733,-1.1980897085252258,-1.1294759730024577,-1.296186183807914,-2.106780519074612,-1.497065704653005,1.0441267423327218,1.03583802013681,0.9866021551601223,1.3017722486936982,1.187340847947018,1.5692161348527083,-1.6432738862475926,1.253153881206353,0.9020436264705901,0.686714528373013,-1.0295495603917508,-1.427512268070011,-1.093942002163634,1.341786306928965,1.268441972131311,-0.8750058927524643,1.532384556302362
B cell,-1.5219003452211446,1.7018452412557672,-1.429210910936974,-1.5518139723913154,-1.4286148852955225,-1.1414355834068532,-1.534637035026937,-1.1786692298447106,-1.6121531040023647,-1.7707017749756677,-1.5560822469537492,-1.4682454056386822,-1.4549184493614578,-1.7067527557487938,-1.2767133647802715,-1.4604779252412765,-1.450976527804603,-1.4649732297676845,-1.5054744209700839,-1.381649035283099,-1.4515499687425633,-1.4905124115891453,-1.0462958342195343,-1.0644152860590583,-1.0957178436614887,-1.0385923695195172,1.2133598895936824,0.5426858065835852,-0.9237997585263227,-1.507157835510029,-1.5107036877832536,-1.112874478610099,-0.7746090946515587,-1.2808956813620183,-1.1256595227452157,-1.948224435803776,-1.205664357208405,-1.4908685271965514,-1.3705111563683017,-1.10107799113565,-1.6602313474837498,-1.4877746389893436,-1.1337784085552356,-1.1162191283886462,-1.0978449868958515,-1.1503929722360389,-1.421001049980636,-1.340280513242887,-0.8341138719219116,-1.5667849951686392
B cell dividing,1.0435780075846475,1.2012139251741745,0.9191265152078671,-2.114873748060464,0.7919104464952552,-0.9656607950388973,-1.0,0.6424523687126993,-1.0,-1.0,-1.0,1.4428746484657042,1.6841506800117665,-1.0,-1.0,0.6739435540648631,1.1469078623186533,1.5827000746508961,0.9997604066141605,-1.6098450439620444,0.9513910505211611,-1.0,0.8026654921714953,0.7019088717641846,-1.0,-1.0,0.8170354672246429,0.6970319895941443,0.889104460469962,1.2524858114571265,1.2740819635096576,1.6933461300302977,1.3336758895203178,-1.0,-0.8464513712192849,1.4441532263347088,0.7783887171425409,0.9158290947750012,1.034424078503808,1.2565826434211138,0.8461275626701102,0.9329068832979455,1.1981390568511172,0.8750799696703531,-1.0,1.1987774531186652,-1.0,1.0903163450541458,0.6190339131388315,0.6280192713507009
Ciliated,0.8753917142404971,-1.0,0.7251747750018599,-1.637610968364463,-1.577311826837511,-1.3270544672812459,0.8198667596498691,1.4118696085125513,0.9719011017882935,0.7643527649415519,-1.0,1.0421666435389285,-1.0,-1.8909375178570031,1.1610071177183043,1.0025810489327973,0.8447921760455455,-1.31530677301851,0.7698522008956553,-1.4239214748781714,1.2049847602425336,-1.3649812352319957,-1.4689933022458879,-1.6595995409600643,-1.478984119268513,0.6666404112809442,-1.4009746822142717,0.8281145670253459,-1.2156713316569072,0.9494814190356894,-1.4192080113091978,-1.4637735598503783,-1.0198685169311512,0.8050369176334715,1.1634364905335857,1.1375877702041317,-1.1635969070340861,0.7633000119929718,1.2563732223993649,-1.4449038454068495,0.9702724703028269,1.0067009261363882,1.5010509293222392,-1.3082683206737973,-1.0,-1.4395386830884198,1.0052519538510216,-1.1314438020728161,-0.9818652790936286,0.8300661279858048
Club,-1.3153233116913858,-1.7919718996674365,-0.9763178046171999,-1.387316913439462,-1.2715809532895637,-0.6775002401326903,-1.1321046695525834,-0.6410160717207648,1.1001437635483646,-0.8091853735900499,-1.220726114013147,-1.6070501344573689,-1.635280082908372,-1.3607882885510796,1.0,2.0146705149478414,-1.231106119456992,-1.4890606480672155,-0.910315157420812,-0.7798100607394856,-0.7666435233936015,-1.192433749009011,-1.2186473538030298,-1.2907927674775506,-1.084249583917222,-1.1255648127478248,-1.3479406010882486,0.7074838413882507,-0.9500025848084743,-1.2474044921843974,-1.4938067473757288,-1.8184775560183053,-1.1593988612973538,-1.0739249755454676,0.9543630577817307,-1.5720715143709123,-0.9803804724131601,-1.1200639335894131,-0.8857228186868965,-1.5536944078875987,-1.1395299645397328,-1.367488474908959,-0.8058350221651106,-1.4189794916355203,-1.2302133986102464,-1.354338710005351,-0.9851414891260958,-1.365234399568464,-1.1212070038566802,-0.9476256348927711
DC mature,-1.0490490178515115,1.7845352149720455,-1.202579467187773,-1.8452907301302062,1.1892734770217939,0.7429198531945919,1.4397601813366951,-1.6817581950456566,1.1156254475644063,-1.3089987312321707,1.3066904353572677,-1.3558723709799514,-1.5477849106752537,-1.4604742718171575,-1.0553154513350622,-1.2340383709294922,-0.9554582231916922,-1.3306810736422099,-1.3550861895529014,1.438368172600168,-1.322882491637327,1.2156359332479785,1.7304413131533125,1.8356697161281346,1.9525979146844656,1.4179148544900553,1.9451739174399174,0.9745437903148997,1.768024942258625,1.1624396074266925,-1.34816994496035,-1.5010580858294598,-1.2318474901426764,1.161902547099886,-0.9951651211706233,-1.6123350684886293,1.4927803323201103,-0.9771350429970869,-1.2816664168650946,1.2483466080950991,-1.5433673083121995,1.0128335416498349,-1.3870660074085697,0.977617781869705,2.4914513874511037,-1.3339322892007737,-1.180582038742842,1.4542130455299458,-0.7530817439236058,1.0138067350344078
Endothelial cell arterial,1.3994818726546296,0.7862675165392776,1.2818787266214924,1.456630297011675,1.3716449395526713,1.2729577333881876,1.2923001751941166,0.9482186937554934,1.1889716440689415,1.6654591240944983,1.1717346652046412,1.2591577132965976,-1.0,1.3453047437847239,1.0853412597721008,1.0900777198551468,1.0400669120849633,-1.0,1.0171203477738682,1.3677422062191946,0.9916088692850263,1.2440143246036894,1.2254074122090417,1.2611613111180418,1.1123659984312082,1.6070611143281928,1.3920349895408881,0.8354199439074843,1.2777924079677072,1.0195008656105122,1.0925447921013192,0.9209371558480476,0.6316308886821224,1.4572891446810554,1.2640611853369148,1.512486248243179,1.1228809621646914,1.4264575110385735,1.1202319127893199,0.8853539208379839,1.1588373211802043,1.478976145027696,0.824628168207073,1.7087126873712446,1.0681504081062194,0.941940096820723,1.4440022474094023,1.027497513509113,1.38122069490693,1.139297837615099
Endothelial cell capillary,1.2500091292413817,-1.1758465194811438,1.1167444071229975,1.8374353746284169,1.9916519401575394,1.1398291716296296,1.4563437799767993,-1.3435050208893462,-1.2004705634871051,2.264884564103706,1.6078611339368063,-1.4749800561063187,-2.3598024530328585,2.037736458743064,0.9863024332942597,0.9747121606560213,-1.4583091898514053,-1.9307554743288637,-1.7218832956537222,1.6603883584195787,0.9008434995809458,-1.2481110649477758,1.6363515631168024,1.6118788001778563,1.5460340077599246,2.5606884084750487,2.2474267488428823,1.156380664800272,1.5597123651906868,1.4810123039089615,-1.9110570743225777,-2.5458647909529626,-2.0715322447313325,1.9906102058045523,1.242709074189451,-2.113729912842286,-1.1220717393723183,1.0830910804565108,-1.4167953461627862,-0.9051293353109828,-1.0549427846809667,-1.5661280942257259,-0.9899149648815164,1.69686543129767,-1.4190834531228849,-2.054086348634467,1.7100061371864117,-1.2388005959475468,1.538981363225052,-1.1363057866776187
Endothelial cell lymphatic,1.3326649340979968,-1.0,1.1955189546077052,1.016035688445474,1.3748161731947417,1.5814253552845945,1.2251929898025034,0.93788514269219,1.0034362124062874,1.7011567446593248,1.1278583686575514,1.3199021144035779,-1.670320796193812,1.4400809993561419,1.1242357920598836,1.1200795523069706,0.9289777733189403,-1.0,0.7462889990985757,1.1818368519313938,1.1431666442136876,1.0893695364660034,0.91226939115065,0.9494358766086202,0.8405224409298211,0.9816970567897154,0.78238080458207,-0.6870304929410865,1.0908705376574617,1.0834315029765307,-1.0,0.9080827891697375,-1.2356552846259803,1.5129458081610527,1.447710342527972,1.243355856704635,1.160597362227147,1.3263891231870546,0.924840124003258,0.8841248768186234,1.227477854004018,1.1909268716156862,0.5653136653284329,1.5961033437593923,0.8016388046647971,1.0203911612903098,1.406438748561294,1.0247210941295977,1.2056111733524972,1.0841196655666208
