cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Alveolar cell type 1,1.3139412381031266,-2.0408042563577617,1.153992692789314,-0.8574659611428882,1.4572280954658863,-0.8028644884185854,1.2112066040494291,1.556256161864024,1.4750003069498512,1.068869106550021,-1.4653250346267495,-1.4000565558727485,-2.0540449784534975,1.1370117718097361,1.9288601621965398,1.8769216038777186,0.8978632853345255,-1.9839437980129375,-1.1578513968888449,1.1493464050411488,1.2261804604685649,1.2284083229741345,-1.0384001231754059,-1.399487558451437,-1.463052066976378,-1.2644970691878363,-1.7220716451475497,0.9244007051797202,-1.555159696591534,1.0870857844651565,-1.6874554195522022,-2.291766176635218,-1.590320086887793,1.5051866700446743,1.3836414924251206,-1.153946056863645,1.171878666139182,-1.0959665432433372,1.3193012357753597,-1.6694550062842677,1.3526440989298916,0.9430579151943426,-0.9542054636910086,1.0543493193111404,-1.6159914951458783,-1.6058348808572085,1.5396703982848539,-1.2888902723260827,0.555764887424451,1.0569147776161607
Alveolar cell type 2,1.4781765238307303,-2.5550350555637897,1.4302541067318644,-1.359077913143889,-1.1800005322211318,-0.8064878054938825,1.1108635102764413,1.500548176643275,1.6724809757246948,1.3860613592533206,-1.4655804692918377,1.0020491071210675,-1.817214558979957,-1.3357548293041945,1.7588290823780157,1.752705395761845,1.4458397493356394,-1.4657200018763596,1.2245233047942468,0.8326146842607328,1.3869336567892263,1.0138360115415674,1.0022981098628467,-1.194759213669572,-1.3749974191303056,-1.7435590748369743,-2.007002597861062,1.2496307059604257,-1.3598128693366622,-1.0147084408892182,1.0538545675510733,-1.59494080073142,-0.7813356998798282,1.1474979573424742,1.1792814021925875,1.5470230169946693,1.4682895937092155,1.1005943098511126,1.6116063534548264,-1.5986418666426567,1.4523582308331302,1.2229590234181065,0.8061985704771906,-0.9397796826458925,1.0469288022790906,0.8868382356938217,1.3357998932487662,1.4974493365613428,0.5479380680479362,1.5733520014199431
B cell,-1.6534670847990562,1.2433081501895513,-1.4146292329841563,-1.4870157972872038,-1.4767294318520288,-1.033774678196364,-1.6436847370512706,-1.2379424421637488,-1.5560013322165143,-1.8661795157141687,-1.8006386530654048,-1.4409472812607478,-1.2560165424785157,-1.7036800601116087,-1.1111895531419473,-1.470094205412743,-1.5760689433607848,-1.2813664229109165,-1.5204161934014366,-1.2254081788322846,-1.3885484973418873,-1.548058601436528,-1.2240347806658574,-1.4040735598118184,-1.2714859363053923,-1.2463762156152143,-1.1455897576456073,0.8087304092659051,-1.099072596141746,-1.2844204803285815,-1.589126927915884,1.2339484871197115,-0.5343544921201995,-1.262579050046363,-1.1129772997714662,-1.922035554833159,-1.2305647703458098,-1.4842595058858734,-1.3467684413257763,-1.2895038090358977,-1.584790759637477,-1.5429928917887012,-0.9356364433562584,-1.3238003623498968,-1.4052157488609036,-1.1780270496180918,-1.4214699005789324,-1.46011541242788,-1.0186175704711284,-1.5860355010278255
B cell dividing,1.0134093444197125,1.0440325320577004,0.965856941631803,-2.2506435723122586,0.8386405542582613,-1.1647928451610674,-1.0,0.6424177205943757,0.6372776215279176,-1.0,-1.0,1.3975764804584712,1.715591680141097,-1.0,-1.0,0.6817433888097211,1.13202781267679,1.622494753512115,0.9528318328535159,-2.2624354593169547,0.9095664928048773,-1.0,0.7713778913691309,-1.0,-1.0,-1.0,0.6997503736952756,0.663590704397277,0.7710296141121974,1.3145655277308785,1.2579076310302475,1.6770309831184735,1.2663424282640057,-1.0,-0.9005366259696925,1.4705729491057804,0.6589203750626716,1.0296241246534452,1.0896745633444238,1.242689626179496,0.9046532740459683,0.8036064161416359,1.2754255097058669,0.7127422716095289,-1.0,1.138959310150659,-1.0,0.8764911248215459,-0.7362391083541329,0.603471318962439
Ciliated,1.0758342675584767,-1.0,0.8176461027609538,-1.329804225258965,-1.0,-0.9007932905088339,0.769295789909724,1.356116109554315,1.088510279869663,0.959775478702318,-1.0,1.2439453367603843,-1.0,-1.710808269462109,1.2121355208329208,1.1207665303215302,1.0503541236846197,-1.0,0.9265434036237631,-0.9523632083597265,1.0702934179065087,-1.3826495122063849,-1.0,-1.6485573169891397,-1.0,-1.1489012708727744,-1.0,0.8813077397367458,-1.5252230114920997,0.8033690821338116,-1.0,-1.0,-1.204848844181026,0.9658777871007374,1.2472745187143015,1.4705159784047217,0.8073469388147437,1.0193520290715412,1.3549450998797394,-1.4343006850790612,1.0762171678165315,1.2104768089707274,1.4692439817702796,-1.2064568711902148,-1.0,-1.309917469281834,1.039910778539232,-1.0,0.6012014141614596,1.1022287201821634
Club,0.9655940843643953,-2.3823045310128363,1.5202911114320201,0.8518917750323329,-1.3766316120006337,0.9327870889453762,1.1075372786649453,1.3632940704131427,1.5872722182524583,1.442288071802396,-1.2834519798223578,-1.17205429461514,-1.9804227259783653,-1.279763757423711,2.0696779783504784,1.9879950849837897,1.1072661418028713,-1.8043167838611236,1.4862168633369224,1.0574322742608664,1.189846546494602,1.1370991506166608,-1.1817141373560556,-1.286897099457995,-1.3644019648845722,-1.6839841354715603,-1.9274429159394058,1.7180826277280892,-1.1351900972570421,-1.368348378150482,-1.2112131352712932,-2.176756463848238,-0.8759865542036336,1.0871993840489969,1.3926448392570232,-1.020315636656968,1.2322367510092929,-0.9276557385653464,1.3624787618514347,-1.8896895281183848,1.5030241769076282,-0.892622801596249,0.7559014449954983,-1.354248431291291,-1.258753721707801,0.9476982505590396,1.1374912981979055,-1.074408908401099,0.7281077233777826,1.707253728160719
DC mature,1.125987697088998,1.5915479687364034,-1.0399192937544768,-1.9326320625488658,1.0779869572463794,0.9279919265784524,1.1313267051094886,-1.4549970552244935,1.1935036009537656,-1.3718054082203792,1.1535525632023762,1.04532767923114,-1.2479210930220968,-1.697737723100869,0.8000329040741672,-1.0418355848645384,1.074544923067835,-1.1418499290784427,1.0110507926403316,1.1896850500598195,0.7233375187649416,0.94022525242617,1.3777171082990216,1.5126506656504584,1.5150794318102894,1.4535344777831054,1.7090495624838333,0.9656520175156124,1.4684021336408615,1.1214000172846603,0.9949078010137469,1.282095733186949,-0.9638590150524501,0.9811067969992734,0.8796237831971853,1.3922134038634253,1.29708413908672,0.7941184819368211,-0.9899653372891567,1.1657174152906007,-1.1741604380665887,1.076527364757392,-1.365493225440487,0.7896057419651371,1.8720951050729016,0.8733653285798598,-1.2689539173242377,1.0688971796627806,0.7342245689077407,1.2114507078644756
Endothelial cell arterial,1.2787008709314098,-1.709959226467586,1.194431835523438,1.4048124446920984,1.625246920895134,1.1999935238957886,1.6036131631364732,-1.0372155403548768,0.8617400440563464,1.7952004442883605,-1.2917076377735783,-1.0526646705039022,-1.7700208575856369,1.5895980199945139,1.4861626106979848,1.2392086689525512,-1.20628252724583,-1.5988492145103999,-1.5015704280569993,1.5591567620618814,1.0211480437973344,1.4994334623211547,1.4195337741286724,1.3548126215722889,1.0604485058264228,1.8520505879650715,1.5663231315837831,1.3261587211694115,1.3601750208904047,1.209399113484111,-1.481461363622846,-1.7724478081964081,-1.2817865343512995,1.9407867480967997,1.2237154125420922,-1.8046782943933606,1.3759075107472494,1.1643762298826539,-0.9943496057443915,-1.0798307538953136,-1.0139196999456301,1.115164594983991,-0.7662412054323093,1.8710337493180749,1.4801905604683514,-1.0133030488122763,1.7451933499471712,1.46329431300065,1.5257717826769044,1.0623091987139124
Endothelial cell capillary,-1.0639708759784463,-1.4626140364941744,-1.014077283466726,1.1233793990381369,1.3911435872865123,0.9322397669470057,-0.9552213618124221,-1.1163714658566446,-1.422404748796822,1.7660964431646664,-1.3152513461440012,-1.364898592074219,-1.6839028934438787,1.1571332055695662,-0.8736819428979349,-1.0007238295830063,-1.1683979952993448,-1.5684534612498569,-1.4965498266453225,1.666773400119349,-1.175047292567318,-1.2359332050758416,-1.015067405807384,1.0548551880906456,-1.0441163733458707,1.8616957677159265,1.3017134362358476,0.9304857258059686,1.1186982380440222,-0.904457293870651,-1.8100622632997003,-2.15197276145304,-1.4497091483471995,1.6258642862744288,0.8384644384838206,-1.8635202791294978,-1.0251355513729905,-0.9508239528524095,-1.3442221055957595,-1.5180963037996507,-1.4173341146987102,-1.1467875293989245,-0.7847433351818849,1.4622042015390633,-1.506860649852607,-1.7251067777235825,1.2904910145302306,-1.271530350539201,1.1206860618301602,-0.892373836039011
Endothelial cell lymphatic,1.3697408476353374,-2.181474240313395,1.035717213203343,1.236835983283934,1.4840049654708676,1.4939304943999785,1.0716747411992589,0.7840002678233347,1.049218785582332,1.6909984379764453,-1.339166113521369,1.11922402749191,-1.7632216147024313,1.5155894296053807,1.139142396205429,1.2463758438046184,0.8636876104540196,-1.4889214478870922,-1.2093384573488173,1.2168673031726496,1.1185203172804183,-1.345156303213644,-1.3929918585885106,-1.5008070479997888,-1.562522800665394,-1.5869682036730397,-1.9355041133231434,-1.1081343235277477,1.0214925166173012,1.1916368850278067,-1.816799277344448,-1.2830760488719328,-1.3149206860484999,1.5645257754635706,1.259148102612213,1.3136881920146233,1.0168188545042915,1.2635949921741472,0.880087034674966,-1.3563531499108226,1.1526433319508607,0.9834632072486408,0.7150720604887771,1.3897223931308706,-2.112368350543162,-1.279051025124773,1.5068606957606412,-1.4128929103011298,0.7993917243104658,0.8708528533581013
