cell_type,ADIPOGENESIS,ALLOGRAFT_REJECTION,ANDROGEN_RESPONSE,ANGIOGENESIS,APICAL_JUNCTION,APICAL_SURFACE,APOPTOSIS,BILE_ACID_METABOLISM,CHOLESTEROL_HOMEOSTASIS,COAGULATION,COMPLEMENT,DNA_REPAIR,E2F_TARGETS,EPITHELIAL_MESENCHYMAL_TRANSITION,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_LATE,FATTY_ACID_METABOLISM,G2M_CHECKPOINT,GLYCOLYSIS,HEDGEHOG_SIGNALING,HEME_METABOLISM,HYPOXIA,IL2_STAT5_SIGNALING,IL6_JAK_STAT3_SIGNALING,INFLAMMATORY_RESPONSE,INTERFERON_ALPHA_RESPONSE,INTERFERON_GAMMA_RESPONSE,KRAS_SIGNALING_DN,KRAS_SIGNALING_UP,MITOTIC_SPINDLE,MTORC1_SIGNALING,MYC_TARGETS_V1,MYC_TARGETS_V2,MYOGENESIS,NOTCH_SIGNALING,OXIDATIVE_PHOSPHORYLATION,P53_PATHWAY,PANCREAS_BETA_CELLS,PEROXISOME,PI3K_AKT_MTOR_SIGNALING,PROTEIN_SECRETION,REACTIVE_OXYGEN_SPECIES_PATHWAY,SPERMATOGENESIS,TGF_BETA_SIGNALING,TNFA_SIGNALING_VIA_NFKB,UNFOLDED_PROTEIN_RESPONSE,UV_RESPONSE_DN,UV_RESPONSE_UP,WNT_BETA_CATENIN_SIGNALING,XENOBIOTIC_METABOLISM
Alveolar cell type 1,1.2679162064126666,-2.099667399701321,1.3160068244065064,-1.275769333603795,1.4870027418337868,-1.0244487141293557,1.217684805422169,1.408959532445843,1.6033192033605963,1.1498116111856782,-1.5488702926712576,-1.101569949996602,-2.293238709537777,-1.3098536842104924,1.8877758070576678,1.8112136602156332,1.0013477499237122,-2.0266142006341843,-1.0154089379410822,1.1687902684383908,1.3449418562710023,1.111437762554259,1.0903291990167874,-1.4082561207740663,-1.4140688527306233,-1.4115271646791432,-1.8190042814350538,1.0315543809361245,-1.6781294390122883,1.0932759356072894,-1.6010031054214096,-2.4266316973115836,-1.6113335220722933,1.4541301545667344,1.3178808484521212,-1.303431077073325,1.2375025739094327,-1.0659268551170653,1.334821711394303,-1.5352774970782268,1.4086221037436795,1.1156686287145705,-1.058498094809751,-0.9784117680204087,-1.6523949853773041,-1.658435279716494,1.5966449485480574,-1.00754450708298,-0.6583820728546483,1.3610785912792676
Alveolar cell type 2,1.3825140779416762,-2.116502988935803,1.3228233294868692,-1.6615566806641706,-1.4206419108150194,-0.9409738746019107,-1.1806163646267982,1.417839010964642,1.541428382186405,1.3725468589711785,-1.4993333141879033,0.8236592888840523,-1.7630160160826704,-1.6468448573767664,1.6612710982871728,1.6968789408495295,1.4326371962553308,-1.570911867916494,1.0289639630387062,0.8251911033305682,1.4993538072477277,-1.391431488890054,0.931374266932904,-1.4470331120563944,-1.530118019322062,-1.7386201949677154,-1.9241030416821217,1.2523204086234654,-1.369732624804497,0.9628215965475266,-1.1506247613940792,-1.367255361618516,-1.023751917837148,1.0020585598468652,1.0951362219396794,1.2277250912520647,1.305546618714047,1.2064182374947805,1.6055016197805554,-1.5273286030228823,1.3146457556754967,1.0573325571379133,0.8357862595354516,-1.0719091630130873,-1.512485800356511,-0.9101463964197548,1.280170552242488,1.2010645765647836,-0.7638525683428552,1.6273503982881121
B cell,-1.5573671008649435,1.5770413759765685,-1.444441628404108,-1.6358967610625021,-1.4628842432706979,-1.0921149988990657,-1.5901279298150437,-1.1924710066073139,-1.541457405442352,-1.8288550233642202,-1.7548803011964094,-1.4048919105802142,-1.3658661932555334,-1.761095360844258,-1.1565221644118908,-1.428863080467809,-1.4496574665935762,-1.3229099786437133,-1.4602395554888528,-1.3147085031222516,-1.4586062569833789,-1.5491067428979057,-1.1705961900246398,-1.2369879783282642,-1.2742572559681513,-1.2202585189769948,-1.0607429321089465,0.6459662676004272,-1.0270580404548524,-1.4246004271435488,-1.5277518153456395,1.1993349329565026,0.9217341177155773,-1.3128600881153525,-1.1135717609264806,-1.8511560161776384,-1.165258328528435,-1.5005335796980115,-1.3830393941349421,-1.1482671225748657,-1.6778610625034378,-1.3844735280639913,-1.0677313198134741,-1.1002414166718564,-1.2544587031209407,-1.1317634151383462,-1.4059038776642474,-1.4172125070081707,-0.8809100145082537,-1.5044989688542794
B cell dividing,1.0711200951028994,1.1095178813881568,0.8959737239840966,-1.0,0.7649969674875334,-1.2243165107736922,-1.0,0.6516731853512141,-1.154939543694633,-1.0,-1.0,1.4219581804108994,1.6376439985342015,-1.0,-1.0,0.7513668897305137,1.1620325109007865,1.5657847787591266,1.059423490006986,-1.0,0.9871823285451917,-1.0,0.7845650961618158,-1.0,-1.0,-1.0,0.7401193293567352,0.6723684684421098,0.8513544425923523,1.2361757515628566,1.2708712443544066,1.6990697803235149,1.3389153295843976,-1.0,0.6297460808974868,1.471993186737213,0.7790744666973681,0.928991877486686,1.0464630573045564,1.2321796036230899,0.9081585709351118,0.9556376446337042,1.2481217285255577,0.8597335673997717,-1.0,1.155030369982943,-1.0,1.052236631060051,0.6289425916753808,0.7206552391488081
Ciliated,0.9183732028451401,-2.282881146864915,0.7896280861405807,-1.5927850061045907,-1.0,-1.1522475265084207,0.807312129122108,1.385119305324378,1.0526765460691487,0.7678300666478112,-1.36664604015064,1.0689199622057863,-1.0,-1.9308579066814946,1.1962666412972427,1.062387128216502,0.8849889030413759,-1.1848751134868891,0.8503306269547857,-1.190785215759134,1.205690190451248,-1.5478423268597064,-1.371693319994027,-1.6528930674927762,-1.6879292865920419,-0.9765604028408308,-1.0,0.7925845340413656,-1.345150304943475,0.9728984562221626,-1.3018379987272533,-1.5058996034498244,0.5832826898504457,0.8003293398490358,1.1596643298011446,1.2202535843948816,-1.0,0.7877119545335878,1.2437996089955878,-1.4848267246892635,1.048309032829657,1.009602081888396,1.4859934309227916,-1.4805686287216688,-2.193497692319469,-1.3569099197274612,0.9740555456154784,0.7559562550433999,-1.00143010576081,0.9607151082136496
Club,-1.2802976592022488,-1.8569392792060246,-1.0004258274804037,-1.3405487871741761,-1.2759705891416386,-0.649898746200186,-1.1152965683402387,-0.6283707695025912,1.144675211677829,-0.8654242447563112,-1.2746707841064997,-1.5864930886058788,-1.632027398980957,-1.4207700069567946,1.787613564868033,1.8654589691993502,-1.203044813588471,-1.4063473916780576,-0.8380349777709627,-0.8194147236494269,1.0406501062090574,-1.1992120463023699,-1.2848387190440005,-1.3684899313877126,-1.1692587868170152,-1.2899669486969318,-1.5314493117457928,0.8510807170899182,-1.0506978771854083,-1.1217255898606904,-1.4529840520055397,-1.7812071318730753,-1.0162031552759836,-1.0950680370807504,0.970706686150806,-1.4539654455478994,-0.9568482989514024,-1.2508605269727089,-0.8813491112760474,-1.5913517597219327,-1.0800471716086506,-1.2301058626360546,-0.7070054343705662,-1.4150167741528976,-1.3071625219190697,-1.35105327208701,-0.9620335788313829,-1.319050926663609,-1.128738953130736,-0.8834485330332079
DC mature,-1.0661194394800833,1.6206186348281755,-1.179153243313872,-1.7420539694477022,1.2109945038550682,0.8802347051626594,1.4378887872686192,-1.7128014734271182,1.2438562729862224,-1.4297814366225097,1.09095527543614,-1.294682707401775,-1.4584496777056768,-1.548620867752347,-0.9947496476508835,-1.0623509974257639,0.9180793546720502,-1.287695353124052,-1.2256291859386252,1.4750358212765176,-1.2461897758902687,1.1932740274129432,1.6660299813297785,1.759092043328492,1.8025441701294016,1.2355975944702486,1.7871065035766966,1.050366654930448,1.6414653874881289,1.2101604055645343,-1.244145438105885,-1.2576479601031356,-1.0886190611022126,1.1148632898949231,-1.0727414511592608,-1.3742936792260836,1.4969242001647043,-0.8094364154202394,-1.2052452015471182,1.2200155680168543,-1.4885975266667162,1.101703949175959,-1.3114473225998002,0.9746367608148644,2.3350777757877985,-1.268570085183821,-1.136347588703947,1.5402961042419914,-0.7502246786224923,1.156803466937651
Endothelial cell arterial,1.3458550118112556,-1.0,1.2506049255894764,1.5046190650369582,1.344768830131997,1.3549922367558624,1.2448004154708736,0.9312232928427414,1.20101524658988,1.6249106892249532,1.0875760886459347,1.263933546011949,-1.0,1.2668260539568446,1.1249683398788892,1.1326309298495567,1.0395715040102083,-1.0,1.074180539898105,1.3844961039267534,1.0286828332750686,1.222882981103307,1.1598952572667622,1.1701573323530716,1.029350363648972,1.5205148706556186,1.2944971906846976,0.8218491193138778,1.183816408218072,0.9783271235992733,1.1302124720219597,1.04222390288136,0.8405949092205096,1.438966373006972,1.2462377346734743,1.5310922577045714,1.107376715821883,1.3739032281735633,1.084522891302811,0.8675571105373696,1.1899666024006195,1.4470408081073196,0.8801516976007036,1.6198214247296432,0.959865727654348,0.9792746943297583,1.3581992896672153,1.0449763854685223,1.3537786110553847,1.2148134373359962
Endothelial cell capillary,1.292641197025073,-1.3014311469449333,1.091073239068823,1.6503160093106777,1.966046340505224,1.2796500004898606,1.4502773410261574,-1.123746536008784,-0.90520654900308,2.1867756502074633,1.436921729813527,-1.3437472905941563,-2.344874676849596,1.7649211831454055,1.0980613594044009,1.0550529432712639,-1.2901792813499142,-1.894096608051022,-1.6246406261499742,1.634628203110763,1.0608293955323191,-1.1539016126748138,1.5231410655222675,1.5178944154557652,1.4385801507290015,2.3798932752764617,2.1105425004692684,1.141501303690876,1.429895981620569,1.527330153327639,-1.682927083434505,-2.408077301724397,-1.9323476994125874,1.9339674401291125,1.2754088477194372,-1.9216542020216865,-1.1189344411906432,0.9632234543636023,-1.3428602790510107,0.8302212352586749,1.0309668002713426,-1.3290388826422104,-0.8334850175066345,1.6700342514786615,-1.5440625978113875,-1.8522467001371998,1.6289443920779088,-1.1691628828350513,1.4650986348522468,0.8717891159321227
Endothelial cell lymphatic,1.2942260435205042,-1.0,1.1721752781342327,0.9613672584057402,1.3750893607334063,1.5040024046201521,1.1776974888753735,0.9606454597145783,1.0998610628216463,1.6738551780304456,1.0025453115180316,1.3301947183783487,-1.0,1.2943889025830195,1.2053952129671583,1.166811917208923,1.0403109633230072,-1.0,0.8316929753260366,1.2108124440442891,1.1982254884449943,1.0397959508908687,0.8423734495540722,0.8716104279262108,-1.0,0.8749182711184113,-1.4698028565523586,0.4318247063129037,0.9977376094607444,1.0900089484077709,-1.0,1.0668106518399794,-0.88598684384983,1.425097058469607,1.3930734319579086,1.358068862756011,1.109977676191306,1.250822460517889,0.9824183706247814,0.8575126921489059,1.355383382665786,1.1460664971341143,0.6270741464898609,1.529221029012411,-1.0,1.1184495757939046,1.3663553211076567,1.0173814762910078,1.1890081657116995,1.1310099291776252
