cell_type,gene,score,rank_type
AT2,SHH,0.8919603121458471,top
AT2,WIF1,0.8852269920022836,top
AT2,ERBB4,0.8800095995996924,top
AT2,SFTPC,0.8791173107940786,top
AT2,SFTPA2,0.8768627584215645,top
AT2,SFTPA1,0.8763455725296303,top
AT2,CRTAC1,0.8757452771644462,top
AT2,PGC,0.8734477947015579,top
AT2,SCGB3A2,0.873298791010525,top
AT2,LINC01521,0.8721433036784928,top
AT2,HLA-A,0.13805319194833104,bottom
AT2,CFL1,0.1461839842931267,bottom
AT2,HLA-B,0.14702368880554073,bottom
AT2,TMSB4X,0.16480147952634175,bottom
AT2,FTH1,0.172034497176978,bottom
AT2,HLA-C,0.17246341641989107,bottom
AT2,HSP90AA1,0.1758903773655651,bottom
AT2,VIM,0.18925347408407017,bottom
AT2,GNAI2,0.18969736406583146,bottom
AT2,S100A10,0.19923621181039428,bottom
Ciliated,CAPS,0.7079542601961634,top
Ciliated,TPPP3,0.7045473860750014,top
Ciliated,C9orf24,0.7003508342107859,top
Ciliated,RSPH1,0.6980105593912026,top
Ciliated,C1orf194,0.68941964865861,top
Ciliated,OR7E47P,0.6885951805034857,top
Ciliated,TSPAN1,0.6872740209392515,top
Ciliated,PIFO,0.6865272368841101,top
Ciliated,HOATZ,0.6860469258373009,top
Ciliated,C20orf85,0.6854750209855764,top
Ciliated,TMSB4X,0.37077576392165174,bottom
Ciliated,SRGN,0.38570562864095576,bottom
Ciliated,CD44,0.40493476915719645,bottom
Ciliated,ARHGDIB,0.4052660303410116,bottom
Ciliated,PTPRC,0.4077992999002895,bottom
Ciliated,LGALS1,0.4131643439622101,bottom
Ciliated,CXCR4,0.41421286452642136,bottom
Ciliated,LAPTM5,0.4172410291923003,bottom
Ciliated,FXYD5,0.41949982914916484,bottom
Ciliated,RAC2,0.4195823315077554,bottom
Tumor AT2/1_LUAD,SFTPB,0.7618428974325444,top
Tumor AT2/1_LUAD,WFDC2,0.7419552469881268,top
Tumor AT2/1_LUAD,SLC34A2,0.7401802626995466,top
Tumor AT2/1_LUAD,CYB5A,0.7394011208407281,top
Tumor AT2/1_LUAD,SLPI,0.7367125552385201,top
Tumor AT2/1_LUAD,C3,0.7332555087130416,top
Tumor AT2/1_LUAD,NAPSA,0.7317307663374136,top
Tumor AT2/1_LUAD,MUC1,0.7305386298890227,top
Tumor AT2/1_LUAD,CXCL17,0.7267164682304253,top
Tumor AT2/1_LUAD,SFTPD,0.7147888701628538,top
Tumor AT2/1_LUAD,SRGN,0.32648100473737496,bottom
Tumor AT2/1_LUAD,LAPTM5,0.36255059378984344,bottom
Tumor AT2/1_LUAD,PTPRC,0.36360506132655984,bottom
Tumor AT2/1_LUAD,LGALS1,0.3699501920635573,bottom
Tumor AT2/1_LUAD,VIM,0.37435711767292124,bottom
Tumor AT2/1_LUAD,CXCR4,0.37514601911993917,bottom
Tumor AT2/1_LUAD,LCP1,0.37744184637221473,bottom
Tumor AT2/1_LUAD,S100A4,0.37911098376356456,bottom
Tumor AT2/1_LUAD,CD53,0.3832351825988697,bottom
Tumor AT2/1_LUAD,GMFG,0.3858810718676475,bottom
Tumor Club/AT2_MSLN,SFTPB,0.71142812915664,top
Tumor Club/AT2_MSLN,NAPSA,0.6976372824976157,top
Tumor Club/AT2_MSLN,BCYRN1,0.6823634420678485,top
Tumor Club/AT2_MSLN,SFTA2,0.6794056184378392,top
Tumor Club/AT2_MSLN,WFDC2,0.6744003077387083,top
Tumor Club/AT2_MSLN,SLC34A2,0.6672085079070459,top
Tumor Club/AT2_MSLN,AP001324.1,0.6654430699640272,top
Tumor Club/AT2_MSLN,MUC1,0.653352233870907,top
Tumor Club/AT2_MSLN,CYB5A,0.6498842005012111,top
Tumor Club/AT2_MSLN,RNASE1,0.647035278869345,top
Tumor Club/AT2_MSLN,MTATP6P1,0.26737095328573846,bottom
Tumor Club/AT2_MSLN,MT-RNR2,0.34316708183524897,bottom
Tumor Club/AT2_MSLN,SRGN,0.35011845722133395,bottom
Tumor Club/AT2_MSLN,RBIS,0.35277787801769106,bottom
Tumor Club/AT2_MSLN,SEPTIN11,0.3608476041242845,bottom
Tumor Club/AT2_MSLN,VIM,0.3644381151126186,bottom
Tumor Club/AT2_MSLN,BTG1,0.36612566512710976,bottom
Tumor Club/AT2_MSLN,SNHG6,0.36823818136271147,bottom
Tumor Club/AT2_MSLN,CERT1,0.370485707920996,bottom
Tumor Club/AT2_MSLN,B2M,0.3740136289217002,bottom
Tumor LUAD2,H1-2,0.6909981995555528,top
Tumor LUAD2,STMN1,0.6771236243436806,top
Tumor LUAD2,SNRPD3,0.6553535441569666,top
Tumor LUAD2,H2AC6,0.6528441848172492,top
Tumor LUAD2,AGR2,0.6521409436558374,top
Tumor LUAD2,PLAAT3,0.6509514107408844,top
Tumor LUAD2,TUBB,0.6478926193945742,top
Tumor LUAD2,HMGA1,0.6465285342476136,top
Tumor LUAD2,CD24,0.6442338965776014,top
Tumor LUAD2,KRT18,0.6440437153841824,top
Tumor LUAD2,HLA-B,0.25219213228686277,bottom
Tumor LUAD2,HLA-A,0.2543679342092846,bottom
Tumor LUAD2,HLA-C,0.2571600408317733,bottom
Tumor LUAD2,MTND4P33,0.2587887331640777,bottom
Tumor LUAD2,MTND2P13,0.2633097054881955,bottom
Tumor LUAD2,MTND1P22,0.2683158454689959,bottom
Tumor LUAD2,MTND3P6,0.2749538617127785,bottom
Tumor LUAD2,HLA-E,0.2848167241117375,bottom
Tumor LUAD2,NEAT1,0.28748587568891565,bottom
Tumor LUAD2,S100A6,0.28960759118568047,bottom
Tumor LUAD_EMT,AC112770.1,0.9840824297318536,top
Tumor LUAD_EMT,AC068774.1,0.9834946305361336,top
Tumor LUAD_EMT,AC010198.2,0.9827017752522031,top
Tumor LUAD_EMT,LINC02742,0.9821362512693725,top
Tumor LUAD_EMT,SLC7A14-AS1,0.9812604505252812,top
Tumor LUAD_EMT,LINC02828,0.9806118959323936,top
Tumor LUAD_EMT,FAM153CP,0.9804949699869225,top
Tumor LUAD_EMT,Z99127.4,0.9783698528016667,top
Tumor LUAD_EMT,APCDD1L-DT,0.9774813656691264,top
Tumor LUAD_EMT,AL132857.1,0.9774809219435554,top
Tumor LUAD_EMT,TLE5,0.18821267064836905,bottom
Tumor LUAD_EMT,SNHG29,0.19838671477528175,bottom
Tumor LUAD_EMT,SEPTIN9,0.23856427602321953,bottom
Tumor LUAD_EMT,TASOR2,0.28863641172148463,bottom
Tumor LUAD_EMT,HLA-C,0.3139502700890005,bottom
Tumor LUAD_EMT,B2M,0.31552385086700646,bottom
Tumor LUAD_EMT,SRGN,0.3268064438009515,bottom
Tumor LUAD_EMT,AC023424.3,0.331834381296125,bottom
Tumor LUAD_EMT,HLA-E,0.33340136334836284,bottom
Tumor LUAD_EMT,ITM2B,0.34002028244027643,bottom
Tumor LUAD_LUSC_mitotic,MAGEA4,0.9194971268376134,top
Tumor LUAD_LUSC_mitotic,POLR2J3-1,0.8833747205981402,top
Tumor LUAD_LUSC_mitotic,PTP4A1,0.8831336633120694,top
Tumor LUAD_LUSC_mitotic,AC122694.1,0.870860480075852,top
Tumor LUAD_LUSC_mitotic,GNGT1,0.865494900723274,top
Tumor LUAD_LUSC_mitotic,FAM213A,0.8650881951586975,top
Tumor LUAD_LUSC_mitotic,CKMT1B,0.8214920473682189,top
Tumor LUAD_LUSC_mitotic,AC026401.3,0.8047107136343441,top
Tumor LUAD_LUSC_mitotic,PERP,0.8041934033010925,top
Tumor LUAD_LUSC_mitotic,DSP,0.8030883417891733,top
Tumor LUAD_LUSC_mitotic,SRGN,0.28486288359415385,bottom
Tumor LUAD_LUSC_mitotic,CD74,0.2878983425651992,bottom
Tumor LUAD_LUSC_mitotic,IFITM2,0.3006327977173855,bottom
Tumor LUAD_LUSC_mitotic,VIM,0.3025502803731699,bottom
Tumor LUAD_LUSC_mitotic,HLA-B,0.30483099994347274,bottom
Tumor LUAD_LUSC_mitotic,ARHGDIB,0.31116346256784844,bottom
Tumor LUAD_LUSC_mitotic,HLA-DPA1,0.3128444462416192,bottom
Tumor LUAD_LUSC_mitotic,TXNIP,0.32152626326344286,bottom
Tumor LUAD_LUSC_mitotic,HLA-DPB1,0.32474624283803755,bottom
Tumor LUAD_LUSC_mitotic,HLA-DRA,0.33117452428114214,bottom
Tumor LUAD_MSLN_LUSC,KRT8,0.6809113214656013,top
Tumor LUAD_MSLN_LUSC,KRT19,0.6806231359983609,top
Tumor LUAD_MSLN_LUSC,KRT7,0.6750096498106772,top
Tumor LUAD_MSLN_LUSC,TMSB10,0.6706193858245122,top
Tumor LUAD_MSLN_LUSC,ANXA2,0.6682619326959064,top
Tumor LUAD_MSLN_LUSC,KRT18,0.6643323290759413,top
Tumor LUAD_MSLN_LUSC,EPCAM,0.6640207257130157,top
Tumor LUAD_MSLN_LUSC,ENO1,0.6639142356633172,top
Tumor LUAD_MSLN_LUSC,S100A6,0.6622043077500669,top
Tumor LUAD_MSLN_LUSC,PKM,0.661250790058532,top
Tumor LUAD_MSLN_LUSC,SRGN,0.36921041549387,bottom
Tumor LUAD_MSLN_LUSC,PTPRC,0.38108972578219347,bottom
Tumor LUAD_MSLN_LUSC,LAPTM5,0.3888792170864528,bottom
Tumor LUAD_MSLN_LUSC,CD52,0.3895785864638554,bottom
Tumor LUAD_MSLN_LUSC,CD53,0.3971230999883059,bottom
Tumor LUAD_MSLN_LUSC,CXCR4,0.397444575240443,bottom
Tumor LUAD_MSLN_LUSC,LCP1,0.3979723175859566,bottom
Tumor LUAD_MSLN_LUSC,GMFG,0.4054520631408228,bottom
Tumor LUAD_MSLN_LUSC,RGS1,0.4056758754101262,bottom
Tumor LUAD_MSLN_LUSC,CERT1,0.4080914255146935,bottom
Tumor LUAD_ROS1+,ELF3,0.6317915441762785,top
Tumor LUAD_ROS1+,KRT19,0.6140252256627209,top
Tumor LUAD_ROS1+,NEAT1,0.5977309158721826,top
Tumor LUAD_ROS1+,KRT8,0.5966858829232722,top
Tumor LUAD_ROS1+,CLDN4,0.5958964755146167,top
Tumor LUAD_ROS1+,MUC1,0.5930158438168672,top
Tumor LUAD_ROS1+,KRT18,0.5915948098618978,top
Tumor LUAD_ROS1+,GPRC5A,0.5886416767768333,top
Tumor LUAD_ROS1+,SFTPB,0.5873840103794316,top
Tumor LUAD_ROS1+,KRT7,0.5860128670913871,top
Tumor LUAD_ROS1+,TMSB4X,0.32053802881315835,bottom
Tumor LUAD_ROS1+,HLA-B,0.32908559744098476,bottom
Tumor LUAD_ROS1+,VIM,0.3291271722156546,bottom
Tumor LUAD_ROS1+,B2M,0.32915870318900203,bottom
Tumor LUAD_ROS1+,RPL21,0.33057616709709886,bottom
Tumor LUAD_ROS1+,HLA-C,0.3326365296960147,bottom
Tumor LUAD_ROS1+,TPT1,0.33825924026639026,bottom
Tumor LUAD_ROS1+,RPS29,0.3440543417951384,bottom
Tumor LUAD_ROS1+,RPS23,0.3444129041233083,bottom
Tumor LUAD_ROS1+,HLA-A,0.34526243067300316,bottom
Tumor LUAD_mitotic,KRT18,0.7252490056406052,top
Tumor LUAD_mitotic,KRT7,0.7220741470272365,top
Tumor LUAD_mitotic,EPCAM,0.7186459125675462,top
Tumor LUAD_mitotic,MGST1,0.7185445525504146,top
Tumor LUAD_mitotic,KRT8,0.7051866123984192,top
Tumor LUAD_mitotic,SFTA2,0.7034201140003162,top
Tumor LUAD_mitotic,AP001324.1,0.6927225376947644,top
Tumor LUAD_mitotic,SLC34A2,0.6893417212394516,top
Tumor LUAD_mitotic,CLDN4,0.6880244305700167,top
Tumor LUAD_mitotic,KRT19,0.6872512139483615,top
Tumor LUAD_mitotic,SNHG29,0.21425303210976526,bottom
Tumor LUAD_mitotic,SEPTIN2,0.26782150443456015,bottom
Tumor LUAD_mitotic,TASOR2,0.2971636797487118,bottom
Tumor LUAD_mitotic,SEPTIN9,0.3094158991141266,bottom
Tumor LUAD_mitotic,TLE5,0.3171750580805213,bottom
Tumor LUAD_mitotic,ILRUN,0.3252000438708925,bottom
Tumor LUAD_mitotic,SRGN,0.32591975072279633,bottom
Tumor LUAD_mitotic,MICOS13,0.33061387944637727,bottom
Tumor LUAD_mitotic,GET3,0.3315628004997982,bottom
Tumor LUAD_mitotic,CERT1,0.3325019735975939,bottom
Tumor LUSC,FTL,0.9171638073076875,top
Tumor LUSC,FTH1,0.8910080444186128,top
Tumor LUSC,BRI3,0.8822799533526943,top
Tumor LUSC,YBX1,0.8815889095362446,top
Tumor LUSC,CSTB,0.8586109246651678,top
Tumor LUSC,S100A11,0.858572012302739,top
Tumor LUSC,SERF2,0.852813167844816,top
Tumor LUSC,TMSB10,0.844817192316494,top
Tumor LUSC,LGALS1,0.8309996918291156,top
Tumor LUSC,OAZ1,0.825536231549689,top
Tumor LUSC,MALAT1,0.11883850392095538,bottom
Tumor LUSC,AKAP13,0.15683407169873287,bottom
Tumor LUSC,NEAT1,0.16950883226680177,bottom
Tumor LUSC,RBM39,0.18157453472865526,bottom
Tumor LUSC,ARID4B,0.18278280514890438,bottom
Tumor LUSC,SIK3,0.18430767977956503,bottom
Tumor LUSC,ZBTB20,0.19056389536238935,bottom
Tumor LUSC,DENND4A,0.19295448805007573,bottom
Tumor LUSC,GPBP1,0.19347061435326846,bottom
Tumor LUSC,STAT3,0.19406998576500684,bottom
Tumor LUSC_LUAD_NE,PERP,0.672607273358384,top
Tumor LUSC_LUAD_NE,KRT19,0.6512322487994735,top
Tumor LUSC_LUAD_NE,SFN,0.6444189147691856,top
Tumor LUSC_LUAD_NE,KRT8,0.6434507829077104,top
Tumor LUSC_LUAD_NE,KRT18,0.6426897659159676,top
Tumor LUSC_LUAD_NE,KRT6A,0.6385684269120516,top
Tumor LUSC_LUAD_NE,AKR1C2,0.6310360000101395,top
Tumor LUSC_LUAD_NE,DSP,0.6283400886022947,top
Tumor LUSC_LUAD_NE,KRT17,0.6269425422126159,top
Tumor LUSC_LUAD_NE,KRT5,0.6214462641723457,top
Tumor LUSC_LUAD_NE,HLA-B,0.3077853760880123,bottom
Tumor LUSC_LUAD_NE,B2M,0.32436804128768687,bottom
Tumor LUSC_LUAD_NE,HLA-C,0.3269594851810625,bottom
Tumor LUSC_LUAD_NE,MALAT1,0.34725641704688326,bottom
Tumor LUSC_LUAD_NE,HLA-E,0.3492351708032043,bottom
