sample,dataset,membership
Chen_Zhang_2020_NSCLC-1,Chen_Zhang_2020,0
Lambrechts_Thienpont_2018_6653_scrBT1425_hg19,Lambrechts_Thienpont_2018_6653,0
Lambrechts_Thienpont_2018_6653_scrBT1426_hg19,Lambrechts_Thienpont_2018_6653,0
Lambrechts_Thienpont_2018_6653_scrBT1427_hg19,Lambrechts_Thienpont_2018_6653,0
Laughney_Massague_2020_GSM3516662,Laughney_Massague_2020,0
Laughney_Massague_2020_GSM3516663,Laughney_Massague_2020,0
Laughney_Massague_2020_GSM3516667,Laughney_Massague_2020,0
Laughney_Massague_2020_GSM3516672,Laughney_Massague_2020,0
Laughney_Massague_2020_GSM3516674,Laughney_Massague_2020,0
Maynard_Bivona_2020_LT_S66,Maynard_Bivona_2020,0
Zilionis_Klein_2019_p6t1,Zilionis_Klein_2019,0
P15_T2,Zuani,0
P16_T2,Zuani,0
P18_T2,Zuani,0
P19_T2,Zuani,0
P21_T2,Zuani,0
P22_T1,Zuani,0
P8_T2,Zuani,0
UKIM-V-2_P10_tumor_primary,UKIM-V-2,0
UKIM-V-2_P13_tumor_primary,UKIM-V-2,0
UKIM-V-2_P14_tumor_primary,UKIM-V-2,0
UKIM-V-2_P16_tumor_primary,UKIM-V-2,0
UKIM-V-2_P4_tumor_primary,UKIM-V-2,0
UKIM-V-2_P5_tumor_primary,UKIM-V-2,0
UKIM-V-2_P9_tumor_primary,UKIM-V-2,0
UKIM-V_P1_tumor_primary,UKIM-V,0
UKIM-V_P3_tumor_primary,UKIM-V,0
Zilionis_Klein_2019_p4t1,Zilionis_Klein_2019,0
Zilionis_Klein_2019_p4t2,Zilionis_Klein_2019,0
Zilionis_Klein_2019_p4t3,Zilionis_Klein_2019,0
Lambrechts_Thienpont_2018_6653_BT1377,Lambrechts_Thienpont_2018_6653,0
Lambrechts_Thienpont_2018_6653_BT1376,Lambrechts_Thienpont_2018_6653,0
Zilionis_Klein_2019_p6t2,Zilionis_Klein_2019,0
Kim_Lee_2020_LUNG_T34,Kim_Lee_2020,0
Kim_Lee_2020_LUNG_T19,Kim_Lee_2020,0
Kim_Lee_2020_LUNG_T09,Kim_Lee_2020,0
Kim_Lee_2020_LUNG_T08,Kim_Lee_2020,0
Kim_Lee_2020_LUNG_T06,Kim_Lee_2020,0
He_Fan_2021_LUAD4,He_Fan_2021,0
Kim_Lee_2020_LUNG_T30,Kim_Lee_2020,0
He_Fan_2021_LUAD3,He_Fan_2021,0
He_Fan_2021_LUAD2,He_Fan_2021,0
Kim_Lee_2020_LUNG_T25,Kim_Lee_2020,0
Kim_Lee_2020_LUNG_T20,Kim_Lee_2020,0
He_Fan_2021_LUAD1,He_Fan_2021,0
Chen_Zhang_2020_NSCLC-7,Chen_Zhang_2020,0
Chen_Zhang_2020_NSCLC-6,Chen_Zhang_2020,0
Chen_Zhang_2020_NSCLC-3,Chen_Zhang_2020,0
Chen_Zhang_2020_NSCLC-2,Chen_Zhang_2020,0
Lambrechts_Thienpont_2018_6149v2_BT1299,Lambrechts_Thienpont_2018_6149v2,0
Lambrechts_Thienpont_2018_6653_BT1375,Lambrechts_Thienpont_2018_6653,0
P036,Deng,1
P037,Deng,1
P032,Deng,1
P034,Deng,1
P038,Deng,1
P033,Deng,1
P031,Deng,1
P030,Deng,1
P035,Deng,1
P039,Deng,1
P21_T1,Zuani,1
P041,Deng,1
P042,Deng,1
P043,Deng,1
P029,Deng,1
UKIM-V-2_P17_tumor_primary,UKIM-V-2,1
UKIM-V-2_P6_tumor_primary,UKIM-V-2,1
UKIM-V-2_P8_tumor_primary,UKIM-V-2,1
UKIM-V_P2_tumor_primary,UKIM-V,1
Chen_Zhang_2020_NSCLC-11,Chen_Zhang_2020,1
P040,Deng,1
P028,Deng,1
P015,Deng,1
P026,Deng,1
P004,Deng,1
P005,Deng,1
P001,Deng,1
P027,Deng,1
P006,Deng,1
P007,Deng,1
P008,Deng,1
P009,Deng,1
P010,Deng,1
P011,Deng,1
P003,Deng,1
P013,Deng,1
P012,Deng,1
P016,Deng,1
P017,Deng,1
P018,Deng,1
P019,Deng,1
P020,Deng,1
P021,Deng,1
P022,Deng,1
P023,Deng,1
P024,Deng,1
P025,Deng,1
P014,Deng,1
P002,Deng,1
Lambrechts_Thienpont_2018_6149v2_BT1295,Lambrechts_Thienpont_2018_6149v2,2
Zilionis_Klein_2019_p1t1,Zilionis_Klein_2019,2
Zilionis_Klein_2019_p1t2,Zilionis_Klein_2019,2
Lambrechts_Thienpont_2018_6149v2_BT1297,Lambrechts_Thienpont_2018_6149v2,2
Zilionis_Klein_2019_p1t4,Zilionis_Klein_2019,2
Lambrechts_Thienpont_2018_6149v2_BT1296,Lambrechts_Thienpont_2018_6149v2,2
Lambrechts_Thienpont_2018_6149v1_BT2B,Lambrechts_Thienpont_2018_6149v1,2
Lambrechts_Thienpont_2018_6149v2_BT1298,Lambrechts_Thienpont_2018_6149v2,2
Zilionis_Klein_2019_p1t3,Zilionis_Klein_2019,2
Lambrechts_Thienpont_2018_6149v1_BT2A,Lambrechts_Thienpont_2018_6149v1,2
Kim_Lee_2020_LUNG_T18,Kim_Lee_2020,2
Laughney_Massague_2020_GSM3516670,Laughney_Massague_2020,2
Lambrechts_Thienpont_2018_6149v1_BT1C,Lambrechts_Thienpont_2018_6149v1,2
Lambrechts_Thienpont_2018_6149v1_BT1B,Lambrechts_Thienpont_2018_6149v1,2
Lambrechts_Thienpont_2018_6149v1_BT1A,Lambrechts_Thienpont_2018_6149v1,2
He_Fan_2021_LUAD5,He_Fan_2021,2
P24_T1,Zuani,2
P17_T3,Zuani,2
P17_T2,Zuani,2
Lambrechts_Thienpont_2018_6149v1_BT1249,Lambrechts_Thienpont_2018_6149v1,2
Laughney_Massague_2020_GSM3516669,Laughney_Massague_2020,2
Lambrechts_Thienpont_2018_6149v2_BT1300,Lambrechts_Thienpont_2018_6149v2,2
