cell_type_adjusted,B cell,B cell dividing,Ciliated,Club_AT2/1_high,DC mature,Endothelial cell arterial,Endothelial cell capillary,Endothelial cell lymphatic,Endothelial cell venous,Fibroblast adventitial,Fibroblast alveolar,Fibroblast peribronchial,Macrophage,Macrophage alveolar,Mast cell,Mesothelial,Monocyte classical,Monocyte non-classical,NK cell,NK cell dividing,Neutrophils,Pericyte,Plasma cell,Plasma cell dividing,Smooth muscle cell,T cell CD4,T cell CD4 dividing,T cell CD8 activated,T cell CD8 dividing,T cell CD8 effector memory,T cell CD8 naive,T cell CD8 terminally exhausted,T cell NK-like,T cell regulatory,Tumor Adeno_Squamous,Tumor EMT_lowProlif,Tumor Evasive_HighProlif,Tumor Evasive_Prolif,Tumor Hypoxic_Prolif,Tumor LUAD_MSLN,Tumor Macrophage_Swallow,Tumor NSCLC_Prolif,Tumor OxPhos_Prolif,Tumor Secretory_LUAD,Tumor TTF1+_Quiescent,cDC1,cDC2,myeloid dividing,pDC,stromal dividing
B cell,1.0,0.5115069530514,-0.025679723480679092,-0.14131618916745003,-0.17897595576429184,0.27164403330512293,0.38293995653346913,-0.04469149587694045,0.20236814688527333,-0.04979362116885357,0.15973756606252731,-0.04454366351165478,-0.1679641660286886,-0.19885302457794224,-0.11766306680840603,0.06536463010030205,-0.13541971798712268,-0.09832801373847776,-0.14929162425492518,-0.10168370115848861,-0.09785075010120166,-0.06640571127130991,0.11674770240349311,-0.013699573866471403,-0.04245283015566896,0.2842082744673268,-0.043376015187890776,-0.12082794352964957,-0.03628009605958936,0.038964287380597,0.47344020525094155,-0.04534583830524113,0.009496641582695805,0.031859579317394825,-0.060859459666917255,-0.13697229575323036,0.13191004171033677,-0.04564156997369807,-0.07790353043121571,-0.03995698979203286,-0.1635386768822504,-0.10305162918988044,-0.11513074106624013,-0.03065874882475982,-0.2506045472071752,0.03688204490719518,-0.22426415779230371,-0.10708440750969142,-0.05468413451491211,-0.05843686162424947
B cell dividing,0.5115069530514,1.0,-0.014076735589289756,-0.055404576794762024,-0.024315313151614934,-0.028912017485596752,-0.026223954970175236,-0.02966708746723225,-0.08485432043674819,-0.0291651188153457,-0.05292444659017337,0.003451463468169059,-0.020915237728525406,0.027649309104090282,-0.03316923474589667,0.042342065719479814,0.037435362260191875,-0.04518801987262738,-0.14030967689976814,-0.04870842516084798,0.009344166312655864,-0.05040667146271574,0.04860594581247314,0.19178900138715183,-0.051593223208757304,0.09115205085695391,0.2454597032613294,-0.14881757836464693,0.06717591297844366,-0.1422615517023738,0.14619046974619027,0.017485269716268886,-0.10835145158477566,0.03520232751549049,-0.024278729564102937,-0.09378183996454313,-0.049268332615669444,-0.03158424757921141,-0.02727827706298951,0.05229912065998912,-0.11213570179744449,-0.07006638855781251,-0.04808213354181803,-0.03450426697995312,-0.13009807783575006,-0.022964170844043556,-0.08136948623772779,0.024465618015418324,-0.035675025941940615,-0.005113880894364347
Ciliated,-0.025679723480679092,-0.014076735589289756,1.0,-0.025444280720189297,0.04964054765120184,0.05674091989010914,-0.017732480031642538,0.5001683258196628,-0.035996660740451464,-0.009953974609491892,-0.07306363666720028,-0.09177874871002897,-0.0970361494441823,0.30721329346084403,-0.15551182498106572,-0.022974929496166356,0.01304770623574823,0.47078323747563133,0.37015317963881733,0.20727071045972625,-0.07179623936178557,-0.08927212299322908,-0.10668058484199337,-0.025368878625712767,-0.043479367011259776,-0.131857168606754,-0.10963640068482841,-0.15327125321424095,-0.04127171862673763,-0.24219708719880703,0.005077236915085437,-0.07893614025891521,0.26744532086777695,-0.27630345674147444,-0.02177667433157044,-0.09545922190375931,0.002365574457216272,-0.07822868831797858,0.14495981079883252,-0.030348054062693388,-0.08749297531229437,-0.025810624839512727,0.0021283104825166065,0.1837013797676395,-0.042816169678242616,0.0750913715831643,0.1145995042475004,0.22514000873948317,-0.0069508743822789465,-0.055579110314364244
Club_AT2/1_high,-0.14131618916745003,-0.055404576794762024,-0.025444280720189297,1.0,-0.07962115994122611,-0.044557764387951296,-0.03263610025254605,0.04682659633835019,0.09864243873695813,-0.02154713867408476,-0.004924808544923792,-0.07867605416755576,0.07269615611049016,-0.02294564531244162,0.02163805582497703,-0.02729925704567711,-0.12366738963030502,-0.03651755847403077,-0.13068731434402614,-0.09986287876191523,-0.054676603588964943,-0.05355956187995508,-0.09002294575251525,-0.08040928017537208,-0.005207393372779743,-0.09375864202344526,-0.15405564797702856,-0.14599044822613494,-0.09746306367344967,-0.21394346091692204,-0.04692252764060074,-0.09456628470374169,-0.05920527628128962,-0.2588667059099179,-0.01986327983856187,-0.022048514213417046,-0.01543354114587496,-0.05197076198932425,-0.008642794675549808,-0.020248584209319437,-0.04388913580266955,-0.09777804324609486,-0.004216072800471854,-0.0019142870006274124,-0.0024912365193031777,-0.04511207236025545,-0.06844390342988206,-0.04633244431534565,-0.11998572310536315,-0.04133758038835899
DC mature,-0.17897595576429184,-0.024315313151614934,0.04964054765120184,-0.07962115994122611,1.0,0.006128981991624061,-0.032391789378456715,-0.07174313128780326,0.04984700016065942,-0.10214377327048584,0.04673852801767415,-0.08888559844863653,0.08657091721739886,0.11118541378879208,0.13722370880900236,-0.09594461180256114,0.11449026475601953,-0.0929969291154363,0.020600236063212346,0.023332548225610435,-0.1722188617621405,0.0200133076740317,-0.1146020131481789,0.2631856251457477,0.19195387940329495,-0.047491044362158605,0.15252113846567739,0.043856337368140916,-0.023400892873218174,0.11085855398177093,-0.10796834910604074,0.0012003537429378448,-0.019499247890290256,0.21721606219254008,-0.0756461346721965,0.027762323659322845,-0.07458256660729133,-0.20370954074362968,0.05653865734740981,-0.07741731192616862,0.1262629948837862,-0.09344531752505375,-0.025151343489673402,-0.06841662618561178,0.04305769670082475,0.13831444818616187,0.5533528070185826,0.19148481181232418,-0.028860329714055766,0.22541515811937277
Endothelial cell arterial,0.27164403330512293,-0.028912017485596752,0.05674091989010914,-0.044557764387951296,0.006128981991624061,1.0,0.7268516366972291,0.10645952559177131,0.5558235299791635,-0.015616793789315195,0.06681337106714903,-0.018843713986254222,-0.018706308396586647,-0.051544243977646315,0.16252626122534694,0.01804905860747678,-0.0794190861964088,0.1999042564770286,0.047763518494605924,0.003459182235873331,-0.057652620778596154,0.01828939229302503,0.06844501848700318,-0.04089564002369595,0.1551654762808287,0.031274227367460786,-0.09693736545629072,-0.21132544204253964,-0.05523933695292869,-0.07517015399069833,0.4211534678679848,-0.06961595420618487,0.21667855564977498,-0.12465475406004528,-0.0009071960304848262,-0.12296002959686449,0.09548988365881902,-0.05870148087608811,0.009341778848069183,0.011586392212887929,-0.13425166691695314,-0.041020158926004864,-0.05231212591149254,0.16637705356687676,-0.09722188782677639,0.21386693136150958,0.03168252062772115,-0.019283854809091477,0.0075162758596167036,0.025379824660269747
Endothelial cell capillary,0.38293995653346913,-0.026223954970175236,-0.017732480031642538,-0.03263610025254605,-0.032391789378456715,0.7268516366972291,1.0,0.022023273394470463,0.534271423037969,-0.02350035833686705,0.07114420755639643,-0.03517680244158419,0.01762706953914005,-0.04369998238819966,0.008950017635517058,-0.023395595210504733,-0.08089892522358563,0.09138813251022222,0.009926920353173599,-0.021336701065524148,-0.055915355085852894,0.008877711973330244,0.033037293204108226,0.0357335740491312,0.0786910643035355,0.010719019251760522,-0.07619624223249923,-0.14767700127214994,0.006485999027184875,-0.09363750833727828,0.4678243318778586,0.001790842942811789,0.15996055669180062,-0.07299083677339269,-0.021067447392635826,-0.07367419010802832,-0.038642775983957565,0.015716823932317325,-0.006622748809882438,-0.02147610999151483,-0.09488037849303957,-0.06793847529033581,-0.03885483354788745,0.027118275009834332,-0.09083013890053301,0.14257404704003435,0.00027273553265312644,-0.064906466673817,-0.0267187569792452,0.10600528914900048
Endothelial cell lymphatic,-0.04469149587694045,-0.02966708746723225,0.5001683258196628,0.04682659633835019,-0.07174313128780326,0.10645952559177131,0.022023273394470463,1.0,0.1622676599960456,0.027649886931266254,0.057443884616860744,0.08116355562788509,-0.038955467588533015,-0.07277905537825693,-0.011709884365522737,0.057421484663168904,0.026757659382898143,0.6976977367721084,0.45229345029822976,0.11346434999380368,-0.07449893758512656,-0.00272397651647336,-0.06842624794577185,-0.0836102411151272,0.04967060504755468,-0.08528025445165781,-0.11868012422550181,-0.11346978749601258,0.0706210544763469,-0.15825319915488734,0.02042535147228351,0.06716014807521548,0.3963602785762239,-0.20053341144404885,-0.03729682499948085,0.024046293086988104,-0.06470237822199451,0.04503725627744094,0.14521705419780995,-0.03802030217970871,-0.08107457863323542,-0.005438534572746031,-0.02792373866195999,0.13170713861301703,-0.046366297889347305,0.04956289101591344,-0.0006910218163115209,-0.022509899220671772,0.008053428950823225,-0.029870902309406262
Endothelial cell venous,0.20236814688527333,-0.08485432043674819,-0.035996660740451464,0.09864243873695813,0.04984700016065942,0.5558235299791635,0.534271423037969,0.1622676599960456,1.0,-0.016640666902908812,0.28018779472833205,0.027287338113857012,-0.04301692886616751,-0.09334744469793116,0.33688269764772544,0.10343332004095698,-0.06498557232445801,0.09238572813491934,-0.11625327799285604,-0.014542401259372931,-0.13018813513408012,0.2976663753581078,0.09822938762267866,-0.08836445229725001,0.4707156592221522,-0.06686875246624295,-0.13937685929759971,-0.06598424945829603,-0.10214389676391418,-0.03849873073600618,0.18490292978633402,-0.1070163472906811,0.0009841442046340599,-0.20325319743551584,-0.042800126743880076,0.2412770825932273,-0.020622799710929004,-0.11576787187640789,0.09573578899145198,-0.045597224062926045,-0.09992400323152069,0.034152508276106226,-0.04447368774806055,0.008656376274276144,-0.03186363706911131,0.0466150806102732,0.07220455595955629,-0.07833753098807193,0.08346263120771003,0.08977031026322063
Fibroblast adventitial,-0.04979362116885357,-0.0291651188153457,-0.009953974609491892,-0.02154713867408476,-0.10214377327048584,-0.015616793789315195,-0.02350035833686705,0.027649886931266254,-0.016640666902908812,1.0,0.021982993942351883,0.8535712500527839,0.09339697982934449,-0.034265763757947036,-0.008663668213578765,-0.0013398445921375473,-0.038724320491940856,0.01788592962205374,0.17783138594631764,-0.02952300215498395,-0.04104297758971704,0.5771363328415683,-0.053886834248594556,-0.038197669183869146,0.01815016860841709,-0.05229610163990228,-0.10607127867757672,-0.1022230135548383,-0.04326003827950267,-0.14960621206370306,-0.0508588723844783,0.0016921033303006492,0.0993832386390366,-0.05557063375982414,-0.01058011508556621,-0.05094996014982019,-0.02803609983564859,-0.022903300640678966,-0.016605832197349586,-0.013832254075624224,-0.06175579736797472,0.1147598066314933,-0.02517676720925811,-0.03276995605032555,-0.06562400152645625,-0.07080634309182475,0.09274776811396283,-0.09198063023520005,-0.03481750096466067,-0.028803923990950567
