cell_type_adjusted,AT2,B cell,B cell dividing,Ciliated,DC mature,Endothelial cell arterial,Endothelial cell capillary,Endothelial cell lymphatic,Endothelial cell venous,Fibroblast adventitial,Fibroblast alveolar,Fibroblast peribronchial,Macrophage,Macrophage alveolar,Mast cell,Mesothelial,Monocyte classical,Monocyte non-classical,NK cell,NK cell dividing,Neutrophils,Pericyte,Plasma cell,Plasma cell dividing,Smooth muscle cell,T cell CD4,T cell CD4 dividing,T cell CD8 activated,T cell CD8 dividing,T cell CD8 effector memory,T cell CD8 naive,T cell CD8 terminally exhausted,T cell NK-like,T cell regulatory,Tumor AT2/1_LUAD,Tumor Club/AT2_MSLN,Tumor LUAD2,Tumor LUAD_EMT,Tumor LUAD_LUSC_mitotic,Tumor LUAD_MSLN_LUSC,Tumor LUAD_ROS1+,Tumor LUAD_mitotic,Tumor LUSC,Tumor LUSC_LUAD_NE,Tumor LUSC_mitotic_NE,Tumor NSCLC_mixed,cDC1,cDC2,myeloid dividing,pDC,stromal dividing
AT2,1.0,-0.06268449338336485,-0.02893493027619611,-0.023399332260275404,-0.04055875167884185,-0.023628213162602617,-0.01702781743013374,-0.029915579332630348,-0.04981574460576041,0.3339662932177543,-0.02729225992590794,-0.04218599696621345,-0.03511063384579675,0.030338476532371584,-0.07548323444292476,-0.014904580208729971,0.045509665191322615,-0.03775783890379799,-0.06439316686941553,-0.04099059115470477,0.3992790099704243,-0.033475714390223975,-0.08294544325140281,-0.03426700560903138,-0.02489851309259628,-0.09718502003557798,-0.07370249772417758,-0.04019341849237775,-0.04549204633827176,-0.0779504051323917,-0.046832006735653554,-0.052723487300428334,-0.03925791332207896,-0.07914346031147251,-0.038910080397759034,-0.0033804272064015,-0.009135973210209371,-0.020820047369081985,-0.014325840483224874,-0.04298729508617114,-0.04508076448512164,-0.033157247037548444,-0.020258229915703498,-0.03603620891396956,-0.03460421206553894,-0.023677018964895703,-0.04231248315659302,-0.06997700767563196,-0.05617741910101772,-0.047084783443564905,-0.028443482007622905
B cell,-0.06268449338336485,1.0,0.39105636847188036,-0.07463605955656148,0.04129151804606641,0.5275704659099842,-0.024186572283190585,-0.000987857931763245,-0.054243497044516954,-0.09943073044020051,-0.060247118539313534,-0.1717097963067272,-0.2944524815442864,-0.06717869453568495,-0.06030350412823231,-0.030427915345486636,-0.1453041280208478,-0.017341729186801685,0.14822091531622755,0.04942167181008408,-0.012988567915620287,-0.11195048169378909,0.034860842886296387,-0.01064207460512796,-0.001745014486685677,0.5550930001900822,-0.11968575238569043,0.26661568990912965,-0.045530596882833,0.2624024416927294,0.11224979593882004,0.052756841506333585,0.053570975401153326,0.2740091637390887,-0.03377960327092633,-0.1274172687958025,0.0013988959948913432,-0.12282906068128958,-0.0681879237826464,-0.16414595139144092,-0.171676252168475,-0.1593024337102275,0.0885095193929511,-0.20612900259024977,-0.20904342593650138,0.005795209638473261,0.14292733603225985,-0.004653075235246737,-0.19734047053929116,-0.027520972795797793,-0.1844977571039904
B cell dividing,-0.02893493027619611,0.39105636847188036,1.0,-0.060668864782142076,0.46781459312697943,-0.03928884036417699,-0.03236683364795824,0.005411944109637966,-0.05712879215813521,-0.024185835597586105,-0.025806613532752414,-0.06996390928071786,-0.05151302143914801,-0.0736459190824737,-0.03316392236740569,-0.013108295691876323,-0.12321010709722649,-0.052799317467816374,0.04994776455259285,0.07142146289670254,-0.09102439815440277,-0.038749608068416735,0.12014339481951765,0.03495925946259365,0.028563533608228393,0.21638064428122192,0.0027867650981308386,-0.023959137413745182,0.07719545966946481,0.12515138334060055,0.1122894216184513,0.19455955707867653,-0.009447448351073424,0.2039117412628025,-0.07011390898522134,-0.07361521964840949,-0.028887755953183002,-0.03933961623263299,-0.02136745111448898,-0.051185352457903115,-0.08969821175186765,-0.03417138510725827,-0.0002707166131697336,-0.1041801373578182,-0.10373533998356223,-0.07457470108637339,0.022031627839174207,0.20399417653497098,0.00900249934735322,-0.0717823396589197,-0.08370979951860379
Ciliated,-0.023399332260275404,-0.07463605955656148,-0.060668864782142076,1.0,0.003987516719179851,-0.052326001500617975,-0.03073356384588836,-0.020092802278194367,0.008714241302792983,-0.011306544579706465,-0.04450243154438227,-0.06668232364360573,-0.12744884944449042,-0.0016270433568833316,-0.03263412473553992,-0.03079793355100352,0.08569052929419918,-0.045562496295112456,-0.03354916705359105,-0.01700170152801327,0.10975605008380186,-0.03781662104970292,-0.13024938066372274,-0.06700200566386445,-0.047964424046874905,-0.07268982184612456,-0.10388427835968596,-0.07066943108015365,-0.059558870814529354,-0.11298580124260525,-0.0888586567405459,-0.11422243355015611,0.006000214811729033,-0.160785337081537,0.2130773297750071,-0.047792762347765964,-0.019351390132483933,-0.0432339734497021,-0.03593548873232122,-0.055476249476168374,0.022469096522942815,-0.07340178788447635,-0.04779017699048131,-0.02293841499212116,-0.019508346187184566,0.1074077859492924,-0.08098242530864812,-0.0593490413601141,-0.053525336340449654,0.03074424238122751,-0.03517608830924131
DC mature,-0.04055875167884185,0.04129151804606641,0.46781459312697943,0.003987516719179851,1.0,-0.06697673160789075,0.07556048426985724,0.22511103229544704,0.16402863594812506,-0.0686576792452151,-0.014663755292913923,-0.05138858330346533,0.11142146230897175,0.032640542864370244,0.19283775412746318,-0.04335409198776578,0.21562946471563044,0.03429400568439973,-0.10002650200293112,0.1977858137250912,0.041061148969376904,0.023643528612850864,0.25394013123758097,0.057028302397397077,0.04137955766473252,-0.057772761913526,0.24510632936188165,-0.0370501835384317,0.06068247247768446,0.02026501060109365,-0.09355946251041287,-0.07742084910687412,-0.055710039943552996,-0.027513185524280316,0.08405396346380625,-0.05009212233435102,-0.040665000552035445,-0.09067172973288659,-0.02807074191020461,-0.08118975630135024,-0.06417947113757129,0.02150519927771503,-0.004490117074581252,-0.11435731378302855,-0.11272352320469915,0.04000291128567935,0.08160212627500879,0.417351138646097,0.08417553096462944,0.2848518014955771,-0.07710299487895005
Endothelial cell arterial,-0.023628213162602617,0.5275704659099842,-0.03928884036417699,-0.052326001500617975,-0.06697673160789075,1.0,0.08957220732962512,0.14964268022908128,0.24416273031032593,0.11996226743054664,0.16447175197124664,-0.02131036658742348,-0.1168509988092912,-0.041177951407892655,0.059878746720136086,-0.01635941625131524,-0.04646484639571306,0.020407534184866797,-0.020186920871772165,-0.013444700612674646,-0.026340261561248496,0.02458042956526003,-0.02380731976490733,-0.047728610169562445,0.24404146032235446,0.24395076828198617,-0.1448385486715047,0.04357719314922507,-0.04813931706513584,-0.049626753077259236,-0.003099719251357334,0.04295105251223422,-0.04848753792004272,-0.04748092340474911,0.006624463911074251,-0.043235184988185196,-0.023745339470451925,-0.052745994867351445,0.03137863280420588,-0.06787190321347467,-0.1046583573610918,-0.06949500849883249,-0.05265323522197815,-0.09269158388302196,-0.08324863848945749,0.08705571729814883,0.10112122311030909,0.06894504219591474,-0.11522648012178884,-0.004759920002915217,-0.06829693729111981
Endothelial cell capillary,-0.01702781743013374,-0.024186572283190585,-0.03236683364795824,-0.03073356384588836,0.07556048426985724,0.08957220732962512,1.0,0.14769553657949339,0.20987810695315967,0.45020247562224935,0.6313446529812676,0.01921555387547052,-0.09037235698953737,-0.05668917539872006,0.15811750520143825,-0.008212566462028545,0.01919452720322835,-0.021437722536740242,-0.03117945444384765,0.02345736824369709,-0.009864075242905902,0.1814966230006139,0.018741529276211696,-0.02244907730247295,0.34414082525786727,-0.013594337073030814,-0.06424946932605075,-0.05591474928873485,-0.017469182070848754,-0.03502766758234342,0.004002459129492341,-0.06869885937809812,-0.021265820798763643,-0.10425824368260005,0.3583067131583813,0.08250550179790153,-0.017071629811487632,-0.03857518314447958,-0.026658197341929684,-0.05310836397231618,-0.03692549371635241,0.01567709507388874,-0.037944878450850046,-0.056102992746294156,-0.054289641893174194,-0.028766800396992556,-0.023006913913564506,-0.003620231704956749,-0.06359975741993656,0.00880171456735227,-0.008106072497447683
Endothelial cell lymphatic,-0.029915579332630348,-0.000987857931763245,0.005411944109637966,-0.020092802278194367,0.22511103229544704,0.14964268022908128,0.14769553657949339,1.0,0.5602555922421686,0.41632494111244495,0.2354718998176181,0.031325806038845994,-0.1228305788897927,0.0026539349365365447,0.21375730222764167,0.2739732157282677,-0.08142981046655193,0.031448307358797306,0.038605828024153896,0.12808284982355259,-0.10385791625690051,0.10942481750974686,0.11006345717995365,-0.057255250201758125,0.4891299914983658,0.11907089485739489,0.10787914215840198,0.06641322039670407,-0.014015228701561423,0.289662635043094,-0.022088781866843033,0.061450628302021894,-0.03577269453172724,0.04941536769479708,0.00643777849477636,-0.012963432670347075,-0.03006387244858844,-0.06748907162040559,-0.04620159969687872,-0.08501113901204824,-0.05344493961508726,0.04960095832634992,0.022656246367438796,-0.10761008217094659,-0.10553855539143718,-0.05997055169729388,0.19202677405226168,0.07178856854759003,-0.10208699209807875,0.06585368084365713,-0.008477773039152989
Endothelial cell venous,-0.04981574460576041,-0.054243497044516954,-0.05712879215813521,0.008714241302792983,0.16402863594812506,0.24416273031032593,0.20987810695315967,0.5602555922421686,1.0,0.14521429694852328,0.1947997094141813,0.2369648337826225,-0.056173495574493665,-0.07171019247889873,0.09017039716478051,-0.03189995331999644,-0.06550985303000656,-0.06494019060292473,-0.18328366660184975,0.02608747845754351,-0.1715041827226717,0.39287442649062393,0.04927162693821202,-0.06529153035549942,0.4272944170798879,-0.10503022228042425,-0.0037196920349310165,-0.0805282908878563,-0.03332931714533875,-0.06018767437016832,-0.10647261159387446,-0.0749434835529546,-0.11969939166076499,-0.16870236658521576,0.05714607265300425,0.007563402021986035,-0.04299725510503908,-0.07995397908214184,-0.01065773737598335,0.05371671335099675,-0.020952597121471076,0.2902653801245578,-0.06279577027519227,-0.05139718051226077,0.13230119378404315,0.052160449547617976,0.03447908829488346,0.08006956599498487,-0.039822487358894966,0.06498029970948689,0.3680506212875613
Fibroblast adventitial,0.3339662932177543,-0.09943073044020051,-0.024185835597586105,-0.011306544579706465,-0.0686576792452151,0.11996226743054664,0.45020247562224935,0.41632494111244495,0.14521429694852328,1.0,0.47479545608540213,0.0195437771561374,-0.04078648392928048,-0.052175261335375575,0.2473927629477129,0.19684933828464493,-0.011168538070721708,-0.06014001371119855,-0.037306614106943345,0.002981413305174851,0.09205793143949874,0.1369893409127564,0.20688257313656236,-0.06545356446915788,0.46237021048285026,0.008332972513533252,-0.11929764282415468,-0.02224998267682766,-0.06414141065915374,0.001844827689043847,-0.0005389583023092451,-0.03174305222384805,-0.05890228809609719,-0.050675963623807205,0.1717736410191993,0.009307646534148457,-0.02874070153693298,-0.06096969204022214,-0.044384208556584565,-0.09109296951020583,-0.08224004629602007,-0.07476377974433826,-0.038991807594813674,-0.05256435657234455,-0.08014789161391057,-0.05411208410062706,-0.0027771799561137744,-0.019593719207560686,-0.05119657472520892,-0.0859070530548765,0.02671101578863724
