cell_type_adjusted,AT1,AT2_ROS1+,B cell,B cell dividing,Ciliated,Club_AT2_even_1,Club_AT2_even_2,Club_AT2_high,Club_Ciliated,DC mature,Endothelial cell arterial,Endothelial cell capillary,Endothelial cell lymphatic,Endothelial cell venous,Fibroblast adventitial,Fibroblast alveolar,Fibroblast peribronchial,Macrophage,Macrophage alveolar,Mast cell,Mesothelial,Monocyte classical,Monocyte non-classical,NK cell,NK cell dividing,Neutrophils,Pericyte,Plasma cell,Plasma cell dividing,Smooth muscle cell,T cell CD4,T cell CD4 dividing,T cell CD8 activated,T cell CD8 dividing,T cell CD8 effector memory,T cell CD8 naive,T cell CD8 terminally exhausted,T cell NK-like,T cell regulatory,Tumor LAUD_LUSC_AT2,Tumor LUAD_AT2_high,Tumor LUAD_AT2_mitotic,Tumor LUAD_LUSC,Tumor LUAD_LUSC_mitotic,Tumor LUAD_LUSC_mitotic_even,Tumor LUAD_mainly,Tumor LUAD_mainly_AT2_low,Tumor LUAD_mainly_AT2_mitotic,Tumor LUAD_mitotic,cDC1,cDC2,myeloid dividing,pDC,stromal dividing
AT1,0.0,7.527392038223579e-06,0.056751058485641805,0.27473317872291686,0.0028899426815171547,0.3184293815585071,0.7563737482555906,0.537835943097684,0.007350718424605078,0.11143070244931734,0.8133159469167428,0.6922327018721278,0.1676474521328016,0.3749347167375627,0.5651353806158439,0.00990557588176482,0.906059183434333,0.9612667038276074,0.2156067319571724,0.22659889791655846,0.18016346822897963,0.29132338321057893,0.11389198190159928,0.24343133593289465,0.8141810612572921,0.2342502464874611,0.4932130394118602,0.08667179464183446,0.2493192948183594,0.9742017719919827,0.27042178998091626,0.16638504767054751,0.38883294018167713,0.26949371342049583,0.20822207782023108,0.1734313990034844,0.2636733528385645,0.22676982572209958,0.033951309628269005,0.9982747793938788,0.48233845665819186,0.3063695474754005,0.11442290959070987,0.48596031177219073,0.4693052216256434,0.31570991915809815,0.7338397531272693,0.7908546074064057,0.424027378252307,0.5547500283223955,0.691509308490044,0.3072251394301859,0.5425473198587542,0.9310014976053047
AT2_ROS1+,7.527392038223579e-06,0.0,0.007223727031729577,0.18072415456828467,0.5589633660064892,0.6614791647618662,0.05136021668753834,0.5032253876461793,0.7874274612853558,0.0064494171247996045,0.11045252501420769,0.4047239518519631,0.5651708603623264,0.5110063696313589,0.5399747641086119,0.914880600548783,0.3592540706742902,0.012577585953159592,0.0625029300979128,0.0004471788540667958,0.3891143748802652,0.008273312913129474,0.19739668823571205,0.391228810903139,0.03411053801053937,0.4645538424148118,0.7351721178412362,0.0541929696097254,0.056253463706960216,0.9939783839779032,0.044367277991103994,0.053663754111944226,0.0003114875746150159,0.02186456271135562,0.003310743865742974,0.0016717560310370104,0.02329653302813181,0.15736649265806285,0.026993095022287784,0.9535889082178148,0.5782985874446726,0.2569608090918739,0.09317938988503993,0.46243256978779507,0.07845096357339726,0.2402334160593831,0.45659227979120254,0.4769280637074672,0.4315996859412758,0.004388865620474336,0.3281210891060654,0.5148353148795203,0.26821311181021207,0.278166240546175
B cell,0.056751058485641805,0.007223727031729577,0.0,1.3968503246315545e-08,0.9214233239152607,0.17224907720942417,0.3139146273928011,0.20874137927840408,0.5868953393203039,0.02110991652117846,0.0067215148252467195,2.763023816994196e-05,0.5671593928661481,0.03787839331373761,0.5730191844374435,0.08035399114371033,0.5337064436631921,0.05286320003316668,0.019789653802965695,0.16703911832131377,0.5736078601529704,0.09330520935380295,0.2928673402919702,0.13981642334488467,0.2475714179641331,0.28873241914545816,0.4235024543076739,0.16943005193599625,0.9290939158235362,0.6494629160418605,0.023034624905585204,0.5021970971413501,0.60726743657045,0.7265958967970587,0.7739076850246173,5.135329760680055e-08,0.647357536105572,0.6339736459064511,0.32418779783422513,0.2521995569673908,0.7645943973210967,0.11835316805074692,0.16420818133371415,0.6692346871986866,0.13612635850738347,0.54267992850536,0.19793280453330142,0.11074517331312042,0.7091185411464007,0.6236735262038793,0.07565569531616648,0.08088542182071706,0.6127546881712232,0.7700712223689348
B cell dividing,0.27473317872291686,0.18072415456828467,1.3968503246315545e-08,0.0,0.46908618720160006,0.37027694892728985,0.648977551520905,0.6234553629077335,0.6499720546763214,0.6993401676267811,0.5123296161531591,0.7951118374887853,0.6715948868791619,0.2543249982912824,0.7015594611184448,0.4097373292492523,0.9577511444491265,0.9864466046328122,0.5027454071009921,0.26647619862887245,0.8151441155735025,0.9817764695465363,0.7127042793872688,0.22103259415838275,0.34679704954527235,0.8146305658622657,0.5160443171773317,0.42906266648413505,0.006900681766311697,0.5252353040250376,0.9729159509138298,0.006785654331971584,0.19476378602724087,0.40585084802673665,0.1411941116103893,0.0534318931987055,0.9665609076235233,0.15225800770463638,0.4772797249517001,0.5712949520713054,0.6352306572084268,0.5293106605337251,0.8261462038233879,0.5600492353220522,0.5569259591379193,0.6754303919507021,0.5623681898831869,0.40907878703238737,0.7352222738047217,0.8290213839964693,0.9202755337192841,0.680179213977091,0.9886843280172423,0.24893964258602458
Ciliated,0.0028899426815171547,0.5589633660064892,0.9214233239152607,0.46908618720160006,0.0,0.36788251009717404,0.7165475304491314,0.8000123463108354,1.6023736001418578e-26,0.18182255473373024,0.5029797664724361,0.738819418713771,1.1560218593214965e-06,0.520323071082291,0.7031309774835293,0.4052916461316033,0.2790788208604603,0.6573012285139364,0.003447731614556864,0.08934076101260228,3.3256757664778076e-08,0.8592334401556628,1.6844671897972507e-06,0.00021750668743852048,0.058970434441310546,0.4443094844071055,0.33661759134582736,0.22789024729522372,0.9109294476542443,0.6545206994410507,0.04939374953930893,0.2514327960516973,0.1269085387062141,0.6019663287864095,0.01479145591836025,0.6662742547069077,0.33619196343526103,0.05724859073070857,0.0017123262600110204,0.894309243742332,0.7355742493415162,0.8764191027565131,0.44722700888001865,0.9089424699101447,0.28198566282657694,0.1081950966113027,0.7907230565836096,0.8741996253083689,0.9445419263779563,0.17835608169639172,0.21670249439230696,2.0855071659216453e-05,0.998642065058939,0.4364865144984558
Club_AT2_even_1,0.3184293815585071,0.6614791647618662,0.17224907720942417,0.37027694892728985,0.36788251009717404,0.0,0.8690031752846287,0.7640404115480185,0.0357875128806521,0.861228945356378,0.00041775485811510995,0.5764071970134975,0.06000970492142284,0.6163431234393085,0.6318966074696606,0.757967343437361,0.5749349923858831,0.08433777558344677,0.8820451983470944,0.14082620858908299,0.05337845080318368,0.29365082067935383,0.008163684059638575,0.11160633485976976,0.4267266688667985,0.6005787443599029,0.4550271662907345,0.564557152117483,0.5381728669786482,0.8494992725797429,0.8924003764576297,0.21735936877034803,0.2780594652316787,0.3723661818261682,0.16646907885705192,0.7198835290249561,0.37906444243113774,0.19103965555826433,0.1079243019835649,0.7755115088625752,0.7838379303640576,0.7621537654474503,0.43103261527095704,0.5880805471349733,0.3924065244029599,0.5322931016571397,0.4700068058434728,0.7533903130679949,0.8836746581624672,0.37614783918372086,0.4484084583932531,0.43193192548258197,0.5234702143450144,0.8480941946559313
Club_AT2_even_2,0.7563737482555906,0.05136021668753834,0.3139146273928011,0.648977551520905,0.7165475304491314,0.8690031752846287,0.0,0.5609865321854869,0.7238984509204028,0.7657122267349336,0.45972193354726065,0.8122219138126187,0.8532799427569803,0.8367919156990473,0.7782485330119823,0.9139195819595165,0.7921138595716106,0.31050875512565956,0.2098362355869303,0.000439513903357568,0.7133951743343111,0.5092794758814163,0.49994454822727397,0.9252737991563428,0.41392841549226594,0.640108479751443,0.8158557343148716,0.48750192008834947,0.4024457340377718,0.9436891411572247,0.14459687867566773,0.1967395564633488,0.6743518101482192,0.34486249150062437,0.32615193749823523,0.27109058991731255,0.37405929256171344,0.19898665776009125,0.06338135750759222,0.9517219258623234,0.7885544487632228,0.6510982014439192,0.5066009609815444,0.7773110753770518,0.4818583654135662,0.6614534435506113,0.8506392675109156,0.8136798287163419,0.7931954222031593,0.18833387613952754,0.17477269670389214,0.5993319388191758,0.39847072472708683,0.6836995591261659
Club_AT2_high,0.537835943097684,0.5032253876461793,0.20874137927840408,0.6234553629077335,0.8000123463108354,0.7640404115480185,0.5609865321854869,0.0,0.9132669834706535,0.14282056914422597,0.5855038856327123,0.7427596728482655,0.8074874005069819,0.3786637598913747,0.9400254942079054,0.9318607886094343,0.34236073158882624,0.2655233829426647,0.5661409823973504,0.5605446044086536,0.9713788831214766,0.12014016186484365,0.4661568912204804,0.05709678465892959,0.17976031092034422,0.5186352383186414,0.4949935371525256,0.27545810475695837,0.35059156364950084,0.8623674078870459,0.11686630877745205,0.12478706984709734,0.13741379771585868,0.2813225995671774,0.011783202724288162,0.832878027104405,0.36985917519389566,0.1238810414368982,0.01317079419371889,0.6080285636822673,0.9821957858023993,0.8561091937646442,0.4839074412585206,0.7518709503585733,0.4606197293599804,0.6213323689414315,0.7496556253415335,0.004419213319979191,0.757997487222286,0.44983755666804043,0.3229170510783927,0.5938956663866485,0.16172188371031898,0.5061560439783361
Club_Ciliated,0.007350718424605078,0.7874274612853558,0.5868953393203039,0.6499720546763214,1.6023736001418578e-26,0.0357875128806521,0.7238984509204028,0.9132669834706535,0.0,0.8296558475493919,0.03946417562282478,0.9390831347598891,2.589888535072769e-25,0.5293556928089579,0.8541302558099552,0.6821264657194801,0.4193527562935277,0.2329545361648143,0.30805643584370507,0.3026001885946405,1.609610321844301e-30,0.8725428207623291,4.6989142024868777e-20,6.251451772496615e-09,0.5642341108478645,0.48076773531422956,0.5115438815002187,0.30240727495821584,0.5918544389438645,0.6202977296024164,0.10280877921270185,0.21582240654219267,0.1599276801837679,0.5938958638286045,0.05871284792251975,0.9873578769852454,0.420219878656884,1.4538674341352307e-06,0.004097427989531798,0.7356908161240548,0.847734913898329,0.7884039785876131,0.43420768047129626,0.72975335969541,0.2793373893133718,0.14795383337358228,0.8148972251612097,0.7645457063792124,0.8101328355498727,0.7293151386437462,0.6071917465523686,0.03878070716253957,0.8701152335992693,0.3727347582796986
DC mature,0.11143070244931734,0.0064494171247996045,0.02110991652117846,0.6993401676267811,0.18182255473373024,0.861228945356378,0.7657122267349336,0.14282056914422597,0.8296558475493919,0.0,0.5168727585476661,0.6103103623294233,0.5178648118283755,0.6952800076888779,0.2023925939236566,0.8971005502540084,0.18445139484720452,0.8098330929330098,0.015570979863029922,0.011456116884459328,0.26910816605191584,0.040567276759010444,0.5564431671487372,0.3312489614895423,0.7120538566502191,0.08301608623910191,0.10036762168643415,0.14225352910514313,0.030789070134272973,0.13227668408564608,0.4752581322011157,0.15004060149870904,0.21711744344040082,0.3709136311546735,0.05982472518164829,0.01936841760113321,0.30895205965597944,0.5258440710518707,0.2822602620830724,0.3007729460664169,0.7841326239769039,0.42682642705068485,0.37646213681825197,0.6912868508896428,0.04235564746679332,0.34289748157851196,0.40570088728933235,0.2734208789319311,0.44111438956630084,0.3962677868714156,2.9858488779435303e-05,0.03989907410772167,0.6770978148168229,0.16078276544124775
