cell_type_adjusted,AT2,B cell,B cell dividing,Ciliated,DC mature,Endothelial cell arterial,Endothelial cell capillary,Endothelial cell lymphatic,Endothelial cell venous,Fibroblast adventitial,Fibroblast alveolar,Fibroblast peribronchial,Macrophage,Macrophage alveolar,Mast cell,Mesothelial,Monocyte classical,Monocyte non-classical,NK cell,NK cell dividing,Neutrophils,Pericyte,Plasma cell,Plasma cell dividing,Smooth muscle cell,T cell CD4,T cell CD4 dividing,T cell CD8 activated,T cell CD8 dividing,T cell CD8 effector memory,T cell CD8 naive,T cell CD8 terminally exhausted,T cell NK-like,T cell regulatory,Tumor AT2/1_LUAD,Tumor Club/AT2_MSLN,Tumor LUAD2,Tumor LUAD_EMT,Tumor LUAD_LUSC_mitotic,Tumor LUAD_MSLN_LUSC,Tumor LUAD_ROS1+,Tumor LUAD_mitotic,Tumor LUSC,Tumor LUSC_LUAD_NE,Tumor LUSC_mitotic_NE,Tumor NSCLC_mixed,cDC1,cDC2,myeloid dividing,pDC,stromal dividing
AT2,0.0,0.5133764271074278,0.7630632590994071,0.8074090047249772,0.6725508211589512,0.8055622181585462,0.8592089478209634,0.7552821280131735,0.6036054067665664,0.0003407875188218904,0.77614999829513,0.6602112047042953,0.7144853045721307,0.7519340666139767,0.431055346065826,0.8766159310425745,0.6352914985376743,0.6939940012489899,0.5019392132970855,0.6692674677231822,1.4182768232377482e-05,0.7272440625544624,0.3867727894946205,0.7210593332257963,0.7953321624513534,0.31023864603974377,0.44203561559571386,0.6753333346873913,0.6354225619420736,0.41610330478615054,0.62548723942301,0.5826137524162126,0.6824783904055527,0.40898259731559705,0.6851422304107757,0.9719107380620081,0.9241831066762469,0.8282915536605251,0.8813712135229729,0.6541679204629351,0.6384852051266453,0.7297381826400127,0.8328566304256199,0.7072966771002204,0.7184291588365634,0.8051685534756288,0.6592557958403316,0.4655105524868222,0.5581250861951745,0.6236204175663773,0.7669716941659542
B cell,0.5133764271074278,0.0,2.1990179507009166e-05,0.4362595719640989,0.6669831424662072,2.6900888988729877e-09,0.8010614530267411,0.99178998086181,0.5717759160128846,0.2991374887918448,0.5299198135602922,0.07154461804854807,0.0017069485141598608,0.4835829963900277,0.5295341068951221,0.7512265698718602,0.1281012747861452,0.8566409064600631,0.12053892525522188,0.6064759136338808,0.892374936386,0.2420809442147639,0.7164296662109844,0.911731230397763,0.9854978400937159,2.5755690719953917e-10,0.21086284009996542,0.00467576316603803,0.6351358061827231,0.005398932821897414,0.24081633475917946,0.5823749219420449,0.5765594033404532,0.0036131452223869005,0.7248667695704619,0.18264116846857575,0.9883740752656304,0.19903542475426073,0.47702211213918966,0.08515914034008511,0.07160085867010456,0.09491164548315827,0.3556090607510722,0.029970075474480617,0.027674836108490124,0.951864405722713,0.1345282950859836,0.96134286628233,0.037890518445477195,0.77432404763227,0.052565163869388816
B cell dividing,0.7630632590994071,2.1990179507009166e-05,0.0,0.5270382665721479,2.25508877212451e-07,0.6822417272168505,0.7359405573863071,0.9550444057848844,0.5514675533872447,0.8010673869749431,0.7880400957084678,0.46559427489603455,0.5913115445522477,0.4423870550909522,0.7296858748457943,0.8913888935037586,0.19763481601454913,0.5820708410453582,0.6026450950016446,0.45632866416331064,0.34205136426026794,0.6863724950868366,0.20911035609001488,0.7156633787186673,0.7660163927591063,0.022548499945073054,0.976842191696787,0.8028939602458783,0.42064620828308485,0.1906096251012126,0.2406492599526393,0.04073618847037746,0.9216063443566476,0.031822564996091686,0.4646359996995383,0.44257781126089946,0.7634381748201873,0.6818532415723835,0.8238490895330903,0.5936760892146581,0.3491596839731557,0.7218057570351866,0.9977500566849171,0.27653109232462236,0.2785981370970253,0.43663788101288664,0.8184664295075985,0.03175199797566433,0.9252875470391628,0.45405047939783133,0.38239696681708446
Ciliated,0.8074090047249772,0.4362595719640989,0.5270382665721479,0.0,0.9668688416558708,0.5854633850532961,0.7488103277010043,0.8342018884366895,0.927673243538035,0.9062442514226162,0.6428021075944406,0.4868274747943713,0.18253185652781814,0.9864781579165974,0.7338412009219566,0.7483017750633046,0.3711976648867458,0.6348985652439981,0.7266692112296748,0.8594226627123737,0.2514932133659164,0.693541413661643,0.1730274279594248,0.484736577191814,0.6171426662741611,0.4483496629502199,0.27790484517151365,0.4610964810950375,0.5346391031846714,0.23772623218551736,0.35370713814254895,0.23259665228142729,0.9501637602517061,0.09183634827640308,0.024745812637841518,0.6184045142711881,0.8402368809807886,0.6523119733001331,0.7080777033802685,0.5630562831551738,0.8149256573994317,0.4439052877023194,0.6184235271708711,0.8111312427243914,0.8389584949146631,0.2618408390336076,0.3981480028650628,0.5360820441218236,0.5768846963854222,0.7487259545074217,0.713976111435213
DC mature,0.6725508211589512,0.6669831424662072,2.25508877212451e-07,0.9668688416558708,0.0,0.4849017086458527,0.4305825707755159,0.017529074627866358,0.08538552600314955,0.4739847557856693,0.8785941735548564,0.5922090197611242,0.24432731559107188,0.73379081572994,0.04258603574599522,0.6514089981843881,0.02303290441246347,0.7208486151644492,0.2962368607773199,0.03745067274164559,0.6687315939843692,0.8054386794150928,0.0071586101441007965,0.5521689401123591,0.6663154109115519,0.5469831269624902,0.0095198011469898,0.6994509344024612,0.5269454245973123,0.8328015001412623,0.32871957929057977,0.41928692353256297,0.5614097765124213,0.7743861978670704,0.3804364932043204,0.6015958151684122,0.6717424175123794,0.34393268567626023,0.7699399653049306,0.3969372665770783,0.5033622990808971,0.8227320621453458,0.9626957102183205,0.23204188667898287,0.23882421792764083,0.6767860490244619,0.39453569926010473,5.1880819191042745e-06,0.3797454618511533,0.0024442093263657445,0.4212045847186653
Endothelial cell arterial,0.8055622181585462,2.6900888988729877e-09,0.6822417272168505,0.5854633850532961,0.4849017086458527,0.0,0.34983984240406985,0.116979938315009,0.009808603176313192,0.20980271230304276,0.08453294682714642,0.8243121026610987,0.22195182851575065,0.6678448665478174,0.532443127209466,0.8646818503417263,0.628203035275227,0.8316429018393008,0.8334364568248206,0.8886192522683128,0.7837633767261105,0.7978905907205203,0.8041177938391123,0.618876368322291,0.009846272338709022,0.009874526326922008,0.1293413300110718,0.6497332030294954,0.6158582109746924,0.6049813083844191,0.974242412344753,0.6544407787371949,0.6133042504991982,0.6206996143235657,0.9449866360104822,0.652302863208737,0.8046175661851143,0.5824525836006428,0.7437188674679767,0.47907134274240704,0.2743202566507703,0.4685968264990655,0.5831169349511506,0.33324581382834356,0.3850334500408009,0.3635968440427692,0.290955543285591,0.47213189783901294,0.22848919861337785,0.9604559231166685,0.4763163150460231
Endothelial cell capillary,0.8592089478209634,0.8010614530267411,0.7359405573863071,0.7488103277010043,0.4305825707755159,0.34983984240406985,0.0,0.12187500840936229,0.027045696442258724,7.136676088873486e-07,1.0985172911181949e-13,0.8413435847886348,0.3455348016927901,0.554539122442299,0.09742700558568668,0.9318267484400246,0.8415149238730409,0.8232792004059085,0.7452897937522667,0.8069406253012023,0.9181609587261935,0.05659770512848865,0.8452080319942982,0.8150876076352823,0.0002170180466601945,0.8873877153253925,0.5028959216941091,0.5599699668507416,0.8555986686118763,0.7151309082787554,0.9667447601471326,0.47371899296116093,0.8246734558601257,0.27616918669559987,0.00011279395844903203,0.38930499125490464,0.8588504397579745,0.687710657660485,0.7812184512321094,0.579860615308796,0.7004140512473177,0.8702753390588766,0.6925542822738818,0.5586475290937734,0.5714483820048124,0.7643997132506208,0.8105777961066206,0.9699190112498834,0.5072334027365658,0.9269492239236453,0.9327086808773256
Endothelial cell lymphatic,0.7552821280131735,0.99178998086181,0.9550444057848844,0.8342018884366895,0.017529074627866358,0.116979938315009,0.12187500840936229,0.0,1.619034806636652e-10,5.50162186814202e-06,0.012851625857649289,0.7441354117191771,0.19902983013152165,0.9779457161421347,0.02427912983398058,0.0036177385456095117,0.39553817892160537,0.7431695898398725,0.6874754846181388,0.18034746377980593,0.27802747344290446,0.2529354954674325,0.2501597451782218,0.5505855303762903,5.115428556628801e-08,0.21323381655851306,0.2597408797840916,0.4885912774984269,0.8839251428583095,0.002044916439901691,0.818003628747104,0.5217178692717833,0.7093407176578489,0.6065218829764185,0.9465346555897143,0.8925819637938414,0.7541075771544655,0.48156014338913417,0.6301532697590944,0.37501620287096055,0.5774579325782426,0.6051692075760878,0.8134120424169841,0.2609381675660305,0.2702822580156268,0.5318137107021715,0.04348129683758215,0.45401121255065174,0.286348498422395,0.4922695553125962,0.9296307945155831
Endothelial cell venous,0.6036054067665664,0.5717759160128846,0.5514675533872447,0.927673243538035,0.08538552600314955,0.009808603176313192,0.027045696442258724,1.619034806636652e-10,0.0,0.1283398244160357,0.040483595044011875,0.01227662677843609,0.5581526219127007,0.4545054320334384,0.3466182503841498,0.7396121871224084,0.49453703992665243,0.49830595111618825,0.05416701689079739,0.7857884163182358,0.07188991484085598,1.9977906853733158e-05,0.6075704510202358,0.4959796933673246,2.9087360070626343e-06,0.2726093575464426,0.9690929843879218,0.40080763468330227,0.7283902402756106,0.530326594892223,0.26604134556275727,0.43436693963138656,0.21081045922184583,0.07673065009101161,0.5513469845318232,0.9372040628366748,0.6540929427770781,0.40418611093725537,0.9116018434752935,0.5755212256221717,0.8272153411916563,0.001999291926948539,0.5126275299167169,0.5921469949812772,0.16629917220096654,0.586652130650754,0.7194047289818677,0.40350480601990624,0.6781629676963596,0.49804009541828653,7.061793350531724e-05
Fibroblast adventitial,0.0003407875188218904,0.2991374887918448,0.8010673869749431,0.9062442514226162,0.4739847557856693,0.20980271230304276,7.136676088873486e-07,5.50162186814202e-06,0.1283398244160357,0.0,1.4026810779120814e-07,0.838669972255069,0.6708185594891851,0.5865457297080156,0.008850807220145838,0.03838060396719314,0.907383510363225,0.5306528536131594,0.697471738179725,0.9752251757468259,0.33657542206550406,0.15165708179164453,0.029361660173569816,0.49490877704780684,3.2421518600620413e-07,0.9308297021729166,0.21235724580735563,0.8166986538769014,0.5036159793874837,0.984668428026097,0.9955206999730274,0.740847404951211,0.5391606729734876,0.5973604200077735,0.07143767364762058,0.922762793922671,0.7646072336714768,0.5249877184500595,0.64368604247445,0.3416863233250697,0.390837692315272,0.43547270385741754,0.6845159831369689,0.5837538170271591,0.4030435164238033,0.5727091609697339,0.9769218215591066,0.838263318784468,0.5935950358757179,0.3699857027938116,0.7807958874874571
Fibroblast alveolar,0.77614999829513,0.5299198135602922,0.7880400957084678,0.6428021075944406,0.8785941735548564,0.08453294682714642,1.0985172911181949e-13,0.012851625857649289,0.040483595044011875,1.4026810779120814e-07,0.0,1.3754495099770049e-05,0.3222254699211421,0.3328362865859882,3.4652862476975915e-10,0.8968813638324448,0.36957530255345566,0.664239975524987,0.30268657539770966,0.6139446586576822,0.41911043081616145,0.2763733460934398,0.8820954962283054,0.41867260148416624,1.4330131335873138e-06,0.3570187418802008,0.2293079019252831,0.5747794567683541,0.4039887345632011,0.3927599685221397,0.7696096765135656,0.4981763580156548,0.4948285264679729,0.16954532209382792,1.2581262575825912e-05,0.11718304821435696,0.7750697563102621,0.5209090235352505,0.7093991018144097,0.49211379378668657,0.5588290566547894,0.40801876744997534,0.6272607305337896,0.29409212365378273,0.31774284008466314,0.5824780676615766,0.8683624905798615,0.7617127790713346,0.3740689024215022,0.4544351312422507,0.6513822382353046
Fibroblast peribronchial,0.6602112047042953,0.07154461804854807,0.46559427489603455,0.4868274747943713,0.5922090197611242,0.8243121026610987,0.8413435847886348,0.7441354117191771,0.01227662677843609,0.838669972255069,1.3754495099770049e-05,0.0,0.022021334986682954,0.2470571465997698,0.0020834033229190376,0.6267854470930688,0.1288180611843397,0.22887304925070462,0.10196419359250251,0.35738185304959175,0.17377997336613416,0.0021182096490336144,0.8087437992329413,0.9408052381024997,0.4709021196413791,0.02439161440782416,0.24607135314155879,0.6497475960821183,0.9523315597326841,0.07459564402785133,0.17136871968851908,0.20038085345184328,0.15681088270500138,0.23193739991062307,0.6313876264541353,0.6058197081489047,0.6603148113270209,0.628087274624203,0.841010736269197,0.3115756769023026,0.6494065661832521,0.337105244805869,0.8648324435118916,0.2561985697865855,0.043375791824159037,0.5786592800675595,0.3449310965119671,0.7637403238236109,0.5296857174014304,0.540725673830084,1.2197887254488955e-06
Macrophage,0.7144853045721307,0.0017069485141598608,0.5913115445522477,0.18253185652781814,0.24432731559107188,0.22195182851575065,0.3455348016927901,0.19902983013152165,0.5581526219127007,0.6708185594891851,0.3222254699211421,0.022021334986682954,0.0,0.005100215447007268,0.08085436138766178,0.9578743953593629,0.00011055325245134142,0.09069318581943922,0.058605457603472286,0.127329579146823,0.06658698447869492,0.41419707603819106,0.8184437928223258,0.665770731874424,0.2678169241631653,0.0011537338171668653,0.15758944160512614,0.016711514610459263,0.9442248087056075,0.004478637755301084,0.04250269944094568,0.46611179578477957,0.2198527072097052,0.004514562311199091,0.7716778830028131,0.6194812653062199,0.7481811807985295,0.9477612512491698,0.99595325573458,0.7014979069877135,0.4412000537702976,0.8995555291866862,0.17517645707592824,0.13708653330194778,0.1975438051107011,0.23276881852549577,0.9400090245283409,0.001474448670280558,8.988596814112873e-05,0.9002132261245063,0.22754840555787215
Macrophage alveolar,0.7519340666139767,0.4835829963900277,0.4423870550909522,0.9864781579165974,0.73379081572994,0.6678448665478174,0.554539122442299,0.9779457161421347,0.4545054320334384,0.5865457297080156,0.3328362865859882,0.2470571465997698,0.005100215447007268,0.0,0.5402859478668531,0.39566047582254565,0.01839991190296535,0.12141132289793054,0.23555207469984837,0.6302010221489663,0.2495629615085205,0.27074790336625304,0.11412343292480323,0.5453573202615912,0.349639339987436,0.818913054323747,0.3142554883294257,0.40299581139741886,0.16793738615198622,0.5098265221691111,0.25933052579601074,0.26291012432487143,0.8166506813757426,0.22833062364170256,0.9575076229052756,0.6601900798168666,0.6500818099883191,0.34293591951484015,0.6268899843700751,0.38203585600663936,0.43723634573950004,0.7833616373147773,0.3955781915685953,0.13048850034310386,0.14547941093236214,0.8406533284374939,0.8411757699724242,1.1363304489369935e-06,0.003913002387064639,0.7713248406845401,0.2996603609868207
Mast cell,0.431055346065826,0.5295341068951221,0.7296858748457943,0.7338412009219566,0.04258603574599522,0.532443127209466,0.09742700558568668,0.02427912983398058,0.3466182503841498,0.008850807220145838,3.4652862476975915e-10,0.0020834033229190376,0.08085436138766178,0.5402859478668531,0.0,0.7048133802498886,0.7198016227185758,0.9072609436100517,0.23225375613331364,0.8556867966125998,0.6676351298484687,0.4140085214552142,0.006165713223473706,0.7976302833772326,0.005912119600091242,0.7940997678463575,0.7881342646550913,0.47270097965520924,0.4196497470452337,0.7324544449991878,0.4948354863491797,0.12801963531178887,0.20574564706709506,0.8033777084927635,0.0004036192172412683,0.024396424354557356,0.4292081159723114,0.09591614066502575,0.6111383507371537,0.2530551729446052,0.09456547475185674,0.8802906869992567,0.2059317572044892,0.014084627921748373,0.02170453541912904,0.32087683497358577,0.7695416051924953,0.01746635961433766,0.5335511971346988,0.01224013808698324,0.4679597418852649
Mesothelial,0.8766159310425745,0.7512265698718602,0.8913888935037586,0.7483017750633046,0.6514089981843881,0.8646818503417263,0.9318267484400246,0.0036177385456095117,0.7396121871224084,0.03838060396719314,0.8968813638324448,0.6267854470930688,0.9578743953593629,0.39566047582254565,0.7048133802498886,0.0,0.4013772367718617,0.7224347751172888,0.07576442468470135,0.9162337686522526,0.5690363408467026,0.6419529308656372,0.992875464900994,0.42477960619115857,0.8170160218914213,0.0666309682581607,0.46296019765613877,0.8142529290647736,0.7663639300740158,0.3196666362443349,0.27404075308128517,0.19026132540909654,0.5139427577462813,0.8730468633193493,0.7613252577605527,0.9061078692464442,0.8760091767869673,0.7220933869856445,0.8066993278701443,0.8053510228399453,0.4980413736742299,0.8125536356218015,0.7292978518382884,0.5421082610308952,0.5594443609159686,0.7068188205628314,0.38970482710977605,0.9374631175548209,0.7299327578181873,0.8422388825978969,0.6269571639767836
