interacting_pair,partner_a,partner_b,gene_a,gene_b,directionality,classification,interacting_cells,significant_mean
LTA_TNFRSF1B,simple:P01374,simple:P20333,LTA,TNFRSF1B,Ligand-Receptor,Signaling by Tumor necrosis factor,B cell|Monocyte non-classical,0.687
LTC4_byLTC4S_CYSLTR2,complex:LTC4_byLTC4S,simple:Q9NS75,,CYSLTR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,B cell|Monocyte non-classical,0.632
Histamine_byHDC_HRH2,complex:Histamine_byHDC,simple:P25021,,HRH2,Ligand-Receptor,Signaling by Histamine,B cell|Monocyte non-classical,0.629
LipoxinA4_byALOX12_FPR2,complex:LipoxinA4_byALOX12,simple:P25090,,FPR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,B cell|Monocyte non-classical,0.63
CX3CL1_CX3CR1,simple:P78423,simple:P49238,CX3CL1,CX3CR1,Ligand-Receptor,Signaling by Chemokines,B cell|Monocyte non-classical,0.631
CD44_TYROBP,simple:P16070,simple:O43914,CD44,TYROBP,Ligand-Receptor,,B cell|Monocyte non-classical,0.608
LipoxinA4_byALOX5_FPR2,complex:LipoxinA4_byALOX5,simple:P25090,,FPR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,B cell|Monocyte non-classical,0.618
CCL23_FPR2,simple:P55773,simple:P25090,CCL23,FPR2,Ligand-Receptor,Signaling by Chemokines,B cell|Monocyte non-classical,0.646
SAA1_FPR2,simple:P0DJI8,simple:P25090,SAA1,FPR2,Ligand-Receptor,,B cell|Monocyte non-classical,0.621
CSF1_CSF1R,simple:P09603,simple:P07333,CSF1,CSF1R,Ligand-Receptor,Signaling by Colony-Stimulating factor,B cell|Monocyte non-classical,0.617
TF_TFRC,simple:P02787,simple:P02786,TF,TFRC,Ligand-Receptor,Signaling by Transferrin,B cell|Monocyte non-classical,0.652
HLA-G_LILRB1,simple:P17693,simple:Q8NHL6,HLA-G,LILRB1,Ligand-Receptor,Signaling by HLA,B cell|Monocyte non-classical,0.633
LeukotrieneC4_byLTC4S_CYSLTR2,complex:LeukotrieneC4_byLTC4S,simple:Q9NS75,,CYSLTR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,B cell|Monocyte non-classical,0.607
HLA-G_LILRB2,simple:P17693,simple:Q8N423,HLA-G,LILRB2,Ligand-Receptor,Signaling by HLA,B cell|Monocyte non-classical,0.643
THY1_ADGRE2,simple:P04216,simple:Q9UHX3,THY1,ADGRE2,Adhesion-Adhesion,Adhesion by antigen THY1,B cell|Monocyte non-classical,0.642
TNF_TNFRSF1B,simple:P01375,simple:P20333,TNF,TNFRSF1B,Ligand-Receptor,Signaling by Tumor necrosis factor,B cell|Monocyte non-classical,0.633
LeukotrieneE4_byDPEP1_CYSLTR2,complex:LeukotrieneE4_byDPEP1,simple:Q9NS75,,CYSLTR2,Ligand-Receptor,Signaling by Lipoxin/Leukotriene,B cell|Monocyte non-classical,0.637
CD99_PILRA,simple:P14209,simple:Q9UKJ1,CD99,PILRA,Ligand-Receptor,,B cell|Monocyte non-classical,0.603
fibrinogen_integrin_aXb2_complex,complex:fibrinogen,complex:integrin_aXb2_complex,,,Ligand-Receptor,Adhesion by Fibribogen,B cell|Monocyte non-classical,0.632
CD52_SIGLEC10,simple:P31358,simple:Q96LC7,CD52,SIGLEC10,Ligand-Receptor,,B cell|Monocyte non-classical,0.725
CD177_PECAM1,simple:Q8N6Q3,simple:P16284,CD177,PECAM1,Ligand-Receptor,,B cell|Monocyte non-classical,0.629
THY1_integrin_aXb2_complex,simple:P04216,complex:integrin_aXb2_complex,THY1,,Adhesion-Adhesion,Adhesion by antigen THY1,B cell|Monocyte non-classical,0.608
ANXA1_FPR2,simple:P04083,simple:P25090,ANXA1,FPR2,Ligand-Receptor,Signaling by Annexin,B cell|Monocyte non-classical,0.593
ICAM1_integrin_aXb2_complex,simple:P05362,complex:integrin_aXb2_complex,ICAM1,,Ligand-Receptor,Adhesion by ICAM,B cell|Monocyte non-classical,0.585
PLAU_PLAUR,simple:P00749,simple:Q03405,PLAU,PLAUR,Ligand-Receptor,Signaling by Plasminogen Activator,B cell|Monocyte non-classical,0.589
DLL4_NOTCH2,simple:Q9NR61,simple:Q04721,DLL4,NOTCH2,Ligand-Receptor,Signaling by Notch,B cell|Monocyte non-classical,0.62
APP_FPR2,simple:P05067,simple:P25090,APP,FPR2,Ligand-Receptor,Signaling by Amyloid-beta precursor protein,B cell|Monocyte non-classical,0.621
CTSG_FPR1,simple:P08311,simple:P21462,CTSG,FPR1,Ligand-Receptor,Signaling by Cathepsin,B cell|Monocyte non-classical,0.645
FCER2_integrin_aXb2_complex,simple:P06734,complex:integrin_aXb2_complex,FCER2,,Receptor-Receptor,Signaling by FC receptor,B cell|Monocyte non-classical,0.728
