types	Chen_Zhang_2020_NSCLC-1	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Laughney_Massague_2020_GSM3516662	Laughney_Massague_2020_GSM3516663	Laughney_Massague_2020_GSM3516667	Laughney_Massague_2020_GSM3516672	Laughney_Massague_2020_GSM3516674	Maynard_Bivona_2020_LT_S66	Zilionis_Klein_2019_p6t1	P15_T2	P16_T2	P18_T2	P19_T2	P21_T2	P22_T1	P8_T2	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P4_tumor_primary	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V_P1_tumor_primary	UKIM-V_P3_tumor_primary	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t3	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_BT1376	Zilionis_Klein_2019_p6t2	Kim_Lee_2020_LUNG_T34	Kim_Lee_2020_LUNG_T19	Kim_Lee_2020_LUNG_T09	Kim_Lee_2020_LUNG_T08	Kim_Lee_2020_LUNG_T06	He_Fan_2021_LUAD4	Kim_Lee_2020_LUNG_T30	He_Fan_2021_LUAD3	He_Fan_2021_LUAD2	Kim_Lee_2020_LUNG_T25	Kim_Lee_2020_LUNG_T20	He_Fan_2021_LUAD1	Chen_Zhang_2020_NSCLC-7	Chen_Zhang_2020_NSCLC-6	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-2	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6653_BT1375
B cell	771.0	34.0	31.0	30.0	0.0	79.0	688.0	600.0	11.0	9.0	314.0	1617.0	661.0	5171.0	5033.0	50.0	8.0	7198.0	350.0	28.0	610.0	103.0	69.0	236.0	138.0	82.0	132.0	43.0	29.0	33.0	69.0	88.0	272.0	19.0	361.0	80.0	702.0	455.0	22.0	51.0	44.0	237.0	1299.0	48.0	89.0	1841.0	119.0	774.0	552.0	610.0	248.0
B cell dividing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	121.0	115.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Ciliated	0.0	0.0	0.0	0.0	0.0	5.0	14.0	4.0	2.0	7.0	10.0	134.0	0.0	302.0	199.0	79.0	180.0	381.0	39.0	11.0	25.0	3.0	2.0	9.0	0.0	4.0	15.0	0.0	0.0	0.0	2.0	0.0	7.0	3.0	2.0	0.0	0.0	6.0	146.0	31.0	417.0	67.0	7.0	0.0	29.0	0.0	41.0	5.0	0.0	80.0	30.0
Club_AT2/1_high	3.0	0.0	4.0	3.0	72.0	57.0	0.0	0.0	2.0	35.0	73.0	6.0	0.0	0.0	0.0	0.0	0.0	8.0	332.0	38.0	29.0	859.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	69.0	1599.0	3.0	0.0	0.0	65.0	6510.0	44.0	53.0	3.0	0.0	3.0	5.0	0.0	10.0	0.0	0.0	0.0	0.0
DC mature	0.0	6.0	8.0	16.0	0.0	6.0	4.0	7.0	0.0	8.0	4.0	0.0	0.0	33.0	37.0	2.0	0.0	47.0	19.0	5.0	7.0	4.0	4.0	5.0	2.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	2.0	3.0	22.0	13.0	11.0	9.0	24.0	19.0	36.0	62.0	11.0	15.0	22.0	6.0	9.0	5.0	4.0	2.0	0.0
Endothelial cell arterial	17.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	4.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	33.0	2.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0
Endothelial cell capillary	80.0	13.0	22.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	20.0	0.0	0.0	9.0	7.0	24.0	6.0	5.0	7.0	0.0	6.0	0.0	63.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	0.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	0.0	2.0	9.0	0.0	19.0	18.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	3.0	2.0	21.0	2.0	40.0	2.0	0.0	0.0	7.0	15.0	7.0	0.0	6.0	10.0	0.0
Endothelial cell venous	90.0	23.0	29.0	25.0	4.0	0.0	2.0	40.0	0.0	50.0	26.0	3.0	0.0	61.0	2.0	0.0	9.0	28.0	24.0	9.0	17.0	2.0	0.0	2.0	11.0	0.0	9.0	2.0	3.0	2.0	6.0	2.0	19.0	14.0	107.0	24.0	6.0	33.0	86.0	73.0	68.0	34.0	15.0	2.0	67.0	34.0	125.0	29.0	50.0	153.0	3.0
Fibroblast adventitial	0.0	0.0	0.0	0.0	0.0	0.0	11.0	13.0	0.0	9.0	2.0	0.0	0.0	11.0	0.0	0.0	11.0	18.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	32.0	17.0	11.0	2.0	10.0	4.0	2.0	0.0	8.0	5.0	5.0	18.0	39.0	42.0	0.0
