types	UKIM-V_P3_tumor_primary	Kim_Lee_2020_LUNG_T19	Chen_Zhang_2020_NSCLC-6	He_Fan_2021_LUAD1	He_Fan_2021_LUAD2	P22_T1	P8_T2	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P4_tumor_primary	Laughney_Massague_2020_GSM3516674	Maynard_Bivona_2020_LT_S66	P21_T2	Kim_Lee_2020_LUNG_T20	Kim_Lee_2020_LUNG_T30	Kim_Lee_2020_LUNG_T34	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Laughney_Massague_2020_GSM3516662	Kim_Lee_2020_LUNG_T09	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V_P1_tumor_primary	He_Fan_2021_LUAD3	He_Fan_2021_LUAD4
B cell	132.0	361.0	119.0	89.0	237.0	8.0	7198.0	350.0	28.0	610.0	103.0	69.0	11.0	9.0	50.0	48.0	51.0	19.0	34.0	31.0	30.0	0.0	80.0	236.0	138.0	82.0	44.0	22.0
B cell dividing	0.0	3.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0
Ciliated	15.0	2.0	41.0	29.0	67.0	180.0	381.0	39.0	11.0	25.0	3.0	2.0	2.0	7.0	79.0	0.0	31.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	417.0	146.0
Club_AT2/1_high	3.0	3.0	10.0	5.0	3.0	0.0	8.0	332.0	38.0	29.0	859.0	5.0	2.0	35.0	0.0	3.0	44.0	1599.0	0.0	4.0	3.0	72.0	0.0	0.0	0.0	0.0	53.0	6510.0
DC mature	0.0	22.0	9.0	22.0	62.0	0.0	47.0	19.0	5.0	7.0	4.0	4.0	0.0	8.0	2.0	15.0	19.0	3.0	6.0	8.0	16.0	0.0	13.0	5.0	2.0	0.0	36.0	24.0
Endothelial cell arterial	0.0	6.0	4.0	0.0	0.0	3.0	2.0	4.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	33.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0
Endothelial cell capillary	0.0	20.0	63.0	6.0	5.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	0.0	0.0	24.0	0.0	13.0	22.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0
Endothelial cell lymphatic	0.0	7.0	7.0	7.0	2.0	19.0	18.0	0.0	0.0	5.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	21.0
Endothelial cell venous	9.0	107.0	125.0	67.0	34.0	9.0	28.0	24.0	9.0	17.0	2.0	0.0	0.0	50.0	0.0	2.0	73.0	14.0	23.0	29.0	25.0	4.0	24.0	2.0	11.0	0.0	68.0	86.0
Fibroblast adventitial	0.0	3.0	5.0	8.0	4.0	11.0	18.0	4.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	11.0
Fibroblast alveolar	4.0	54.0	12.0	44.0	8.0	0.0	8.0	0.0	2.0	4.0	0.0	0.0	0.0	26.0	0.0	0.0	48.0	11.0	4.0	9.0	5.0	0.0	0.0	0.0	0.0	9.0	23.0	28.0
Fibroblast peribronchial	7.0	17.0	21.0	190.0	61.0	0.0	45.0	0.0	0.0	0.0	0.0	3.0	0.0	16.0	0.0	11.0	6.0	2.0	19.0	13.0	20.0	0.0	4.0	0.0	2.0	0.0	12.0	3.0
Macrophage	733.0	330.0	2487.0	4259.0	2375.0	6.0	218.0	398.0	283.0	272.0	524.0	302.0	37.0	52.0	54.0	424.0	173.0	132.0	539.0	681.0	652.0	39.0	907.0	234.0	104.0	11.0	490.0	844.0
Macrophage alveolar	201.0	279.0	2488.0	1312.0	226.0	2.0	14347.0	594.0	408.0	291.0	213.0	4.0	5.0	7.0	99.0	95.0	371.0	73.0	48.0	121.0	355.0	0.0	19.0	160.0	22.0	3.0	338.0	499.0
Mast cell	23.0	366.0	201.0	189.0	172.0	7.0	851.0	80.0	155.0	77.0	57.0	16.0	2.0	111.0	2.0	77.0	453.0	38.0	37.0	69.0	103.0	6.0	51.0	15.0	74.0	3.0	46.0	54.0
Mesothelial	2.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monocyte classical	103.0	151.0	731.0	61.0	118.0	112.0	1530.0	208.0	85.0	100.0	42.0	28.0	2.0	40.0	32.0	40.0	84.0	21.0	105.0	148.0	136.0	2.0	120.0	44.0	65.0	11.0	62.0	124.0
Monocyte non-classical	57.0	16.0	13.0	0.0	0.0	77.0	18.0	85.0	27.0	32.0	18.0	0.0	0.0	3.0	3.0	2.0	17.0	2.0	25.0	41.0	32.0	0.0	10.0	7.0	14.0	2.0	10.0	3.0
NK cell	325.0	191.0	462.0	140.0	251.0	318.0	608.0	491.0	320.0	198.0	156.0	40.0	0.0	11.0	61.0	85.0	153.0	59.0	115.0	140.0	132.0	0.0	125.0	158.0	299.0	50.0	78.0	44.0
NK cell dividing	2.0	3.0	0.0	2.0	33.0	2.0	19.0	6.0	4.0	7.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	0.0	2.0	3.0	5.0	0.0	5.0	0.0	10.0	0.0	2.0	0.0
Neutrophils	166.0	0.0	2.0	0.0	0.0	5.0	0.0	225.0	369.0	202.0	108.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	529.0	22.0	0.0	0.0
Pericyte	3.0	5.0	15.0	19.0	6.0	0.0	3.0	3.0	2.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	9.0	0.0	21.0	3.0	6.0	0.0
Plasma cell	28.0	20.0	460.0	93.0	98.0	0.0	875.0	9.0	31.0	49.0	18.0	61.0	2.0	41.0	0.0	0.0	58.0	15.0	22.0	36.0	19.0	0.0	48.0	37.0	417.0	7.0	5.0	18.0
Plasma cell dividing	0.0	0.0	13.0	0.0	12.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	12.0	2.0	0.0	5.0	0.0	13.0	0.0	0.0	0.0
Smooth muscle cell	0.0	20.0	2.0	4.0	3.0	0.0	15.0	0.0	5.0	0.0	0.0	0.0	0.0	82.0	0.0	2.0	3.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	7.0	6.0
T cell CD4	408.0	850.0	634.0	1115.0	1208.0	110.0	11277.0	1462.0	1686.0	1019.0	699.0	448.0	20.0	115.0	64.0	850.0	598.0	144.0	310.0	287.0	301.0	7.0	566.0	517.0	984.0	187.0	954.0	998.0
T cell CD4 dividing	4.0	16.0	13.0	19.0	107.0	5.0	647.0	31.0	13.0	10.0	8.0	6.0	0.0	4.0	0.0	71.0	14.0	0.0	14.0	11.0	16.0	0.0	15.0	8.0	8.0	0.0	15.0	25.0
T cell CD8 activated	186.0	17.0	132.0	0.0	0.0	4.0	332.0	27.0	45.0	10.0	4.0	16.0	0.0	12.0	11.0	16.0	46.0	3.0	0.0	0.0	2.0	0.0	9.0	10.0	14.0	12.0	0.0	0.0
T cell CD8 dividing	8.0	0.0	9.0	9.0	135.0	5.0	43.0	2.0	26.0	3.0	5.0	10.0	0.0	2.0	2.0	32.0	4.0	0.0	4.0	8.0	6.0	0.0	32.0	5.0	22.0	0.0	8.0	2.0
T cell CD8 effector memory	374.0	175.0	754.0	119.0	310.0	24.0	440.0	387.0	512.0	578.0	207.0	209.0	5.0	128.0	15.0	513.0	262.0	84.0	80.0	86.0	76.0	2.0	683.0	209.0	681.0	15.0	130.0	41.0
T cell CD8 naive	11.0	123.0	9.0	15.0	196.0	28.0	194.0	65.0	73.0	89.0	32.0	26.0	3.0	3.0	3.0	133.0	19.0	13.0	54.0	55.0	35.0	2.0	100.0	30.0	110.0	8.0	28.0	20.0
