Fibroblast peribronchial	Plasma cell	0.5399136423485668	0.0
T cell CD8 effector memory	T cell regulatory	0.5773364843913527	6.978084776676496E-11
Fibroblast alveolar	Mast cell	0.5412695187363122	1.064683674556477E-9
Fibroblast alveolar	Smooth muscle cell	0.505756292548195	3.06177589779022E-4
Macrophage	myeloid dividing	0.5323453677753603	1.9118040484045196E-13
Smooth muscle cell	Pericyte	0.5269452702527669	6.978084776676496E-11
T cell CD8 activated	T cell CD4	0.5677217856403619	0.0
NK cell	T cell CD8 activated	0.5348134057242538	2.0371113329531454E-7
T cell CD8 effector memory	Tumor ASP2	0.553657677852757	0.025438427871004476
cDC2	Monocyte classical	0.5378031776897737	0.025438427871004476
Tumor AT2-like	cDC2	0.5180162076940673	0.025438427871004476
T cell CD4	T cell CD8 activated	0.5755067524658705	0.0
NK cell	T cell CD8 effector memory	0.5506521589820342	0.0029383057024583437
cDC2	myeloid dividing	0.5327725556416529	2.5308754498798436E-6
Mast cell	Fibroblast alveolar	0.5411289914655237	1.064683674556477E-9
Smooth muscle cell	Endothelial cell venous	0.5114194546646149	3.06177589779022E-4
Fibroblast alveolar	Tumor EMT	0.6090999671128695	0.0
T cell CD8 effector memory	NK cell	0.5243415556536026	0.0029383057024583437
Tumor EMT	Endothelial cell venous	0.5624248848825547	3.06177589779022E-4
Club_AT2/1_high	Tumor AT2-like	0.5219311909840788	0.0
T cell regulatory	T cell CD4	0.5735093925567104	0.0
T cell CD8 activated	T cell CD8 effector memory	0.5832320449518965	0.0
T cell CD8 activated	T cell regulatory	0.5794667594447354	0.0
Tumor ASP2	Macrophage alveolar	0.5516996298505761	0.0
myeloid dividing	cDC2	0.5234424341728161	2.905515840390116E-5
B cell	T cell regulatory	0.5456606268214603	0.025438427871004476
T cell regulatory	T cell CD8 effector memory	0.5711564552780235	1.064683674556477E-9
Smooth muscle cell	Tumor EMT	0.49099903421395175	2.905515840390116E-5
T cell CD8 effector memory	T cell CD4	0.5535124230242228	0.0
T cell CD8 activated	B cell	0.5430587771970017	0.0029383057024583437
T cell CD4	NK cell	0.6090303432578583	2.905515840390116E-5
cDC2	Tumor AT2-like	0.5112695609485693	0.0029383057024583437
T cell regulatory	T cell CD4 dividing	0.5700886460915251	2.905515840390116E-5
Plasma cell	Fibroblast peribronchial	0.5420735809216239	0.0
Endothelial cell venous	Mast cell	0.535930840508634	0.0029383057024583437
B cell	T cell CD8 activated	0.5430587771970018	0.0029383057024583437
Fibroblast alveolar	Endothelial cell venous	0.5338505863631045	3.06177589779022E-4
Tumor EMT	Fibroblast alveolar	0.6057618674711415	0.0
T cell CD4	T cell CD8 effector memory	0.5428383187108544	0.0
Tumor AT2-like	Club_AT2/1_high	0.5296648177518632	0.0
Monocyte classical	cDC2	0.5378031776897737	0.025438427871004476
T cell regulatory	B cell	0.5456606268214603	0.025438427871004476
NK cell	DC mature	0.5807610058859215	0.0029383057024583437
T cell CD8 activated	NK cell	0.5348134057242536	2.0371113329531454E-7
Endothelial cell venous	Tumor EMT	0.5544014196266872	2.905515840390116E-5
T cell CD4	T cell regulatory	0.5816561047215661	0.0
Monocyte classical	Macrophage alveolar	0.5572155015913883	3.06177589779022E-4
Tumor EMT	Endothelial cell lymphatic	0.5040808092744694	4.397149311330395E-12
T cell regulatory	T cell CD8 activated	0.586467259297444	0.0
DC mature	NK cell	0.566424701828605	0.025438427871004476
Macrophage alveolar	Monocyte classical	0.567661516930612	3.06177589779022E-4
Pericyte	Smooth muscle cell	0.521257837429567	2.5308754498798436E-6
Mast cell	Endothelial cell venous	0.5385264840055524	0.0029383057024583437
Macrophage alveolar	Tumor ASP2	0.5593578995134176	0.0
Smooth muscle cell	Fibroblast alveolar	0.5130653010351212	0.0029383057024583437
myeloid dividing	Macrophage	0.5333266078986243	1.9118040484045196E-13
Endothelial cell venous	Fibroblast alveolar	0.5395841337197382	0.0029383057024583437
T cell CD4 dividing	T cell regulatory	0.5606093086335948	2.905515840390116E-5
T cell CD8 effector memory	T cell CD8 activated	0.5817817937847388	0.0
Endothelial cell lymphatic	Tumor EMT	0.5047746671831915	0.0
NK cell	T cell CD4	0.6090303432578581	2.905515840390116E-5
