types	Kim_Lee_2020_LUNG_T06	Kim_Lee_2020_LUNG_T08	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t3	Zilionis_Klein_2019_p6t1	Chen_Zhang_2020_NSCLC-2	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_BT1376	Kim_Lee_2020_LUNG_T25	Laughney_Massague_2020_GSM3516663	P18_T2	P19_T2	P15_T2	P16_T2	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-7	Laughney_Massague_2020_GSM3516672	Lambrechts_Thienpont_2018_6653_BT1375	Laughney_Massague_2020_GSM3516667	Chen_Zhang_2020_NSCLC-1	Zilionis_Klein_2019_p6t2
B cell	455.0	702.0	29.0	43.0	33.0	314.0	552.0	610.0	69.0	88.0	1299.0	79.0	5171.0	5033.0	1617.0	661.0	774.0	1841.0	600.0	248.0	688.0	771.0	272.0
B cell dividing	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	31.0	0.0	121.0	115.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0
Ciliated	6.0	0.0	0.0	0.0	0.0	10.0	0.0	80.0	2.0	0.0	7.0	5.0	302.0	199.0	134.0	0.0	5.0	0.0	4.0	30.0	14.0	0.0	7.0
Club_AT2/1_high	65.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	69.0
DC mature	9.0	11.0	5.0	0.0	2.0	4.0	4.0	2.0	0.0	0.0	11.0	6.0	33.0	37.0	0.0	0.0	5.0	6.0	7.0	0.0	4.0	0.0	2.0
Endothelial cell arterial	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0
Endothelial cell capillary	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	2.0
Endothelial cell lymphatic	2.0	3.0	0.0	0.0	0.0	0.0	6.0	10.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	15.0	9.0	0.0	0.0	0.0	0.0
Endothelial cell venous	33.0	6.0	3.0	2.0	2.0	26.0	50.0	153.0	6.0	2.0	15.0	0.0	61.0	2.0	3.0	0.0	29.0	34.0	40.0	3.0	2.0	90.0	19.0
Fibroblast adventitial	17.0	32.0	0.0	0.0	0.0	2.0	39.0	42.0	0.0	0.0	2.0	0.0	11.0	0.0	0.0	0.0	18.0	5.0	13.0	0.0	11.0	0.0	0.0
Fibroblast alveolar	284.0	117.0	0.0	0.0	0.0	4.0	141.0	20.0	2.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	4.0	6.0	10.0
Fibroblast peribronchial	45.0	3.0	0.0	0.0	0.0	9.0	27.0	20.0	0.0	2.0	6.0	0.0	529.0	22.0	0.0	0.0	14.0	98.0	48.0	0.0	5.0	0.0	9.0
Macrophage	213.0	129.0	77.0	66.0	87.0	174.0	358.0	131.0	23.0	69.0	244.0	128.0	3247.0	1864.0	39.0	0.0	71.0	2471.0	204.0	40.0	22.0	27.0	137.0
Macrophage alveolar	11.0	0.0	21.0	11.0	24.0	70.0	14.0	5.0	3.0	5.0	64.0	11.0	506.0	172.0	11.0	0.0	7.0	284.0	0.0	0.0	0.0	2.0	30.0
Mast cell	86.0	87.0	7.0	13.0	12.0	19.0	78.0	27.0	10.0	55.0	172.0	0.0	235.0	135.0	45.0	11.0	47.0	3.0	25.0	60.0	98.0	10.0	20.0
Mesothelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
Monocyte classical	34.0	9.0	18.0	9.0	22.0	38.0	23.0	40.0	10.0	12.0	105.0	75.0	2531.0	1639.0	740.0	18.0	35.0	990.0	50.0	8.0	17.0	14.0	41.0
Monocyte non-classical	2.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	5.0	2.0	47.0	28.0	9.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
NK cell	46.0	37.0	8.0	19.0	16.0	17.0	46.0	135.0	10.0	41.0	87.0	98.0	528.0	374.0	235.0	254.0	70.0	335.0	49.0	75.0	51.0	48.0	13.0
NK cell dividing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	9.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	3.0	3.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	7.0	3.0	7.0	0.0	433.0	0.0	0.0	0.0	0.0	5.0
Pericyte	3.0	0.0	0.0	0.0	0.0	0.0	17.0	11.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	20.0	18.0	0.0	0.0	3.0	0.0
Plasma cell	19.0	183.0	0.0	0.0	2.0	263.0	134.0	129.0	42.0	66.0	163.0	2.0	435.0	357.0	45.0	2.0	514.0	13.0	2.0	52.0	11.0	74.0	230.0
Plasma cell dividing	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	86.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Smooth muscle cell	33.0	4.0	0.0	2.0	0.0	0.0	18.0	8.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	5.0	2.0	11.0	3.0	0.0	3.0	2.0
T cell CD4	681.0	1077.0	393.0	445.0	572.0	596.0	1375.0	535.0	58.0	73.0	742.0	1227.0	3435.0	2572.0	748.0	2994.0	4352.0	1832.0	366.0	127.0	486.0	290.0	620.0
T cell CD4 dividing	9.0	5.0	22.0	15.0	24.0	2.0	4.0	5.0	0.0	0.0	6.0	27.0	461.0	352.0	16.0	4.0	12.0	15.0	17.0	3.0	11.0	4.0	4.0
T cell CD8 activated	42.0	55.0	82.0	83.0	70.0	99.0	96.0	70.0	8.0	3.0	25.0	561.0	691.0	689.0	503.0	2071.0	46.0	34.0	173.0	4.0	446.0	2.0	77.0
T cell CD8 dividing	3.0	3.0	0.0	0.0	2.0	0.0	2.0	19.0	0.0	0.0	0.0	3.0	184.0	143.0	34.0	4.0	0.0	24.0	54.0	2.0	2.0	0.0	2.0
T cell CD8 effector memory	297.0	232.0	143.0	177.0	156.0	170.0	389.0	538.0	43.0	66.0	210.0	502.0	1077.0	854.0	787.0	640.0	254.0	240.0	308.0	85.0	658.0	81.0	138.0
T cell CD8 naive	111.0	83.0	0.0	3.0	4.0	0.0	105.0	35.0	24.0	30.0	125.0	13.0	257.0	368.0	80.0	308.0	17.0	64.0	18.0	59.0	23.0	125.0	0.0
T cell CD8 terminally exhausted	17.0	32.0	4.0	15.0	12.0	0.0	9.0	195.0	0.0	4.0	7.0	8.0	447.0	432.0	64.0	51.0	69.0	28.0	453.0	10.0	8.0	0.0	0.0
T cell NK-like	92.0	0.0	0.0	0.0	0.0	0.0	15.0	108.0	11.0	21.0	10.0	18.0	26.0	14.0	21.0	83.0	3.0	66.0	0.0	21.0	5.0	46.0	0.0
T cell regulatory	168.0	417.0	93.0	103.0	106.0	61.0	219.0	181.0	20.0	47.0	265.0	168.0	2565.0	2153.0	447.0	984.0	720.0	82.0	220.0	39.0	224.0	90.0	43.0
Tumor Club_AT2_LUAD	39.0	22.0	4.0	0.0	2.0	14.0	16.0	117.0	18.0	26.0	182.0	11.0	29.0	20.0	66.0	0.0	5.0	0.0	6.0	82.0	17.0	5.0	14.0
Tumor LUAD_AT1/2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_Club_AT2	0.0	0.0	39.0	39.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_Club_AT2/1	2.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	22.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Tumor LUAD_MSLN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Tumor LUAD_NE_LUSC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	48.0	7.0	0.0	0.0	259.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_NE_mitotic	4.0	2.0	5.0	3.0	7.0	0.0	74.0	0.0	87.0	245.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	34.0	139.0	6.0	5.0	0.0
Tumor LUAD_mitotic	0.0	0.0	5.0	4.0	5.0	0.0	2.0	11.0	4.0	31.0	4.0	2.0	61.0	20.0	52.0	8.0	7.0	3.0	9.0	45.0	16.0	0.0	0.0
Tumor LUSC_LUAD_mitotic	0.0	0.0	0.0	0.0	0.0	0.0	2.0	255.0	0.0	0.0	0.0	0.0	104.0	73.0	555.0	3.0	0.0	26.0	0.0	2.0	0.0	0.0	0.0
cDC1	15.0	8.0	0.0	3.0	2.0	5.0	12.0	4.0	2.0	0.0	5.0	32.0	24.0	34.0	5.0	0.0	15.0	12.0	8.0	2.0	0.0	4.0	5.0
cDC2	126.0	32.0	32.0	23.0	38.0	46.0	45.0	42.0	6.0	17.0	57.0	192.0	801.0	629.0	81.0	0.0	25.0	78.0	55.0	26.0	56.0	7.0	50.0
myeloid dividing	21.0	7.0	2.0	3.0	2.0	12.0	3.0	4.0	3.0	3.0	16.0	18.0	325.0	164.0	6.0	0.0	2.0	7.0	15.0	12.0	6.0	0.0	10.0
pDC	5.0	3.0	14.0	8.0	8.0	2.0	7.0	2.0	0.0	0.0	6.0	8.0	102.0	90.0	3.0	3.0	35.0	21.0	18.0	3.0	8.0	5.0	5.0
stromal dividing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
B cell	455.0	702.0	29.0	43.0	33.0	314.0	552.0	610.0	69.0	88.0	1299.0	79.0	5171.0	5033.0	1617.0	661.0	774.0	1841.0	600.0	248.0	688.0	771.0	272.0
B cell dividing	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	31.0	0.0	121.0	115.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0
Ciliated	6.0	0.0	0.0	0.0	0.0	10.0	0.0	80.0	2.0	0.0	7.0	5.0	302.0	199.0	134.0	0.0	5.0	0.0	4.0	30.0	14.0	0.0	7.0
Club_AT2/1_high	65.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	69.0
DC mature	9.0	11.0	5.0	0.0	2.0	4.0	4.0	2.0	0.0	0.0	11.0	6.0	33.0	37.0	0.0	0.0	5.0	6.0	7.0	0.0	4.0	0.0	2.0
Endothelial cell arterial	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0
Endothelial cell capillary	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	2.0
Endothelial cell lymphatic	2.0	3.0	0.0	0.0	0.0	0.0	6.0	10.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	15.0	9.0	0.0	0.0	0.0	0.0
Endothelial cell venous	33.0	6.0	3.0	2.0	2.0	26.0	50.0	153.0	6.0	2.0	15.0	0.0	61.0	2.0	3.0	0.0	29.0	34.0	40.0	3.0	2.0	90.0	19.0
Fibroblast adventitial	17.0	32.0	0.0	0.0	0.0	2.0	39.0	42.0	0.0	0.0	2.0	0.0	11.0	0.0	0.0	0.0	18.0	5.0	13.0	0.0	11.0	0.0	0.0
Fibroblast alveolar	284.0	117.0	0.0	0.0	0.0	4.0	141.0	20.0	2.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	4.0	6.0	10.0
Fibroblast peribronchial	45.0	3.0	0.0	0.0	0.0	9.0	27.0	20.0	0.0	2.0	6.0	0.0	529.0	22.0	0.0	0.0	14.0	98.0	48.0	0.0	5.0	0.0	9.0
Macrophage	213.0	129.0	77.0	66.0	87.0	174.0	358.0	131.0	23.0	69.0	244.0	128.0	3247.0	1864.0	39.0	0.0	71.0	2471.0	204.0	40.0	22.0	27.0	137.0
Macrophage alveolar	11.0	0.0	21.0	11.0	24.0	70.0	14.0	5.0	3.0	5.0	64.0	11.0	506.0	172.0	11.0	0.0	7.0	284.0	0.0	0.0	0.0	2.0	30.0
Mast cell	86.0	87.0	7.0	13.0	12.0	19.0	78.0	27.0	10.0	55.0	172.0	0.0	235.0	135.0	45.0	11.0	47.0	3.0	25.0	60.0	98.0	10.0	20.0
Mesothelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
Monocyte classical	34.0	9.0	18.0	9.0	22.0	38.0	23.0	40.0	10.0	12.0	105.0	75.0	2531.0	1639.0	740.0	18.0	35.0	990.0	50.0	8.0	17.0	14.0	41.0
Monocyte non-classical	2.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	5.0	2.0	47.0	28.0	9.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
NK cell	46.0	37.0	8.0	19.0	16.0	17.0	46.0	135.0	10.0	41.0	87.0	98.0	528.0	374.0	235.0	254.0	70.0	335.0	49.0	75.0	51.0	48.0	13.0
NK cell dividing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	6.0	9.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	3.0	3.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	7.0	3.0	7.0	0.0	433.0	0.0	0.0	0.0	0.0	5.0
Pericyte	3.0	0.0	0.0	0.0	0.0	0.0	17.0	11.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	20.0	18.0	0.0	0.0	3.0	0.0
Plasma cell	19.0	183.0	0.0	0.0	2.0	263.0	134.0	129.0	42.0	66.0	163.0	2.0	435.0	357.0	45.0	2.0	514.0	13.0	2.0	52.0	11.0	74.0	230.0
Plasma cell dividing	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	86.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Smooth muscle cell	33.0	4.0	0.0	2.0	0.0	0.0	18.0	8.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	5.0	2.0	11.0	3.0	0.0	3.0	2.0
T cell CD4	681.0	1077.0	393.0	445.0	572.0	596.0	1375.0	535.0	58.0	73.0	742.0	1227.0	3435.0	2572.0	748.0	2994.0	4352.0	1832.0	366.0	127.0	486.0	290.0	620.0
T cell CD4 dividing	9.0	5.0	22.0	15.0	24.0	2.0	4.0	5.0	0.0	0.0	6.0	27.0	461.0	352.0	16.0	4.0	12.0	15.0	17.0	3.0	11.0	4.0	4.0
T cell CD8 activated	42.0	55.0	82.0	83.0	70.0	99.0	96.0	70.0	8.0	3.0	25.0	561.0	691.0	689.0	503.0	2071.0	46.0	34.0	173.0	4.0	446.0	2.0	77.0
T cell CD8 dividing	3.0	3.0	0.0	0.0	2.0	0.0	2.0	19.0	0.0	0.0	0.0	3.0	184.0	143.0	34.0	4.0	0.0	24.0	54.0	2.0	2.0	0.0	2.0
T cell CD8 effector memory	297.0	232.0	143.0	177.0	156.0	170.0	389.0	538.0	43.0	66.0	210.0	502.0	1077.0	854.0	787.0	640.0	254.0	240.0	308.0	85.0	658.0	81.0	138.0
