types	P021	P023	P022	P018	P032	P033	P031	P028	P020	P040	P001	P008	P007	P003
B cell	825.0	1230.0	465.0	313.0	260.0	84.0	773.0	344.0	584.0	392.0	245.0	631.0	256.0	1052.0
B cell dividing	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ciliated	8.0	13.0	17.0	0.0	5.0	5.0	3.0	8.0	27.0	12.0	0.0	7.0	3.0	39.0
Club_AT2/1_high	5.0	17.0	3.0	11.0	8.0	4.0	14.0	9.0	6.0	23.0	3.0	6.0	0.0	0.0
DC mature	16.0	19.0	62.0	5.0	10.0	60.0	19.0	24.0	4.0	8.0	6.0	18.0	10.0	36.0
Endothelial cell capillary	4.0	0.0	0.0	3.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Endothelial cell lymphatic	0.0	12.0	4.0	5.0	4.0	8.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0
Endothelial cell venous	146.0	59.0	16.0	15.0	28.0	116.0	20.0	65.0	9.0	10.0	11.0	248.0	9.0	36.0
Fibroblast adventitial	2.0	10.0	0.0	0.0	5.0	3.0	0.0	2.0	2.0	0.0	0.0	8.0	0.0	0.0
Fibroblast alveolar	41.0	89.0	2.0	47.0	88.0	39.0	4.0	8.0	3.0	12.0	2.0	105.0	16.0	3.0
Fibroblast peribronchial	6.0	27.0	0.0	54.0	46.0	64.0	51.0	0.0	12.0	8.0	0.0	15.0	3.0	11.0
Macrophage	93.0	141.0	256.0	132.0	147.0	345.0	46.0	188.0	102.0	233.0	16.0	42.0	52.0	30.0
Macrophage alveolar	103.0	45.0	208.0	74.0	62.0	59.0	14.0	89.0	44.0	46.0	85.0	80.0	58.0	85.0
Mast cell	461.0	371.0	427.0	146.0	439.0	71.0	172.0	419.0	89.0	337.0	213.0	744.0	724.0	125.0
Monocyte classical	442.0	327.0	491.0	276.0	329.0	396.0	91.0	387.0	108.0	181.0	167.0	188.0	281.0	382.0
Monocyte non-classical	2.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	0.0	7.0
NK cell	684.0	328.0	707.0	479.0	759.0	1031.0	407.0	224.0	119.0	212.0	422.0	367.0	184.0	395.0
NK cell dividing	3.0	2.0	0.0	0.0	9.0	10.0	3.0	2.0	0.0	0.0	0.0	0.0	2.0	4.0
Neutrophils	144.0	0.0	23.0	36.0	194.0	13.0	20.0	56.0	30.0	89.0	58.0	8.0	68.0	329.0
Pericyte	8.0	7.0	0.0	0.0	11.0	13.0	2.0	4.0	2.0	2.0	2.0	12.0	0.0	3.0
Plasma cell	42.0	78.0	54.0	534.0	284.0	85.0	177.0	58.0	105.0	643.0	63.0	78.0	61.0	102.0
Plasma cell dividing	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Smooth muscle cell	15.0	17.0	0.0	4.0	13.0	28.0	2.0	3.0	0.0	2.0	2.0	35.0	0.0	0.0
T cell CD4	1845.0	1666.0	2010.0	1136.0	1579.0	754.0	790.0	1002.0	432.0	473.0	907.0	463.0	927.0	762.0
T cell CD4 dividing	26.0	64.0	124.0	49.0	69.0	85.0	43.0	105.0	19.0	31.0	13.0	20.0	34.0	38.0
T cell CD8 activated	2822.0	3218.0	3837.0	2708.0	2336.0	1931.0	2883.0	2006.0	1242.0	2074.0	2026.0	3015.0	2949.0	2023.0
T cell CD8 dividing	0.0	4.0	14.0	3.0	7.0	8.0	18.0	45.0	4.0	5.0	3.0	0.0	0.0	18.0
T cell CD8 effector memory	768.0	638.0	2629.0	911.0	1281.0	2437.0	2278.0	977.0	337.0	1103.0	929.0	911.0	1077.0	1920.0
T cell CD8 terminally exhausted	2.0	67.0	13.0	45.0	36.0	17.0	222.0	55.0	77.0	5.0	48.0	7.0	3.0	153.0
T cell NK-like	20.0	4.0	8.0	12.0	12.0	39.0	49.0	0.0	6.0	14.0	28.0	5.0	8.0	54.0
T cell regulatory	963.0	1326.0	1480.0	1100.0	1054.0	1442.0	1563.0	1014.0	632.0	625.0	931.0	544.0	1021.0	812.0
Tumor Club_AT2_LUAD	16.0	22.0	38.0	32.0	33.0	19.0	26.0	23.0	25.0	46.0	11.0	18.0	34.0	91.0
Tumor LUAD_AT1/2	9.0	35.0	0.0	18.0	15.0	18.0	5.0	7.0	7.0	8.0	3.0	62.0	2.0	4.0
Tumor LUAD_Club_AT2	0.0	4.0	0.0	3.0	2.0	31.0	4.0	0.0	27.0	2.0	0.0	0.0	0.0	0.0
Tumor LUAD_Club_AT2/1	464.0	123.0	256.0	216.0	200.0	229.0	100.0	172.0	521.0	707.0	53.0	410.0	35.0	37.0
Tumor LUAD_NE_LUSC	3.0	3.0	4.0	30.0	6.0	0.0	3.0	4.0	7.0	0.0	7.0	4.0	0.0	3.0
Tumor LUAD_NE_mitotic	0.0	0.0	0.0	0.0	2.0	8.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_mitotic	0.0	9.0	10.0	75.0	13.0	10.0	7.0	3.0	118.0	46.0	18.0	3.0	3.0	2.0
