types	p019t	BD_immune10	BD_immune11	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-9	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T28	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453597	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516665	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453590	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S56	Wu_Zhou_2021_GSM4453581	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P7_tumor_primary	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	BD_immune03	BD_immune04	BD_immune06	BD_immune07	BD_immune09	Wu_Zhou_2021_GSM4453617
B cell	30.0	56.0	245.0	1128.0	295.0	0.0	50.0	0.0	0.0	1572.0	0.0	102.0	98.0	164.0	241.0	12.0	0.0	22.0	225.0	146.0	92.0	167.0	110.0	72.0	6.0	0.0	10.0	2.0	8.0	129.0	451.0	72.0	69.0	12.0	0.0	797.0	428.0	85.0	58.0	130.0	7.0
B cell dividing	0.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	11.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	3.0	0.0
Ciliated	62.0	0.0	307.0	5.0	0.0	0.0	168.0	0.0	12.0	4.0	0.0	9.0	5.0	2.0	6.0	73.0	0.0	13.0	12.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	257.0	293.0	0.0	3.0	2.0	21.0	10.0	0.0	0.0	13.0	4.0	3.0	0.0	0.0
DC mature	0.0	5.0	9.0	20.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	7.0	2.0	11.0	2.0	7.0	6.0	6.0	11.0	4.0	0.0
Endothelial cell arterial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
Endothelial cell capillary	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	2.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	36.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	7.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0
Endothelial cell venous	14.0	3.0	5.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	12.0	7.0	0.0	70.0	117.0	110.0	6.0	2.0	0.0	37.0	9.0	22.0	0.0	0.0	14.0	0.0	3.0	12.0	0.0	58.0	9.0	4.0	5.0	5.0	103.0	2.0	0.0
Fibroblast adventitial	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	11.0	0.0	0.0	5.0	0.0	0.0	243.0	2.0	6.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fibroblast alveolar	32.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	4.0	0.0	0.0	45.0	61.0	36.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	0.0	0.0	10.0	0.0	0.0
