types	BD_immune01	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Maynard_Bivona_2020_LT_S74	P20_T2	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	P23_T1	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453599	Chen_Zhang_2020_NSCLC-8	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Zilionis_Klein_2019_p5t1	Maynard_Bivona_2020_LT_S71	Wu_Zhou_2021_GSM4453614	BD_immune12	BD_immune13	BD_immune15	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2
AT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B cell	36.0	14.0	7.0	32.0	79.0	2.0	24.0	0.0	5.0	2.0	0.0	8.0	71.0	0.0	2.0	112.0	57.0	5.0	147.0	19.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	51.0	139.0	88.0	47.0	20.0	1193.0	111.0	361.0	39.0	37.0
B cell dividing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	2.0	2.0	15.0	0.0	0.0	0.0	0.0
Ciliated	0.0	0.0	0.0	0.0	37.0	0.0	20.0	0.0	2.0	0.0	0.0	4.0	677.0	0.0	8.0	5.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	54.0	0.0	200.0	0.0	0.0
DC mature	0.0	0.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	52.0	0.0	0.0	22.0	4.0	2.0	31.0	0.0	2.0	0.0	0.0	0.0	3.0	9.0	0.0	8.0	3.0	24.0	0.0	0.0	3.0	3.0	10.0	10.0	3.0	6.0
Endothelial cell arterial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell capillary	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	15.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell venous	12.0	0.0	0.0	13.0	13.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	47.0	15.0	5.0	2.0	0.0	18.0	0.0	0.0	0.0	2.0	0.0	17.0	9.0	0.0	224.0	13.0	2.0	19.0	62.0	3.0	0.0	2.0	6.0	16.0	17.0
Fibroblast adventitial	0.0	0.0	3.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	50.0	0.0	2.0	3.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	3.0	0.0	0.0
Fibroblast alveolar	0.0	0.0	0.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	26.0	0.0	0.0	0.0	0.0	2.0	3.0	4.0	115.0	0.0	0.0	0.0	3.0	0.0	0.0	59.0	0.0	0.0	0.0	4.0	0.0	2.0
Fibroblast peribronchial	12.0	0.0	2.0	10.0	73.0	68.0	0.0	0.0	0.0	3.0	4.0	0.0	13.0	837.0	5.0	23.0	4.0	3.0	3.0	8.0	0.0	6.0	0.0	3.0	20.0	2.0	0.0	307.0	13.0	11.0	10.0	41.0	0.0	0.0	5.0	3.0	9.0	6.0
Macrophage	766.0	9.0	9.0	38.0	220.0	607.0	32.0	24.0	45.0	22.0	1039.0	401.0	8289.0	1004.0	290.0	272.0	273.0	36.0	2117.0	8.0	40.0	6.0	3.0	59.0	63.0	60.0	4.0	146.0	42.0	172.0	133.0	34.0	238.0	567.0	2641.0	2214.0	297.0	369.0
Macrophage alveolar	6.0	0.0	5.0	0.0	48.0	50.0	3.0	0.0	9.0	6.0	53.0	26.0	9400.0	13.0	15.0	9.0	20.0	8.0	1523.0	0.0	13.0	0.0	0.0	0.0	8.0	3.0	2.0	6.0	8.0	16.0	93.0	0.0	47.0	14.0	17.0	1201.0	203.0	201.0
Mast cell	45.0	2.0	4.0	12.0	13.0	89.0	7.0	2.0	56.0	0.0	19.0	28.0	42.0	18.0	0.0	76.0	74.0	31.0	178.0	8.0	5.0	3.0	6.0	21.0	63.0	52.0	0.0	10.0	41.0	13.0	8.0	74.0	16.0	67.0	12.0	50.0	72.0	71.0
Mesothelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monocyte classical	222.0	13.0	6.0	27.0	400.0	94.0	6.0	0.0	6.0	54.0	110.0	196.0	4204.0	59.0	109.0	185.0	24.0	8.0	247.0	3.0	38.0	0.0	0.0	10.0	67.0	186.0	4.0	13.0	18.0	34.0	69.0	27.0	37.0	207.0	813.0	259.0	217.0	242.0
Monocyte non-classical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	17.0	17.0	0.0	0.0	7.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	18.0	0.0	0.0
