types	P045	P044	BD_immune08	P046	P047	P049	P048	p033t
B cell	180.0	973.0	178.0	386.0	1019.0	901.0	870.0	374.0
B cell dividing	0.0	11.0	0.0	0.0	0.0	5.0	5.0	0.0
Ciliated	21.0	15.0	0.0	0.0	6.0	17.0	17.0	51.0
DC mature	22.0	16.0	14.0	7.0	13.0	10.0	13.0	4.0
Endothelial cell lymphatic	3.0	7.0	0.0	2.0	6.0	12.0	4.0	2.0
Endothelial cell venous	92.0	24.0	31.0	56.0	36.0	15.0	17.0	17.0
Fibroblast adventitial	4.0	8.0	10.0	19.0	12.0	15.0	0.0	13.0
Fibroblast alveolar	3.0	0.0	0.0	14.0	16.0	39.0	0.0	3.0
Fibroblast peribronchial	27.0	48.0	376.0	95.0	488.0	45.0	43.0	22.0
Macrophage	1038.0	466.0	248.0	170.0	389.0	133.0	212.0	163.0
Macrophage alveolar	100.0	45.0	32.0	49.0	18.0	51.0	52.0	103.0
Mast cell	264.0	432.0	181.0	441.0	143.0	452.0	142.0	147.0
Monocyte classical	326.0	529.0	216.0	160.0	203.0	146.0	230.0	192.0
Monocyte non-classical	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cell	110.0	549.0	75.0	107.0	253.0	471.0	310.0	87.0
NK cell dividing	0.0	26.0	2.0	0.0	2.0	0.0	5.0	0.0
Neutrophils	423.0	182.0	185.0	39.0	6.0	56.0	617.0	49.0
Pericyte	10.0	26.0	33.0	43.0	73.0	8.0	15.0	3.0
Plasma cell	91.0	655.0	697.0	737.0	759.0	1397.0	199.0	391.0
Plasma cell dividing	0.0	10.0	0.0	4.0	2.0	3.0	2.0	0.0
Smooth muscle cell	0.0	0.0	0.0	75.0	25.0	21.0	2.0	13.0
T cell CD4	390.0	282.0	859.0	705.0	515.0	629.0	394.0	616.0
T cell CD4 dividing	62.0	115.0	47.0	55.0	71.0	49.0	62.0	18.0
T cell CD8 activated	1296.0	618.0	974.0	4192.0	1667.0	3151.0	495.0	875.0
T cell CD8 dividing	6.0	52.0	5.0	12.0	19.0	6.0	39.0	7.0
T cell CD8 effector memory	1549.0	1402.0	555.0	2418.0	1139.0	1435.0	1119.0	677.0
T cell CD8 terminally exhausted	44.0	338.0	6.0	85.0	92.0	285.0	293.0	14.0
T cell NK-like	0.0	0.0	16.0	2.0	0.0	49.0	3.0	3.0
T cell regulatory	855.0	1305.0	677.0	2412.0	1210.0	2128.0	1069.0	263.0
Tumor AT2/1_LUAD	50.0	67.0	204.0	10.0	4.0	130.0	49.0	173.0
