types	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453591	BD_immune05	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453577	Kim_Lee_2020_EBUS_28
B cell	0.0	0.0	0.0	194.0	0.0	2.0	6.0
B cell dividing	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Ciliated	0.0	115.0	0.0	0.0	0.0	0.0	68.0
DC mature	2.0	0.0	0.0	2.0	0.0	0.0	0.0
Endothelial cell capillary	2.0	3.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell venous	5.0	196.0	7.0	3.0	0.0	2.0	3.0
Fibroblast adventitial	0.0	0.0	0.0	2.0	0.0	0.0	2.0
Fibroblast alveolar	0.0	0.0	0.0	0.0	0.0	0.0	3.0
Fibroblast peribronchial	0.0	103.0	11.0	14.0	0.0	0.0	0.0
Macrophage	33.0	300.0	69.0	148.0	9.0	8.0	43.0
Macrophage alveolar	4.0	43.0	30.0	0.0	0.0	0.0	5.0
Mast cell	0.0	0.0	0.0	9.0	0.0	7.0	35.0
Monocyte classical	2.0	45.0	22.0	76.0	0.0	0.0	26.0
NK cell	0.0	0.0	0.0	45.0	0.0	0.0	30.0
NK cell dividing	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	74.0	0.0	0.0	0.0
Pericyte	9.0	121.0	3.0	0.0	0.0	0.0	0.0
Plasma cell	78.0	16.0	3.0	257.0	8.0	0.0	0.0
Smooth muscle cell	0.0	6.0	0.0	0.0	0.0	0.0	2.0
T cell CD4	0.0	7.0	0.0	276.0	0.0	0.0	71.0
T cell CD4 dividing	6.0	7.0	0.0	17.0	0.0	0.0	7.0
T cell CD8 activated	0.0	0.0	0.0	42.0	0.0	0.0	3.0
T cell CD8 dividing	0.0	11.0	0.0	39.0	0.0	0.0	5.0
T cell CD8 effector memory	0.0	6.0	0.0	94.0	0.0	0.0	43.0
T cell CD8 naive	0.0	0.0	0.0	3.0	0.0	0.0	11.0
T cell CD8 terminally exhausted	0.0	6.0	0.0	85.0	0.0	0.0	13.0
