	Chen_Zhang_2020_NSCLC-1	Chen_Zhang_2020_NSCLC-2	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-6	Chen_Zhang_2020_NSCLC-7	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-11	Goveia_Carmeliet_2020_patient_32_tumor_primary	Goveia_Carmeliet_2020_patient_40_tumor_primary	Goveia_Carmeliet_2020_patient_41_tumor_primary	Goveia_Carmeliet_2020_patient_42_tumor_primary	Goveia_Carmeliet_2020_patient_45_tumor_primary	Goveia_Carmeliet_2020_patient_46_tumor_primary	Goveia_Carmeliet_2020_patient_50_tumor_primary	Guo_Zhang_2018_P0616A_TTC	Guo_Zhang_2018_P0616A_TTH	Guo_Zhang_2018_P0616A_TTR	Guo_Zhang_2018_P0616A_TTY	Guo_Zhang_2018_P0616P_TTC	Guo_Zhang_2018_P0616P_TTH	Guo_Zhang_2018_P0617_TTC	Guo_Zhang_2018_P0617_TTH	Guo_Zhang_2018_P0617_TTR	Guo_Zhang_2018_P0706_TTC	Guo_Zhang_2018_P0706_TTH	Guo_Zhang_2018_P0706_TTR	Guo_Zhang_2018_P0706_TTY	Guo_Zhang_2018_P0729_TTC	Guo_Zhang_2018_P0729_TTH	Guo_Zhang_2018_P0913_TTC	Guo_Zhang_2018_P0913_TTH	Guo_Zhang_2018_P0913_TTR	Guo_Zhang_2018_P0913_TTY	Guo_Zhang_2018_P1010_TTC	Guo_Zhang_2018_P1010_TTH	Guo_Zhang_2018_P1010_TTR	Guo_Zhang_2018_P1010_TTY	Guo_Zhang_2018_P1011_TTC	Guo_Zhang_2018_P1011_TTH	Guo_Zhang_2018_P1011_TTR	Guo_Zhang_2018_P1011_TTY	Guo_Zhang_2018_P1118_TTC	Guo_Zhang_2018_P1118_TTH	Guo_Zhang_2018_P1120_TTC	Guo_Zhang_2018_P1120_TTH	Guo_Zhang_2018_P1120_TTR	Guo_Zhang_2018_P1120_TTY	Guo_Zhang_2018_P1202_TTC	Guo_Zhang_2018_P1202_TTH	Guo_Zhang_2018_P1202_TTR	Guo_Zhang_2018_P1202_TTY	Guo_Zhang_2018_P1208_TTC	Guo_Zhang_2018_P1208_TTH	Guo_Zhang_2018_P1219_TTC	Guo_Zhang_2018_P1219_TTH	Guo_Zhang_2018_P1219_TTY	He_Fan_2021_LUAD1	He_Fan_2021_LUAD2	He_Fan_2021_LUAD3	He_Fan_2021_LUAD4	He_Fan_2021_LUAD5	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_28	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T06	Kim_Lee_2020_LUNG_T08	Kim_Lee_2020_LUNG_T09	Kim_Lee_2020_LUNG_T18	Kim_Lee_2020_LUNG_T19	Kim_Lee_2020_LUNG_T20	Kim_Lee_2020_LUNG_T25	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T30	Kim_Lee_2020_LUNG_T31	Kim_Lee_2020_LUNG_T34	Lambrechts_Thienpont_2018_6149v1_BT1A	Lambrechts_Thienpont_2018_6149v1_BT1B	Lambrechts_Thienpont_2018_6149v1_BT1C	Lambrechts_Thienpont_2018_6149v1_BT2A	Lambrechts_Thienpont_2018_6149v1_BT2B	Lambrechts_Thienpont_2018_6149v1_BT1249	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6149v2_BT1295	Lambrechts_Thienpont_2018_6149v2_BT1296	Lambrechts_Thienpont_2018_6149v2_BT1297	Lambrechts_Thienpont_2018_6149v2_BT1298	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6149v2_BT1300	Lambrechts_Thienpont_2018_6653_BT1375	Lambrechts_Thienpont_2018_6653_BT1376	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516662	Laughney_Massague_2020_GSM3516663	Laughney_Massague_2020_GSM3516665	Laughney_Massague_2020_GSM3516667	Laughney_Massague_2020_GSM3516669	Laughney_Massague_2020_GSM3516670	Laughney_Massague_2020_GSM3516672	Laughney_Massague_2020_GSM3516674	Leader_Merad_2021_311	Leader_Merad_2021_313	Leader_Merad_2021_315	Leader_Merad_2021_317	Leader_Merad_2021_318	Leader_Merad_2021_320	Leader_Merad_2021_324	Leader_Merad_2021_326	Leader_Merad_2021_328	Leader_Merad_2021_332	Leader_Merad_2021_334	Leader_Merad_2021_336	Leader_Merad_2021_338	Leader_Merad_2021_340	Leader_Merad_2021_342	Leader_Merad_2021_36	Leader_Merad_2021_38	Leader_Merad_2021_40	Leader_Merad_2021_42	Leader_Merad_2021_43	Leader_Merad_2021_45	Leader_Merad_2021_47	Leader_Merad_2021_48	Leader_Merad_2021_51	Leader_Merad_2021_52	Leader_Merad_2021_53	Leader_Merad_2021_57	Leader_Merad_2021_58	Leader_Merad_2021_59	Leader_Merad_2021_62	Leader_Merad_2021_95	Leader_Merad_2021_97	Leader_Merad_2021_99	Leader_Merad_2021_103	Leader_Merad_2021_107	Leader_Merad_2021_111	Leader_Merad_2021_116	Leader_Merad_2021_297	Leader_Merad_2021_298	Leader_Merad_2021_344	Leader_Merad_2021_398	Leader_Merad_2021_414	Leader_Merad_2021_415	Leader_Merad_2021_448	Leader_Merad_2021_452	Leader_Merad_2021_456	Leader_Merad_2021_460	Leader_Merad_2021_464	Leader_Merad_2021_468	Leader_Merad_2021_472	Leader_Merad_2021_481	Leader_Merad_2021_851	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S66	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S74	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	UKIM-V-2_P4_tumor_primary	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P6_tumor_primary	UKIM-V-2_P7_tumor_primary	UKIM-V-2_P8_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P17_tumor_primary	UKIM-V_P1_tumor_primary	UKIM-V_P2_tumor_primary	UKIM-V_P3_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p1t1	Zilionis_Klein_2019_p1t2	Zilionis_Klein_2019_p1t3	Zilionis_Klein_2019_p1t4	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p3t1	Zilionis_Klein_2019_p3t2	Zilionis_Klein_2019_p3t3	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t3	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p5t2	Zilionis_Klein_2019_p6t1	Zilionis_Klein_2019_p6t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2
Alveolar cell type 1	0	0	0	0	1	45	0	53	0	56	3	12	6	12	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	20	10	18	1	0	0	0	0	6	0	1	0	10	0	3	2	20	4	14	0	0	1	1	4	0	0	0	0	2	1	28	0	5	0	0	0	0	19	11	7	0	0	0	0	0	1	0	0	0	0	1	0	2	1	9	11	0	13	0	2	1	2	0	2	3	0	0	5	7	0	10	0	10	1	1	0	0	2	0	0	0	0	0	1	0	2	1	0	0	0	5	0	0	20	3	1	2	6	3	1	1	2	11	0	0	0	1	0	70	0	2	0	11	0	1	1	0	0	1	0	0	0	5	1	1	11	3	2	5	0	2	2	6	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	1	0	0	3	4	6	0	1	1	0	0	0	0	0	0
Alveolar cell type 2	0	3	1	2	6	135	0	350	27	587	23	15	94	112	0	22	265	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	38	19	427	72	0	0	0	1	26	13	72	0	104	51	60	168	295	72	89	2	0	3	3	26	0	18	3	3	4	18	18	1	10	17	11	3	8	15	28	21	7	12	0	10	12	8	0	2	1	1	24	4	38	0	29	39	2	19	0	17	0	0	0	69	13	0	12	17	20	9	20	16	73	24	13	0	0	50	0	0	1	2	0	28	22	26	27	0	0	0	4	0	0	0	44	33	30	39	31	31	32	0	0	2	14	0	3	0	220	22	25	20	48	5	1	5	1	1	2	4	5	64	10	2	2	18	29	10	46	0	5	54	20	0	0	0	1	99	1	51	212	8	0	0	282	4	1	0	0	0	3	0	0	2	0	1	0	0	0	0	1	0	0	0	4	3	3	319	0	0	19	173	0	0	0	11	13	5	8	0	0	42	38	50	6	6	3	17	7	48	58	24	28
B cell	771	552	774	295	1572	119	1841	147	0	1128	246	0	6	10	62	8	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	237	44	22	324	102	98	6	164	455	702	80	237	361	48	1299	241	51	22	19	4	4	24	16	127	0	225	146	92	80	163	125	195	610	232	248	88	69	34	31	30	167	685	110	0	79	72	688	18	20	600	11	102	163	156	123	314	197	68	161	1377	45	22	0	137	276	332	349	319	75	154	538	427	254	132	315	180	143	25	285	237	44	709	329	236	201	188	208	5	405	117	344	576	242	223	780	802	781	805	773	711	747	31	1360	0	0	10	0	2	6	3	9	0	47	32	12	1	69	236	66	69	4	138	350	129	451	28	610	72	103	266	82	93	132	0	2	0	0	2	8	112	57	0	1	6	51	139	0	0	0	0	1	12	0	1	1	1	5	0	19	0	2	0	0	0	24	0	0	5	2	0	8	20	50	0	7	69	60	37	48	14	7	766	888	724	43	29	33	88	320	314	272	39	37
B cell dividing	1	0	0	4	42	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	2	2	0	3	0	31	3	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	1	3	0	0	0	0	0	0	11	17	4	0	0	4	0	0	0	6	0	1	2	2	3	6	1	0	0	3	0	0	0	0	2	0	22	16	0	0	1	1	0	0	0	7	3	0	2	0	1	1	0	1	0	0	0	0	2	0	0	5	0	1	6	0	3	6	8	5	3	1	6	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	5	0	0	6	0	1	0	0	4	0	4	0	0	1	0	0	0	0	0	0	0	1	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Ciliated	0	0	5	1	4	41	0	61	0	5	23	0	9	19	0	4	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	30	67	417	148	223	9	5	68	2	6	0	1	5	10	0	7	6	32	13	3	0	0	0	0	1	0	12	6	5	0	2	1	11	80	59	30	1	2	0	0	0	0	2	0	0	5	0	14	3	0	4	2	111	5	1	44	3	8	3	0	5	0	0	0	0	0	0	2	28	0	0	0	1	4	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	7	8	1	5	3	6	8	0	1	0	0	0	0	258	6	1	7	1	3	0	10	0	2	9	12	21	1	0	40	1	3	11	25	2	3	7	4	11	16	6	1	2	1	8	293	5	0	0	0	0	0	0	54	1	0	0	116	73	1	0	0	9	0	0	1	0	0	0	12	0	20	1	0	2	0	0	4	1	168	35	0	6	4	3	4	0	0	4	2	5	0	0	0	4	3	10	7	0	0
Club	0	0	1	0	3	11	1	1	0	21	2	0	1	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	62	13	6	7	0	5	2	3	0	1	3	3	0	0	5	5	2	0	0	0	0	0	0	0	0	0	1	0	1	0	10	47	13	11	0	0	0	0	1	4	0	1	0	1	0	16	0	0	2	0	29	3	2	49	5	2	0	0	1	0	0	0	3	1	0	1	7	0	0	1	0	6	15	5	1	0	14	0	0	14	4	0	2	0	2	1	0	0	0	1	0	0	0	19	17	10	15	16	15	16	0	0	0	0	0	0	15	1	1	8	0	0	0	7	0	1	1	8	4	0	1	11	1	0	1	8	0	1	2	0	2	7	3	0	0	2	7	114	3	0	9	1	0	0	0	20	12	0	0	43	10	0	4	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	20	2	0	1	1	1	1	0	0	0	4	0	0	0	0	0	0	3	2	0	0
DC mature	1	4	5	1	5	9	6	31	0	20	7	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	62	36	24	75	1	0	1	0	9	11	13	6	22	15	11	0	19	6	3	2	2	3	1	2	0	1	2	0	2	2	1	0	2	1	0	1	1	6	8	16	0	0	0	0	6	4	4	1	0	7	0	2	31	1	8	15	4	3	7	8	3	1	0	1	17	1	3	21	11	2	11	7	15	6	5	4	1	0	6	2	3	15	6	0	0	0	2	0	4	0	17	2	15	9	5	5	5	5	2	5	7	3	1	0	0	0	1	0	3	9	8	0	1	2	11	2	4	5	2	2	1	2	19	2	2	5	7	7	4	2	1	5	1	3	0	1	1	1	1	22	4	8	4	1	3	24	0	0	0	0	1	4	0	2	1	1	2	0	1	2	0	0	0	0	1	0	0	1	1	10	0	3	1	3	0	5	4	2	0	0	0	0	2	2	1	5	2	0	2	4	2	3	6
Endothelial cell arterial	17	1	0	0	0	4	0	0	0	0	0	185	69	27	8	23	40	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	6	0	2	0	33	2	1	0	0	1	1	1	0	3	10	0	2	1	1	0	8	7	0	1	2	8	5	1	0	1	0	0	0	0	1	1	1	0	0	0	2	0	20	7	0	1	1	0	0	0	0	1	1	2	10	1	2	0	5	0	1	0	0	0	0	11	0	0	1	0	0	1	1	1	3	0	0	0	2	0	0	0	4	4	4	3	7	1	7	0	0	0	0	0	0	0	1	0	4	0	2	0	0	0	0	1	2	0	0	3	4	0	0	0	6	1	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	9	7	9	0	0	0	0	2	3	1	0	0
Endothelial cell capillary	80	1	0	0	0	63	1	1	0	10	1	452	1441	108	26	13	23	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	6	7	3	0	0	0	2	9	0	1	0	20	0	7	3	24	3	1	0	0	2	0	1	0	2	2	0	4	1	24	1	1	8	0	0	0	13	22	6	0	0	0	0	1	1	0	0	0	1	0	0	2	0	8	21	1	1	0	0	0	0	0	15	2	0	6	6	25	1	32	1	31	3	9	0	0	19	2	1	8	0	0	11	15	7	8	0	0	0	7	0	1	0	23	21	17	20	11	8	20	0	0	0	1	0	0	1	82	3	6	0	11	4	6	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	1	1	3	0	0	2	0	0	0	0	15	2	0	1	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	7	3	8	0	1	0	0	5	1	2	1	0
Endothelial cell lymphatic	0	6	0	0	1	7	15	4	0	0	4	683	68	80	22	59	152	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	40	21	4	0	0	0	0	2	3	1	3	7	0	1	9	2	36	3	0	0	0	2	5	0	3	3	1	5	0	0	5	10	3	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	9	0	6	1	0	2	2	1	3	0	1	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	7	0	7	2	0	0	0	1	0	1	1	0	3	0	5	1	2	0	0	0	1	1	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	0	2	1	0	0	0	1	0	0	0	0	0	0
