	Chen_Zhang_2020_NSCLC-1	Chen_Zhang_2020_NSCLC-11	Chen_Zhang_2020_NSCLC-2	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-6	Chen_Zhang_2020_NSCLC-7	He_Fan_2021_LUAD1	He_Fan_2021_LUAD2	He_Fan_2021_LUAD3	He_Fan_2021_LUAD4	He_Fan_2021_LUAD5	Kim_Lee_2020_LUNG_T06	Kim_Lee_2020_LUNG_T08	Kim_Lee_2020_LUNG_T09	Kim_Lee_2020_LUNG_T18	Kim_Lee_2020_LUNG_T19	Kim_Lee_2020_LUNG_T20	Kim_Lee_2020_LUNG_T25	Kim_Lee_2020_LUNG_T30	Kim_Lee_2020_LUNG_T34	Lambrechts_Thienpont_2018_6149v1_BT1249	Lambrechts_Thienpont_2018_6149v1_BT1A	Lambrechts_Thienpont_2018_6149v1_BT1B	Lambrechts_Thienpont_2018_6149v1_BT1C	Lambrechts_Thienpont_2018_6149v1_BT2A	Lambrechts_Thienpont_2018_6149v1_BT2B	Lambrechts_Thienpont_2018_6149v2_BT1295	Lambrechts_Thienpont_2018_6149v2_BT1296	Lambrechts_Thienpont_2018_6149v2_BT1297	Lambrechts_Thienpont_2018_6149v2_BT1298	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6149v2_BT1300	Lambrechts_Thienpont_2018_6653_BT1375	Lambrechts_Thienpont_2018_6653_BT1376	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Laughney_Massague_2020_GSM3516662	Laughney_Massague_2020_GSM3516663	Laughney_Massague_2020_GSM3516667	Laughney_Massague_2020_GSM3516669	Laughney_Massague_2020_GSM3516670	Laughney_Massague_2020_GSM3516672	Laughney_Massague_2020_GSM3516674	Maynard_Bivona_2020_LT_S66	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P15_T2	P16_T2	P17_T2	P17_T3	P18_T2	P19_T2	P21_T1	P21_T2	P22_T1	P24_T1	P8_T2	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P17_tumor_primary	UKIM-V-2_P4_tumor_primary	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P6_tumor_primary	UKIM-V-2_P8_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V_P1_tumor_primary	UKIM-V_P2_tumor_primary	UKIM-V_P3_tumor_primary	Zilionis_Klein_2019_p1t1	Zilionis_Klein_2019_p1t2	Zilionis_Klein_2019_p1t3	Zilionis_Klein_2019_p1t4	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t3	Zilionis_Klein_2019_p6t1	Zilionis_Klein_2019_p6t2
0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2860.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	12.0	4.0	0.0	3.0	0.0	0.0	0.0	839.0	229.0	1323.0	23.0	22.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	234.0	0.0	0.0	0.0	13.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	8.0	0.0	9.0	16.0	0.0	2.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	4.0	21.0	2.0	442.0	0.0	297.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2.0	18.0	24.0	0.0	257.0	0.0	1254.0	59.0	46.0	93.0	79.0	43.0	10.0	76.0	5.0	96.0	74.0	37.0	678.0	47.0	0.0	3.0	0.0	4.0	3.0	27.0	7.0	21.0	17.0	0.0	33.0	30.0	12.0	4.0	7.0	36.0	49.0	77.0	3.0	18.0	0.0	2.0	0.0	3.0	7.0	19.0	14.0	90.0	77.0	45.0	24.0	25.0	33.0	15.0	18.0	31.0	41.0	55.0	79.0	33.0	43.0	1026.0	7.0	54.0	24.0	93.0	41.0	39.0	47.0	128.0	83.0	33.0	33.0	26.0	54.0	27.0	42.0	135.0	67.0	63.0	36.0	33.0	26.0	84.0	16.0	87.0	35.0	92.0	76.0	27.0	0.0	30.0	19.0	4.0	0.0	27.0	8.0	114.0	34.0	30.0	8.0	18.0	35.0	862.0	0.0	2.0	0.0	6.0	5.0	84.0	5.0	73.0	24.0	14.0	15.0	3.0	9.0	4.0	6.0	3.0	64.0	63.0
10	0.0	23.0	0.0	5.0	37.0	0.0	25.0	62.0	380.0	128.0	139.0	5.0	0.0	0.0	5.0	8.0	0.0	7.0	31.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	79.0	57.0	30.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	14.0	3.0	0.0	4.0	0.0	7.0	0.0	220.0	38.0	3.0	37.0	26.0	2.0	7.0	0.0	56.0	25.0	42.0	2.0	12.0	140.0	3.0	4.0	2.0	0.0	30.0	9.0	19.0	10.0	20.0	28.0	39.0	52.0	9.0	19.0	36.0	3.0	5.0	4.0	40.0	0.0	39.0	137.0	12.0	0.0	16.0	16.0	61.0	5.0	137.0	0.0	150.0	124.0	302.0	201.0	310.0	78.0	127.0	339.0	421.0	40.0	11.0	25.0	3.0	7.0	2.0	9.0	11.0	0.0	0.0	4.0	12.0	13.0	5.0	4.0	3.0	4.0	0.0	0.0	0.0	10.0	7.0
11	0.0	10.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	3.0	5.0	2.0	2.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	18.0	0.0	5.0	0.0	0.0	3.0	0.0	1047.0	5116.0	12.0	0.0	0.0	0.0	2.0	200.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	5.0	65.0	59.0	19.0	18.0	0.0	14.0	508.0	16.0	7.0	306.0	4.0	2.0	10.0	55.0	10.0	47.0	5.0	10.0	48.0	0.0	2.0	0.0	4.0	0.0	3.0	9.0	5.0	8.0	2.0	2.0	12.0	189.0	274.0	101.0	10.0	25.0	9.0	0.0	5.0	6.0	4.0	4.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	187.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	2.0	7.0	4.0	2.0	0.0	90.0	2.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	4.0	5.0	3.0	9.0	7.0	3.0	0.0	289.0	2.0	14.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	3.0	7.0	8.0	0.0	0.0
13	0.0	63.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	29.0	21.0	13.0	13.0	31.0	3.0	19.0	34.0	25.0	7.0	38.0	0.0	0.0	0.0	19.0	20.0	28.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	16.0	0.0	4.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0	2706.0	2949.0	73.0	49.0	2.0	0.0	0.0	12.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	55.0	14.0	0.0	0.0	1139.0	0.0	182.0	195.0	101.0	125.0	0.0	0.0	0.0	0.0	0.0
14	0.0	3.0	2.0	0.0	53.0	0.0	9.0	24.0	11.0	22.0	0.0	51.0	0.0	6.0	0.0	16.0	0.0	5.0	23.0	13.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	30.0	2.0	10.0	2.0	0.0	0.0	0.0	22.0	13.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	508.0	14.0	23.0	10.0	12.0	7.0	5.0	7.0	33.0	15.0	295.0	63.0	28.0	17.0	25.0	8.0	15.0	32.0	17.0	48.0	8.0	38.0	68.0	15.0	50.0	30.0	13.0	14.0	0.0	11.0	50.0	53.0	30.0	15.0	41.0	12.0	6.0	7.0	24.0	13.0	10.0	20.0	0.0	0.0	14.0	12.0	3.0	0.0	24.0	9.0	13.0	5.0	22.0	4.0	11.0	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	7.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	0.0	6.0
15	0.0	52.0	0.0	0.0	6.0	2.0	68.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	8.0	7.0	15.0	12.0	82.0	72.0	224.0	588.0	644.0	2.0	2.0	5.0	0.0	0.0	0.0	13.0	22.0	15.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1142.0	923.0	20.0	11.0	9.0	0.0	0.0	20.0	47.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	50.0	15.0	0.0	0.0	289.0	0.0	58.0	73.0	49.0	41.0	0.0	0.0	0.0	0.0	0.0
16	0.0	5.0	0.0	0.0	12.0	0.0	5.0	0.0	4.0	299.0	0.0	3.0	0.0	0.0	0.0	16.0	2.0	6.0	17.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	7.0	0.0	0.0	0.0	0.0	4.0	14.0	44.0	1732.0	23.0	1855.0	344.0	283.0	25.0	379.0	117.0	589.0	231.0	916.0	828.0	498.0	305.0	537.0	475.0	80.0	121.0	101.0	354.0	220.0	65.0	161.0	424.0	773.0	632.0	147.0	378.0	6.0	61.0	56.0	78.0	883.0	275.0	117.0	103.0	60.0	55.0	88.0	37.0	177.0	177.0	9.0	0.0	3.0	2.0	0.0	0.0	3.0	3.0	8.0	7.0	12.0	3.0	3.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	2.0	2.0	3.0	2.0	0.0	0.0	0.0	0.0	2.0	4.0
2	0.0	34.0	2.0	0.0	3.0	273.0	11.0	2.0	10.0	192.0	0.0	0.0	10.0	0.0	0.0	6.0	0.0	19.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	11.0	240.0	4.0	110.0	33.0	25.0	2.0	36.0	22.0	53.0	40.0	86.0	122.0	215.0	29.0	113.0	53.0	41.0	53.0	65.0	34.0	19.0	18.0	86.0	37.0	87.0	38.0	13.0	2885.0	9.0	9.0	8.0	14.0	69.0	38.0	14.0	55.0	25.0	5.0	49.0	15.0	69.0	32.0	7.0	0.0	5.0	5.0	2.0	0.0	0.0	0.0	2.0	30.0	71.0	3.0	2.0	9.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0
3	0.0	9.0	0.0	3.0	10.0	0.0	48.0	18.0	25.0	252.0	5.0	0.0	0.0	0.0	45.0	3.0	224.0	2.0	4.0	297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	14.0	3.0	0.0	3.0	4.0	2.0	0.0	0.0	14.0	0.0	3.0	11.0	23.0	3.0	0.0	13.0	0.0	3.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	15.0	4.0	2.0	3.0	18.0	0.0	6.0	127.0	8.0	0.0	5.0	2.0	2087.0	0.0	7.0	10.0	0.0	36.0	0.0	14.0	2.0	40.0	0.0	17.0	3.0	2390.0	6.0	0.0	4.0	106.0	0.0	4.0	7.0	0.0	12.0	5.0	0.0	2.0	15.0	2.0	2.0	4161.0	5.0	271.0	20.0	43.0	16.0	0.0	142.0	26.0	2.0	0.0	8.0	0.0	19.0	168.0	0.0	0.0	0.0	0.0	15.0	23.0	24.0	2.0	0.0
4	8.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	5765.0	0.0	0.0	0.0	0.0	0.0	103.0	2.0	112.0	3.0	1282.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	72.0	36.0	0.0	0.0	5.0	0.0	82.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	25.0	54.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	18.0	15.0	19.0	12.0	2.0
