	Chen_Zhang_2020_NSCLC-1	Chen_Zhang_2020_NSCLC-11	Chen_Zhang_2020_NSCLC-2	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-6	Chen_Zhang_2020_NSCLC-7	He_Fan_2021_LUAD1	He_Fan_2021_LUAD2	He_Fan_2021_LUAD3	He_Fan_2021_LUAD4	He_Fan_2021_LUAD5	Kim_Lee_2020_LUNG_T06	Kim_Lee_2020_LUNG_T08	Kim_Lee_2020_LUNG_T09	Kim_Lee_2020_LUNG_T18	Kim_Lee_2020_LUNG_T19	Kim_Lee_2020_LUNG_T20	Kim_Lee_2020_LUNG_T25	Kim_Lee_2020_LUNG_T30	Kim_Lee_2020_LUNG_T34	Lambrechts_Thienpont_2018_6149v1_BT1249	Lambrechts_Thienpont_2018_6149v1_BT1A	Lambrechts_Thienpont_2018_6149v1_BT1B	Lambrechts_Thienpont_2018_6149v1_BT1C	Lambrechts_Thienpont_2018_6149v1_BT2A	Lambrechts_Thienpont_2018_6149v1_BT2B	Lambrechts_Thienpont_2018_6149v2_BT1295	Lambrechts_Thienpont_2018_6149v2_BT1296	Lambrechts_Thienpont_2018_6149v2_BT1297	Lambrechts_Thienpont_2018_6149v2_BT1298	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6149v2_BT1300	Lambrechts_Thienpont_2018_6653_BT1375	Lambrechts_Thienpont_2018_6653_BT1376	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Laughney_Massague_2020_GSM3516662	Laughney_Massague_2020_GSM3516663	Laughney_Massague_2020_GSM3516667	Laughney_Massague_2020_GSM3516669	Laughney_Massague_2020_GSM3516670	Laughney_Massague_2020_GSM3516672	Laughney_Massague_2020_GSM3516674	Maynard_Bivona_2020_LT_S66	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P17_tumor_primary	UKIM-V-2_P4_tumor_primary	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P6_tumor_primary	UKIM-V-2_P8_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V_P1_tumor_primary	UKIM-V_P2_tumor_primary	UKIM-V_P3_tumor_primary	Zilionis_Klein_2019_p1t1	Zilionis_Klein_2019_p1t2	Zilionis_Klein_2019_p1t3	Zilionis_Klein_2019_p1t4	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t3	Zilionis_Klein_2019_p6t1	Zilionis_Klein_2019_p6t2
Alveolar cell type 1	0.0	3.0	0.0	0.0	45.0	0.0	7.0	20.0	10.0	18.0	0.0	6.0	0.0	0.0	0.0	10.0	0.0	3.0	20.0	14.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	28.0	0.0	5.0	0.0	0.0	0.0	0.0	19.0	11.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	216.0	14.0	14.0	0.0	2.0	6.0	4.0	0.0	8.0	6.0	25.0	19.0	6.0	0.0	3.0	2.0	2.0	0.0	5.0	2.0	2.0	24.0	58.0	6.0	5.0	6.0	6.0	4.0	0.0	6.0	33.0	23.0	12.0	4.0	33.0	3.0	0.0	3.0	2.0	0.0	0.0	2.0	5.0	11.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alveolar cell type 2	0.0	23.0	3.0	0.0	135.0	0.0	51.0	38.0	19.0	427.0	72.0	26.0	13.0	72.0	0.0	104.0	51.0	60.0	295.0	89.0	0.0	2.0	0.0	3.0	3.0	26.0	4.0	18.0	18.0	0.0	10.0	17.0	11.0	3.0	8.0	15.0	28.0	21.0	10.0	12.0	0.0	2.0	0.0	0.0	24.0	25.0	20.0	1138.0	79.0	1450.0	150.0	100.0	38.0	85.0	45.0	309.0	216.0	419.0	364.0	144.0	194.0	457.0	63.0	25.0	72.0	49.0	204.0	173.0	39.0	612.0	405.0	310.0	368.0	106.0	1537.0	21.0	19.0	145.0	60.0	447.0	54.0	120.0	134.0	8.0	59.0	23.0	4.0	28.0	46.0	10.0	18.0	29.0	46.0	0.0	0.0	0.0	2.0	5.0	64.0	5.0	54.0	20.0	11.0	13.0	5.0	8.0	6.0	6.0	3.0	48.0	58.0
B cell	771.0	246.0	552.0	774.0	119.0	1841.0	89.0	237.0	44.0	22.0	324.0	455.0	702.0	80.0	237.0	361.0	48.0	1299.0	51.0	19.0	0.0	4.0	4.0	24.0	16.0	127.0	80.0	163.0	125.0	195.0	610.0	232.0	248.0	88.0	69.0	34.0	31.0	30.0	0.0	79.0	688.0	18.0	20.0	600.0	11.0	9.0	244.0	113.0	1053.0	64.0	53.0	195.0	272.0	646.0	27.0	181.0	24.0	143.0	179.0	9.0	226.0	300.0	111.0	316.0	31.0	591.0	851.0	463.0	1258.0	120.0	415.0	192.0	146.0	340.0	12.0	541.0	785.0	258.0	81.0	226.0	58.0	320.0	28.0	428.0	121.0	388.0	200.0	301.0	364.0	350.0	28.0	610.0	103.0	266.0	69.0	236.0	66.0	4.0	138.0	82.0	93.0	132.0	69.0	60.0	37.0	48.0	43.0	29.0	33.0	314.0	272.0
B cell dividing	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	3.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	3.0	0.0	3.0	8.0	0.0	0.0	3.0	0.0	7.0	0.0	2.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Ciliated	0.0	23.0	0.0	5.0	41.0	0.0	30.0	67.0	417.0	148.0	223.0	6.0	0.0	0.0	5.0	10.0	0.0	7.0	32.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	80.0	59.0	30.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	14.0	3.0	0.0	4.0	2.0	7.0	0.0	199.0	36.0	0.0	36.0	20.0	2.0	11.0	0.0	51.0	19.0	43.0	0.0	11.0	133.0	6.0	4.0	2.0	0.0	22.0	11.0	18.0	8.0	29.0	28.0	32.0	48.0	6.0	8.0	31.0	3.0	5.0	5.0	32.0	0.0	37.0	139.0	12.0	0.0	9.0	16.0	45.0	3.0	40.0	11.0	25.0	3.0	7.0	2.0	9.0	12.0	0.0	0.0	4.0	11.0	16.0	6.0	4.0	3.0	4.0	0.0	0.0	0.0	10.0	7.0
Club	0.0	2.0	0.0	0.0	11.0	0.0	4.0	3.0	62.0	13.0	6.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	47.0	13.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	2.0	0.0	8.0	0.0	121.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0	2.0	4.0	0.0	0.0	12.0	0.0	3.0	0.0	0.0	7.0	0.0	2.0	2.0	10.0	3.0	3.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	0.0	10.0	59.0	4.0	0.0	0.0	7.0	11.0	4.0	11.0	0.0	8.0	0.0	2.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0
DC mature	0.0	7.0	4.0	5.0	9.0	6.0	22.0	62.0	36.0	24.0	75.0	9.0	11.0	13.0	6.0	22.0	15.0	11.0	19.0	3.0	0.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	8.0	16.0	0.0	6.0	4.0	0.0	0.0	7.0	0.0	8.0	13.0	96.0	67.0	14.0	61.0	47.0	32.0	27.0	19.0	54.0	35.0	73.0	64.0	19.0	123.0	50.0	48.0	22.0	19.0	7.0	41.0	103.0	38.0	89.0	27.0	86.0	64.0	41.0	19.0	164.0	37.0	40.0	93.0	61.0	67.0	25.0	15.0	42.0	42.0	23.0	35.0	28.0	61.0	19.0	5.0	7.0	4.0	2.0	4.0	5.0	2.0	0.0	2.0	0.0	5.0	0.0	5.0	4.0	2.0	0.0	0.0	5.0	2.0	4.0	2.0
Endothelial cell arterial	17.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	7.0	0.0	0.0	2.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	3.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	2.0	7.0	4.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Endothelial cell capillary	80.0	0.0	0.0	0.0	63.0	0.0	6.0	5.0	6.0	7.0	3.0	9.0	0.0	0.0	0.0	20.0	0.0	7.0	24.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	24.0	0.0	0.0	8.0	0.0	0.0	0.0	13.0	22.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	9.0	2.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0
Endothelial cell lymphatic	0.0	4.0	6.0	0.0	7.0	15.0	7.0	2.0	40.0	21.0	4.0	2.0	3.0	0.0	3.0	7.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	2.0	5.0	5.0	0.0	0.0	5.0	10.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	12.0	0.0	4.0	0.0	10.0	5.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	8.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	3.0	2.0	0.0	5.0	3.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
