	BD_immune01	BD_immune02	BD_immune03	BD_immune04	BD_immune05	BD_immune06	BD_immune07	BD_immune08	BD_immune09	BD_immune10	BD_immune11	BD_immune12	BD_immune13	BD_immune14	BD_immune15	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_28	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516665	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S74	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	P044	P045	P046	P047	P048	P049	P20_T2	P23_T1	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P7_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p3t1	Zilionis_Klein_2019_p3t2	Zilionis_Klein_2019_p3t3	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p5t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2	p019t	p030t	p033t
0	0.0	0.0	5.0	2.0	505.0	0.0	5.0	3.0	2.0	3.0	0.0	95.0	0.0	0.0	2.0	67.0	3.0	0.0	3.0	142.0	21.0	0.0	0.0	0.0	48.0	0.0	74.0	56.0	28.0	23.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	6.0	42.0	3.0	19.0	0.0	0.0	5.0	35.0	0.0	2.0	7.0	38.0	0.0	84.0	0.0	0.0	7.0	0.0	233.0	4.0	51.0	31.0	23.0	1532.0	0.0	148.0	13.0	5.0	14.0	0.0	107.0	0.0	56.0	0.0	30.0	0.0	5.0	0.0	56.0	6.0	2.0	0.0	35.0	0.0	0.0	0.0	0.0	3.0	35.0	0.0	0.0	0.0	5.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	2.0	2.0	21.0	28.0	21.0
1	4.0	6.0	9.0	18.0	13.0	16.0	49.0	199.0	2.0	5.0	107.0	297.0	0.0	51.0	249.0	1440.0	5.0	7.0	10.0	5.0	7.0	0.0	19.0	2.0	14.0	4.0	0.0	16.0	7.0	89.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	4.0	0.0	0.0	0.0	10.0	0.0	25.0	45.0	19.0	50.0	13.0	14.0	31.0	9.0	13.0	9.0	2.0	6.0	7.0	0.0	2.0	9.0	13.0	187.0	10.0	0.0	14.0	8.0	0.0	0.0	0.0	28.0	9.0	0.0	3.0	851.0	10.0	3.0	4.0	0.0	105.0	3.0	6.0	4.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	7.0	3.0	29.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	209.0	211.0	159.0	24.0	137.0
10	0.0	109.0	7.0	75.0	3.0	2.0	74.0	8.0	0.0	14.0	5.0	6.0	2.0	5.0	79.0	120.0	4.0	3.0	856.0	158.0	0.0	5.0	2.0	0.0	27.0	11.0	58.0	25.0	22.0	0.0	17.0	3.0	163.0	3.0	131.0	3.0	13.0	2.0	163.0	3.0	0.0	11.0	4.0	6.0	43.0	38.0	215.0	46.0	61.0	23.0	36.0	14.0	2260.0	4.0	0.0	7.0	24.0	0.0	2.0	0.0	2.0	1086.0	6.0	2.0	10.0	6.0	0.0	0.0	10.0	32.0	0.0	5.0	10.0	0.0	5.0	0.0	18.0	12.0	6.0	3.0	10.0	0.0	2.0	0.0	271.0	0.0	0.0	0.0	52.0	147.0	0.0	343.0	3.0	0.0	69.0	220.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	4.0	131.0	94.0	6.0	4.0	149.0	40.0	81.0
11	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2738.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	1886.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1704.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4448.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	0.0	11.0	0.0	13.0	0.0	4.0	3.0	0.0	0.0	0.0	306.0	51.0	0.0	146.0	199.0	5.0	0.0	4.0	61.0	0.0	9.0	5.0	73.0	2.0	7.0	13.0	12.0	6.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	6.0	0.0	0.0	3.0	0.0	10.0	6.0	15.0	20.0	0.0	6.0	17.0	18.0	37.0	745.0	0.0	3.0	2.0	21.0	6.0	0.0	2.0	0.0	7.0	294.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	116.0	73.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	20.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	167.0	35.0	0.0	0.0	0.0	6.0	3.0	4.0	4.0	3.0	0.0	0.0	61.0	22.0	51.0
16	4.0	5.0	77.0	44.0	4.0	44.0	435.0	9.0	0.0	0.0	47.0	20.0	29.0	14.0	56.0	580.0	2.0	9.0	133.0	42.0	0.0	0.0	0.0	0.0	175.0	80.0	20.0	5.0	5.0	8.0	13.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	225.0	25.0	20.0	44.0	6.0	0.0	0.0	55.0	33.0	2.0	0.0	37.0	104.0	29.0	6.0	3.0	3.0	10.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	88.0	219.0	0.0	0.0	0.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	14.0	175.0	0.0	0.0	0.0	0.0	0.0	44.0	47.0	51.0	0.0	4.0	30.0	35.0	0.0	15.0	136.0
17	0.0	0.0	3.0	18.0	0.0	2.0	4.0	0.0	0.0	0.0	4.0	0.0	2.0	6.0	8.0	57.0	0.0	0.0	2022.0	2.0	0.0	0.0	2.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0	0.0	2.0	0.0	71.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	20.0	0.0	8.0	0.0	0.0	3.0	268.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	22.0	0.0	185.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	6.0	22.0	16.0	0.0	0.0	0.0	0.0	0.0
