	BD_immune01	BD_immune02	BD_immune03	BD_immune04	BD_immune05	BD_immune06	BD_immune07	BD_immune08	BD_immune09	BD_immune10	BD_immune11	BD_immune12	BD_immune13	BD_immune14	BD_immune15	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_28	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516665	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S74	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	P044	P045	P046	P047	P048	P049	P20_T2	P23_T1	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P7_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p3t1	Zilionis_Klein_2019_p3t2	Zilionis_Klein_2019_p3t3	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p5t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2	p019t	p030t	p033t
Alveolar cell type 1	0.0	0.0	1.791759469228055	2.9444389791664403	0.0	0.0	1.791759469228055	0.0	0.0	0.0	1.9459101490553132	0.0	1.0986122886681096	1.9459101490553132	1.0986122886681096	4.04305126783455	0.0	0.0	3.988984046564274	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	1.6094379124341003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2626798770413155	0.0	0.0	2.4849066497880004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6094379124341003	2.70805020110221	0.0	0.0	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6390573296152584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3862943611198906	1.6094379124341003	1.9459101490553132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alveolar cell type 2	1.3862943611198906	2.9444389791664403	4.143134726391533	3.6109179126442243	1.0986122886681096	3.6109179126442243	5.817111159963204	1.9459101490553132	0.0	0.0	3.9318256327243257	2.3978952727983707	2.0794415416798357	3.4339872044851463	4.564348191467836	6.354370040797351	1.0986122886681096	1.9459101490553132	5.855071922202427	3.332204510175204	0.0	0.0	0.0	0.0	5.1298987149230735	4.2626798770413155	2.8903717578961645	1.3862943611198906	1.3862943611198906	2.0794415416798357	2.5649493574615367	0.0	2.197224577336219	1.0986122886681096	2.6390573296152584	0.0	1.3862943611198906	0.0	5.389071729816501	3.0910424533583156	3.044522437723423	3.8918202981106265	1.791759469228055	0.0	1.0986122886681096	3.8712010109078907	3.7135720667043075	0.0	0.0	3.6375861597263857	4.663439094112067	3.332204510175204	5.655991810819852	1.0986122886681096	1.0986122886681096	2.3978952727983707	1.6094379124341003	0.0	0.0	0.0	0.0	4.564348191467836	0.0	3.951243718581427	5.361292165709425	0.0	0.0	0.0	5.645446897643238	1.3862943611198906	0.0	0.0	0.0	0.0	1.3862943611198906	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6094379124341003	1.3862943611198906	0.0	5.768320995793772	0.0	0.0	2.8903717578961645	5.087596335232384	0.0	0.0	0.0	0.0	0.0	3.7612001156935624	3.6635616461296463	3.9318256327243257	2.8903717578961645	2.0794415416798357	3.2188758248682006	3.3672958299864737	0.0	2.5649493574615367	4.406719247264253
B cell	3.526360524616161	7.538494999413465	6.682108597449808	6.07073772800249	5.278114659230517	4.454347296253507	4.0943445622221	5.187385805840755	4.882801922586371	4.04305126783455	5.497168225293201	7.087573705557973	4.74493212836325	7.403670290012373	5.891644211825771	7.029087564149662	5.69035945432406	7.360739903058278	4.997212273764115	0.0	4.634728988229636	4.59511985013459	1.9459101490553132	5.10594547390058	5.488937726156686	3.1354942159291497	5.420534999272285	4.990432586778736	4.532599493153255	5.123963979403259	6.530877627725885	4.709530201312334	4.290459441148391	0.0	0.0	2.3978952727983707	0.0	1.0986122886681096	1.9459101490553132	1.3862943611198906	0.0	3.8712010109078907	3.4965075614664802	2.5649493574615367	0.0	6.877296071497428	5.198497031265825	6.028278520230698	6.974478911025045	6.785587645007929	6.888572459565363	4.51085950651685	4.2626798770413155	4.867534450455582	6.113682179832231	4.290459441148391	4.2484952420493585	0.0	1.0986122886681096	0.0	0.0	1.0986122886681096	2.197224577336219	4.727387818712341	4.060443010546419	0.0	0.0	1.9459101490553132	3.951243718581427	4.941642422609304	0.0	0.0	0.0	0.0	0.0	2.5649493574615367	0.0	0.0	0.0	0.0	1.791759469228055	0.0	2.995732273553991	0.0	1.0986122886681096	0.0	0.0	0.0	3.2188758248682006	0.0	0.0	1.791759469228055	1.0986122886681096	0.0	2.197224577336219	3.044522437723423	3.9318256327243257	0.0	2.0794415416798357	2.70805020110221	2.0794415416798357	6.642486801367256	6.790097235513905	6.586171654854675	4.48863636973214	5.771441123130016	3.6888794541139363	3.6375861597263857	3.4657359027997265	7.121252453244542	5.929589143389895
B cell dividing	0.0	1.6094379124341003	3.7612001156935624	0.0	1.791759469228055	0.0	0.0	0.0	1.3862943611198906	1.0986122886681096	0.0	3.044522437723423	1.0986122886681096	3.5553480614894135	0.0	1.791759469228055	1.6094379124341003	3.7612001156935624	0.0	0.0	0.0	0.0	0.0	0.0	1.3862943611198906	0.0	1.0986122886681096	0.0	0.0	2.4849066497880004	2.8903717578961645	1.6094379124341003	1.6094379124341003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	3.2580965380214817	0.0	1.3862943611198906	2.3025850929940455	2.70805020110221	2.0794415416798357	2.4849066497880004	0.0	0.0	1.9459101490553132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4849066497880004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ciliated	0.0	2.4849066497880004	0.0	2.6390573296152584	0.0	1.6094379124341003	1.3862943611198906	0.0	0.0	0.0	5.723585101952381	3.988984046564274	0.0	4.990432586778736	5.2832037287379885	1.791759469228055	0.0	1.6094379124341003	4.127134385045092	0.0	2.3025850929940455	1.791759469228055	4.23410650459726	1.0986122886681096	1.9459101490553132	2.6390573296152584	2.5649493574615367	1.9459101490553132	1.791759469228055	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	5.556828061699537	1.9459101490553132	0.0	0.0	1.3862943611198906	0.0	2.3978952727983707	0.0	2.772588722239781	3.044522437723423	0.0	1.9459101490553132	2.8903717578961645	2.9444389791664403	3.6375861597263857	6.587550014824796	0.0	1.3862943611198906	1.0986122886681096	3.0910424533583156	1.9459101490553132	0.0	1.0986122886681096	0.0	2.197224577336219	5.683579767338681	1.791759469228055	0.0	0.0	0.0	0.0	0.0	0.0	4.007333185232471	0.0	0.0	0.0	4.762173934797756	4.304065093204169	0.0	0.0	0.0	2.3025850929940455	0.0	0.0	0.0	0.0	0.0	0.0	2.5649493574615367	0.0	3.044522437723423	0.0	0.0	1.0986122886681096	0.0	0.0	1.6094379124341003	0.0	5.1298987149230735	3.58351893845611	0.0	0.0	0.0	1.6094379124341003	1.0986122886681096	1.791759469228055	1.6094379124341003	1.3862943611198906	0.0	0.0	4.07753744390572	3.044522437723423	3.9318256327243257
Club	1.0986122886681096	1.6094379124341003	0.0	2.3978952727983707	0.0	1.0986122886681096	1.3862943611198906	0.0	0.0	0.0	3.9702919135521215	2.833213344056216	0.0	2.70805020110221	4.343805421853684	2.9444389791664403	0.0	1.3862943611198906	0.0	0.0	2.0794415416798357	0.0	1.791759469228055	0.0	1.791759469228055	0.0	0.0	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.772588722239781	0.0	0.0	0.0	0.0	0.0	2.0794415416798357	0.0	0.0	2.0794415416798357	1.791759469228055	0.0	1.3862943611198906	1.6094379124341003	1.6094379124341003	1.0986122886681096	0.0	0.0	0.0	1.6094379124341003	1.3862943611198906	0.0	0.0	1.0986122886681096	2.0794415416798357	4.727387818712341	1.3862943611198906	0.0	2.3025850929940455	0.0	0.0	0.0	0.0	2.995732273553991	2.5649493574615367	0.0	0.0	3.5553480614894135	2.3978952727983707	0.0	0.0	0.0	2.0794415416798357	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.044522437723423	1.0986122886681096	0.0	0.0	0.0	0.0	1.6094379124341003	0.0	0.0	0.0	0.0	0.0	3.5553480614894135	1.791759469228055	2.772588722239781
DC mature	0.0	0.0	2.197224577336219	1.9459101490553132	1.3862943611198906	2.0794415416798357	2.5649493574615367	2.9444389791664403	1.9459101490553132	2.0794415416798357	2.70805020110221	1.3862943611198906	2.5649493574615367	2.70805020110221	2.70805020110221	3.044522437723423	0.0	1.791759469228055	3.4657359027997265	0.0	0.0	0.0	0.0	0.0	0.0	1.9459101490553132	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	1.6094379124341003	0.0	0.0	0.0	0.0	0.0	1.3862943611198906	2.3025850929940455	0.0	0.0	1.0986122886681096	2.4849066497880004	1.0986122886681096	3.526360524616161	3.4011973816621555	2.4849066497880004	3.4011973816621555	3.3672958299864737	3.1780538303479453	2.4849066497880004	4.7535901911063645	1.0986122886681096	1.0986122886681096	2.0794415416798357	1.0986122886681096	1.3862943611198906	0.0	0.0	0.0	0.0	0.0	3.1354942159291497	1.6094379124341003	2.197224577336219	1.6094379124341003	0.0	1.3862943611198906	3.2188758248682006	0.0	0.0	0.0	0.0	0.0	1.6094379124341003	0.0	1.0986122886681096	0.0	0.0	1.0986122886681096	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3978952727983707	0.0	1.3862943611198906	0.0	1.3862943611198906	0.0	0.0	0.0	0.0	1.0986122886681096	1.0986122886681096	0.0	1.0986122886681096	1.3862943611198906	1.9459101490553132	0.0	2.0794415416798357	1.6094379124341003
Endothelial cell arterial	0.0	0.0	0.0	0.0	0.0	0.0	2.4849066497880004	1.3862943611198906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	1.3862943611198906	2.3978952727983707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	1.6094379124341003	0.0	0.0	0.0	0.0	0.0	2.197224577336219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3025850929940455	2.0794415416798357	2.3025850929940455	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0
Endothelial cell capillary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3978952727983707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	1.3862943611198906	1.3862943611198906	1.0986122886681096	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.418840607796597	1.3862943611198906	0.0	2.4849066497880004	1.6094379124341003	1.9459101490553132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3862943611198906	1.3862943611198906	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	2.772588722239781	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3862943611198906	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0794415416798357	1.3862943611198906	2.197224577336219	0.0	1.791759469228055	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	0.0	0.0	0.0	0.0	1.791759469228055	0.0	0.0	0.0	1.0986122886681096	2.6390573296152584	0.0	0.0	2.3978952727983707	0.0	0.0	0.0	0.0	1.6094379124341003	0.0	0.0	0.0	0.0	0.0	2.3025850929940455	3.6109179126442243	1.3862943611198906	1.3862943611198906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0794415416798357	0.0	2.0794415416798357	1.0986122886681096	2.3025850929940455	1.3862943611198906	0.0	1.791759469228055	1.6094379124341003	2.5649493574615367	1.0986122886681096	1.0986122886681096	0.0	1.3862943611198906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0794415416798357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0986122886681096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3025850929940455	1.0986122886681096
