	BD_immune01	BD_immune02	BD_immune03	BD_immune04	BD_immune05	BD_immune06	BD_immune07	BD_immune08	BD_immune09	BD_immune10	BD_immune11	BD_immune12	BD_immune13	BD_immune14	BD_immune15	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_28	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516665	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S74	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	P044	P045	P046	P047	P048	P049	P20_T2	P23_T1	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P7_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p3t1	Zilionis_Klein_2019_p3t2	Zilionis_Klein_2019_p3t3	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p5t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2	p019t	p030t	p033t
AT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B cell	36.0	1881.0	797.0	428.0	194.0	85.0	58.0	178.0	130.0	56.0	245.0	1193.0	111.0	1644.0	361.0	1128.0	295.0	1572.0	147.0	0.0	102.0	98.0	6.0	164.0	241.0	22.0	225.0	146.0	92.0	167.0	685.0	110.0	72.0	0.0	0.0	10.0	0.0	2.0	6.0	3.0	0.0	47.0	32.0	12.0	0.0	973.0	180.0	386.0	1019.0	870.0	901.0	79.0	71.0	129.0	451.0	72.0	69.0	0.0	2.0	0.0	0.0	2.0	8.0	112.0	57.0	0.0	0.0	6.0	51.0	139.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	5.0	0.0	19.0	0.0	2.0	0.0	0.0	0.0	24.0	0.0	0.0	5.0	2.0	0.0	8.0	20.0	50.0	0.0	7.0	14.0	7.0	766.0	888.0	724.0	88.0	320.0	39.0	37.0	30.0	1217.0	374.0
B cell dividing	0.0	2.0	23.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	15.0	0.0	29.0	0.0	5.0	4.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	11.0	17.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ciliated	0.0	11.0	0.0	13.0	0.0	4.0	3.0	0.0	0.0	0.0	307.0	54.0	0.0	147.0	200.0	5.0	0.0	4.0	61.0	0.0	9.0	5.0	68.0	2.0	6.0	13.0	12.0	6.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	257.0	6.0	0.0	0.0	3.0	0.0	10.0	0.0	15.0	21.0	0.0	6.0	17.0	17.0	37.0	677.0	0.0	3.0	2.0	21.0	6.0	0.0	2.0	0.0	8.0	293.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	115.0	73.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	20.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	168.0	35.0	0.0	0.0	0.0	4.0	4.0	5.0	4.0	3.0	0.0	0.0	62.0	20.0	51.0
DC mature	0.0	0.0	7.0	6.0	2.0	6.0	11.0	14.0	4.0	5.0	9.0	3.0	10.0	10.0	10.0	20.0	0.0	5.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	2.0	11.0	2.0	16.0	22.0	7.0	13.0	13.0	10.0	9.0	52.0	2.0	2.0	7.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	22.0	4.0	8.0	4.0	0.0	3.0	24.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	3.0	6.0	0.0	6.0	4.0
Endothelial cell arterial	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	7.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell capillary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	11.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	3.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	13.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	9.0	36.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	7.0	2.0	7.0	3.0	2.0	6.0	4.0	12.0	2.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	2.0
Endothelial cell venous	12.0	2.0	4.0	5.0	3.0	5.0	103.0	31.0	2.0	3.0	5.0	0.0	2.0	18.0	6.0	26.0	0.0	0.0	18.0	0.0	10.0	2.0	3.0	0.0	12.0	70.0	117.0	110.0	6.0	2.0	22.0	0.0	37.0	0.0	2.0	0.0	0.0	0.0	17.0	9.0	0.0	62.0	13.0	58.0	9.0	24.0	92.0	56.0	36.0	17.0	15.0	13.0	38.0	0.0	3.0	12.0	0.0	106.0	2.0	9.0	47.0	15.0	14.0	5.0	2.0	224.0	32.0	9.0	13.0	2.0	25.0	22.0	7.0	4.0	196.0	7.0	0.0	5.0	0.0	7.0	0.0	78.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	14.0	0.0	0.0	0.0	33.0	24.0	37.0	19.0	29.0	16.0	17.0	14.0	30.0	17.0
Fibroblast adventitial	0.0	0.0	0.0	0.0	2.0	0.0	0.0	10.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	12.0	0.0	0.0	11.0	0.0	2.0	0.0	5.0	243.0	2.0	6.0	0.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	7.0	0.0	50.0	0.0	2.0	40.0	0.0	0.0	0.0	8.0	4.0	19.0	12.0	0.0	15.0	16.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	13.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	4.0	0.0	0.0	3.0	0.0	0.0	7.0	4.0	13.0
