Regulator	Target	MI	pvalue
Monocyte classical	pDC	0.3738556405943089	0.0
Mast cell	transitional club/AT2	0.319330741174264	0.0
Monocyte non-classical	NK cell	0.3179258712010289	3.4254679093237428E-9
Pericyte	Endothelial cell venous	0.3519057781866954	0.0
T cell CD4 dividing	myeloid dividing	0.2932733670609991	2.629523265795797E-10
Fibroblast peribronchial	Plasma cell	0.3026621728922294	0.0
Macrophage alveolar	Monocyte non-classical	0.2801740258263951	0.04328156460949639
T cell CD8 dividing	T cell regulatory	0.4670008593872615	0.0
Plasma cell dividing	B cell dividing	0.2730323517344703	1.3949189286321939E-5
Mast cell	T cell CD8 activated	0.43315068019741587	1.1992327131338243E-8
Alveolar cell type 2	cDC2	0.303925031139895	7.052225470260964E-11
Alveolar cell type 2	cDC1	0.283254797735662	1.4521372131426347E-6
Fibroblast alveolar	Mast cell	0.2727380815258749	0.0
Fibroblast alveolar	Smooth muscle cell	0.2789989304109419	0.0
T cell regulatory	T cell NK-like	0.47711834283462495	1.2171542395833512E-4
Tumor LUAD_mixed	cDC2	0.28391393124444997	0.0
cDC2	pDC	0.37870421908793356	0.0
T cell CD8 activated	T cell CD4	0.5796862026284151	0.0
Pericyte	Fibroblast peribronchial	0.40057360567897327	0.0
NK cell	T cell CD8 naive	0.48425717509709987	3.5438318946034997E-13
T cell CD8 naive	NK cell	0.49275542645624193	3.5438318946034997E-13
T cell regulatory	Monocyte classical	0.4136209174317414	0.006815680452503692
cDC2	Macrophage	0.419235130410929	0.0
T cell CD4	B cell	0.6770758210763385	0.0
transitional club/AT2	Tumor cells LUAD	0.2799066876538976	0.0
Mast cell	Macrophage	0.40418579806900135	0.0
Mast cell	T cell CD8 effector memory	0.4736340576472747	0.0
NK cell dividing	T cell CD4	0.31007760650679767	0.0025932099545551424
T cell CD8 terminally exhausted	Plasma cell	0.3264384494234623	0.006815680452503692
T cell CD8 dividing	T cell CD4 dividing	0.4305731792843774	0.0
Plasma cell	T cell CD8 activated	0.3451969247455777	0.017422237059726342
T cell CD8 terminally exhausted	T cell NK-like	0.4400816161638898	0.0
NK cell	Neutrophils	0.29269598265595254	4.1714451610275205E-5
Tumor LUAD_mixed	transitional club/AT2	0.2999311353292914	0.0
Tumor cells LUAD	transitional club/AT2	0.2739661373233007	0.0
DC mature	T cell CD8 effector memory	0.3513332675385105	0.0
Macrophage alveolar	Alveolar cell type 2	0.2824378851675545	1.2171542395833512E-4
Fibroblast alveolar	Fibroblast adventitial	0.2688889446018618	9.602719140788807E-4
NK cell	NK cell dividing	0.3135839281496812	0.0
Monocyte classical	T cell CD8 terminally exhausted	0.3662483672888324	3.463143810815694E-4
Smooth muscle cell	Endothelial cell venous	0.2822740939788087	0.0
