Regulator	Target	MI
Fibroblast peribronchial	Pericyte	0.3369679021507821
Fibroblast peribronchial	cDC1	0.33657545722886617
Fibroblast peribronchial	Tumor cells LUAD	0.27770382504343694
Fibroblast peribronchial	NK cell	0.257833231536039
Fibroblast peribronchial	Mast cell	0.37800243157761226
Fibroblast peribronchial	cDC2	0.28485565699737236
Fibroblast peribronchial	Macrophage	0.3149753015337238
Fibroblast peribronchial	Monocyte classical	0.3149753015337238
Fibroblast peribronchial	myeloid dividing	0.30026276178485567
Monocyte non-classical	cDC1	0.2663160025159419
Monocyte non-classical	Tumor cells LUAD	0.2663160025159419
Monocyte non-classical	NK cell	0.3360763421121984
Monocyte non-classical	Mast cell	0.338265529930446
Monocyte non-classical	cDC2	0.2663160025159419
Monocyte non-classical	Macrophage	0.3302796300584552
Monocyte non-classical	Monocyte classical	0.3149753015337238
Ciliated	B cell	0.3149753015337238
Ciliated	Macrophage alveolar	0.2797770162198141
Ciliated	Club	0.39905720769113184
Ciliated	NK cell	0.28273389319193587
Ciliated	Endothelial cell venous	0.2935374756416831
Ciliated	Mast cell	0.381886546192165
Ciliated	cDC2	0.2635023626777837
Ciliated	Macrophage	0.2635023626777837
Ciliated	Monocyte classical	0.28485565699737236
Ciliated	myeloid dividing	0.2643279611837128
Endothelial cell arterial	Alveolar cell type 2	0.28197059361134524
Endothelial cell venous	Fibroblast alveolar	0.3914423456149896
Endothelial cell venous	Smooth muscle cell	0.28035669528228446
Endothelial cell venous	Pericyte	0.3020260714399674
Endothelial cell venous	cDC1	0.4208017228368899
Endothelial cell venous	Ciliated	0.2622029136168047
Endothelial cell venous	pDC	0.3355690557488291
Endothelial cell venous	Monocyte classical	0.3970682090588129
Endothelial cell venous	B cell	0.2663160025159419
Endothelial cell venous	Macrophage alveolar	0.27917421757594774
Endothelial cell venous	transitional club/AT2	0.35074531705708
Endothelial cell venous	NK cell	0.33154848324606334
Endothelial cell venous	DC mature	0.400409725173132
Endothelial cell venous	Mast cell	0.28035669528228446
Endothelial cell venous	Endothelial cell lymphatic	0.2786350056819664
Endothelial cell venous	T cell CD4	0.4223077665333195
Endothelial cell venous	cDC2	0.3067915412418323
Endothelial cell venous	Macrophage	0.28035669528228446
Tumor cells LUAD mitotic	Tumor cells LUAD	0.32523853231946465
Tumor cells LUAD mitotic	cDC2	0.32041552077285207
T cell CD8 effector memory	B cell	0.2548661281994846
T cell CD8 effector memory	T cell CD8 activated	0.2647488064880452
T cell CD8 effector memory	T cell CD8 naive	0.29093685286911963
T cell CD8 effector memory	NK cell	0.3248879161804279
T cell CD8 effector memory	T cell NK-like	0.3951723774094127
T cell CD8 effector memory	DC mature	0.26174478361795916
T cell CD8 effector memory	T cell regulatory	0.31283836352559824
T cell CD8 effector memory	T cell CD4	0.35361291293950003
T cell CD8 effector memory	Monocyte classical	0.31431357810765537
T cell CD8 effector memory	T cell CD8 terminally exhausted	0.2573917955754297
T cell CD8 effector memory	myeloid dividing	0.2607458486002665
Fibroblast adventitial	Mast cell	0.3149753015337238
B cell	cDC1	0.4413558283384331
B cell	Fibroblast peribronchial	0.28567868051845924
B cell	Tumor cells LUSC	0.27665699094549545
B cell	Plasma cell	0.3687633984934111
B cell	Ciliated	0.2647488064880452
B cell	Endothelial cell venous	0.2663160025159419
B cell	T cell regulatory	0.3449006991902621
B cell	pDC	0.35554783904167575
B cell	Monocyte classical	0.4723803738834045
B cell	Alveolar cell type 2	0.3194472183424315
B cell	T cell CD8 activated	0.28035669528228446
B cell	Macrophage alveolar	0.40397688154122235
B cell	Tumor cells LUAD	0.39046498440407884
B cell	transitional club/AT2	0.29994538151059125
B cell	NK cell	0.28035669528228446
B cell	DC mature	0.4475134417323794
B cell	Mast cell	0.4759307330520528
B cell	T cell CD4	0.3302796300584552
B cell	cDC2	0.49363370162896114
B cell	Macrophage	0.4588644802594999
B cell	myeloid dividing	0.40355689663481353
Endothelial cell capillary	Alveolar cell type 1	0.29781916537696773
Endothelial cell capillary	Endothelial cell venous	0.28338763661454003
NK cell dividing	NK cell	0.3531528770136063
NK cell dividing	cDC2	0.30727325714162124
T cell CD8 naive	B cell	0.3001045314942825
T cell CD8 naive	NK cell	0.4232461191383168
T cell CD8 naive	T cell NK-like	0.3522905232228988
T cell CD8 naive	T cell CD4	0.27959506288028013
T cell CD8 naive	T cell CD8 effector memory	0.2553995856217641
T cell CD8 naive	cDC2	0.27039270759096645
T cell CD8 naive	Monocyte classical	0.27017595886105283
Alveolar cell type 2	cDC1	0.3413605585209112
Alveolar cell type 2	Alveolar cell type 1	0.2582256764579558
Alveolar cell type 2	Macrophage alveolar	0.2800531350127775
Alveolar cell type 2	Tumor cells LUAD	0.31568254389578865
Alveolar cell type 2	transitional club/AT2	0.31884661058031405
Alveolar cell type 2	DC mature	0.32873264651528
Alveolar cell type 2	Endothelial cell venous	0.2647488064880452
Alveolar cell type 2	Mast cell	0.3780745485390966
Alveolar cell type 2	cDC2	0.2873114776469299
Alveolar cell type 2	Macrophage	0.2947656747616447
Alveolar cell type 2	Monocyte classical	0.42839107424802325
Alveolar cell type 1	NK cell	0.28417095717925633
Alveolar cell type 1	myeloid dividing	0.2577083136704603
transitional club/AT2	Fibroblast alveolar	0.2947656747616447
transitional club/AT2	cDC1	0.43378841525655165
transitional club/AT2	Plasma cell	0.37459587284781826
transitional club/AT2	Endothelial cell venous	0.3650370115016157
transitional club/AT2	pDC	0.28925122242881507
transitional club/AT2	Monocyte classical	0.30578769725063815
transitional club/AT2	Alveolar cell type 2	0.4755460162176952
transitional club/AT2	B cell	0.29994538151059125
transitional club/AT2	Macrophage alveolar	0.33712714339572525
transitional club/AT2	Tumor cells LUAD	0.33315927176260907
transitional club/AT2	NK cell	0.49686608968008006
transitional club/AT2	DC mature	0.4284327422117027
transitional club/AT2	Mast cell	0.4042986404524074
transitional club/AT2	T cell CD4	0.32938293463701473
transitional club/AT2	cDC2	0.4585195115641385
transitional club/AT2	Macrophage	0.3673112595049437
transitional club/AT2	myeloid dividing	0.32604838109526035
DC mature	Fibroblast alveolar	0.31433675601420674
DC mature	Smooth muscle cell	0.3070765768257351
DC mature	cDC1	0.5898233936793971
DC mature	T cell CD8 naive	0.26601371455072176
DC mature	T cell CD4 dividing	0.3364087470158088
DC mature	Endothelial cell venous	0.30477875109148655
DC mature	T cell regulatory	0.4071111862736485
DC mature	pDC	0.2947656747616447
DC mature	Monocyte classical	0.4093518466438102
DC mature	Alveolar cell type 2	0.26917221689125714
DC mature	B cell	0.3286329193656812
DC mature	Macrophage alveolar	0.43910160178375257
DC mature	Tumor cells LUAD	0.38503302378622806
DC mature	transitional club/AT2	0.38877059102216815
DC mature	NK cell	0.5592955751582132
DC mature	Mast cell	0.47560163776254516
DC mature	T cell CD4	0.37088978223074953
DC mature	cDC2	0.5891465311399782
DC mature	Macrophage	0.4345878547369315
DC mature	myeloid dividing	0.39551289505796206
Mast cell	Fibroblast alveolar	0.27770382504343694
Mast cell	cDC1	0.4004965568407801
Mast cell	Fibroblast peribronchial	0.323999912421681
Mast cell	T cell CD8 naive	0.2592654123132556
Mast cell	Plasma cell	0.3041866800128048
Mast cell	Ciliated	0.3518696779185655
Mast cell	Endothelial cell venous	0.28035669528228446
Mast cell	T cell regulatory	0.3487803472247224
Mast cell	pDC	0.28485565699737236
Mast cell	Monocyte classical	0.3906463813965564
Mast cell	Alveolar cell type 2	0.4005459351890792
Mast cell	B cell	0.4289871562186889
Mast cell	Macrophage alveolar	0.4350864570837514
Mast cell	Tumor cells LUAD	0.3667190367763764
Mast cell	transitional club/AT2	0.4237834160210028
Mast cell	Club	0.2582256764579558
Mast cell	NK cell	0.4331116839061
Mast cell	DC mature	0.5305450570820343
Mast cell	T cell CD4	0.30768304994630125
Mast cell	cDC2	0.3691099668597957
Mast cell	Macrophage	0.5358318501713413
Mast cell	myeloid dividing	0.4663447841973891
Macrophage	cDC1	0.6592951343815083
Macrophage	Fibroblast peribronchial	0.3149753015337229
Macrophage	T cell CD8 naive	0.29615500012555174
Macrophage	Monocyte non-classical	0.3302796300584543
Macrophage	Plasma cell	0.34229583796123375
Macrophage	Endothelial cell venous	0.28035669528228446
Macrophage	T cell regulatory	0.33142664862974325
Macrophage	pDC	0.46908635636707974
Macrophage	Monocyte classical	0.7066347687751442
Macrophage	Alveolar cell type 2	0.2947656747616447
Macrophage	B cell	0.4388015908446148
Macrophage	Macrophage alveolar	0.4641838777061986
Macrophage	Tumor cells LUAD	0.5231874930659206
Macrophage	transitional club/AT2	0.38565236039236783
Macrophage	NK cell	0.6116411312182857
Macrophage	T cell NK-like	0.3129371334135067
Macrophage	DC mature	0.5295292911233833
Macrophage	Mast cell	0.5546428702165747
Macrophage	Endothelial cell lymphatic	0.2684922099815017
Macrophage	T cell CD4	0.3848022040736119
Macrophage	cDC2	0.698451129751954
Macrophage	myeloid dividing	0.4058721970744976
myeloid dividing	cDC1	0.41373130865795726
myeloid dividing	Ciliated	0.2800531350127775
myeloid dividing	Tumor cells LUAD mitotic	0.2601379531178605
myeloid dividing	T cell regulatory	0.2629912852945697
myeloid dividing	T cell CD8 effector memory	0.32689416637359514
myeloid dividing	Monocyte classical	0.4538203741327784
