interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_0,eligible_cluster_0,activity_cluster_2,eligible_cluster_2,testable_other_clusters,max_other_activity,specificity
APP_CD74,Fibroblast peribronchial,Plasma cell,2,2.0,1.8113636363636365,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9056818181818183,I-II,1,0.0,5,0.0,4.0,2,0.0,0.9056818181818183
CD44_TYROBP,Plasma cell,myeloid dividing,2,2.0,1.8089471099887766,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9044735549943883,I-II,1,0.0,7,0.0,2.0,2,0.0,0.9044735549943883
PTPRC_MRC1,T cell regulatory,T cell regulatory,2,2.0,1.7819409371492705,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8909704685746352,I-II,1,0.0,8,0.0,4.0,2,0.0,0.8909704685746352
PTPRC_CD22,T cell regulatory,Macrophage alveolar,2,2.0,1.746029741863075,True,False,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.8730148709315375,I-II,1,0.0,7,0.0,4.0,2,0.0,0.8730148709315375
APP_CD74,T cell CD4,cDC2,2,2.0,1.9742564534231202,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9871282267115601,I-II,1,0.1206639181120273,8,0.0,4.0,2,0.1206639181120273,0.8664643085995328
APP_CD74,B cell,B cell,2,2.0,1.9593364197530865,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9796682098765432,I-II,1,0.11931333522888826,8,0.0,4.0,2,0.11931333522888826,0.860354874647655
APP_CD74,T cell CD4,B cell,2,2.0,1.9561868686868689,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9780934343434344,I-II,1,0.11888683537105488,8,0.0,4.0,2,0.11888683537105488,0.8592065989723796
HLA-E_KLRC2,B cell,NK cell,2,2.0,1.717817059483726,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.858908529741863,I-II,1,0.0,8,0.0,4.0,2,0.0,0.858908529741863
APP_CD74,T cell CD4,myeloid dividing,2,2.0,1.9363566217732884,False,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.9681783108866442,I-II,1,0.11821154392948535,8,0.0,2.0,2,0.11821154392948535,0.8499667669571589
PTPRC_CD22,NK cell,B cell,2,2.0,1.92260101010101,True,True,Deng_Liu_LUAD_2024;UKIM-V-2,1.0,0.961300505050505,I-II,1,0.11606127381290873,8,0.0,4.0,2,0.11606127381290873,0.8452392312375963
