interacting_pair,sender_cell_type,receiver_cell_type,eligible_datasets,supporting_datasets,rank_sum,ligand_deg,receptor_deg,datasets,prevalence,activity,time,cluster,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
APP_CD74,Endothelial cell venous,cDC2,5,5.0,4.999624144065502,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,1.0,0.9999248288131003,III-IV,0,0.0,5,1,0.0,0.9999248288131003
APP_CD74,Endothelial cell venous,B cell,5,5.0,4.9938139793640826,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,1.0,0.9987627958728165,III-IV,0,0.0,5,1,0.0,0.9987627958728165
APP_CD74,Endothelial cell venous,myeloid dividing,4,4.0,3.992148106954635,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,1.0,0.9980370267386588,III-IV,0,0.0,2,1,0.0,0.9980370267386588
APP_CD74,Endothelial cell venous,Macrophage,5,5.0,4.980029357051736,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,1.0,0.9960058714103471,III-IV,0,0.0,5,1,0.0,0.9960058714103471
APP_CD74,Endothelial cell venous,Monocyte classical,5,5.0,4.9476300469969114,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,1.0,0.9895260093993823,III-IV,0,0.0,5,1,0.0,0.9895260093993823
APP_CD74,Endothelial cell venous,T cell CD4 dividing,2,2.0,1.9789787966169663,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,1.0,0.9894893983084831,III-IV,0,0.0,2,1,0.0,0.9894893983084831
CCL5_ACKR1,T cell CD8 terminally exhausted,Endothelial cell venous,4,4.0,3.953469533219308,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,1.0,0.988367383304827,III-IV,0,0.0,3,1,0.0,0.988367383304827
APP_CD74,Endothelial cell venous,T cell CD8 dividing,4,4.0,3.946327679191469,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,1.0,0.9865819197978672,III-IV,0,0.0,3,1,0.0,0.9865819197978672
CCL5_ACKR1,T cell NK-like,Endothelial cell venous,3,3.0,2.952628806731505,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2,1.0,0.984209602243835,III-IV,0,0.0,3,1,0.0,0.984209602243835
APP_CD74,Endothelial cell venous,Macrophage alveolar,5,5.0,4.904488329764022,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,1.0,0.9808976659528044,III-IV,0,0.0,3,1,0.0,0.9808976659528044
