interacting_pair,best_sender_cell_type,best_receiver_cell_type,supporting_datasets,eligible_datasets,prevalence,activity,ligand_deg,receptor_deg,datasets,time,cluster,activity_cluster_1,eligible_cluster_1,testable_other_clusters,max_other_activity,specificity
CCL5_ACKR1,T cell CD8 terminally exhausted,Endothelial cell venous,4.0,4,1.0,0.988367383304827,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,III-IV,0,0.0,3,1,0.0,0.988367383304827
CXCL8_ACKR1,Monocyte classical,Endothelial cell venous,5.0,5,1.0,0.7974481849303113,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,III-IV,0,0.0,5,1,0.0,0.7974481849303113
DLL4_NOTCH3,Endothelial cell venous,Pericyte,3.0,3,1.0,0.7592790500645732,True,True,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,III-IV,0,0.0,3,1,0.0,0.7592790500645732
CDH5_CDH5,Endothelial cell venous,Endothelial cell venous,5.0,5,1.0,0.6569985320113481,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020;Zilionis_Klein_2019,III-IV,0,0.0,5,1,0.0,0.6569985320113481
CCL2_ACKR1,myeloid dividing,Endothelial cell venous,4.0,4,1.0,0.6433452510294695,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,III-IV,0,0.0,5,1,0.0,0.6433452510294695
CD44_SELE,Mast cell,Endothelial cell venous,4.0,5,0.8,0.5438193889928487,True,False,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Maynard_Bivona_2020;Zilionis_Klein_2019,III-IV,0,0.0,5,1,0.0,0.5438193889928487
ADM_RAMP3,myeloid dividing,Endothelial cell venous,3.0,4,0.75,0.5082187949919362,True,True,Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,III-IV,0,0.0,5,1,0.0,0.5082187949919362
CD34_SELP,Endothelial cell venous,Endothelial cell venous,4.0,5,0.8,0.4713858017315301,True,True,Hu_Zhang_2023_NSCLC;Kim_Lee_2020;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,III-IV,0,0.0,5,1,0.0,0.4713858017315301
EDN1_EDNRA,Endothelial cell venous,Pericyte,2.0,3,0.6666666666666666,0.4234287866667315,True,True,Hu_Zhang_2023_NSCLC;Maynard_Bivona_2020,III-IV,0,0.0,3,1,0.0,0.4234287866667315
PGF_FLT1_complex,Pericyte,Endothelial cell venous,3.0,3,1.0,0.3942915916954565,True,False,Hu_Zhang_2023_NSCLC;Lambrechts_Thienpont_2018_6149v2;Maynard_Bivona_2020,III-IV,0,0.0,5,1,0.0,0.3942915916954565
